    nm         	pN
0.000000e+000	4.654541e+002
-1.204871e-002	4.604557e+002
-2.409884e-002	4.554572e+002
-1.001317e-001	4.492104e+002
-1.548370e-001	4.433798e+002
-1.242277e-001	4.392136e+002
-2.002605e-001	4.329669e+002
-2.336397e-001	4.275523e+002
-2.030318e-001	4.233861e+002
-1.937530e-001	4.188038e+002
-2.058017e-001	4.138054e+002
-2.391780e-001	4.083908e+002
-2.725556e-001	4.029763e+002
-2.206202e-001	3.992262e+002
-2.753255e-001	3.933956e+002
-2.873757e-001	3.883971e+002
-2.994229e-001	3.833987e+002
-3.541296e-001	3.775680e+002
-3.875059e-001	3.721535e+002
-3.782271e-001	3.675712e+002
-4.755875e-001	3.609083e+002
-4.236535e-001	3.571582e+002
-3.290615e-001	3.542404e+002
-3.837667e-001	3.484097e+002
-3.744865e-001	3.438275e+002
-3.225510e-001	3.400774e+002
-2.706156e-001	3.363274e+002
-3.680230e-001	3.296635e+002
-3.800731e-001	3.246651e+002
-4.134494e-001	3.192506e+002
-4.254981e-001	3.142522e+002
-3.735627e-001	3.105021e+002
-3.429562e-001	3.063359e+002
-2.910208e-001	3.025858e+002
-3.457261e-001	2.967552e+002
-3.577748e-001	2.917568e+002
-4.764642e-001	2.846777e+002
-4.671853e-001	2.800954e+002
-4.152485e-001	2.763454e+002
-4.486262e-001	2.709308e+002
-4.180198e-001	2.667646e+002
-4.513975e-001	2.613501e+002
-5.700869e-001	2.542710e+002
-5.394791e-001	2.501049e+002
-5.728568e-001	2.446903e+002
-5.209213e-001	2.409403e+002
-4.903135e-001	2.367741e+002
-4.597056e-001	2.326079e+002
-3.864412e-001	2.292740e+002
-3.984913e-001	2.242756e+002
-3.678835e-001	2.201094e+002
-3.586060e-001	2.155271e+002
-3.279982e-001	2.113609e+002
-3.400469e-001	2.063625e+002
-3.307680e-001	2.017802e+002
-3.641457e-001	1.963656e+002
-3.761930e-001	1.913672e+002
-3.455866e-001	1.872010e+002
-3.789629e-001	1.817865e+002
-3.270275e-001	1.780364e+002
-3.604052e-001	1.726219e+002
-3.297987e-001	1.684557e+002
-3.205199e-001	1.638734e+002
-2.899120e-001	1.597072e+002
-2.166490e-001	1.563733e+002
-2.713543e-001	1.505426e+002
-2.834016e-001	1.455442e+002
-2.527951e-001	1.413780e+002
-2.648439e-001	1.363796e+002
-3.195491e-001	1.305489e+002
-1.823020e-001	1.284634e+002
-1.943507e-001	1.234649e+002
-1.850704e-001	1.188826e+002
-1.331364e-001	1.151326e+002
-2.731534e-001	1.076374e+002
-1.572339e-001	1.051357e+002
-1.906571e-001	9.972029e+001
-2.027058e-001	9.472187e+001
-2.787386e-001	8.847508e+001
-2.907888e-001	8.347666e+001
-1.108836e-001	8.222333e+001
-2.082455e-001	7.556043e+001
-7.099693e-002	7.347485e+001
1.089068e-001	7.222153e+001
1.181856e-001	6.763923e+001
6.348036e-002	6.180857e+001
1.793999e-001	5.930686e+001
2.100078e-001	5.514069e+001
1.553025e-001	4.931002e+001
2.925496e-001	4.722445e+001
1.525327e-001	3.972930e+001
2.257956e-001	3.639537e+001
4.483559e-001	3.597428e+001
5.429479e-001	3.305647e+001
5.308992e-001	2.805805e+001
6.894753e-001	2.638860e+001
4.641452e-001	1.722896e+001
5.587358e-001	1.431114e+001
9.092643e-001	1.638679e+001
1.217138e+000	1.763020e+001
1.013135e+000	8.886680e+000
7.878050e-001	-2.729589e-001
9.677088e-001	-1.526286e+000
1.232926e+000	-1.115118e+000
1.306189e+000	-4.449057e+000
1.358124e+000	-8.199116e+000
1.324749e+000	-1.361366e+001
1.419340e+000	-1.653147e+001
1.492603e+000	-1.986541e+001
1.459225e+000	-2.527995e+001
1.468505e+000	-2.986226e+001
1.541768e+000	-3.319619e+001
1.465735e+000	-3.944298e+001
1.453685e+000	-4.444141e+001
1.697575e+000	-4.444636e+001
1.706855e+000	-4.902866e+001
1.588164e+000	-5.610770e+001
2.002677e+000	-5.278368e+001
2.225238e+000	-5.320476e+001
1.893266e+000	-6.444501e+001
1.966532e+000	-6.777895e+001
2.146436e+000	-6.903227e+001
2.155713e+000	-7.361457e+001
2.740852e+000	-6.696158e+001
2.536851e+000	-7.570510e+001
2.866051e+000	-7.404558e+001
2.896658e+000	-7.821175e+001
2.863281e+000	-8.362629e+001
3.235138e+000	-8.113452e+001
4.054886e+000	-6.990419e+001
5.279866e+000	-5.076753e+001
5.843678e+000	-4.453066e+001
5.618346e+000	-5.369030e+001
5.947549e+000	-5.203077e+001
6.980575e+000	-3.663921e+001
6.947197e+000	-4.205376e+001
7.553664e+000	-3.498464e+001
7.712240e+000	-3.665409e+001
8.233394e+000	-3.124946e+001
8.455955e+000	-3.167054e+001
8.870468e+000	-2.834652e+001
8.901075e+000	-3.251270e+001
8.953011e+000	-3.626276e+001
9.495492e+000	-3.044201e+001
9.440787e+000	-3.627268e+001
1.013257e+001	-2.753907e+001
1.056841e+001	-2.379893e+001
1.104690e+001	-1.922654e+001
1.126946e+001	-1.964763e+001
1.157734e+001	-1.840422e+001
1.209849e+001	-1.299959e+001
1.236371e+001	-1.258843e+001
1.213838e+001	-2.174807e+001
1.225430e+001	-2.424976e+001
1.226358e+001	-2.883206e+001
1.287004e+001	-2.176294e+001
1.354049e+001	-1.344546e+001
1.397633e+001	-9.705322e+000
1.372968e+001	-1.928109e+001
1.395224e+001	-1.970217e+001
1.381222e+001	-2.719733e+001
1.414142e+001	-2.553780e+001
1.423601e+001	-2.845561e+001
1.492779e+001	-1.972201e+001
1.506504e+001	-2.180757e+001
1.492502e+001	-2.930273e+001
1.572344e+001	-1.848851e+001
1.558342e+001	-2.598367e+001
1.567801e+001	-2.890148e+001
1.592190e+001	-2.890644e+001
1.567524e+001	-3.848221e+001
1.576984e+001	-4.140002e+001
1.624833e+001	-3.682763e+001
1.630027e+001	-4.057769e+001
1.641619e+001	-4.307939e+001
1.717195e+001	-3.309741e+001
1.737318e+001	-3.393462e+001
1.740379e+001	-3.810080e+001
1.769033e+001	-3.727351e+001
1.780625e+001	-3.977520e+001
1.736764e+001	-5.309607e+001
1.746223e+001	-5.601388e+001
1.823933e+001	-4.561579e+001
1.835524e+001	-4.811748e+001
1.827921e+001	-5.436427e+001
1.867240e+001	-5.145637e+001
1.927886e+001	-4.438725e+001
1.933080e+001	-4.813731e+001
1.993727e+001	-4.106819e+001
2.009584e+001	-4.273764e+001
2.025442e+001	-4.440709e+001
2.043432e+001	-4.566041e+001
2.037962e+001	-5.149108e+001
2.047421e+001	-5.440889e+001
2.054747e+001	-5.774282e+001
2.070605e+001	-5.941227e+001
2.065134e+001	-6.524294e+001
2.125781e+001	-5.817382e+001
2.156568e+001	-5.693042e+001
2.189488e+001	-5.527089e+001
2.265064e+001	-4.528891e+001
2.263859e+001	-5.028734e+001
