    nm         	pN
0.000000e+000	3.948150e+002
6.837638e-002	3.913857e+002
4.899845e-002	3.862443e+002
-5.812525e-002	3.793909e+002
-7.750318e-002	3.742495e+002
2.597293e-002	3.715050e+002
6.594995e-003	3.663636e+002
3.986880e-002	3.622494e+002
3.804429e-002	3.574505e+002
1.118627e-003	3.519667e+002
-1.825930e-002	3.468253e+002
-2.008523e-002	3.420263e+002
1.318999e-002	3.379122e+002
8.156353e-002	3.344829e+002
1.148387e-001	3.303687e+002
1.130128e-001	3.255698e+002
7.608716e-002	3.200860e+002
1.269115e-001	3.163143e+002
8.998445e-002	3.108304e+002
7.060937e-002	3.056891e+002
1.389829e-001	3.022597e+002
8.450808e-002	2.964336e+002
1.002327e-001	2.919770e+002
1.159574e-001	2.875205e+002
1.316778e-001	2.830639e+002
9.475352e-002	2.775801e+002
1.631271e-001	2.741508e+002
1.613025e-001	2.693518e+002
1.770258e-001	2.648952e+002
1.049989e-001	2.587266e+002
-3.722449e-002	2.511884e+002
-5.659957e-002	2.460471e+002
-1.812795e-001	2.388512e+002
-2.182024e-001	2.333674e+002
-1.322775e-001	2.302805e+002
-1.165536e-001	2.258240e+002
4.469530e-003	2.234219e+002
-5.000458e-002	2.175957e+002
-8.693308e-002	2.121119e+002
-7.120773e-002	2.076553e+002
-9.058352e-002	2.025140e+002
-1.450633e-001	1.966877e+002
-5.913494e-002	1.936008e+002
-6.096301e-002	1.888018e+002
-2.769062e-002	1.846877e+002
5.586023e-003	1.805736e+002
-4.888879e-002	1.747474e+002
-1.561713e-002	1.706332e+002
-1.051917e-001	1.641222e+002
-7.192000e-002	1.600080e+002
-1.439426e-001	1.538395e+002
-1.457699e-001	1.490405e+002
-1.124975e-001	1.449263e+002
-1.318740e-001	1.397849e+002
-1.687969e-001	1.343012e+002
-1.530708e-001	1.298447e+002
-6.714809e-002	1.267577e+002
-3.387714e-002	1.226435e+002
1.222464e-001	1.209262e+002
1.379711e-001	1.164697e+002
1.329680e-002	1.092739e+002
-1.113775e-001	1.020781e+002
-7.810652e-002	9.796387e+001
-9.728722e-003	9.453461e+001
1.112951e-001	9.213250e+001
1.796658e-001	8.870311e+001
1.778427e-001	8.390420e+001
1.935674e-001	7.944765e+001
2.268397e-001	7.533345e+001
2.074632e-001	7.019209e+001
2.758410e-001	6.676281e+001
3.617651e-001	6.367588e+001
3.423886e-001	5.853452e+001
4.107608e-001	5.510513e+001
3.913857e-001	4.996378e+001
4.773084e-001	4.687685e+001
4.754867e-001	4.207795e+001
5.614108e-001	3.899102e+001
6.648812e-001	3.624644e+001
6.455047e-001	3.110508e+001
7.138825e-001	2.767580e+001
7.998066e-001	2.458887e+001
7.102321e-001	1.807789e+001
7.786028e-001	1.464850e+001
9.171786e-001	1.258885e+001
1.003103e+000	9.501922e+000
1.001274e+000	4.702911e+000
1.034552e+000	5.888236e-001
1.260874e+000	2.411366e-001
1.311698e+000	-3.530599e+000
1.380074e+000	-6.959872e+000
1.378247e+000	-1.175888e+001
1.411524e+000	-1.587297e+001
1.427248e+000	-2.032952e+001
1.636024e+000	-2.101956e+001
1.651747e+000	-2.547611e+001
1.772771e+000	-2.787823e+001
1.823595e+000	-3.164996e+001
1.979719e+000	-3.336726e+001
2.118294e+000	-3.542692e+001
2.134018e+000	-3.988347e+001
2.799094e+000	-3.167085e+001
3.007869e+000	-3.236088e+001
2.883189e+000	-3.955680e+001
3.109518e+000	-3.990436e+001
3.318293e+000	-4.059440e+001
3.474415e+000	-4.231170e+001
3.648091e+000	-4.368655e+001
3.347914e+000	-5.430651e+001
3.732186e+000	-5.157249e+001
3.642612e+000	-5.808347e+001
3.816287e+000	-5.945832e+001
4.253213e+000	-5.569702e+001
4.602387e+000	-5.364781e+001
5.039313e+000	-4.988652e+001
5.458691e+000	-4.646758e+001
5.211160e+000	-5.606038e+001
5.419935e+000	-5.675041e+001
5.856861e+000	-5.298911e+001
6.311339e+000	-4.888536e+001
6.607860e+000	-4.786343e+001
7.097438e+000	-4.307486e+001
7.446611e+000	-4.102565e+001
7.655387e+000	-4.171568e+001
7.618460e+000	-4.719950e+001
7.950086e+000	-4.549264e+001
8.632714e+000	-3.693756e+001
8.402735e+000	-4.618790e+001
8.646610e+000	-4.619312e+001
8.837833e+000	-4.722562e+001
9.081708e+000	-4.723084e+001
9.044785e+000	-5.271455e+001
8.832360e+000	-6.162243e+001
9.339485e+000	-5.649151e+001
9.372756e+000	-6.060571e+001
9.107683e+000	-7.054075e+001
9.263807e+000	-7.225805e+001
9.244431e+000	-7.739941e+001
9.540954e+000	-7.637748e+001
1.017093e+001	-6.884967e+001
1.143271e+001	-4.899504e+001
1.181698e+001	-4.626102e+001
1.230656e+001	-4.147245e+001
1.281369e+001	-3.634154e+001
1.263636e+001	-4.456461e+001
1.293288e+001	-4.354267e+001
1.321186e+001	-4.286297e+001
1.336798e+001	-4.458028e+001
1.369961e+001	-4.287342e+001
1.420673e+001	-3.774250e+001
1.464366e+001	-3.398121e+001
1.404513e+001	-5.042211e+001
1.393800e+001	-5.727556e+001
1.405903e+001	-5.967768e+001
1.423270e+001	-6.105252e+001
1.473983e+001	-5.592161e+001
1.482575e+001	-5.900853e+001
1.517493e+001	-5.695933e+001
1.508535e+001	-6.347031e+001
1.524148e+001	-6.518761e+001
1.588900e+001	-5.731734e+001
1.609778e+001	-5.800738e+001
1.590290e+001	-6.657290e+001
1.562027e+001	-7.685040e+001
1.581150e+001	-7.788290e+001
1.589742e+001	-8.096983e+001
1.658005e+001	-7.241474e+001
1.705208e+001	-6.796864e+001
1.647109e+001	-8.406720e+001
1.660967e+001	-8.612686e+001
1.648500e+001	-9.332264e+001
1.695702e+001	-8.887655e+001
1.711314e+001	-9.059384e+001
1.758517e+001	-8.614774e+001
1.830290e+001	-7.690786e+001
1.893287e+001	-6.938004e+001
1.910655e+001	-7.075489e+001
1.926267e+001	-7.247219e+001
1.936614e+001	-7.521678e+001
1.983817e+001	-7.077056e+001
1.966085e+001	-7.899362e+001
1.981697e+001	-8.071093e+001
2.025390e+001	-7.694963e+001
2.046267e+001	-7.763967e+001
2.033799e+001	-8.483558e+001
2.019577e+001	-9.237383e+001
2.028169e+001	-9.546076e+001
2.070107e+001	-9.204182e+001
2.115554e+001	-8.793818e+001
2.139942e+001	-8.794340e+001
2.236285e+001	-7.390972e+001
2.316832e+001	-6.295785e+001
2.281550e+001	-7.460497e+001
2.272592e+001	-8.111607e+001
2.335589e+001	-7.358826e+001
2.333651e+001	-7.872962e+001
2.351019e+001	-8.010446e+001
2.378917e+001	-7.942488e+001
2.403304e+001	-7.943009e+001
2.415407e+001	-8.183221e+001
2.453834e+001	-7.909808e+001
2.483486e+001	-7.807614e+001
2.439429e+001	-9.143535e+001
2.495407e+001	-8.527716e+001
2.532079e+001	-8.288549e+001
2.510836e+001	-9.179348e+001
2.508899e+001	-9.693484e+001
2.571896e+001	-8.940702e+001
2.582244e+001	-9.215149e+001
2.562756e+001	-1.007170e+002
2.664363e+001	-8.565618e+001
2.741401e+001	-7.538913e+001
2.772809e+001	-7.402462e+001
2.791931e+001	-7.505711e+001
2.809299e+001	-7.643196e+001
2.774016e+001	-8.807919e+001
2.831749e+001	-8.157854e+001
2.878951e+001	-7.713244e+001
2.868239e+001	-8.398588e+001
2.868056e+001	-8.878489e+001
2.913504e+001	-8.468114e+001
2.895771e+001	-9.290420e+001
2.837673e+001	-1.090028e+002
2.863816e+001	-1.086655e+002
2.940853e+001	-9.839846e+001
3.049481e+001	-8.196801e+001
3.108968e+001	-7.512501e+001
3.135111e+001	-7.478777e+001
3.166519e+001	-7.342337e+001
3.171601e+001	-7.719511e+001
3.199499e+001	-7.651552e+001
3.209846e+001	-7.925999e+001
3.214928e+001	-8.303173e+001
3.227031e+001	-8.543385e+001
3.225093e+001	-9.057521e+001
3.247726e+001	-9.092289e+001
3.289663e+001	-8.750406e+001
3.287725e+001	-9.264542e+001
3.277013e+001	-9.949886e+001
3.257525e+001	-1.080643e+002
3.276648e+001	-1.090968e+002
3.278220e+001	-1.135533e+002
3.327178e+001	-1.087648e+002
3.344545e+001	-1.101396e+002
3.349628e+001	-1.139113e+002
3.366996e+001	-1.152862e+002
3.380852e+001	-1.173460e+002
3.406995e+001	-1.170087e+002
3.436647e+001	-1.159868e+002
3.464545e+001	-1.153071e+002
3.457343e+001	-1.214757e+002
3.481730e+001	-1.214809e+002
3.465752e+001	-1.293616e+002
3.484875e+001	-1.303940e+002
3.482937e+001	-1.355355e+002
3.493285e+001	-1.382800e+002
3.496612e+001	-1.423941e+002
3.517490e+001	-1.430841e+002
3.552407e+001	-1.410349e+002
3.527655e+001	-1.506276e+002
3.566082e+001	-1.478935e+002
3.611529e+001	-1.437899e+002
3.599062e+001	-1.509857e+002
3.563779e+001	-1.626328e+002
3.602207e+001	-1.598988e+002
3.645899e+001	-1.561375e+002
3.923007e+001	-1.068357e+002
4.045675e+001	-8.766597e+001
4.129733e+001	-7.602918e+001
4.205015e+001	-6.610448e+001
4.224138e+001	-6.713698e+001
4.169550e+001	-8.255061e+001
4.214997e+001	-7.844697e+001
4.211305e+001	-8.393079e+001
4.300628e+001	-7.126674e+001
4.414520e+001	-5.380911e+001
4.430133e+001	-5.552630e+001
4.428195e+001	-6.066778e+001
4.461358e+001	-5.896092e+001
4.499785e+001	-5.622690e+001
4.489073e+001	-6.308023e+001
4.469585e+001	-7.164576e+001
4.499238e+001	-7.062371e+001
4.549950e+001	-6.549279e+001
4.581358e+001	-6.412839e+001
4.642600e+001	-5.694304e+001
4.609072e+001	-6.824781e+001
4.640480e+001	-6.688330e+001
4.643807e+001	-7.099751e+001
4.675215e+001	-6.963310e+001
4.711887e+001	-6.724143e+001
4.722235e+001	-6.998591e+001
4.699237e+001	-7.923624e+001
4.704319e+001	-8.300798e+001
4.779602e+001	-7.308328e+001
4.800480e+001	-7.377331e+001
4.780992e+001	-8.233884e+001
4.836970e+001	-7.618065e+001
4.940332e+001	-6.077746e+001
5.001575e+001	-5.359200e+001
5.078612e+001	-4.332495e+001
5.108265e+001	-4.230290e+001
5.064208e+001	-5.566210e+001
5.053495e+001	-6.251554e+001
5.044537e+001	-6.902664e+001
5.063660e+001	-7.005902e+001
5.131922e+001	-6.150405e+001
5.121209e+001	-6.835749e+001
5.142087e+001	-6.904753e+001
5.134885e+001	-7.521606e+001
5.132947e+001	-8.035752e+001
5.141539e+001	-8.344433e+001
5.178212e+001	-8.105278e+001
5.232435e+001	-7.523694e+001
5.267352e+001	-7.318773e+001
5.254884e+001	-8.038364e+001
5.281026e+001	-8.004640e+001
5.349289e+001	-7.149132e+001
5.333312e+001	-7.937203e+001
5.301539e+001	-9.033434e+001
5.371557e+001	-8.143691e+001
5.431044e+001	-7.459391e+001
5.383476e+001	-8.863803e+001
5.399089e+001	-9.035523e+001
5.407681e+001	-9.344217e+001
5.430314e+001	-9.378985e+001
5.482781e+001	-8.831647e+001
5.500149e+001	-8.969132e+001
5.582451e+001	-7.839699e+001
5.569984e+001	-8.559289e+001
5.539966e+001	-9.621285e+001
5.538028e+001	-1.013542e+002
5.562416e+001	-1.013594e+002
5.607863e+001	-9.725568e+001
5.612946e+001	-1.010274e+002
5.644354e+001	-9.966302e+001
5.614336e+001	-1.102830e+002
5.636968e+001	-1.106306e+002
5.717516e+001	-9.967870e+001
5.689253e+001	-1.099562e+002
5.680295e+001	-1.164673e+002
5.918794e+001	-7.469837e+001
6.137986e+001	-3.669609e+001
6.141314e+001	-4.081029e+001
6.188516e+001	-3.636419e+001
6.232209e+001	-3.260289e+001
6.281167e+001	-2.781432e+001
6.221314e+001	-4.425523e+001
6.280801e+001	-3.741224e+001
6.335024e+001	-3.159651e+001
6.313782e+001	-4.050439e+001
6.289029e+001	-5.009708e+001
6.346761e+001	-4.359654e+001
6.367639e+001	-4.428657e+001
6.421861e+001	-3.847085e+001
6.421679e+001	-4.326974e+001
6.396926e+001	-5.286254e+001
6.473964e+001	-4.259538e+001
6.515901e+001	-3.917655e+001
6.554328e+001	-3.644253e+001
6.619081e+001	-2.857226e+001
6.578534e+001	-4.124665e+001
6.574841e+001	-4.673047e+001
6.593964e+001	-4.776285e+001
6.620106e+001	-4.742573e+001
6.683103e+001	-3.989792e+001
6.709246e+001	-3.956068e+001
6.752939e+001	-3.579939e+001
6.752756e+001	-4.059840e+001
6.735024e+001	-4.882146e+001
6.820836e+001	-3.684233e+001
6.852243e+001	-3.547793e+001
6.823981e+001	-4.575543e+001
6.820288e+001	-5.123925e+001
6.856961e+001	-4.884758e+001
6.897143e+001	-4.577110e+001
6.898716e+001	-5.022765e+001
6.937143e+001	-4.749362e+001
6.973816e+001	-4.510196e+001
6.933269e+001	-5.777635e+001
6.929575e+001	-6.326017e+001
6.950453e+001	-6.395021e+001
6.978350e+001	-6.327062e+001
7.053633e+001	-5.334591e+001
7.076265e+001	-5.369360e+001
7.055023e+001	-6.260147e+001
7.074146e+001	-6.363386e+001
7.054658e+001	-7.219939e+001
7.138715e+001	-6.056271e+001
7.122738e+001	-6.844331e+001
7.147126e+001	-6.844853e+001
7.190818e+001	-6.468724e+001
7.183615e+001	-7.085588e+001
7.220287e+001	-6.846421e+001
7.271000e+001	-6.333329e+001
7.246248e+001	-7.292598e+001
7.226760e+001	-8.149150e+001
7.289757e+001	-7.396370e+001
7.263250e+001	-8.389874e+001
7.391183e+001	-6.370175e+001
7.619151e+001	-2.398739e+001
