    nm         	pN
0.000000e+000	3.100814e+002
-4.351658e-002	3.059136e+002
-8.704083e-002	3.017457e+002
-9.511108e-003	2.993317e+002
-6.815585e-002	2.949448e+002
-1.268121e-001	2.905576e+002
-1.703287e-001	2.863899e+002
-1.987114e-001	2.824413e+002
-1.514533e-001	2.795888e+002
-1.344457e-001	2.762979e+002
-1.930924e-001	2.719109e+002
-1.609605e-001	2.688392e+002
-1.590869e-001	2.653290e+002
-1.420794e-001	2.620382e+002
-1.553416e-001	2.583087e+002
-1.534660e-001	2.547986e+002
-1.061964e-001	2.519462e+002
-7.406076e-002	2.488745e+002
-5.706090e-002	2.455836e+002
2.046690e-002	2.431695e+002
-6.843989e-002	2.383441e+002
9.089834e-003	2.359301e+002
-1.100876e-001	2.306661e+002
-1.233412e-001	2.269368e+002
-1.214657e-001	2.234267e+002
-1.044668e-001	2.201357e+002
-1.180697e-002	2.179410e+002
-8.558369e-002	2.133348e+002
-1.291070e-001	2.091669e+002
-2.634059e-001	2.036838e+002
-2.615294e-001	2.001737e+002
-2.294004e-001	1.971019e+002
-1.367406e-001	1.949071e+002
-1.651262e-001	1.909586e+002
-2.389106e-001	1.863523e+002
-1.159897e-001	1.845959e+002
-1.897664e-001	1.799897e+002
-1.878909e-001	1.764796e+002
-2.616743e-001	1.718733e+002
-1.690155e-001	1.696785e+002
-1.217478e-001	1.668261e+002
-5.934910e-002	1.641929e+002
-2.722012e-002	1.611211e+002
-5.560472e-002	1.571726e+002
-2.346808e-002	1.541009e+002
5.406068e-002	1.516869e+002
1.315827e-001	1.492728e+002
1.183282e-001	1.455435e+002
1.353348e-001	1.422526e+002
1.523327e-001	1.389616e+002
2.298625e-001	1.365476e+002
1.863468e-001	1.323799e+002
8.230135e-002	1.273351e+002
5.391675e-002	1.233866e+002
8.605339e-002	1.203149e+002
8.792893e-002	1.168048e+002
1.049288e-001	1.135138e+002
1.824566e-001	1.110998e+002
3.507687e-001	1.100011e+002
5.039507e-001	1.086832e+002
6.873938e-001	1.078038e+002
6.438705e-001	1.036359e+002
5.549636e-001	9.881048e+001
8.140580e-001	9.902713e+001
8.613267e-001	9.617469e+001
8.632022e-001	9.266458e+001
7.591567e-001	8.761983e+001
7.156420e-001	8.345207e+001
7.326400e-001	8.016107e+001
8.101688e-001	7.774707e+001
6.607407e-001	7.204477e+001
6.777464e-001	6.875389e+001
6.947443e-001	6.546289e+001
8.933184e-001	6.480266e+001
9.405861e-001	6.195022e+001
1.124028e+000	6.107077e+001
1.292340e+000	5.997209e+001
1.218558e+000	5.536578e+001
1.250693e+000	5.229412e+001
1.373613e+000	5.053778e+001
1.541925e+000	4.943911e+001
1.604325e+000	4.680589e+001
1.863419e+000	4.702254e+001
1.986341e+000	4.526620e+001
2.033601e+000	4.241365e+001
2.186781e+000	4.109575e+001
2.143267e+000	3.692799e+001
2.069482e+000	3.232167e+001
2.237794e+000	3.122300e+001
2.345584e+000	2.924744e+001
2.392852e+000	2.639500e+001
2.455250e+000	2.376178e+001
2.729476e+000	2.419765e+001
2.882658e+000	2.287975e+001
3.020708e+000	2.134263e+001
2.750227e+000	1.388645e+001
2.933669e+000	1.300700e+001
3.238158e+000	1.388131e+001
3.330817e+000	1.168653e+001
3.499129e+000	1.058785e+001
3.667441e+000	9.489178e+000
3.669309e+000	5.978966e+000
3.822491e+000	4.661070e+000
4.187500e+000	6.412261e+000
4.582771e+000	8.601891e+000
4.614908e+000	5.530230e+000
4.586514e+000	1.581579e+000
4.467347e+000	-3.682283e+000
4.832356e+000	-1.931092e+000
5.212497e+000	3.931645e-002
5.395939e+000	-8.401369e-001
5.170856e+000	-7.638546e+000
5.550997e+000	-5.668133e+000
5.719309e+000	-6.766808e+000
5.615270e+000	-1.181146e+001
5.586885e+000	-1.576000e+001
5.649285e+000	-1.839322e+001
5.681405e+000	-2.146510e+001
6.288520e+000	-1.620616e+001
6.487092e+000	-1.686639e+001
6.897493e+000	-1.445754e+001
7.020413e+000	-1.621388e+001
7.249249e+000	-1.643567e+001
7.175457e+000	-2.104210e+001
7.464814e+000	-2.038701e+001
7.708778e+000	-2.038958e+001
8.043542e+000	-1.907661e+001
8.438812e+000	-1.688698e+001
8.062408e+000	-2.587782e+001
8.382026e+000	-2.478429e+001
8.565468e+000	-2.566374e+001
8.521954e+000	-2.983150e+001
8.599481e+000	-3.224550e+001
9.025015e+000	-2.961743e+001
9.495937e+000	-2.633170e+001
9.376769e+000	-3.159556e+001
9.590472e+000	-3.203657e+001
9.879829e+000	-3.138148e+001
9.790922e+000	-3.620691e+001
1.014080e+001	-3.467494e+001
1.027885e+001	-3.621206e+001
1.028073e+001	-3.972216e+001
1.063060e+001	-3.819019e+001
1.078379e+001	-3.950808e+001
1.131523e+001	-3.534547e+001
1.116580e+001	-4.104777e+001
1.124333e+001	-4.346177e+001
1.157808e+001	-4.214902e+001
1.272988e+001	-2.899837e+001
1.298897e+001	-2.878172e+001
1.282441e+001	-3.470324e+001
1.297760e+001	-3.602114e+001
1.300973e+001	-3.909280e+001
1.317804e+001	-4.019148e+001
1.343714e+001	-3.997483e+001
1.378702e+001	-3.844286e+001
1.338036e+001	-4.787214e+001
1.373023e+001	-4.634016e+001
1.373211e+001	-4.985027e+001
1.396094e+001	-5.007206e+001
1.397795e+001	-5.336295e+001
1.463044e+001	-4.744656e+001
1.482901e+001	-4.810680e+001
1.469471e+001	-5.358988e+001
1.446963e+001	-6.038829e+001
1.444125e+001	-6.433683e+001
1.522991e+001	-5.644747e+001
1.565544e+001	-5.381940e+001
1.564219e+001	-5.754872e+001
1.587102e+001	-5.777051e+001
1.602421e+001	-5.908841e+001
1.588991e+001	-6.457149e+001
1.658779e+001	-5.799745e+001
1.674097e+001	-5.931535e+001
1.669745e+001	-6.348311e+001
1.769795e+001	-5.252466e+001
1.839583e+001	-4.595062e+001
1.838257e+001	-4.967994e+001
1.817262e+001	-5.625913e+001
1.849224e+001	-5.516560e+001
1.853951e+001	-5.801804e+001
1.898017e+001	-5.517074e+001
1.898204e+001	-5.868085e+001
1.924114e+001	-5.846420e+001
1.946997e+001	-5.868599e+001
1.953237e+001	-6.131921e+001
1.989738e+001	-5.956802e+001
2.011109e+001	-6.000903e+001
2.009783e+001	-6.373835e+001
2.017536e+001	-6.615236e+001
2.017722e+001	-6.966268e+001
2.076921e+001	-6.462296e+001
2.098291e+001	-6.506398e+001
2.109070e+001	-6.703953e+001
2.145570e+001	-6.528834e+001
2.182072e+001	-6.353715e+001
2.206468e+001	-6.353973e+001
2.183958e+001	-7.033835e+001
2.253748e+001	-6.376409e+001
2.205516e+001	-7.428947e+001
2.261687e+001	-6.968841e+001
2.307268e+001	-6.662168e+001
2.308967e+001	-6.991278e+001
2.402965e+001	-5.983099e+001
2.430388e+001	-5.939512e+001
2.498663e+001	-5.304030e+001
2.657723e+001	-3.353203e+001
2.791061e+001	-1.775050e+001
2.786708e+001	-2.191849e+001
2.803539e+001	-2.301716e+001
2.773466e+001	-3.091167e+001
2.808454e+001	-2.937970e+001
2.875216e+001	-2.324410e+001
2.916256e+001	-2.083525e+001
2.954271e+001	-1.886462e+001
2.957483e+001	-2.193650e+001
3.018195e+001	-1.667756e+001
3.038052e+001	-1.733780e+001
3.062448e+001	-1.734037e+001
3.071714e+001	-1.953515e+001
3.058283e+001	-2.501845e+001
3.091758e+001	-2.370571e+001
3.117667e+001	-2.348906e+001
3.140551e+001	-2.371085e+001
3.167973e+001	-2.327498e+001
3.209013e+001	-2.086613e+001
3.260647e+001	-1.692251e+001
3.247215e+001	-2.240582e+001
3.333648e+001	-1.342013e+001
3.303573e+001	-2.131487e+001
3.315865e+001	-2.307120e+001
3.299409e+001	-2.899273e+001
3.302623e+001	-3.206439e+001
3.313402e+001	-3.403995e+001
3.357468e+001	-3.119265e+001
