    nm         	pN
0.000000e+000	3.939260e+002
-1.518945e-001	3.881880e+002
-1.612678e-001	3.845149e+002
-2.810665e-002	3.829070e+002
4.170095e-002	3.803811e+002
-1.260152e-001	3.744138e+002
-1.987344e-001	3.698230e+002
-6.557324e-002	3.682150e+002
4.236274e-003	3.656891e+002
-6.848299e-002	3.610983e+002
-2.045386e-001	3.555897e+002
-2.297432e-001	3.516873e+002
-8.074502e-002	3.503088e+002
-5.845021e-002	3.470945e+002
-6.781590e-002	3.434215e+002
-2.355492e-001	3.374540e+002
-2.132391e-001	3.342400e+002
-1.750920e-001	3.312554e+002
-8.944170e-002	3.289591e+002
-1.304871e-001	3.248271e+002
-2.507038e-001	3.195480e+002
-3.075861e-001	3.151866e+002
-1.585995e-001	3.138079e+002
-2.471442e-001	3.089878e+002
-3.515220e-001	3.039382e+002
-3.609050e-001	3.002650e+002
-3.069171e-001	2.975099e+002
-3.637994e-001	2.931484e+002
-3.731670e-001	2.894754e+002
-4.458844e-001	2.848846e+002
-3.760595e-001	2.823590e+002
-4.329399e-001	2.779976e+002
-4.581445e-001	2.740951e+002
-4.675101e-001	2.704221e+002
-5.085536e-001	2.662902e+002
-4.229071e-001	2.639938e+002
-3.847734e-001	2.610090e+002
-4.574774e-001	2.564184e+002
-4.351826e-001	2.532041e+002
-5.554012e-001	2.479250e+002
-4.064031e-001	2.465465e+002
-3.524324e-001	2.437912e+002
-3.301223e-001	2.405771e+002
-3.236510e-001	2.371336e+002
-2.221657e-001	2.350667e+002
-1.840329e-001	2.320819e+002
-3.517653e-001	2.261144e+002
-3.769699e-001	2.222120e+002
-3.071451e-001	2.196864e+002
-2.056607e-001	2.176194e+002
-2.150426e-001	2.139462e+002
-2.402472e-001	2.100438e+002
-3.129502e-001	2.054531e+002
-3.064789e-001	2.020096e+002
-2.208324e-001	1.997132e+002
-3.093887e-001	1.948929e+002
-3.029174e-001	1.914493e+002
-3.122841e-001	1.877764e+002
-3.533265e-001	1.836444e+002
-2.360033e-001	1.818070e+002
-2.295310e-001	1.783635e+002
-3.022503e-001	1.737726e+002
-2.482796e-001	1.710173e+002
-2.576463e-001	1.673443e+002
-2.670120e-001	1.636713e+002
-3.080554e-001	1.595394e+002
-3.015842e-001	1.560958e+002
-3.267887e-001	1.521934e+002
-2.728181e-001	1.494380e+002
-2.821838e-001	1.457651e+002
-1.807003e-001	1.436982e+002
-2.534043e-001	1.391075e+002
-2.469464e-001	1.356638e+002
-1.771216e-001	1.331381e+002
-7.563624e-002	1.310712e+002
4.168415e-002	1.292338e+002
2.540224e-001	1.287730e+002
1.971421e-001	1.244116e+002
2.036133e-001	1.209680e+002
1.467329e-001	1.166066e+002
3.907452e-001	1.166048e+002
4.447311e-001	1.138496e+002
7.362427e-001	1.145360e+002
7.743898e-001	1.115514e+002
8.758752e-001	1.094845e+002
1.072373e+000	1.087942e+002
1.063007e+000	1.051212e+002
1.037802e+000	1.012187e+002
1.060113e+000	9.800467e+001
9.557175e-001	9.295487e+001
1.120554e+000	9.180584e+001
1.206201e+000	8.950946e+001
1.117645e+000	8.468911e+001
1.139955e+000	8.147506e+001
1.225601e+000	7.917868e+001
1.200397e+000	7.527622e+001
1.238544e+000	7.229164e+001
1.308353e+000	6.976580e+001
1.409837e+000	6.769888e+001
1.527161e+000	6.586146e+001
1.438603e+000	6.104110e+001
1.476752e+000	5.805653e+001
1.641589e+000	5.690751e+001
1.695560e+000	5.415219e+001
2.066262e+000	5.598585e+001
1.898530e+000	5.001837e+001
1.936677e+000	4.703379e+001
2.101499e+000	4.588455e+001
1.965443e+000	4.037601e+001
2.225295e+000	4.060360e+001
2.500983e+000	4.106066e+001
2.998375e+000	4.472988e+001
3.068184e+000	4.220403e+001
3.423047e+000	4.380822e+001
3.271153e+000	3.807021e+001
3.689370e+000	4.059230e+001
3.474124e+000	3.393640e+001
3.607285e+000	3.232844e+001
3.582080e+000	2.842597e+001
4.158661e+000	3.324255e+001
4.260146e+000	3.117564e+001
4.393307e+000	2.956768e+001
4.447278e+000	2.681236e+001
4.453749e+000	2.336884e+001
4.428545e+000	1.946638e+001
4.308313e+000	1.418709e+001
4.409796e+000	1.212018e+001
4.685486e+000	1.257724e+001
4.897823e+000	1.211641e+001
4.635077e+000	4.772317e+000
4.594034e+000	6.403814e-001
4.948899e+000	2.244580e+000
5.082058e+000	6.366157e-001
4.993517e+000	-4.183509e+000
5.269207e+000	-3.726446e+000
5.244003e+000	-7.628908e+000
5.503836e+000	-7.401543e+000
5.510308e+000	-1.084506e+001
5.643469e+000	-1.245303e+001
5.713278e+000	-1.497888e+001
5.862278e+000	-1.635737e+001
6.074615e+000	-1.681820e+001
6.160261e+000	-1.911457e+001
5.913352e+000	-2.622920e+001
6.046514e+000	-2.783716e+001
6.417216e+000	-2.600349e+001
6.566216e+000	-2.738199e+001
6.810228e+000	-2.738387e+001
6.721672e+000	-3.220422e+001
6.680628e+000	-3.633615e+001
6.908804e+000	-3.656751e+001
6.471854e+000	-4.643557e+001
7.159287e+000	-4.001291e+001
7.197434e+000	-4.299748e+001
7.108878e+000	-4.781783e+001
7.194525e+000	-5.011421e+001
7.422700e+000	-5.034556e+001
7.413332e+000	-5.401856e+001
7.498981e+000	-5.631494e+001
7.758830e+000	-5.608735e+001
7.860315e+000	-5.815425e+001
8.104328e+000	-5.815614e+001
8.094962e+000	-6.182913e+001
8.069757e+000	-6.573159e+001
8.092067e+000	-6.894563e+001
8.446930e+000	-6.734144e+001
8.247524e+000	-7.376787e+001
8.111468e+000	-7.927640e+001
7.975412e+000	-8.478495e+001
8.156069e+000	-8.570472e+001
