    nm         	pN
0.000000e+000	5.601953e+002
-1.391865e-001	5.542264e+002
-2.143885e-001	5.492538e+002
-2.895300e-001	5.442822e+002
-2.686129e-001	5.408063e+002
-3.437579e-001	5.358346e+002
-4.830014e-001	5.298648e+002
-5.901671e-001	5.243945e+002
-5.371686e-001	5.214182e+002
-6.443879e-001	5.159471e+002
-7.515536e-001	5.104768e+002
-7.626572e-001	5.065023e+002
-8.377987e-001	5.015307e+002
-9.130007e-001	4.965581e+002
-9.561250e-001	4.920850e+002
-1.095369e+000	4.861152e+002
-1.266576e+000	4.796477e+002
-1.341778e+000	4.746751e+002
-1.416923e+000	4.697034e+002
-1.556166e+000	4.637337e+002
-1.663332e+000	4.582634e+002
-1.770557e+000	4.527922e+002
-1.877721e+000	4.473219e+002
-1.952866e+000	4.423502e+002
-1.931945e+000	4.388744e+002
-2.071188e+000	4.329046e+002
-2.146334e+000	4.279329e+002
-2.125411e+000	4.244571e+002
-2.104433e+000	4.209822e+002
-2.211656e+000	4.155110e+002
-2.318822e+000	4.100407e+002
-2.361944e+000	4.055676e+002
-2.341024e+000	4.020918e+002
-2.448189e+000	3.966215e+002
-2.555412e+000	3.911503e+002
-2.726678e+000	3.846819e+002
-2.801821e+000	3.797103e+002
-2.844944e+000	3.752372e+002
-2.952167e+000	3.697660e+002
-3.059332e+000	3.642957e+002
-3.166555e+000	3.588246e+002
-3.145577e+000	3.553496e+002
-3.124659e+000	3.518738e+002
-3.263902e+000	3.459040e+002
-3.403088e+000	3.399351e+002
-3.318067e+000	3.374574e+002
-3.457313e+000	3.314876e+002
-3.468413e+000	3.275131e+002
-3.575578e+000	3.220428e+002
-3.618701e+000	3.175698e+002
-3.597780e+000	3.140939e+002
-3.737026e+000	3.081241e+002
-3.844189e+000	3.026539e+002
-3.919390e+000	2.976813e+002
-3.994537e+000	2.927096e+002
-3.973559e+000	2.892347e+002
-4.176901e+000	2.822668e+002
-4.284069e+000	2.767965e+002
-4.423312e+000	2.708267e+002
-4.530478e+000	2.653564e+002
-4.573600e+000	2.608833e+002
-4.712846e+000	2.549135e+002
-4.820068e+000	2.494424e+002
-4.831112e+000	2.454688e+002
-4.714068e+000	2.434897e+002
-4.821290e+000	2.380185e+002
-4.896436e+000	2.330469e+002
-5.035679e+000	2.270771e+002
-5.078804e+000	2.226040e+002
-5.121924e+000	2.181309e+002
-5.068926e+000	2.151546e+002
-5.112046e+000	2.106816e+002
-5.155171e+000	2.062085e+002
-5.198292e+000	2.017354e+002
-5.273494e+000	1.967629e+002
-5.444759e+000	1.902945e+002
-5.583946e+000	1.843256e+002
-5.563027e+000	1.808497e+002
-5.702271e+000	1.748799e+002
-5.777415e+000	1.699083e+002
-5.820536e+000	1.654352e+002
-5.831637e+000	1.614608e+002
-5.682515e+000	1.599812e+002
-5.693618e+000	1.560067e+002
-5.608596e+000	1.535290e+002
-5.779864e+000	1.470606e+002
-5.822984e+000	1.425875e+002
-5.609877e+000	1.421043e+002
-5.717043e+000	1.366340e+002
-5.760165e+000	1.321610e+002
-5.707167e+000	1.291846e+002
-5.878431e+000	1.227162e+002
-5.761389e+000	1.207371e+002
-5.452159e+000	1.217506e+002
-5.271017e+000	1.207696e+002
-5.538404e+000	1.128045e+002
-5.581526e+000	1.083314e+002
-5.688692e+000	1.028611e+002
-5.763894e+000	9.788856e+001
-5.871058e+000	9.241827e+001
-5.625875e+000	9.243453e+001
-5.540852e+000	8.995681e+001
-5.455890e+000	8.747821e+001
-5.210703e+000	8.749445e+001
-5.125683e+000	8.501674e+001
-5.232846e+000	7.954646e+001
-5.243949e+000	7.557201e+001
-5.575378e+000	6.660964e+001
-5.266149e+000	6.762312e+001
-5.373315e+000	6.215283e+001
-5.032009e+000	6.366582e+001
-5.139232e+000	5.819463e+001
-4.894045e+000	5.821089e+001
-4.873124e+000	5.473505e+001
-4.948269e+000	4.976338e+001
-4.703082e+000	4.977963e+001
-4.618059e+000	4.730192e+001
-5.045614e+000	3.684281e+001
-4.800427e+000	3.685906e+001
-4.747428e+000	3.388274e+001
-4.726508e+000	3.040691e+001
-4.801653e+000	2.543523e+001
-4.492364e+000	2.644960e+001
-4.343299e+000	2.496912e+001
-4.034071e+000	2.598259e+001
-3.981072e+000	2.300627e+001
-4.408624e+000	1.254717e+001
-3.746985e+000	1.904807e+001
-2.700917e+000	3.153502e+001
-3.128471e+000	2.107591e+001
-2.787165e+000	2.258890e+001
-2.541978e+000	2.260515e+001
-2.521057e+000	1.912932e+001
-2.852489e+000	1.016695e+001
-2.318995e+000	1.467251e+001
-2.041787e+000	1.518737e+001
-2.148953e+000	9.717087e+000
-2.160053e+000	5.742638e+000
-1.754701e+000	8.252851e+000
-2.022031e+000	2.885984e-001
-1.616680e+000	2.798811e+000
-1.787944e+000	-3.669586e+000
-1.670904e+000	-5.648689e+000
-1.329652e+000	-4.136592e+000
-1.148510e+000	-5.117572e+000
-1.095511e+000	-8.093897e+000
-1.234755e+000	-1.406369e+001
-1.470064e+000	-2.152933e+001
-1.000668e+000	-1.802189e+001
-1.203956e+000	-2.498891e+001
-9.587692e-001	-2.497266e+001
-6.815650e-001	-2.445780e+001
-7.887271e-001	-2.992808e+001
-7.037079e-001	-3.240580e+001
-6.187422e-001	-3.488440e+001
-2.454152e-001	-3.287281e+001
-2.885359e-001	-3.734587e+001
-3.316602e-001	-4.181892e+001
-8.647321e-002	-4.180268e+001
-2.897617e-001	-4.876970e+001
5.154806e-002	-4.725671e+001
3.927973e-001	-4.574462e+001
1.895087e-001	-5.271164e+001
1.463880e-001	-5.718470e+001
1.993865e-001	-6.016102e+001
7.969263e-001	-5.465824e+001
6.897605e-001	-6.012853e+001
3.583285e-001	-6.909090e+001
3.792492e-001	-7.256673e+001
6.244362e-001	-7.255048e+001
2.183018e+000	-5.208304e+001
4.029973e+000	-2.712539e+001
4.371222e+000	-2.561329e+001
4.648487e+000	-2.509753e+001
5.662478e+000	-1.311009e+001
6.484280e+000	-4.115227e+000
6.441156e+000	-8.588286e+000
6.366015e+000	-1.355996e+001
6.386935e+000	-1.703579e+001
7.176713e+000	-8.539539e+000
6.877306e+000	-1.700329e+001
7.058448e+000	-1.798427e+001
7.271614e+000	-1.846664e+001
7.420678e+000	-1.994712e+001
8.210460e+000	-1.145087e+001
8.679853e+000	-7.943425e+000
8.188256e+000	-1.939976e+001
8.561587e+000	-1.738816e+001
9.319344e+000	-9.390517e+000
9.788741e+000	-5.883075e+000
9.745617e+000	-1.035614e+001
9.574352e+000	-1.682455e+001
9.371064e+000	-2.379157e+001
9.584230e+000	-2.427393e+001
9.957557e+000	-2.226234e+001
1.068324e+001	-1.476420e+001
1.083236e+001	-1.624379e+001
1.046885e+001	-2.570567e+001
1.074606e+001	-2.519081e+001
1.169601e+001	-1.420059e+001
1.136457e+001	-2.316296e+001
1.144960e+001	-2.564067e+001
1.131041e+001	-3.160957e+001
1.139537e+001	-3.408817e+001
1.247346e+001	-2.110261e+001
1.211001e+001	-3.056359e+001
1.213093e+001	-3.403942e+001
1.208781e+001	-3.851248e+001
1.268540e+001	-3.300881e+001
1.267430e+001	-3.698325e+001
1.307965e+001	-3.447305e+001
1.383741e+001	-2.647540e+001
1.401850e+001	-2.745727e+001
1.407150e+001	-3.043360e+001
1.393225e+001	-3.640339e+001
1.462591e+001	-2.940387e+001
1.483908e+001	-2.988623e+001
1.444360e+001	-3.984583e+001
1.433638e+001	-4.531701e+001
1.506212e+001	-3.781799e+001
1.540337e+001	-3.630590e+001
1.516806e+001	-4.377153e+001
1.550937e+001	-4.225855e+001
1.549827e+001	-4.623300e+001
1.599974e+001	-4.222605e+001
1.640509e+001	-3.971584e+001
1.636197e+001	-4.418890e+001
1.638289e+001	-4.766473e+001
1.627573e+001	-5.313501e+001
1.706545e+001	-4.463965e+001
1.769506e+001	-3.863736e+001
1.765194e+001	-4.311042e+001
1.754478e+001	-4.858071e+001
1.795013e+001	-4.607050e+001
1.838750e+001	-4.306167e+001
1.812012e+001	-5.102681e+001
1.823721e+001	-5.300502e+001
1.812999e+001	-5.847620e+001
1.859944e+001	-5.496787e+001
1.842817e+001	-6.143628e+001
1.902571e+001	-5.593349e+001
1.882243e+001	-6.290050e+001
1.890745e+001	-6.537822e+001
1.883230e+001	-7.034990e+001
1.898137e+001	-7.183038e+001
1.932267e+001	-7.031740e+001
1.902327e+001	-7.878115e+001
1.914031e+001	-8.076025e+001
2.047469e+001	-6.378399e+001
2.097610e+001	-5.977794e+001
2.099708e+001	-6.325288e+001
2.117817e+001	-6.423475e+001
2.164762e+001	-6.072642e+001
2.189280e+001	-6.071017e+001
2.200985e+001	-6.268927e+001
2.228705e+001	-6.217440e+001
2.374957e+001	-4.320280e+001
2.457138e+001	-3.420792e+001
2.510487e+001	-2.970237e+001
2.560634e+001	-2.569543e+001
2.546710e+001	-3.166522e+001
2.561616e+001	-3.314570e+001
2.656611e+001	-2.215549e+001
2.703556e+001	-1.864716e+001
2.702446e+001	-2.262160e+001
2.723763e+001	-2.310397e+001
2.722653e+001	-2.707841e+001
2.740767e+001	-2.805939e+001
2.826149e+001	-1.856591e+001
2.802618e+001	-2.603155e+001
2.855968e+001	-2.152598e+001
2.822825e+001	-3.048836e+001
2.882578e+001	-2.498557e+001
2.849435e+001	-3.394794e+001
2.832309e+001	-4.041634e+001
2.917691e+001	-3.092286e+001
2.961434e+001	-2.791315e+001
2.953914e+001	-3.288571e+001
2.933585e+001	-3.985274e+001
2.986935e+001	-3.534718e+001
2.992235e+001	-3.832350e+001
3.042382e+001	-3.431656e+001
3.073305e+001	-3.330308e+001
3.075403e+001	-3.677802e+001
3.106326e+001	-3.576454e+001
3.114828e+001	-3.824226e+001
3.104105e+001	-4.371343e+001
3.106203e+001	-4.718837e+001
3.159553e+001	-4.268282e+001
3.228919e+001	-3.568330e+001
3.205388e+001	-4.314893e+001
3.175447e+001	-5.161269e+001
3.206370e+001	-5.059921e+001
3.198855e+001	-5.557088e+001
3.252205e+001	-5.106532e+001
3.289538e+001	-4.905373e+001
3.304444e+001	-5.053421e+001
3.325760e+001	-5.101657e+001
3.308634e+001	-5.748498e+001
3.288305e+001	-6.445200e+001
3.351267e+001	-5.844971e+001
3.350156e+001	-6.242416e+001
3.352249e+001	-6.589999e+001
3.370363e+001	-6.688097e+001
3.385270e+001	-6.836145e+001
3.403384e+001	-6.934242e+001
3.421492e+001	-7.032429e+001
3.458825e+001	-6.831270e+001
3.438496e+001	-7.527972e+001
3.469419e+001	-7.426624e+001
3.477922e+001	-7.674395e+001
3.528069e+001	-7.273701e+001
3.549385e+001	-7.321938e+001
3.532259e+001	-7.968778e+001
3.582406e+001	-7.568084e+001
