    nm         	pN
0.000000e+000	5.234241e+002
-1.386767e-001	5.174631e+002
-3.730947e-001	5.100114e+002
-5.756061e-001	5.030564e+002
-7.781032e-001	4.961017e+002
-9.487008e-001	4.896437e+002
-1.151212e+000	4.826888e+002
-1.513260e+000	4.732497e+002
-1.747685e+000	4.657978e+002
-2.109734e+000	4.563587e+002
-2.312243e+000	4.494038e+002
-2.419019e+000	4.439396e+002
-2.334331e+000	4.414566e+002
-2.919758e+000	4.285393e+002
-3.026535e+000	4.230750e+002
-3.133310e+000	4.176108e+002
-2.984815e+000	4.161215e+002
-3.665961e+000	4.017136e+002
-4.155656e+000	3.902869e+002
-4.134789e+000	3.868102e+002
-4.464941e+000	3.778678e+002
-4.667438e+000	3.709131e+002
-4.678495e+000	3.669393e+002
-5.104369e+000	3.565063e+002
-5.083500e+000	3.530297e+002
-5.317922e+000	3.455779e+002
-5.328964e+000	3.416043e+002
-5.818661e+000	3.301776e+002
-5.733969e+000	3.276947e+002
-5.745028e+000	3.237209e+002
-5.915612e+000	3.172632e+002
-6.245767e+000	3.083206e+002
-6.639730e+000	2.983846e+002
-6.076399e+000	3.033547e+002
-6.342719e+000	2.954062e+002
-6.704783e+000	2.859669e+002
-6.971101e+000	2.780184e+002
-7.237434e+000	2.700697e+002
-7.248477e+000	2.660961e+002
-7.195696e+000	2.631164e+002
-6.951466e+000	2.631177e+002
-7.090155e+000	2.571566e+002
-7.196932e+000	2.516924e+002
-7.303708e+000	2.462281e+002
-7.250943e+000	2.432482e+002
-7.900179e+000	2.293372e+002
-7.719770e+000	2.283448e+002
-8.400918e+000	2.139369e+002
-8.124775e+000	2.144352e+002
-7.848633e+000	2.149334e+002
-7.795870e+000	2.119535e+002
-8.157920e+000	2.025143e+002
-8.041335e+000	2.005281e+002
-7.573724e+000	2.040077e+002
-7.425227e+000	2.025184e+002
-7.787278e+000	1.930793e+002
-7.447331e+000	1.945711e+002
-8.000831e+000	1.821508e+002
-7.979978e+000	1.786739e+002
-8.246297e+000	1.707254e+002
-8.448805e+000	1.637705e+002
-8.236487e+000	1.632750e+002
-8.821900e+000	1.503578e+002
-8.801047e+000	1.468810e+002
-8.971645e+000	1.404229e+002
-8.663593e+000	1.414181e+002
-9.153289e+000	1.299914e+002
-8.909057e+000	1.299927e+002
-8.696723e+000	1.294974e+002
-8.994967e+000	1.210518e+002
-8.974098e+000	1.175752e+002
-8.761778e+000	1.170797e+002
-8.453727e+000	1.180748e+002
-8.975332e+000	1.061512e+002
-8.731101e+000	1.061526e+002
-9.188885e+000	9.522275e+001
-8.912742e+000	9.572103e+001
-8.636600e+000	9.621930e+001
-8.392370e+000	9.622067e+001
-8.531058e+000	9.025954e+001
-9.371760e+000	7.336720e+001
-8.872254e+000	7.734351e+001
-8.085551e+000	8.579185e+001
-8.607157e+000	7.386822e+001
-8.777755e+000	6.741021e+001
-9.139806e+000	5.797105e+001
-8.576478e+000	6.294114e+001
-9.289539e+000	4.803637e+001
-8.981497e+000	4.903131e+001
-8.513891e+000	5.251095e+001
