    nm         	pN
0.000000e+000	5.017713e+002
-1.705192e-001	4.953145e+002
-5.961917e-001	4.848847e+002
-7.667109e-001	4.784279e+002
-7.777503e-001	4.744544e+002
-8.844632e-001	4.689912e+002
-1.373942e+000	4.575678e+002
-1.703928e+000	4.486279e+002
-1.619276e+000	4.461445e+002
-1.885498e+000	4.381975e+002
-2.374950e+000	4.267746e+002
-2.864402e+000	4.153516e+002
-3.130623e+000	4.074046e+002
-3.205440e+000	4.024381e+002
-3.057026e+000	4.009474e+002
-3.546476e+000	3.895245e+002
-3.716996e+000	3.830677e+002
-3.983188e+000	3.751212e+002
-4.153708e+000	3.686644e+002
-4.419899e+000	3.607179e+002
-4.430952e+000	3.567442e+002
-4.665263e+000	3.492941e+002
-4.580613e+000	3.468106e+002
-4.719249e+000	3.408503e+002
-5.208701e+000	3.294274e+002
-5.347310e+000	3.234675e+002
-5.294571e+000	3.204871e+002
-5.752140e+000	3.095606e+002
-6.018331e+000	3.016141e+002
-5.933709e+000	2.991302e+002
-5.976645e+000	2.946600e+002
-6.529890e+000	2.822437e+002
-6.859873e+000	2.733039e+002
-7.349354e+000	2.618805e+002
-7.647428e+000	2.534375e+002
-7.499014e+000	2.519469e+002
-7.510038e+000	2.479737e+002
-7.393506e+000	2.459866e+002
-7.659727e+000	2.380397e+002
-8.021595e+000	2.286034e+002
-8.192113e+000	2.221466e+002
-8.171256e+000	2.186698e+002
-8.341773e+000	2.122130e+002
-8.639878e+000	2.037696e+002
-8.778485e+000	1.978097e+002
-8.534370e+000	1.978093e+002
-8.928146e+000	1.878761e+002
-9.449508e+000	1.759563e+002
-9.141599e+000	1.769492e+002
-9.120771e+000	1.734720e+002
-9.195587e+000	1.685054e+002
-9.366105e+000	1.620486e+002
-9.313365e+000	1.590682e+002
-9.324390e+000	1.550950e+002
-9.431115e+000	1.496316e+002
-9.761129e+000	1.406913e+002
-9.772152e+000	1.367180e+002
-9.687504e+000	1.342345e+002
-9.539089e+000	1.327439e+002
-9.805281e+000	1.247974e+002
-9.720632e+000	1.223139e+002
-9.859268e+000	1.163536e+002
-9.997877e+000	1.103937e+002
-9.817554e+000	1.093999e+002
