    nm         	pN
0.000000e+000	5.632527e+002
-1.385804e-001	5.572932e+002
-2.771894e-001	5.513333e+002
-4.795475e-001	5.443808e+002
-6.819126e-001	5.374281e+002
-8.205216e-001	5.314682e+002
-9.910052e-001	5.250120e+002
-1.257144e+000	5.170663e+002
-1.491406e+000	5.096170e+002
-1.693767e+000	5.026644e+002
-1.864254e+000	4.962081e+002
-2.098519e+000	4.887587e+002
-2.300877e+000	4.818062e+002
-2.503239e+000	4.748535e+002
-2.833184e+000	4.659143e+002
-3.003670e+000	4.594581e+002
-3.174125e+000	4.530023e+002
-3.408389e+000	4.455529e+002
-3.706433e+000	4.371104e+002
-3.876919e+000	4.306542e+002
-4.047402e+000	4.241979e+002
-4.313543e+000	4.162522e+002
-4.547806e+000	4.088029e+002
-4.654512e+000	4.033397e+002
-4.793094e+000	3.973802e+002
-4.899798e+000	3.919171e+002
-5.134061e+000	3.844678e+002
-5.368326e+000	3.770184e+002
-5.602589e+000	3.695691e+002
-5.773074e+000	3.631128e+002
-5.975436e+000	3.561602e+002
-6.241575e+000	3.482145e+002
-6.443964e+000	3.412615e+002
-6.582544e+000	3.353020e+002
-6.816809e+000	3.278527e+002
-6.955389e+000	3.218932e+002
-7.189652e+000	3.144439e+002
-7.328263e+000	3.084839e+002
-7.690057e+000	2.990488e+002
-7.892444e+000	2.920958e+002
-8.031027e+000	2.861363e+002
-8.201511e+000	2.796801e+002
-8.435775e+000	2.722307e+002
-8.542481e+000	2.667676e+002
-8.744839e+000	2.598150e+002
-8.979105e+000	2.523656e+002
-9.085811e+000	2.469025e+002
-9.320074e+000	2.394531e+002
-9.522434e+000	2.325005e+002
-9.724794e+000	2.255480e+002
-9.990962e+000	2.176018e+002
-1.009767e+001	2.121387e+002
-1.023625e+001	2.061792e+002
-1.043861e+001	1.992266e+002
-1.070478e+001	1.912805e+002
-1.074770e+001	1.868105e+002
-1.104572e+001	1.783685e+002
-1.124811e+001	1.714154e+002
-1.145047e+001	1.644628e+002
-1.136583e+001	1.619791e+002
-1.172766e+001	1.525435e+002
-1.212136e+001	1.426115e+002
-1.225996e+001	1.366516e+002
-1.230289e+001	1.321816e+002
-1.244147e+001	1.262222e+002
-1.273952e+001	1.177797e+002
-1.265488e+001	1.152959e+002
-1.292102e+001	1.073502e+002
-1.280451e+001	1.053628e+002
-1.265613e+001	1.038718e+002
-1.311361e+001	9.294668e+001
-1.306085e+001	8.996659e+001
-1.345455e+001	8.003464e+001
-1.349747e+001	7.556464e+001
-1.379552e+001	6.712215e+001
-1.332823e+001	7.059670e+001
-1.362628e+001	6.215420e+001
-1.411563e+001	5.073279e+001
-1.390347e+001	5.023484e+001
-1.420148e+001	4.179280e+001
-1.386176e+001	4.328110e+001
-1.412790e+001	3.533539e+001
-1.439404e+001	2.738969e+001
-1.427753e+001	2.540228e+001
-1.374647e+001	2.986994e+001
-1.305597e+001	3.682019e+001
-1.287569e+001	3.582590e+001
-1.282293e+001	3.284581e+001
-1.241943e+001	3.532723e+001
-1.262182e+001	2.837421e+001
-1.295173e+001	1.943538e+001
-1.324975e+001	1.099333e+001
-1.271869e+001	1.546100e+001
-1.269786e+001	1.198368e+001
-1.165657e+001	2.439633e+001
-1.205027e+001	1.446437e+001
-1.247587e+001	4.035641e+000
-1.226368e+001	3.538137e+000
-1.189205e+001	5.523220e+000
-1.228578e+001	-4.409169e+000
-1.194603e+001	-2.920430e+000
-1.138309e+001	2.043570e+000
-1.133033e+001	-9.365143e-001
-1.099061e+001	5.517770e-001
-1.141621e+001	-9.876949e+000
-1.190556e+001	-2.129836e+001
-1.131072e+001	-1.583758e+001
-1.074776e+001	-1.087312e+001
-1.098202e+001	-1.832249e+001
-1.102495e+001	-2.279249e+001
-1.084466e+001	-2.378678e+001
-1.018604e+001	-1.733287e+001
-1.038843e+001	-2.428589e+001
-1.055891e+001	-3.074214e+001
-1.082505e+001	-3.868784e+001
-1.109119e+001	-4.663354e+001
-1.097468e+001	-4.862096e+001
-1.130460e+001	-5.755979e+001
-1.035899e+001	-4.663704e+001
-1.052948e+001	-5.309329e+001
-9.775198e+000	-4.514991e+001
-9.626786e+000	-4.664054e+001
-1.094525e+001	-7.097211e+001
-9.648858e+000	-5.458741e+001
-9.149701e+000	-5.061652e+001
-8.682419e+000	-4.714198e+001
-8.597788e+000	-4.962574e+001
-9.278478e+000	-6.402652e+001
-9.193845e+000	-6.651027e+001
-9.109242e+000	-6.899447e+001
-8.259284e+000	-5.956118e+001
-8.302208e+000	-6.403118e+001
-8.823466e+000	-7.594938e+001
-8.770738e+000	-7.892991e+001
-7.729438e+000	-6.651726e+001
-7.294063e+000	-6.353950e+001
-8.293624e+000	-8.290546e+001
-7.603127e+000	-7.595521e+001
-7.869266e+000	-8.390091e+001
-7.912194e+000	-8.837091e+001
-7.859463e+000	-9.135144e+001
-7.711051e+000	-9.284207e+001
-7.849660e+000	-9.880197e+001
-7.669374e+000	-9.979626e+001
-7.393400e+000	-9.930064e+001
-7.181239e+000	-9.979859e+001
-7.511156e+000	-1.087374e+002
-7.139529e+000	-1.067523e+002
-6.895462e+000	-1.067535e+002
-6.874609e+000	-1.102304e+002
-7.108873e+000	-1.176798e+002
-6.322696e+000	-1.092396e+002
-6.142406e+000	-1.102339e+002
-4.846018e+000	-9.384918e+001
-4.761416e+000	-9.633337e+001
-5.059430e+000	-1.047754e+002
-4.847265e+000	-1.052734e+002
-4.698853e+000	-1.067640e+002
-4.518567e+000	-1.077583e+002
-3.891851e+000	-1.018012e+002
-3.105670e+000	-9.336100e+001
-3.467465e+000	-1.027962e+002
-4.052503e+000	-1.157075e+002
-4.222987e+000	-1.221637e+002
-3.947044e+000	-1.216686e+002
-3.192742e+000	-1.137247e+002
-2.853018e+000	-1.122364e+002
-3.182939e+000	-1.211753e+002
-3.480981e+000	-1.296178e+002
-2.599148e+000	-1.196881e+002
-1.812970e+000	-1.112480e+002
-1.218129e+000	-1.057872e+002
-1.898819e+000	-1.201880e+002
-1.909869e+000	-1.241616e+002
-2.080357e+000	-1.306179e+002
-1.166616e+000	-1.201915e+002
2.572983e-001	-1.018210e+002
2.478473e+000	-7.103622e+001
4.540186e+000	-4.273449e+001
5.868448e+000	-2.585345e+001
6.240075e+000	-2.386837e+001
6.133369e+000	-2.933149e+001
6.441214e+000	-2.833953e+001
