    nm         	pN
0.000000e+000	5.412852e+002
7.208224e-002	5.379283e+002
7.058493e-002	5.331357e+002
-7.802596e-002	5.254729e+002
-7.952611e-002	5.206803e+002
-5.648079e-002	5.163666e+002
-5.793258e-002	5.115749e+002
-1.575065e-001	5.048688e+002
-3.061203e-001	4.972059e+002
-4.056971e-001	4.904998e+002
-4.071944e-001	4.857073e+002
-3.596520e-001	4.818715e+002
-4.101435e-001	4.761230e+002
-6.323397e-001	4.670245e+002
-6.092943e-001	4.627108e+002
-4.145914e-001	4.617462e+002
-4.651270e-001	4.559969e+002
-4.911229e-001	4.507264e+002
-5.171628e-001	4.454550e+002
-3.469569e-001	4.440124e+002
-2.503762e-001	4.411334e+002
-3.009118e-001	4.353841e+002
-4.740227e-001	4.272433e+002
-4.264831e-001	4.234075e+002
-4.034377e-001	4.190938e+002
-3.068129e-001	4.162156e+002
-3.573499e-001	4.104663e+002
-5.305049e-001	4.023246e+002
-4.584226e-001	3.989676e+002
-5.334539e-001	3.927404e+002
-5.349527e-001	3.879478e+002
-5.854428e-001	3.821994e+002
-5.869416e-001	3.774068e+002
-5.884389e-001	3.726142e+002
-7.615483e-001	3.644734e+002
-8.366266e-001	3.582453e+002
-6.909634e-001	3.563239e+002
-5.698428e-001	3.539237e+002
-5.713387e-001	3.491311e+002
-5.482948e-001	3.448174e+002
-5.742892e-001	3.395469e+002
-6.248262e-001	3.337975e+002
-3.810864e-001	3.337897e+002
-5.051561e-001	3.266057e+002
-6.537684e-001	3.189428e+002
-5.571905e-001	3.160638e+002
-4.360229e-001	3.136645e+002
-3.639421e-001	3.103075e+002
-4.635161e-001	3.036014e+002
-3.914324e-001	3.002444e+002
-6.136257e-001	2.911460e+002
-6.396216e-001	2.858755e+002
-6.411189e-001	2.810829e+002
-6.916545e-001	2.753336e+002
-7.666873e-001	2.691063e+002
-7.681860e-001	2.643137e+002
-4.754064e-001	2.652627e+002
-5.014008e-001	2.599922e+002
-6.500131e-001	2.523293e+002
-6.024280e-001	2.484944e+002
-4.322676e-001	2.470510e+002
-9.044965e-002	2.489567e+002
-6.740575e-002	2.446429e+002
-2.160181e-001	2.369801e+002
-1.439358e-001	2.336231e+002
-9.639479e-002	2.297873e+002
-1.223892e-001	2.245168e+002
-5.030698e-002	2.211598e+002
-2.234164e-001	2.130190e+002
-1.758754e-001	2.091832e+002
-5.475339e-002	2.067830e+002
-7.168266e-003	2.029481e+002
6.491540e-002	1.995911e+002
1.614948e-001	1.967121e+002
3.071580e-001	1.947907e+002
1.830869e-001	1.876067e+002
2.306265e-001	1.837709e+002
3.762911e-001	1.818495e+002
3.993350e-001	1.775358e+002
5.694953e-001	1.760923e+002
5.925407e-001	1.717786e+002
7.872423e-001	1.708140e+002
8.593245e-001	1.674570e+002
7.107108e-001	1.597942e+002
7.582518e-001	1.559584e+002
1.001992e+000	1.559505e+002
7.062643e-001	1.454174e+002
8.028437e-001	1.425384e+002
8.749260e-001	1.391814e+002
8.489315e-001	1.339109e+002
1.043633e+000	1.329463e+002
1.532613e+000	1.377232e+002
1.629192e+000	1.348441e+002
1.161805e+000	1.209618e+002
1.209346e+000	1.171260e+002
1.232391e+000	1.128123e+002
1.157357e+000	1.065850e+002
1.572756e+000	1.099263e+002
1.791953e+000	1.094396e+002
1.667882e+000	1.022556e+002
1.739966e+000	9.889864e+001
1.861086e+000	9.649843e+001
1.736969e+000	8.931351e+001
1.858137e+000	8.691420e+001
1.954716e+000	8.403517e+001
2.075838e+000	8.163497e+001
2.368662e+000	8.258478e+001
2.391662e+000	7.827015e+001
2.537324e+000	7.634877e+001
2.560369e+000	7.203504e+001
2.607954e+000	6.820013e+001
2.630954e+000	6.388551e+001
2.629502e+000	5.909383e+001
2.701585e+000	5.573686e+001
2.552971e+000	4.807400e+001
2.796712e+000	4.806617e+001
3.015911e+000	4.757949e+001
2.989916e+000	4.230899e+001
3.356277e+000	4.469351e+001
3.943331e+000	5.138392e+001
3.672100e+000	4.132869e+001
3.964879e+000	4.227762e+001
4.527393e+000	4.848921e+001
4.624018e+000	4.561106e+001
4.352784e+000	3.555584e+001
4.694602e+000	3.746153e+001
5.011923e+000	3.888928e+001
4.961386e+000	3.313995e+001
5.058011e+000	3.026181e+001
5.154591e+000	2.738278e+001
5.496454e+000	2.928936e+001
5.323300e+000	2.114767e+001
5.321800e+000	1.635511e+001
5.442968e+000	1.395579e+001
5.441470e+000	9.163229e+000
5.562593e+000	6.763022e+000
5.708254e+000	4.841651e+000
6.001035e+000	5.790570e+000
6.342853e+000	7.696264e+000
6.513012e+000	6.252829e+000
6.437978e+000	2.555715e-002
6.583643e+000	-1.895807e+000
6.582145e+000	-6.688369e+000
7.120162e+000	-9.547260e-001
7.094168e+000	-6.225232e+000
6.773898e+000	-1.723722e+001
7.042134e+000	-1.676712e+001
7.408494e+000	-1.438260e+001
7.357957e+000	-2.013193e+001
7.601698e+000	-2.013977e+001
8.483030e+000	-7.707876e+000
8.285379e+000	-1.632750e+001
8.210300e+000	-2.255566e+001
8.086229e+000	-2.973970e+001
8.746865e+000	-2.161369e+001
9.701735e+000	-7.747085e+000
1.001905e+001	-6.319337e+000
1.036087e+001	-4.413643e+000
1.011418e+001	-1.399004e+001
9.965569e+000	-2.165290e+001
1.025835e+001	-2.070398e+001
1.050209e+001	-2.071182e+001
1.032893e+001	-2.885351e+001
1.030294e+001	-3.412401e+001
1.010529e+001	-4.274365e+001
1.056972e+001	-3.844559e+001
1.051919e+001	-4.419493e+001
1.071389e+001	-4.515953e+001
1.134998e+001	-3.751235e+001
1.183896e+001	-3.273547e+001
1.171485e+001	-3.992039e+001
1.168885e+001	-4.519090e+001
1.173639e+001	-4.902670e+001
1.188206e+001	-5.094807e+001
1.197868e+001	-5.382621e+001
1.268831e+001	-4.474433e+001
1.320183e+001	-3.948862e+001
1.320033e+001	-4.428118e+001
1.324787e+001	-4.811699e+001
1.368782e+001	-4.429687e+001
1.361278e+001	-5.052414e+001
1.378294e+001	-5.196758e+001
1.397764e+001	-5.293219e+001
1.404973e+001	-5.628915e+001
1.446512e+001	-5.294787e+001
1.475790e+001	-5.199895e+001
1.460929e+001	-5.966180e+001
1.512277e+001	-5.440699e+001
1.526843e+001	-5.632836e+001
1.494816e+001	-6.734036e+001
1.560875e+001	-5.921524e+001
1.563179e+001	-6.352897e+001
1.624339e+001	-5.635973e+001
1.602120e+001	-6.545819e+001
1.599520e+001	-7.072869e+001
1.636156e+001	-6.834417e+001
1.665434e+001	-6.739526e+001
1.657926e+001	-7.362341e+001
1.706824e+001	-6.884653e+001
1.758172e+001	-6.359172e+001
1.750668e+001	-6.981898e+001
1.765235e+001	-7.174036e+001
1.777347e+001	-7.414055e+001
1.806625e+001	-7.319164e+001
1.843261e+001	-7.080712e+001
1.867635e+001	-7.081496e+001
1.874843e+001	-7.417193e+001
1.872244e+001	-7.944243e+001
1.906425e+001	-7.753674e+001
1.903826e+001	-8.280724e+001
1.881607e+001	-9.190569e+001
1.915788e+001	-9.000001e+001
1.984302e+001	-8.139606e+001
2.028296e+001	-7.757595e+001
2.045312e+001	-7.901938e+001
2.094210e+001	-7.424251e+001
2.128392e+001	-7.233682e+001
2.157669e+001	-7.138790e+001
2.162428e+001	-7.522280e+001
2.184348e+001	-7.570947e+001
2.233246e+001	-7.093259e+001
2.262524e+001	-6.998367e+001
2.308967e+001	-6.568562e+001
2.308817e+001	-7.047818e+001
2.313576e+001	-7.431309e+001
2.291357e+001	-8.341154e+001
