    nm         	pN
0.000000e+000	3.982460e+002
3.232493e-002	3.941133e+002
1.178901e-002	3.889493e+002
4.411393e-002	3.848166e+002
5.963417e-003	3.793089e+002
3.828834e-002	3.751763e+002
5.299157e-002	3.706998e+002
1.483678e-002	3.651920e+002
4.716171e-002	3.610594e+002
2.662579e-002	3.558954e+002
6.089865e-003	3.507314e+002
7.365394e-002	3.472862e+002
7.073830e-002	3.424660e+002
3.258778e-002	3.369583e+002
2.967214e-002	3.321381e+002
2.675650e-002	3.273179e+002
5.908001e-002	3.231852e+002
5.616579e-002	3.183650e+002
5.324873e-002	3.135447e+002
5.033451e-002	3.087245e+002
-2.305657e-002	3.025293e+002
2.688437e-002	2.987403e+002
9.444703e-002	2.952951e+002
5.629224e-002	2.897874e+002
1.814030e-002	2.842797e+002
1.522608e-002	2.794595e+002
-5.309840e-003	2.742955e+002
-2.584576e-002	2.691315e+002
-9.923543e-002	2.629363e+002
-1.197713e-001	2.577722e+002
-1.579261e-001	2.522645e+002
-1.256026e-001	2.481318e+002
-9.327770e-002	2.439991e+002
-1.666688e-001	2.378039e+002
-1.343481e-001	2.336711e+002
-8.440434e-002	2.298822e+002
-1.049360e-001	2.247183e+002
-1.254712e-001	2.195543e+002
-1.988658e-001	2.133590e+002
-1.313025e-001	2.099139e+002
-2.046971e-001	2.037185e+002
-1.723722e-001	1.995859e+002
-2.633828e-001	1.930469e+002
-2.310586e-001	1.889142e+002
-2.163554e-001	1.844377e+002
-1.840305e-001	1.803050e+002
-1.164671e-001	1.768599e+002
-1.370023e-001	1.716959e+002
-1.399180e-001	1.668757e+002
-7.235390e-002	1.634305e+002
-4.002897e-002	1.592979e+002
-4.294461e-002	1.544777e+002
2.461804e-002	1.510325e+002
9.217927e-002	1.475873e+002
1.167904e-003	1.410483e+002
3.349141e-002	1.369156e+002
1.010555e-001	1.334705e+002
1.333804e-001	1.293378e+002
-4.573095e-002	1.210799e+002
7.468828e-002	1.186660e+002
7.177407e-002	1.138458e+002
1.600326e-002	1.079943e+002
1.308762e-002	1.031741e+002
8.065170e-002	9.972897e+001
2.010709e-001	9.731507e+001
1.805350e-001	9.215106e+001
2.304788e-001	8.836216e+001
3.509023e-001	8.594833e+001
4.360810e-001	8.284688e+001
5.388856e-001	8.008928e+001
4.478743e-001	7.355028e+001
4.449586e-001	6.873006e+001
4.949024e-001	6.494115e+001
6.329419e-001	6.287101e+001
4.890726e-001	5.530070e+001
4.685366e-001	5.013670e+001
4.127615e-001	4.428517e+001
4.274662e-001	3.980871e+001
3.540751e-001	3.361348e+001
3.687798e-001	2.913703e+001
4.187236e-001	2.534811e+001
4.862876e-001	2.190298e+001
5.890866e-001	1.914530e+001
6.566507e-001	1.570016e+001
6.184959e-001	1.019239e+001
7.565382e-001	8.122339e+000
7.712429e-001	3.645884e+000
8.916621e-001	1.231980e+000
1.170660e+000	1.912018e+000
1.150124e+000	-3.251976e+000
1.288167e+000	-5.322028e+000
1.531924e+000	-5.329535e+000
1.476149e+000	-1.118107e+001
1.614193e+000	-1.325113e+001
1.558422e+000	-1.910259e+001
1.573123e+000	-2.357912e+001
1.499732e+000	-2.977435e+001
1.408722e+000	-3.631335e+001
1.476282e+000	-3.975857e+001
1.508601e+000	-4.389133e+001
1.576169e+000	-4.733639e+001
1.608488e+000	-5.146915e+001
1.693677e+000	-5.457044e+001
1.884574e+000	-5.560926e+001
2.163572e+000	-5.492922e+001
2.213512e+000	-5.871822e+001
2.351551e+000	-6.078835e+001
2.595310e+000	-6.079585e+001
4.248627e+000	-3.330214e+001
5.056210e+000	-2.230912e+001
5.106149e+000	-2.609811e+001
5.208957e+000	-2.885563e+001
5.717004e+000	-2.370672e+001
5.625994e+000	-3.024573e+001
5.781652e+000	-3.197209e+001
5.849212e+000	-3.541731e+001
5.863921e+000	-3.989369e+001
6.090059e+000	-4.024496e+001
5.875710e+000	-4.919036e+001
6.260425e+000	-4.644770e+001
6.486563e+000	-4.679897e+001
6.360314e+000	-5.402552e+001
6.604071e+000	-5.403302e+001
6.618771e+000	-5.850956e+001
6.545382e+000	-6.470478e+001
6.630561e+000	-6.780623e+001
6.909558e+000	-6.712619e+001
6.941886e+000	-7.125880e+001
7.044685e+000	-7.401647e+001
6.936054e+000	-8.089925e+001
6.915517e+000	-8.606332e+001
7.141655e+000	-8.641460e+001
6.839213e+000	-9.707870e+001
7.065351e+000	-9.742998e+001
7.326730e+000	-9.709371e+001
8.486692e+000	-7.922559e+001
8.765691e+000	-7.854555e+001
8.516102e+000	-8.817849e+001
8.636529e+000	-9.059224e+001
8.915525e+000	-8.991221e+001
9.106422e+000	-9.095103e+001
9.173984e+000	-9.439624e+001
9.294403e+000	-9.681014e+001
9.414831e+000	-9.922390e+001
9.482389e+000	-1.026691e+002
9.461858e+000	-1.078330e+002
9.582277e+000	-1.102469e+002
9.561748e+000	-1.154108e+002
9.893596e+000	-1.136997e+002
9.679248e+000	-1.226451e+002
9.923003e+000	-1.226526e+002
9.867233e+000	-1.285040e+002
9.987652e+000	-1.309179e+002
1.001998e+001	-1.350505e+002
1.028136e+001	-1.347143e+002
1.059559e+001	-1.333467e+002
1.203748e+001	-1.099782e+002
1.291554e+001	-9.761013e+001
1.278928e+001	-1.048368e+002
1.296257e+001	-1.062193e+002
1.322394e+001	-1.058830e+002
1.454249e+001	-8.492094e+001
1.508577e+001	-7.908449e+001
1.515334e+001	-8.252955e+001
1.543234e+001	-8.184951e+001
1.574657e+001	-8.048193e+001
1.583175e+001	-8.358338e+001
