    nm         	pN
0.000000e+000	4.060604e+002
9.649308e-002	4.039211e+002
2.694810e-002	3.993763e+002
3.121441e-002	3.959008e+002
-1.988636e-002	3.916231e+002
7.660863e-002	3.894839e+002
2.550785e-002	3.852063e+002
1.220028e-001	3.830671e+002
1.262385e-001	3.795911e+002
5.672418e-002	3.750467e+002
2.406761e-002	3.710363e+002
-8.556400e-003	3.670263e+002
-5.965526e-002	3.627487e+002
3.683781e-002	3.606094e+002
9.641184e-002	3.579353e+002
-9.996646e-003	3.528563e+002
-5.759067e-003	3.493804e+002
-1.306424e-001	3.440337e+002
-2.001586e-001	3.394893e+002
-1.590307e-001	3.365479e+002
-2.100990e-001	3.322707e+002
-2.058652e-001	3.287947e+002
-1.831509e-001	3.255866e+002
-1.235788e-001	3.229124e+002
-1.746489e-001	3.186352e+002
-2.073035e-001	3.146248e+002
-2.952965e-001	3.098126e+002
-2.172477e-001	3.074061e+002
-2.683465e-001	3.031285e+002
-3.378609e-001	2.985840e+002
-3.520713e-001	2.948409e+002
-3.846972e-001	2.908309e+002
-3.620135e-001	2.876223e+002
-3.393011e-001	2.844140e+002
-2.797290e-001	2.817399e+002
-3.307972e-001	2.774627e+002
-3.450077e-001	2.737195e+002
-3.222952e-001	2.705113e+002
-3.365057e-001	2.667681e+002
-3.691603e-001	2.627577e+002
-4.017844e-001	2.587478e+002
-3.791026e-001	2.555391e+002
-2.641634e-001	2.536671e+002
-2.967874e-001	2.496572e+002
-3.478882e-001	2.453795e+002
-3.620967e-001	2.416364e+002
-5.792087e-001	2.349534e+002
-4.827128e-001	2.328143e+002
-4.968926e-001	2.290715e+002
-5.664385e-001	2.245266e+002
-4.514983e-001	2.226547e+002
-5.948259e-001	2.170408e+002
-5.352538e-001	2.143666e+002
-4.387588e-001	2.122274e+002
-5.267518e-001	2.074152e+002
-4.487020e-001	2.050088e+002
-4.813566e-001	2.009984e+002
-4.955355e-001	1.972556e+002
-4.544085e-001	1.943142e+002
-5.054787e-001	1.900370e+002
-5.012420e-001	1.865611e+002
-3.863019e-001	1.846892e+002
-4.558478e-001	1.801442e+002
-5.807005e-001	1.747980e+002
-5.764658e-001	1.713221e+002
-5.537534e-001	1.681139e+002
-4.388429e-001	1.662415e+002
-4.530208e-001	1.624988e+002
-5.225658e-001	1.579539e+002
-5.183014e-001	1.544784e+002
-4.218351e-001	1.523388e+002
-4.544611e-001	1.483288e+002
-3.948889e-001	1.456546e+002
-3.352843e-001	1.429809e+002
-2.756815e-001	1.403072e+002
-2.714458e-001	1.368313e+002
-3.778811e-001	1.317519e+002
-3.736167e-001	1.282764e+002
-4.062714e-001	1.242660e+002
-3.651109e-001	1.213251e+002
-2.501717e-001	1.194531e+002
-2.459361e-001	1.159772e+002
-1.678872e-001	1.135707e+002
-2.374341e-001	1.090258e+002
-2.331659e-001	1.055504e+002
-1.367034e-001	1.034107e+002
-1.139891e-001	1.002025e+002
-1.281995e-001	9.645934e+001
-6.859679e-002	9.378563e+001
-9.022778e-003	9.111147e+001
8.747030e-002	8.897226e+001
-5.207992e-004	8.416010e+001
1.328645e-001	8.255539e+001
1.002405e-001	7.854543e+001
-2.464091e-002	7.319877e+001
1.087444e-001	7.159406e+001
1.867626e-001	6.918715e+001
1.910289e-001	6.571169e+001
2.506010e-001	6.303753e+001
2.364232e-001	5.929482e+001
3.882546e-001	5.795735e+001
3.924903e-001	5.448145e+001
4.520930e-001	5.180773e+001
3.272116e-001	4.646107e+001
1.654379e-001	4.057992e+001
2.434868e-001	3.817345e+001
1.739399e-001	3.362855e+001
1.782062e-001	3.015308e+001
4.776028e-001	3.095362e+001
3.527194e-001	2.560697e+001
4.123222e-001	2.293325e+001
3.243311e-001	1.812109e+001
4.023800e-001	1.571463e+001
4.435079e-001	1.277322e+001
4.846664e-001	9.832263e+000
5.073482e-001	6.623605e+000
4.931684e-001	2.880893e+000
5.896327e-001	7.412382e-001
1.055069e+000	3.947473e+000
1.225345e+000	2.877262e+000
1.155800e+000	-1.667640e+000
