    nm         	pN
0.000000e+000	2.767145e+002
-3.381095e-003	2.731282e+002
-9.413078e-002	2.682761e+002
-8.294884e-002	2.649009e+002
-4.264660e-002	2.619475e+002
-1.690547e-002	2.587832e+002
-1.076552e-001	2.539310e+002
-1.692845e-001	2.495008e+002
-2.017859e-001	2.454927e+002
-1.178023e-001	2.431722e+002
-9.205923e-002	2.400079e+002
-6.631810e-002	2.368435e+002
3.223243e-002	2.347341e+002
4.341436e-002	2.313588e+002
-1.821502e-002	2.269286e+002
3.664834e-002	2.241863e+002
4.782931e-002	2.208110e+002
1.172528e-001	2.182795e+002
7.019126e-002	2.140604e+002
8.561888e-003	2.096302e+002
-5.306653e-002	2.052000e+002
-1.276429e-002	2.022466e+002
-7.438695e-002	1.978165e+002
5.327812e-002	1.961289e+002
2.077768e-002	1.921208e+002
-2.629058e-002	1.879015e+002
-7.335118e-002	1.836824e+002
-3.304990e-002	1.807290e+002
-3.642908e-002	1.771428e+002
-5.437607e-002	1.733455e+002
-2.863494e-002	1.701811e+002
-4.657428e-002	1.663839e+002
-6.452319e-002	1.625866e+002
9.227945e-002	1.613212e+002
8.889164e-002	1.577348e+002
5.639120e-002	1.537266e+002
8.213329e-002	1.505623e+002
1.369957e-001	1.478199e+002
1.190563e-001	1.440227e+002
8.654728e-002	1.400144e+002
5.404780e-002	1.360063e+002
1.089102e-001	1.332639e+002
-5.465080e-002	1.273568e+002
-4.346982e-002	1.239815e+002
5.508166e-002	1.218721e+002
2.257451e-002	1.178639e+002
1.211250e-001	1.157544e+002
2.487978e-001	1.140670e+002
2.162906e-001	1.100587e+002
1.546612e-001	1.056285e+002
2.823340e-001	1.039410e+002
3.226439e-001	1.009877e+002
4.357488e-001	9.908920e+001
4.178095e-001	9.529199e+001
4.144284e-001	9.170573e+001
3.673601e-001	8.748650e+001
2.911706e-001	8.284533e+001
3.023516e-001	7.947004e+001
3.717751e-001	7.693861e+001
4.994488e-001	7.525113e+001
6.125604e-001	7.335269e+001
4.489994e-001	6.744564e+001
5.038704e-001	6.470335e+001
4.131198e-001	5.985122e+001
4.097320e-001	5.626486e+001
4.500343e-001	5.331150e+001
5.631478e-001	5.141306e+001
5.597677e-001	4.782682e+001
6.728803e-001	4.592837e+001
6.549323e-001	4.213105e+001
7.243645e-001	3.959973e+001
7.792259e-001	3.685733e+001
8.777783e-001	3.474792e+001
9.035194e-001	3.158360e+001
9.875031e-001	2.926312e+001
1.115176e+000	2.757564e+001
1.228289e+000	2.567720e+001
1.385082e+000	2.441164e+001
1.294333e+000	1.955952e+001
1.436567e+000	1.808300e+001
1.549678e+000	1.618456e+001
1.633670e+000	1.386419e+001
2.052568e+000	1.639617e+001
2.791831e+000	2.356975e+001
2.701079e+000	1.871762e+001
3.134539e+000	2.146056e+001
3.145721e+000	1.808528e+001
3.200590e+000	1.534299e+001
3.473878e+000	1.576524e+001
4.009268e+000	1.998502e+001
4.632037e+000	2.547080e+001
4.599530e+000	2.146251e+001
4.421416e+000	1.534461e+001
4.519960e+000	1.323510e+001
4.443770e+000	8.593935e+000
5.051978e+000	1.386874e+001
5.121403e+000	1.133731e+001
5.088894e+000	7.329029e+000
5.420430e+000	8.595235e+000
5.606353e+000	7.751712e+000
5.384542e+000	1.000707e+000
5.730639e+000	2.477874e+000
6.105864e+000	4.377077e+000
6.029673e+000	-2.640859e-001
6.201029e+000	-1.318678e+000
5.891855e+000	-9.335455e+000
6.165141e+000	-8.913206e+000
6.482116e+000	-7.857963e+000
6.449609e+000	-1.186624e+001
6.606410e+000	-1.313169e+001
6.748643e+000	-1.460821e+001
6.614203e+000	-2.009333e+001
6.654505e+000	-2.304669e+001
6.869550e+000	-2.346829e+001
6.749678e+000	-2.874234e+001
6.921033e+000	-2.979694e+001
7.019585e+000	-3.190634e+001
7.220061e+000	-3.253901e+001
6.998258e+000	-3.928991e+001
7.169612e+000	-4.034450e+001
7.282726e+000	-4.224294e+001
7.716191e+000	-3.949989e+001
7.902107e+000	-4.034352e+001
7.913289e+000	-4.371881e+001
8.172013e+000	-4.350752e+001
8.168634e+000	-4.709377e+001
8.747715e+000	-4.224099e+001
9.152060e+000	-3.991987e+001
9.337975e+000	-4.076350e+001
9.684072e+000	-3.928633e+001
9.971919e+000	-3.865312e+001
9.837486e+000	-4.413813e+001
1.008165e+001	-4.413781e+001
1.004915e+001	-4.814598e+001
1.013313e+001	-5.046645e+001
1.046467e+001	-4.920025e+001
1.123305e+001	-4.160474e+001
1.238003e+001	-2.852390e+001
1.268244e+001	-2.767973e+001
1.283924e+001	-2.894517e+001
1.328726e+001	-2.599127e+001
1.344406e+001	-2.725672e+001
1.362998e+001	-2.810035e+001
1.333536e+001	-3.590617e+001
1.379795e+001	-3.274120e+001
1.357615e+001	-3.949209e+001
1.358733e+001	-4.286737e+001
1.409360e+001	-3.906951e+001
1.494935e+001	-3.020813e+001
1.475667e+001	-3.653710e+001
1.491347e+001	-3.780266e+001
1.504114e+001	-3.949014e+001
1.506688e+001	-4.265446e+001
1.531105e+001	-4.265413e+001
1.581732e+001	-3.885628e+001
1.611973e+001	-3.801199e+001
1.589793e+001	-4.476288e+001
1.573437e+001	-5.066993e+001
1.573099e+001	-5.425618e+001
1.616445e+001	-5.151325e+001
1.614651e+001	-5.531045e+001
1.647804e+001	-5.404425e+001
1.664940e+001	-5.509884e+001
1.660233e+001	-5.931809e+001
1.684649e+001	-5.931776e+001
1.711979e+001	-5.889540e+001
1.733482e+001	-5.931711e+001
1.724407e+001	-6.416924e+001
1.708052e+001	-7.007617e+001
1.726644e+001	-7.091980e+001
1.745236e+001	-7.176332e+001
1.749266e+001	-7.471668e+001
1.747471e+001	-7.851401e+001
1.771888e+001	-7.851367e+001
1.771550e+001	-8.209992e+001
1.781405e+001	-8.420933e+001
1.776698e+001	-8.842857e+001
1.811308e+001	-8.695141e+001
1.835724e+001	-8.695108e+001
1.842667e+001	-8.948252e+001
1.904943e+001	-8.399675e+001
1.917711e+001	-8.568422e+001
1.933390e+001	-8.694978e+001
2.056825e+001	-7.260306e+001
2.207928e+001	-5.424772e+001
2.270204e+001	-4.876206e+001
2.281515e+001	-5.066050e+001
2.314669e+001	-4.939429e+001
2.347822e+001	-4.812809e+001
2.328554e+001	-5.445706e+001
2.401023e+001	-4.749455e+001
2.393404e+001	-5.213572e+001
2.358119e+001	-6.078538e+001
2.394185e+001	-5.909725e+001
2.535093e+001	-4.221887e+001
2.686195e+001	-2.386354e+001
2.747015e+001	-1.858884e+001
2.775801e+001	-1.795552e+001
2.775462e+001	-2.154188e+001
2.801335e+001	-2.133059e+001
2.827208e+001	-2.111920e+001
2.832694e+001	-2.386159e+001
2.846918e+001	-2.533811e+001
2.884439e+001	-2.343902e+001
2.885557e+001	-2.681430e+001
2.902693e+001	-2.786890e+001
2.947496e+001	-2.491489e+001
2.976281e+001	-2.428157e+001
3.048750e+001	-1.731906e+001
3.089184e+001	-1.499804e+001
3.100496e+001	-1.689649e+001
3.119088e+001	-1.774001e+001
3.136223e+001	-1.879460e+001
3.202868e+001	-1.267594e+001
3.217092e+001	-1.415246e+001
3.235683e+001	-1.499609e+001
3.277574e+001	-1.246400e+001
3.249568e+001	-2.005886e+001
3.310389e+001	-1.478404e+001
3.310051e+001	-1.837040e+001
3.324274e+001	-1.984692e+001
3.392375e+001	-1.351730e+001
3.397862e+001	-1.625959e+001
3.380050e+001	-2.237760e+001
3.398642e+001	-2.322123e+001
3.453638e+001	-1.879037e+001
3.431457e+001	-2.554127e+001
3.457330e+001	-2.532998e+001
3.547273e+001	-1.583571e+001
3.548391e+001	-1.921100e+001
3.555334e+001	-2.174243e+001
3.568101e+001	-2.342991e+001
3.577956e+001	-2.553932e+001
3.651882e+001	-1.836585e+001
3.690860e+001	-1.625568e+001
3.725470e+001	-1.477851e+001
3.698921e+001	-2.216241e+001
3.759741e+001	-1.688770e+001
3.762315e+001	-2.005203e+001
3.769258e+001	-2.258336e+001
3.828622e+001	-1.751961e+001
3.825371e+001	-2.152790e+001
3.874543e+001	-1.794089e+001
3.818871e+001	-2.954435e+001
3.892796e+001	-2.237076e+001
3.946336e+001	-1.815098e+001
3.956191e+001	-2.026039e+001
3.936923e+001	-2.658936e+001
3.946778e+001	-2.869876e+001
3.994493e+001	-2.532283e+001
4.062594e+001	-1.899320e+001
4.097204e+001	-1.751604e+001
4.098322e+001	-2.089132e+001
4.121282e+001	-2.110196e+001
4.107838e+001	-2.658708e+001
4.168658e+001	-2.131238e+001
4.095512e+001	-3.544749e+001
4.103912e+001	-3.776785e+001
4.208416e+001	-2.616386e+001
4.210990e+001	-2.932818e+001
4.219390e+001	-3.164855e+001
4.223420e+001	-3.460191e+001
4.272591e+001	-3.101501e+001
4.330499e+001	-2.616223e+001
4.334529e+001	-2.911559e+001
4.296331e+001	-3.818718e+001
4.383362e+001	-2.911494e+001
4.367007e+001	-3.502188e+001
4.385598e+001	-3.586551e+001
4.386716e+001	-3.924079e+001
4.418414e+001	-3.818555e+001
4.485059e+001	-3.206689e+001
4.547335e+001	-2.658123e+001
4.583401e+001	-2.489310e+001
4.553939e+001	-3.269891e+001
4.578356e+001	-3.269859e+001
4.585299e+001	-3.522991e+001
4.598066e+001	-3.691739e+001
4.606465e+001	-3.923787e+001
4.632337e+001	-3.902658e+001
4.630543e+001	-4.282379e+001
4.665153e+001	-4.134662e+001
4.769658e+001	-2.974262e+001
4.820285e+001	-2.594477e+001
4.901492e+001	-1.771627e+001
4.879311e+001	-2.446727e+001
4.860042e+001	-3.079624e+001
4.899021e+001	-2.868608e+001
4.932175e+001	-2.741987e+001
4.899800e+001	-3.564772e+001
4.930042e+001	-3.480344e+001
5.044740e+001	-2.172259e+001
5.090999e+001	-1.855762e+001
5.067362e+001	-2.551948e+001
5.049550e+001	-3.163749e+001
5.049212e+001	-3.522374e+001
5.056155e+001	-3.775517e+001
5.052904e+001	-4.176345e+001
5.083145e+001	-4.091917e+001
5.110474e+001	-4.049692e+001
5.171295e+001	-3.522211e+001
5.162220e+001	-4.007424e+001
5.195373e+001	-3.880814e+001
5.227070e+001	-3.775290e+001
5.266048e+001	-3.564284e+001
5.313763e+001	-3.226691e+001
5.293039e+001	-3.880684e+001
5.315999e+001	-3.901748e+001
5.285082e+001	-4.703425e+001
5.286200e+001	-5.040954e+001
5.306248e+001	-5.104210e+001
5.348138e+001	-4.851012e+001
5.360905e+001	-5.019760e+001
5.373673e+001	-5.188508e+001
5.427212e+001	-4.766519e+001
5.466190e+001	-4.555513e+001
5.496432e+001	-4.471085e+001
5.488813e+001	-4.935202e+001
5.526335e+001	-4.745292e+001
5.544926e+001	-4.829656e+001
5.518378e+001	-5.568034e+001
5.535513e+001	-5.673493e+001
5.529350e+001	-6.116514e+001
5.546486e+001	-6.221962e+001
5.639342e+001	-5.230343e+001
5.605512e+001	-6.074212e+001
5.622648e+001	-6.179672e+001
5.613573e+001	-6.664885e+001
5.637989e+001	-6.664852e+001
5.710459e+001	-5.968602e+001
5.694103e+001	-6.559307e+001
5.754924e+001	-6.031825e+001
5.756042e+001	-6.369354e+001
5.767352e+001	-6.559209e+001
5.804874e+001	-6.369288e+001
5.787063e+001	-6.981090e+001
5.794005e+001	-7.234233e+001
5.831527e+001	-7.044324e+001
5.844294e+001	-7.213072e+001
5.845412e+001	-7.550600e+001
5.874197e+001	-7.487268e+001
5.918999e+001	-7.191878e+001
5.936135e+001	-7.297327e+001
6.004237e+001	-6.664364e+001
6.017004e+001	-6.833112e+001
6.016666e+001	-7.191748e+001
6.102240e+001	-6.305610e+001
6.164517e+001	-5.757032e+001
6.299602e+001	-4.153580e+001
6.379352e+001	-3.351837e+001
6.376101e+001	-3.752664e+001
6.410711e+001	-3.604948e+001
6.406004e+001	-4.026872e+001
6.463912e+001	-3.541594e+001
6.449013e+001	-4.111192e+001
6.530220e+001	-3.288353e+001
6.617250e+001	-2.381119e+001
6.587789e+001	-3.161700e+001
6.634048e+001	-2.845203e+001
6.718167e+001	-1.980171e+001
6.714917e+001	-2.380988e+001
6.685455e+001	-3.161570e+001
6.730258e+001	-2.866169e+001
6.804184e+001	-2.148822e+001
6.789284e+001	-2.718419e+001
6.809332e+001	-2.781686e+001
6.883258e+001	-2.064328e+001
6.888745e+001	-2.338568e+001
6.943740e+001	-1.895483e+001
6.944858e+001	-2.233011e+001
6.960538e+001	-2.359567e+001
6.992235e+001	-2.254042e+001
7.054511e+001	-1.705476e+001
7.059997e+001	-1.979716e+001
7.049466e+001	-2.486025e+001
7.076795e+001	-2.443800e+001
7.092476e+001	-2.570344e+001
7.013504e+001	-4.068252e+001
7.062675e+001	-3.709562e+001
7.155531e+001	-2.717931e+001
7.137719e+001	-3.329732e+001
7.165048e+001	-3.287507e+001
7.173448e+001	-3.519544e+001
7.247372e+001	-2.802197e+001
7.318386e+001	-2.127042e+001
7.277276e+001	-3.076404e+001
7.249271e+001	-3.835879e+001
7.251845e+001	-4.152311e+001
7.287911e+001	-3.983498e+001
7.361836e+001	-3.266151e+001
7.394990e+001	-3.139530e+001
7.397564e+001	-3.455963e+001
7.405963e+001	-3.687999e+001
7.399800e+001	-4.131020e+001
7.432953e+001	-4.004399e+001
7.485037e+001	-3.603517e+001
7.516734e+001	-3.497993e+001
7.541151e+001	-3.497960e+001
7.517514e+001	-4.194156e+001
7.540474e+001	-4.215221e+001
7.537224e+001	-4.616037e+001
7.528149e+001	-5.101250e+001
7.604987e+001	-4.341711e+001
7.654158e+001	-3.983010e+001
7.672750e+001	-4.067374e+001
7.673868e+001	-4.404902e+001
7.699740e+001	-4.383773e+001
7.738718e+001	-4.172768e+001
7.741292e+001	-4.489200e+001
7.708919e+001	-5.311974e+001
7.762458e+001	-4.889985e+001
7.799980e+001	-4.700075e+001
7.834590e+001	-4.552358e+001
7.822603e+001	-5.079764e+001
7.854300e+001	-4.974250e+001
7.897646e+001	-4.699945e+001
7.908957e+001	-4.889790e+001
7.929006e+001	-4.953045e+001
7.938861e+001	-5.163997e+001
8.009874e+001	-4.488843e+001
8.255626e+001	-1.281958e+001
8.344114e+001	-3.536271e+000
8.337951e+001	-7.966477e+000
8.366735e+001	-7.333265e+000
8.357661e+001	-1.218540e+001
8.425761e+001	-5.855773e+000
8.438529e+001	-7.543253e+000
8.416349e+001	-1.429415e+001
8.426203e+001	-1.640366e+001
8.548182e+001	-2.267899e+000
8.555125e+001	-4.799227e+000
8.563524e+001	-7.119704e+000
8.627256e+001	-1.422966e+000
8.612356e+001	-7.119050e+000
8.614931e+001	-1.028337e+001
8.699050e+001	-1.632951e+000
8.724923e+001	-1.421666e+000
8.708567e+001	-7.328713e+000
8.671825e+001	-1.618933e+001
8.735557e+001	-1.049271e+001
8.783272e+001	-7.116774e+000
8.839724e+001	-2.474958e+000
8.851035e+001	-4.373401e+000
8.840505e+001	-9.436488e+000
8.898412e+001	-4.583711e+000
8.919917e+001	-5.005310e+000
8.854051e+001	-1.808561e+001
8.888661e+001	-1.660844e+001
8.943656e+001	-1.217759e+001
8.979722e+001	-1.048946e+001
8.977928e+001	-1.428667e+001
9.002345e+001	-1.428634e+001
9.054428e+001	-1.027752e+001
9.126898e+001	-3.314901e+000
9.180437e+001	9.048759e-001
9.159712e+001	-5.635053e+000
9.192866e+001	-4.368846e+000
9.256599e+001	1.327888e+000
9.215488e+001	-8.165730e+000
9.206413e+001	-1.301786e+001
9.241023e+001	-1.154069e+001
9.271264e+001	-1.069652e+001
9.311699e+001	-8.375391e+000
9.270588e+001	-1.786901e+001
9.328496e+001	-1.301623e+001
9.374755e+001	-9.851257e+000
9.370048e+001	-1.407050e+001
9.381359e+001	-1.596894e+001
9.472759e+001	-6.263710e+000
9.497175e+001	-6.263386e+000
9.493925e+001	-1.027167e+001
9.538727e+001	-7.317656e+000
9.584986e+001	-4.152681e+000
9.590472e+001	-6.895082e+000
9.572661e+001	-1.301298e+001
9.588340e+001	-1.427854e+001
9.638968e+001	-1.048068e+001
9.677946e+001	-8.370511e+000
9.674695e+001	-1.237879e+001
9.744252e+001	-5.838211e+000
9.797792e+001	-1.618314e+000
9.752313e+001	-1.174493e+001
9.801484e+001	-8.157925e+000
9.806971e+001	-1.090032e+001
9.843036e+001	-9.212192e+000
9.858716e+001	-1.047775e+001
9.858378e+001	-1.406400e+001
9.856583e+001	-1.786121e+001
9.962545e+001	-6.046245e+000
9.950558e+001	-1.132030e+001
1.000264e+002	-7.311476e+000
1.002997e+002	-6.889227e+000
1.004565e+002	-8.154671e+000
1.008608e+002	-5.833656e+000
1.010322e+002	-6.888251e+000
1.005337e+002	-1.764764e+001
1.019719e+002	-3.472314e-001
1.017501e+002	-7.098236e+000
1.018050e+002	-9.840524e+000
1.024860e+002	-3.510903e+000
1.026574e+002	-4.565499e+000
1.027413e+002	-6.885976e+000
1.029418e+002	-7.518534e+000
1.032297e+002	-6.885322e+000
1.034447e+002	-7.306921e+000
1.033103e+002	-1.279194e+001
1.032487e+002	-1.722214e+001
1.041627e+002	-7.516909e+000
1.043777e+002	-7.938505e+000
1.046947e+002	-6.883371e+000
1.047495e+002	-9.625660e+000
1.047316e+002	-1.342298e+001
1.050194e+002	-1.278966e+001
1.051617e+002	-1.426618e+001
1.058718e+002	-7.514630e+000
1.056500e+002	-1.426553e+001
1.060689e+002	-1.173355e+001
1.066771e+002	-6.458737e+000
1.062369e+002	-1.637439e+001
1.064519e+002	-1.679599e+001
1.067106e+002	-1.658470e+001
1.070276e+002	-1.552946e+001
1.074028e+002	-1.363037e+001
1.078945e+002	-1.004347e+001
1.079057e+002	-1.341875e+001
1.083683e+002	-1.025378e+001
1.086999e+002	-8.987570e+000
1.090896e+002	-6.877519e+000
1.093047e+002	-7.299115e+000
1.095925e+002	-6.665796e+000
1.098804e+002	-6.032584e+000
1.097168e+002	-1.193963e+001
1.105580e+002	-3.289210e+000
1.108022e+002	-3.288885e+000
1.105512e+002	-1.046181e+001
1.105915e+002	-1.341518e+001
1.116657e+002	-1.389141e+000
1.113711e+002	-9.194955e+000
1.121104e+002	-2.021488e+000
1.119031e+002	-8.561420e+000
1.118269e+002	-1.320259e+001
1.121730e+002	-1.172542e+001
1.128395e+002	-5.606758e+000
1.133894e+002	-1.175902e+000
1.135171e+002	-2.863382e+000
1.131788e+002	-1.130208e+001
1.141802e+002	-3.309693e-001
1.144098e+002	-5.417172e-001
1.140715e+002	-8.980418e+000
1.137332e+002	-1.741911e+001
1.136570e+002	-2.206028e+001
1.141341e+002	-1.868435e+001
1.152811e+002	-5.603507e+000
1.157583e+002	-2.227572e+000
1.157258e+002	-6.235741e+000
1.157078e+002	-1.003306e+001
1.160685e+002	-8.344820e+000
1.161379e+002	-1.087626e+001
1.167170e+002	-6.023477e+000
1.171068e+002	-3.913423e+000
1.169432e+002	-9.820362e+000
1.174058e+002	-6.655386e+000
1.175917e+002	-7.499021e+000
1.176903e+002	-9.608423e+000
1.181674e+002	-6.232487e+000
1.187174e+002	-1.801634e+000
1.192091e+002	1.785262e+000
1.188271e+002	-7.286433e+000
1.189111e+002	-9.606796e+000
1.194756e+002	-4.964980e+000
1.194285e+002	-9.184223e+000
1.190757e+002	-1.783389e+001
1.193490e+002	-1.741164e+001
1.199426e+002	-1.234790e+001
1.203615e+002	-9.815806e+000
1.204601e+002	-1.192532e+001
1.208499e+002	-9.815157e+000
1.210358e+002	-1.065879e+001
1.215420e+002	-6.860932e+000
1.217862e+002	-6.860607e+000
1.217246e+002	-1.129070e+001
1.222891e+002	-6.648884e+000
1.224750e+002	-7.492516e+000
1.229522e+002	-4.116580e+000
1.233565e+002	-1.795453e+000
1.233094e+002	-6.014696e+000
1.232769e+002	-1.002298e+001
1.233609e+002	-1.234334e+001
1.241002e+002	-5.169873e+000
1.243880e+002	-4.536554e+000
1.246176e+002	-4.747189e+000
1.247890e+002	-5.801785e+000
1.250914e+002	-4.957499e+000
