    nm         	pN
0.000000e+000	5.399484e+002
2.084229e-002	5.364714e+002
9.838546e-003	5.324984e+002
-9.697784e-002	5.270336e+002
-1.718377e-001	5.220663e+002
-2.786540e-001	5.166015e+002
-3.535103e-001	5.116343e+002
-4.283701e-001	5.066670e+002
-5.670896e-001	5.007054e+002
-5.142872e-001	4.977260e+002
-5.253480e-001	4.937522e+002
-6.321643e-001	4.882874e+002
-7.389237e-001	4.828234e+002
-8.776396e-001	4.768618e+002
-9.524994e-001	4.718946e+002
-1.155018e+000	4.649395e+002
-1.166075e+000	4.609658e+002
-1.336692e+000	4.545075e+002
-1.411550e+000	4.495402e+002
-1.390710e+000	4.460632e+002
-1.497471e+000	4.405992e+002
-1.508530e+000	4.366254e+002
-1.615345e+000	4.311606e+002
-1.690204e+000	4.261933e+002
-1.796964e+000	4.207293e+002
-1.839981e+000	4.162579e+002
-1.850981e+000	4.122850e+002
-2.053555e+000	4.053291e+002
-2.128415e+000	4.003619e+002
-2.203273e+000	3.953947e+002
-2.246231e+000	3.909242e+002
-2.353050e+000	3.854593e+002
-2.427909e+000	3.804920e+002
-2.534667e+000	3.750281e+002
-2.609584e+000	3.700600e+002
-2.620586e+000	3.660870e+002
-2.695501e+000	3.611189e+002
-2.770363e+000	3.561517e+002
-2.940978e+000	3.496934e+002
-3.015838e+000	3.447261e+002
-3.058796e+000	3.402556e+002
-3.133711e+000	3.352875e+002
-3.208571e+000	3.303203e+002
-3.123873e+000	3.278375e+002
-3.262590e+000	3.218759e+002
-3.401249e+000	3.159153e+002
-3.508066e+000	3.104504e+002
-3.582924e+000	3.054832e+002
-3.625882e+000	3.010127e+002
-3.668843e+000	2.965422e+002
-3.743700e+000	2.915749e+002
-3.850519e+000	2.861101e+002
-3.861578e+000	2.821363e+002
-3.904536e+000	2.776658e+002
-4.011296e+000	2.722018e+002
-4.181913e+000	2.657435e+002
-4.224870e+000	2.612730e+002
-4.331688e+000	2.558081e+002
-4.374646e+000	2.513376e+002
-4.385705e+000	2.473638e+002
-4.492465e+000	2.418999e+002
-4.503524e+000	2.379261e+002
-4.482681e+000	2.344490e+002
-4.653300e+000	2.279907e+002
-4.728158e+000	2.230235e+002
-4.803017e+000	2.180562e+002
-4.877876e+000	2.130890e+002
-4.825135e+000	2.101086e+002
-4.931894e+000	2.046447e+002
-5.006754e+000	1.996774e+002
-5.049769e+000	1.952060e+002
-4.901213e+000	1.937176e+002
-4.880373e+000	1.902406e+002
-4.891431e+000	1.862668e+002
-4.902434e+000	1.822939e+002
-4.977348e+000	1.773258e+002
-4.988352e+000	1.733528e+002
-4.935611e+000	1.703725e+002
-5.106226e+000	1.639142e+002
-5.149186e+000	1.594437e+002
-5.064486e+000	1.569610e+002
-5.171245e+000	1.514970e+002
-5.341863e+000	1.450387e+002
-5.416779e+000	1.400706e+002
-5.300180e+000	1.380846e+002
-5.247381e+000	1.351051e+002
-5.354140e+000	1.296412e+002
-5.397156e+000	1.251697e+002
-5.120943e+000	1.256691e+002
-4.940544e+000	1.246766e+002
-4.823944e+000	1.226906e+002
-4.898804e+000	1.177233e+002
-4.973662e+000	1.127561e+002
-4.793264e+000	1.117635e+002
-4.676664e+000	1.097775e+002
-5.038739e+000	1.003380e+002
