    nm         	pN
0.000000e+000	5.177912e+002
-1.106435e-002	5.138173e+002
-1.818081e-001	5.073570e+002
-5.442378e-001	4.979120e+002
-8.108226e-001	4.899594e+002
-9.496633e-001	4.839958e+002
-1.248180e+000	4.755460e+002
-1.546721e+000	4.670958e+002
-1.685564e+000	4.611322e+002
-1.984078e+000	4.526824e+002
-1.675715e+000	4.536824e+002
-1.878443e+000	4.467241e+002
-2.049212e+000	4.402634e+002
-2.507458e+000	4.293264e+002
-2.582385e+000	4.243581e+002
-2.753154e+000	4.178974e+002
-2.860040e+000	4.124315e+002
-2.903036e+000	4.079604e+002
-3.169623e+000	4.000077e+002
-3.500122e+000	3.910599e+002
-3.734749e+000	3.836048e+002
-3.650004e+000	3.811228e+002
-3.884661e+000	3.736673e+002
-4.215134e+000	3.647199e+002
-4.353947e+000	3.587568e+002
-4.620532e+000	3.508042e+002
-4.887147e+000	3.428511e+002
-5.473133e+000	3.299250e+002
-5.739748e+000	3.219719e+002
-5.623045e+000	3.199875e+002
-5.729928e+000	3.145216e+002
-5.613196e+000	3.125377e+002
-5.496493e+000	3.105533e+002
-5.826966e+000	3.016058e+002
-6.285208e+000	2.906689e+002
-6.583751e+000	2.822186e+002
-6.978111e+000	2.722763e+002
-7.053065e+000	2.673076e+002
-6.840519e+000	2.668156e+002
-6.627998e+000	2.663232e+002
-6.862626e+000	2.588682e+002
-6.969511e+000	2.534023e+002
-7.172240e+000	2.464440e+002
-7.534639e+000	2.369994e+002
-7.545709e+000	2.330254e+002
-7.365119e+000	2.320358e+002
-7.663663e+000	2.235856e+002
-8.089948e+000	2.131462e+002
-8.037130e+000	2.101670e+002
-8.016243e+000	2.066907e+002
-8.155057e+000	2.007276e+002
-8.102238e+000	1.977485e+002
-8.336893e+000	1.902930e+002
-8.539594e+000	1.833351e+002
-8.582590e+000	1.788640e+002
-9.008907e+000	1.684242e+002
-9.179678e+000	1.619635e+002
-8.967130e+000	1.614715e+002
-9.010128e+000	1.570004e+002
-9.148969e+000	1.510369e+002
-9.096150e+000	1.480577e+002
-9.171077e+000	1.430894e+002
-9.437662e+000	1.351368e+002
-9.448732e+000	1.311628e+002
-9.523687e+000	1.261941e+002
-9.502798e+000	1.227178e+002
-9.641612e+000	1.167547e+002
-9.748496e+000	1.112888e+002
-9.919266e+000	1.048281e+002
-1.015392e+001	9.737261e+001
-9.621973e+000	1.018541e+002
-8.930292e+000	1.088229e+002
-8.877473e+000	1.058437e+002
-9.112130e+000	9.838821e+001
-9.059312e+000	9.540906e+001
-8.687064e+000	9.740383e+001
-9.145308e+000	8.646682e+001
-9.156377e+000	8.249287e+001
-9.486848e+000	7.354544e+001
-8.827124e+000	8.001654e+001
-8.454876e+000	8.201131e+001
-8.114584e+000	8.350848e+001
-8.381169e+000	7.555583e+001
-8.392238e+000	7.158188e+001
-8.467164e+000	6.661360e+001
-8.957338e+000	5.517941e+001
-8.840635e+000	5.319504e+001
-8.915589e+000	4.822630e+001
-8.958589e+000	4.375519e+001
-8.777996e+000	4.276560e+001
-8.629335e+000	4.127885e+001
-7.905726e+000	4.874473e+001
-8.172339e+000	4.079164e+001
-7.768132e+000	4.328403e+001
-7.651428e+000	4.129966e+001
-8.141630e+000	2.986503e+001
-8.951237e+000	1.345691e+001
-9.313639e+000	4.012305e+000
-8.590026e+000	1.147819e+001
-8.153920e+000	1.446731e+001
-8.676050e+000	2.535511e+000
-8.431573e+000	2.540718e+000
-7.931553e+000	6.525072e+000
-7.719004e+000	6.033101e+000
-7.570371e+000	4.545901e+000
-7.006463e+000	9.525036e+000
-7.209192e+000	2.566729e+000
-6.836942e+000	4.561506e+000
-7.486845e+000	-9.359853e+000
-6.986825e+000	-5.375506e+000
-7.189522e+000	-1.233337e+001
-7.264478e+000	-1.730210e+001
-7.243590e+000	-2.077843e+001
-7.350474e+000	-2.624433e+001
-6.371319e+000	-1.479930e+001
-6.797634e+000	-2.523914e+001
-7.511425e+000	-4.015530e+001
-7.107218e+000	-3.766291e+001
-6.734997e+000	-3.566858e+001
-6.554378e+000	-3.665771e+001
-6.629331e+000	-4.162645e+001
-7.119505e+000	-5.306063e+001
-6.332037e+000	-4.460040e+001
-5.704245e+000	-3.862648e+001
-5.875013e+000	-4.508717e+001
-6.748505e+000	-6.249007e+001
-6.376255e+000	-6.049530e+001
