    nm         	pN
0.000000e+000	5.633163e+002
-1.703766e-001	5.568618e+002
-3.726705e-001	5.499102e+002
-6.068247e-001	5.424626e+002
-6.815918e-001	5.374968e+002
-8.519933e-001	5.310418e+002
-1.086151e+000	5.235941e+002
-1.415915e+000	5.146577e+002
-1.522571e+000	5.091954e+002
-1.724836e+000	5.022442e+002
-1.958990e+000	4.947966e+002
-2.129395e+000	4.883416e+002
-2.267912e+000	4.823831e+002
-2.470202e+000	4.754316e+002
-2.608722e+000	4.694731e+002
-2.842874e+000	4.620255e+002
-3.013279e+000	4.555705e+002
-3.279294e+000	4.476267e+002
-3.258452e+000	4.441497e+002
-3.396993e+000	4.381908e+002
-3.567400e+000	4.317358e+002
-3.929026e+000	4.223033e+002
-4.131319e+000	4.153517e+002
-4.461083e+000	4.064153e+002
-4.599599e+000	4.004569e+002
-4.770004e+000	3.940019e+002
-4.844798e+000	3.890356e+002
-5.142701e+000	3.805953e+002
-5.376829e+000	3.731481e+002
-5.547232e+000	3.666931e+002
-5.813275e+000	3.587489e+002
-5.983652e+000	3.522944e+002
-6.249697e+000	3.443501e+002
-6.483849e+000	3.369025e+002
-6.686116e+000	3.299514e+002
-6.697133e+000	3.259782e+002
-6.771926e+000	3.210120e+002
-7.037941e+000	3.130683e+002
-7.272097e+000	3.056206e+002
-7.538111e+000	2.976768e+002
-7.676656e+000	2.917179e+002
-7.847059e+000	2.852630e+002
-8.113074e+000	2.773192e+002
-8.538479e+000	2.668935e+002
-8.645105e+000	2.614317e+002
-8.751759e+000	2.559693e+002
-8.762806e+000	2.519957e+002
-9.060710e+000	2.435554e+002
-9.231114e+000	2.371004e+002
-9.369632e+000	2.311420e+002
-9.285037e+000	2.286576e+002
-9.455442e+000	2.222026e+002
-9.721485e+000	2.142584e+002
-9.764392e+000	2.097887e+002
-9.775406e+000	2.058156e+002
-1.000956e+001	1.983679e+002
-1.021185e+001	1.914164e+002
-1.047787e+001	1.834726e+002
-1.052078e+001	1.790029e+002
-1.069118e+001	1.725479e+002
-1.105280e+001	1.631154e+002
-1.119135e+001	1.571565e+002
-1.129801e+001	1.516942e+002
-1.127716e+001	1.482171e+002
-1.138382e+001	1.427548e+002
-1.139486e+001	1.387812e+002
-1.137402e+001	1.353042e+002
-1.173564e+001	1.258717e+002
-1.171483e+001	1.223942e+002
-1.172584e+001	1.184211e+002
-1.189625e+001	1.119661e+002
-1.184354e+001	1.089851e+002
-1.191831e+001	1.040193e+002
-1.202497e+001	9.855701e+001
-1.187665e+001	9.706486e+001
-1.242953e+001	8.465436e+001
-1.205807e+001	8.663673e+001
-1.181412e+001	8.663378e+001
-1.214388e+001	7.769736e+001
-1.180432e+001	7.918317e+001
-1.187912e+001	7.421694e+001
-1.224074e+001	6.478441e+001
-1.190118e+001	6.627023e+001
-1.203969e+001	6.031178e+001
-1.182763e+001	5.981229e+001
-1.215739e+001	5.087587e+001
-1.200905e+001	4.938415e+001
-1.262570e+001	3.598056e+001
-1.139367e+001	5.136314e+001
-1.194655e+001	3.895263e+001
-1.176634e+001	3.795703e+001
-1.098053e+001	4.639145e+001
-1.188401e+001	2.852155e+001
-1.170381e+001	2.752596e+001
-1.152361e+001	2.653035e+001
-1.172590e+001	1.957880e+001
-1.132256e+001	2.205772e+001
-1.181171e+001	1.063943e+001
-1.191837e+001	5.177090e+000
-1.132380e+001	1.063354e+001
-1.092046e+001	1.311246e+001
-1.185583e+001	-5.253978e+000
-1.154813e+001	-4.264267e+000
-1.149543e+001	-7.245193e+000
-1.163397e+001	-1.320408e+001
-1.084816e+001	-4.769661e+000
-1.076357e+001	-7.254029e+000
-1.134833e+001	-2.016108e+001
-1.084938e+001	-1.619340e+001
-1.101978e+001	-2.264839e+001
-1.064833e+001	-2.066602e+001
-1.043627e+001	-2.116552e+001
-1.012856e+001	-2.017581e+001
-1.013961e+001	-2.414939e+001
-1.043748e+001	-3.258925e+001
-1.006603e+001	-3.060689e+001
-1.033208e+001	-3.855110e+001
-1.078934e+001	-4.947283e+001
-1.054539e+001	-4.947578e+001
-1.030143e+001	-4.947872e+001
-1.043995e+001	-5.543717e+001
-9.877277e+000	-5.047728e+001
-1.004765e+001	-5.693183e+001
-9.580589e+000	-5.346070e+001
-9.559746e+000	-5.693773e+001
-9.602678e+000	-6.140785e+001
-9.581836e+000	-6.488488e+001
-1.003910e+001	-7.580661e+001
-9.890757e+000	-7.729832e+001
-8.913724e+000	-6.588637e+001
-9.944706e+000	-8.574159e+001
-1.021072e+001	-9.368534e+001
-9.807409e+000	-9.120688e+001
-9.053488e+000	-8.326900e+001
-9.956969e+000	-1.011389e+002
-1.022299e+001	-1.090827e+002
-9.660313e+000	-1.041228e+002
-9.511968e+000	-1.056145e+002
-9.682373e+000	-1.120695e+002
-9.916527e+000	-1.195171e+002
-9.959434e+000	-1.239868e+002
-8.982373e+000	-1.125744e+002
-9.280280e+000	-1.210147e+002
-9.100075e+000	-1.220103e+002
-9.334229e+000	-1.294580e+002
-7.050375e+000	-9.769723e+001
-5.627095e+000	-7.933667e+001
-5.510643e+000	-8.132493e+001
-5.649156e+000	-8.728337e+001
-5.915174e+000	-9.522715e+001
-5.830608e+000	-9.771196e+001
-5.427267e+000	-9.523303e+001
-4.163378e+000	-7.935434e+001
-2.038882e+000	-5.007500e+001
-8.068524e-001	-3.469243e+001
7.439226e-001	-1.434655e+001
1.720955e+000	-2.934603e+000
1.104331e+000	-1.633776e+001
