    nm         	pN
0.000000e+000	5.134047e+002
4.732337e-002	5.095646e+002
7.005288e-002	5.052447e+002
1.910041e-002	4.994873e+002
-3.185774e-002	4.937297e+002
-9.125384e-003	4.894099e+002
-3.548969e-002	4.841322e+002
-1.601298e-001	4.769370e+002
-1.128065e-001	4.730970e+002
-1.638927e-002	4.702148e+002
-9.189292e-002	4.639784e+002
-1.183013e-001	4.586998e+002
-1.201173e-001	4.539010e+002
-2.447589e-001	4.467058e+002
-2.957142e-001	4.409483e+002
-2.729832e-001	4.366285e+002
-3.484854e-001	4.303921e+002
-2.766166e-001	4.270309e+002
-4.012553e-001	4.198358e+002
-3.293879e-001	4.164746e+002
-3.557493e-001	4.111970e+002
-3.575653e-001	4.063982e+002
-4.822083e-001	3.992030e+002
-6.805332e-001	3.905702e+002
-7.805824e-001	3.838549e+002
-9.297709e-001	3.761808e+002
-8.824930e-001	3.723399e+002
-9.825422e-001	3.656245e+002
-9.598112e-001	3.613047e+002
-7.897077e-001	3.598601e+002
-6.687451e-001	3.574568e+002
-7.687942e-001	3.507415e+002
-8.197495e-001	3.449840e+002
-9.197987e-001	3.382686e+002
-8.725208e-001	3.344277e+002
-8.006520e-001	3.310666e+002
-8.024679e-001	3.262678e+002
-8.779688e-001	3.200314e+002
-9.535165e-001	3.137941e+002
-8.816476e-001	3.104329e+002
-8.343257e-001	3.065929e+002
-8.607341e-001	3.013143e+002
-8.625500e-001	2.965155e+002
-9.380523e-001	2.902791e+002
-8.416351e-001	2.873969e+002
-8.189042e-001	2.830770e+002
-8.944064e-001	2.768406e+002
-8.962223e-001	2.720418e+002
-8.980383e-001	2.672431e+002
-9.489951e-001	2.614855e+002
-9.508097e-001	2.566868e+002
-9.280787e-001	2.523669e+002
-1.101860e+000	2.442130e+002
-1.054536e+000	2.403730e+002
-9.581205e-001	2.374908e+002
-9.599364e-001	2.326920e+002
-1.060030e+000	2.259758e+002
-1.135533e+000	2.197393e+002
-1.260128e+000	2.125451e+002
-9.426534e-001	2.139758e+002
-9.199239e-001	2.096560e+002
-1.069112e+000	2.019819e+002
-9.236014e-001	2.000575e+002
-8.517325e-001	1.966964e+002
-6.324911e-001	1.962106e+002
-6.834465e-001	1.904530e+002
-6.852624e-001	1.856543e+002
-6.379846e-001	1.818133e+002
-5.415688e-001	1.789311e+002
-5.679317e-001	1.736534e+002
-7.416657e-001	1.655004e+002
-6.207030e-001	1.630971e+002
-6.962052e-001	1.568607e+002
-5.997894e-001	1.539785e+002
-7.489750e-001	1.463045e+002
-6.771062e-001	1.429433e+002
-6.052829e-001	1.395813e+002
-5.579595e-001	1.357413e+002
-5.843679e-001	1.304627e+002
-6.107308e-001	1.251850e+002
-5.634530e-001	1.213440e+002
-4.915841e-001	1.179829e+002
-6.653181e-001	1.098299e+002
-6.180416e-001	1.059890e+002
-4.233472e-001	1.050242e+002
-3.269300e-001	1.021420e+002
-2.796522e-001	9.830108e+001
-2.569226e-001	9.398122e+001
-3.569718e-001	8.726588e+001
-3.587877e-001	8.246710e+001
-5.571141e-001	7.383430e+001
-6.080694e-001	6.807679e+001
-6.098854e-001	6.327802e+001
-5.134697e-001	6.039581e+001
-4.907387e-001	5.607595e+001
-4.925547e-001	5.127717e+001
-4.206844e-001	4.791605e+001
-1.768976e-001	4.790913e+001
4.234377e-002	4.742330e+001
-1.068447e-001	3.974922e+001
-3.501852e-002	3.638721e+001
6.139582e-002	3.350500e+001
1.578585e-001	3.062367e+001
6.717965e-001	3.588754e+001
8.419013e-001	3.444298e+001
8.400826e-001	2.964420e+001
8.382666e-001	2.484542e+001
