    nm         	nN
0.000000e+000	-8.465825e+000
-2.881402e-002	-8.471151e+000
1.061110e-002	-8.475145e+000
4.558630e-003	-8.480026e+000
2.122219e-002	-8.484465e+000
1.516480e-001	-8.486683e+000
5.459484e-002	-8.493340e+000
-1.974228e-002	-8.499554e+000
-2.579474e-002	-8.504435e+000
1.046310e-001	-8.506654e+000
1.440562e-001	-8.510648e+000
1.152421e-001	-8.515974e+000
1.818900e-002	-8.522631e+000
-1.062502e-002	-8.527956e+000
1.425168e-001	-8.529732e+000
-2.277547e-002	-8.537720e+000
-1.653062e-001	-8.545264e+000
-1.258811e-001	-8.549258e+000
-8.645597e-002	-8.553252e+000
-4.703086e-002	-8.557246e+000
-5.312885e-002	-8.562129e+000
-3.641976e-002	-8.566566e+000
-1.562345e-001	-8.573667e+000
4.243046e-002	-8.574554e+000
-9.145107e-003	-8.580324e+000
7.518455e-003	-8.584762e+000
2.418202e-002	-8.589200e+000
6.360713e-002	-8.593195e+000
3.479311e-002	-8.598520e+000
-3.949848e-002	-8.604733e+000
-2.283492e-002	-8.609171e+000
1.659019e-002	-8.613165e+000
-5.770140e-002	-8.619378e+000
2.720129e-002	-8.622485e+000
4.391037e-002	-8.626922e+000
-7.665194e-003	-8.632692e+000
-1.047183e-001	-8.639349e+000
-4.253167e-002	-8.642899e+000
-9.410724e-002	-8.648668e+000
-2.366380e-001	-8.656213e+000
-1.972128e-001	-8.660207e+000
-1.577877e-001	-8.664201e+000
-2.740747e-002	-8.666420e+000
-1.244606e-001	-8.673077e+000
-2.215138e-001	-8.679734e+000
-2.503278e-001	-8.685060e+000
-9.718595e-002	-8.686835e+000
-3.499930e-002	-8.690385e+000
-4.105176e-002	-8.695267e+000
-2.438820e-002	-8.699705e+000
-5.320222e-002	-8.705030e+000
-5.925468e-002	-8.709912e+000
-1.982957e-002	-8.713906e+000
1.959554e-002	-8.717900e+000
1.044982e-001	-8.721007e+000
7.568421e-002	-8.726333e+000
1.605869e-001	-8.729439e+000
2.455351e-001	-8.732545e+000
1.711980e-001	-8.738759e+000
2.333846e-001	-8.742309e+000
2.273322e-001	-8.747191e+000
2.894733e-001	-8.750741e+000
2.606593e-001	-8.756067e+000
3.910851e-001	-8.758286e+000
4.077486e-001	-8.762724e+000
4.699353e-001	-8.766274e+000
4.865989e-001	-8.770712e+000
4.577849e-001	-8.776038e+000
7.701665e-001	-8.774706e+000
8.778307e-001	-8.777369e+000
9.627333e-001	-8.780476e+000
1.229637e+000	-8.780032e+000
1.200823e+000	-8.785357e+000
1.285726e+000	-8.788464e+000
1.279674e+000	-8.793346e+000
1.341860e+000	-8.796896e+000
1.358524e+000	-8.801334e+000
1.625428e+000	-8.800890e+000
1.778570e+000	-8.802665e+000
1.817995e+000	-8.806659e+000
1.925659e+000	-8.809322e+000
2.010562e+000	-8.812429e+000
2.027271e+000	-8.816866e+000
2.066696e+000	-8.820860e+000
2.151599e+000	-8.823967e+000
2.191024e+000	-8.827961e+000
2.389689e+000	-8.828849e+000
2.542830e+000	-8.830624e+000
2.673256e+000	-8.832843e+000
2.689920e+000	-8.837281e+000
2.934062e+000	-8.837281e+000
2.882487e+000	-8.843051e+000
3.035674e+000	-8.844825e+000
3.006860e+000	-8.850151e+000
3.319242e+000	-8.848819e+000
3.244905e+000	-8.855033e+000
3.238852e+000	-8.859915e+000
3.414755e+000	-8.861246e+000
3.522420e+000	-8.863909e+000
3.584561e+000	-8.867460e+000
3.851465e+000	-8.867016e+000
4.027368e+000	-8.868347e+000
4.135032e+000	-8.871010e+000
4.174458e+000	-8.875004e+000
4.236644e+000	-8.878554e+000
4.412548e+000	-8.879885e+000
4.383733e+000	-8.885211e+000
4.673354e+000	-8.884323e+000
4.872018e+000	-8.885211e+000
5.093399e+000	-8.885655e+000
5.041824e+000	-8.891424e+000
5.013010e+000	-8.896750e+000
5.166197e+000	-8.898525e+000
5.251100e+000	-8.901631e+000
5.290525e+000	-8.905626e+000
5.557429e+000	-8.905181e+000
5.983527e+000	-8.901631e+000
6.455149e+000	-8.897193e+000
6.153378e+000	-8.907844e+000
6.215519e+000	-8.911395e+000
6.505185e+000	-8.910507e+000
6.885806e+000	-8.907844e+000
7.016186e+000	-8.910064e+000
6.850894e+000	-8.918052e+000
7.095036e+000	-8.918052e+000
7.270939e+000	-8.919383e+000
7.446843e+000	-8.920715e+000
7.258834e+000	-8.929146e+000
7.684933e+000	-8.925596e+000
7.724358e+000	-8.929590e+000
7.945739e+000	-8.930034e+000
