    nm         	pN
0.000000e+000	4.413430e+002
4.761073e-002	4.375086e+002
3.636437e-002	4.325258e+002
8.395234e-002	4.286909e+002
7.272731e-002	4.237086e+002
2.225852e-002	4.179606e+002
1.101216e-002	4.129778e+002
5.862147e-002	4.091433e+002
-3.109249e-002	4.026296e+002
-3.095105e-003	3.984125e+002
-3.395197e-002	3.930472e+002
-4.519833e-002	3.880644e+002
2.412397e-003	3.842300e+002
3.040979e-002	3.800129e+002
3.877676e-002	3.754128e+002
4.714090e-002	3.708126e+002
5.552779e-002	3.662129e+002
5.059003e-003	3.604649e+002
3.303505e-002	3.562474e+002
8.064579e-002	3.524129e+002
4.978750e-002	3.470475e+002
7.778631e-002	3.428305e+002
2.731610e-002	3.370824e+002
-2.315268e-002	3.313344e+002
-1.478855e-002	3.267343e+002
3.282219e-002	3.228998e+002
2.157582e-002	3.179171e+002
1.032803e-002	3.129343e+002
-8.955762e-004	3.079519e+002
2.708048e-002	3.037344e+002
1.583411e-002	2.987517e+002
-1.502418e-002	2.933863e+002
-2.624778e-002	2.884039e+002
-3.749415e-002	2.834212e+002
-9.495338e-003	2.792041e+002
1.848071e-002	2.749866e+002
2.684627e-002	2.703865e+002
-3.989258e-003	2.650215e+002
2.398679e-002	2.608040e+002
1.274043e-002	2.558212e+002
2.112874e-002	2.512215e+002
8.834855e-002	2.477697e+002
7.710218e-002	2.427869e+002
6.585581e-002	2.378042e+002
3.499824e-002	2.324388e+002
8.260898e-002	2.286043e+002
3.213948e-002	2.228563e+002
1.281191e-003	2.174909e+002
6.850313e-002	2.140391e+002
5.725605e-002	2.090563e+002
2.639777e-002	2.036909e+002
3.478466e-002	1.990912e+002
6.276214e-002	1.948737e+002
9.076095e-002	1.906567e+002
5.990266e-002	1.852913e+002
8.787871e-002	1.810737e+002
7.665511e-002	1.760914e+002
8.502066e-002	1.714913e+002
5.416095e-002	1.661259e+002
8.215976e-002	1.619088e+002
7.091482e-002	1.569260e+002
7.930171e-002	1.523263e+002
1.465002e-001	1.488741e+002
1.745004e-001	1.446570e+002
1.436407e-001	1.392916e+002
1.520063e-001	1.346915e+002
1.015361e-001	1.289434e+002
9.031245e-002	1.239611e+002
