    nm         	pN
0.000000e+000	3.709070e+002
3.384142e-002	3.668039e+002
5.019912e-002	3.623597e+002
1.015271e-001	3.585978e+002
1.003982e-001	3.538125e+002
1.517262e-001	3.500505e+002
1.680853e-001	3.456064e+002
2.019268e-001	3.415033e+002
2.007979e-001	3.367179e+002
9.475822e-002	3.298857e+002
5.866051e-002	3.244181e+002
4.004793e-002	3.192916e+002
-3.102290e-002	3.131416e+002
-1.370612e-001	3.063094e+002
-2.081320e-001	3.001595e+002
-2.442297e-001	2.946918e+002
-2.278706e-001	2.902477e+002
-1.940306e-001	2.861446e+002
-2.126446e-001	2.810180e+002
-1.438300e-001	2.775973e+002
-1.274738e-001	2.731531e+002
-1.635715e-001	2.676855e+002
-1.821840e-001	2.625590e+002
-1.658278e-001	2.581148e+002
-1.669566e-001	2.533294e+002
-1.680855e-001	2.485440e+002
-1.342426e-001	2.444410e+002
-2.053106e-001	2.382911e+002
-2.763786e-001	2.321411e+002
-3.649331e-001	2.256501e+002
-2.786349e-001	2.225704e+002
-2.622793e-001	2.181262e+002
-3.158643e-001	2.123174e+002
-2.995052e-001	2.078732e+002
-2.481772e-001	2.041113e+002
-1.968521e-001	2.003493e+002
-1.105538e-001	1.972697e+002
-5.922514e-002	1.935078e+002
9.587268e-003	1.900871e+002
-2.651044e-002	1.846194e+002
-2.763859e-002	1.798341e+002
-1.161931e-001	1.733430e+002
-2.047477e-001	1.668519e+002
-2.233588e-001	1.617255e+002
-2.244877e-001	1.569401e+002
-2.955585e-001	1.507901e+002
-3.491399e-001	1.449814e+002
-3.327844e-001	1.405371e+002
-3.688835e-001	1.350695e+002
-3.525244e-001	1.306253e+002
-3.536518e-001	1.258400e+002
-3.372970e-001	1.213957e+002
-3.908784e-001	1.155870e+002
-4.269790e-001	1.101193e+002
-4.630781e-001	1.046517e+002
-4.642055e-001	9.986631e+001
-5.877303e-001	9.269295e+001
-5.364009e-001	8.893104e+001
-5.200461e-001	8.448681e+001
-5.036884e-001	8.004263e+001
-5.397861e-001	7.457499e+001
-5.933704e-001	6.876619e+001
-5.070721e-001	6.568657e+001
-5.431698e-001	6.021894e+001
-5.617852e-001	5.509242e+001
-5.279424e-001	5.098935e+001
-5.465535e-001	4.586288e+001
-5.301987e-001	4.141865e+001
-5.488098e-001	3.629218e+001
-5.499387e-001	3.150683e+001
-6.210095e-001	2.535686e+001
-6.571073e-001	1.988922e+001
-6.932049e-001	1.442159e+001
-6.943338e-001	9.636241e+000
-7.304315e-001	4.168606e+000
-8.014995e-001	-1.981301e+000
-8.026269e-001	-6.766655e+000
-7.687855e-001	-1.086972e+001
-7.699130e-001	-1.565507e+001
-6.311621e-001	-1.771130e+001
-6.148030e-001	-2.215548e+001
-6.683873e-001	-2.796428e+001
-5.995727e-001	-3.138501e+001
-5.657313e-001	-3.548808e+001
-5.668588e-001	-4.027344e+001
-5.854742e-001	-4.539996e+001
-5.341462e-001	-4.916186e+001
-6.926399e-001	-5.701751e+001
-5.888579e-001	-5.975601e+001
-5.200462e-001	-6.317680e+001
-5.736276e-001	-6.898554e+001
-6.621822e-001	-7.547662e+001
-5.933705e-001	-7.889742e+001
-5.070722e-001	-8.197703e+001
-2.808929e-001	-8.232752e+001
3.649298e-001	-7.449052e+001
7.834471e-001	-7.108838e+001
1.201964e+000	-6.768625e+001
1.078441e+000	-7.485960e+001
1.059826e+000	-7.998613e+001
1.233551e+000	-8.136002e+001
1.284879e+000	-8.512192e+001
1.091412e+000	-9.365989e+001
1.072801e+000	-9.878636e+001
1.211552e+000	-1.008426e+002
1.437732e+000	-1.011930e+002
1.541516e+000	-1.039315e+002
1.715240e+000	-1.053054e+002
1.941418e+000	-1.056559e+002
1.975261e+000	-1.097590e+002
2.306349e+000	-1.080626e+002
2.515044e+000	-1.087542e+002
2.706254e+000	-1.097869e+002
3.177227e+000	-1.053614e+002
2.966278e+000	-1.142404e+002
3.349823e+000	-1.115206e+002
3.471088e+000	-1.139180e+002
3.889606e+000	-1.105158e+002
4.185728e+000	-1.095017e+002
4.621727e+000	-1.057585e+002
4.865392e+000	-1.057678e+002
