    nm         	pN
0.000000e+000	3.306262e+002
1.468189e-002	3.273017e+002
-3.615069e-002	3.230279e+002
-5.093541e-003	3.199406e+002
9.588346e-003	3.166160e+002
4.066082e-002	3.135290e+002
5.534079e-002	3.102044e+002
1.027885e-001	3.073545e+002
2.321356e-001	3.056913e+002
2.468175e-001	3.023667e+002
3.106520e-001	2.997543e+002
2.761966e-001	2.957178e+002
1.598208e-001	2.904944e+002
1.417541e-001	2.866954e+002
2.055752e-001	2.840828e+002
2.038818e-001	2.805210e+002
2.513295e-001	2.776711e+002
1.677196e-001	2.729225e+002
1.660243e-001	2.693606e+002
2.134720e-001	2.665108e+002
2.445426e-001	2.634237e+002
2.100872e-001	2.593872e+002
1.756299e-001	2.553507e+002
1.411572e-001	2.513139e+002
1.722316e-001	2.482269e+002
1.050104e-001	2.437156e+002
1.360809e-001	2.406285e+002
1.999001e-001	2.380159e+002
2.964851e-001	2.358780e+002
3.439310e-001	2.330281e+002
3.258643e-001	2.292291e+002
2.750183e-001	2.249551e+002
3.388384e-001	2.223425e+002
4.190482e-001	2.199673e+002
3.190639e-001	2.149814e+002
3.173705e-001	2.114196e+002
2.665399e-001	2.071459e+002
2.648331e-001	2.035838e+002
3.614325e-001	2.014462e+002
4.088773e-001	1.985963e+002
5.382254e-001	1.969331e+002
5.529073e-001	1.936085e+002
5.020603e-001	1.893345e+002
6.805619e-001	1.883835e+002
6.460902e-001	1.843467e+002
5.461213e-001	1.793611e+002
5.935671e-001	1.765112e+002
5.754850e-001	1.727119e+002
5.410287e-001	1.686754e+002
5.557096e-001	1.653508e+002
7.505865e-001	1.646371e+002
6.342279e-001	1.594139e+002
7.799503e-001	1.579879e+002
8.273952e-001	1.551381e+002
7.110376e-001	1.499149e+002
7.748567e-001	1.473023e+002
7.076518e-001	1.427913e+002
7.059450e-001	1.392293e+002
7.533755e-001	1.363792e+002
1.112054e+000	1.380387e+002
1.356067e+000	1.380368e+002
1.436278e+000	1.356616e+002
