    nm         	pN
0.000000e+000	3.700014e+002
8.643190e-002	3.677164e+002
2.672572e-001	3.667990e+002
3.064905e-001	3.638301e+002
3.614573e-001	3.610892e+002
1.332477e-001	3.542455e+002
1.252862e-001	3.505929e+002
1.645214e-001	3.476241e+002
1.093652e-001	3.432876e+002
3.847346e-002	3.387232e+002
7.770867e-002	3.357544e+002
3.828398e-002	3.316459e+002
-1.140702e-003	3.275374e+002
2.236291e-002	3.243407e+002
-9.572550e-002	3.190925e+002
3.790503e-002	3.174913e+002
4.567513e-002	3.140666e+002
6.248526e-003	3.099581e+002
4.548373e-002	3.069893e+002
2.105755e-001	3.058439e+002
7.675744e-002	3.003678e+002
-1.199889e-001	2.939800e+002
-3.167353e-001	2.875921e+002
-1.831067e-001	2.859909e+002
-4.948002e-002	2.843897e+002
-1.203679e-001	2.798253e+002
-8.113461e-002	2.768565e+002
-1.677560e-001	2.720642e+002
-1.914491e-001	2.681836e+002
-1.207507e-001	2.656707e+002
-9.724707e-002	2.624739e+002
-4.228027e-002	2.597330e+002
-8.170687e-002	2.556245e+002
-1.100656e-002	2.531116e+002
-6.616284e-002	2.487751e+002
5.173226e-002	2.469460e+002
-9.781934e-002	2.412419e+002
-9.004732e-002	2.378172e+002
-2.710611e-001	2.316573e+002
-2.318259e-001	2.286885e+002
-2.240568e-001	2.252638e+002
-2.949456e-001	2.206994e+002
-2.714439e-001	2.175026e+002
-1.535460e-001	2.156735e+002
-6.711406e-002	2.133885e+002
1.931784e-002	2.111035e+002
-8.303801e-002	2.060832e+002
8.205666e-002	2.049380e+002
1.370215e-001	2.021970e+002
-5.972675e-002	1.958091e+002
-2.722047e-001	1.891934e+002
-5.991431e-002	1.887319e+002
5.798078e-002	1.869027e+002
2.824505e-003	1.825663e+002
2.632620e-002	1.793695e+002
1.599548e-001	1.777683e+002
1.362608e-001	1.738878e+002
-1.076842e-001	1.668160e+002
-6.844712e-002	1.638473e+002
-1.236034e-001	1.595108e+002
-2.259602e-001	1.544905e+002
-9.233256e-002	1.528893e+002
-3.736288e-002	1.501485e+002
-2.026442e-001	1.442165e+002
-8.475002e-002	1.423874e+002
1.432701e-001	1.421538e+002
2.518358e-002	1.369056e+002
1.490493e-003	1.330250e+002
1.665842e-001	1.318797e+002
3.316760e-001	1.307344e+002
4.653027e-001	1.291331e+002
4.573412e-001	1.254805e+002
2.448613e-001	1.188647e+002
2.211682e-001	1.149841e+002
1.817435e-001	1.108757e+002
4.412306e-001	1.110980e+002
6.220560e-001	1.101806e+002
6.298241e-001	1.067558e+002
6.061310e-001	1.028753e+002
4.251162e-001	9.671534e+001
5.744765e-001	9.534210e+001
7.081051e-001	9.374090e+001
7.158771e-001	9.031623e+001
4.719340e-001	8.324454e+001
6.212942e-001	8.187129e+001
6.919926e-001	7.935833e+001
5.267075e-001	7.342629e+001
6.918012e-001	7.228099e+001
4.950548e-001	6.589311e+001
5.500235e-001	6.315225e+001
7.937752e-001	6.314661e+001
1.163384e+000	6.496442e+001
1.375674e+000	6.450293e+001
1.666622e+000	6.518109e+001
1.863179e+000	6.449165e+001
1.808023e+000	6.015522e+001
1.973115e+000	5.900987e+001
2.028083e+000	5.626901e+001
1.925727e+000	5.124874e+001
2.043625e+000	4.941964e+001
2.114324e+000	4.690668e+001
1.807451e+000	3.892322e+001
2.051204e+000	3.891758e+001
2.184831e+000	3.731638e+001
2.192605e+000	3.389172e+001
2.562213e+000	3.570953e+001
2.664377e+000	3.365248e+001
2.923864e+000	3.387479e+001
3.324939e+000	3.614851e+001
3.757476e+000	3.887809e+001
3.639389e+000	3.362991e+001
3.647163e+000	3.020525e+001
3.670665e+000	2.700848e+001
3.725630e+000	2.426757e+001
4.048047e+000	2.540164e+001
4.338995e+000	2.607980e+001
4.519819e+000	2.516240e+001
4.606250e+000	2.287740e+001
4.582557e+000	1.899682e+001
4.401543e+000	1.283689e+001
4.409315e+000	9.412228e+000
4.542943e+000	7.811025e+000
4.833892e+000	8.489187e+000
4.731537e+000	3.468908e+000
4.880897e+000	2.095658e+000
4.951596e+000	-4.172999e-001
5.211083e+000	-1.949873e-001
5.344709e+000	-1.796190e+000
5.604196e+000	-1.573881e+000
5.187198e+000	-1.115289e+001
5.824255e+000	-5.460093e+000
6.005080e+000	-6.377491e+000
5.934190e+000	-1.094186e+001
6.256602e+000	-9.807850e+000
6.327304e+000	-1.232076e+001
6.476665e+000	-1.369401e+001
6.783345e+000	-1.278795e+001
6.303420e+000	-2.327866e+001
6.201067e+000	-2.829888e+001
6.633603e+000	-2.556931e+001
6.609910e+000	-2.944988e+001
6.444629e+000	-3.538186e+001
6.609719e+000	-3.652721e+001
6.869206e+000	-3.630490e+001
7.411869e+000	-3.197977e+001
7.514033e+000	-3.403682e+001
7.584731e+000	-3.654978e+001
7.513842e+000	-4.111415e+001
7.804791e+000	-4.043599e+001
7.702439e+000	-4.545622e+001
7.710209e+000	-4.888093e+001
8.268604e+000	-4.432784e+001
7.961734e+000	-5.231124e+001
7.890845e+000	-5.687561e+001
8.905472e+000	-4.571238e+001
8.818848e+000	-5.050470e+001
8.999671e+000	-5.142211e+001
9.290626e+000	-5.074388e+001
9.015213e+000	-5.827148e+001
9.432022e+000	-5.576981e+001
1.016347e+001	-4.870940e+001
9.510495e+000	-6.170743e+001
9.958765e+000	-5.874990e+001
1.023398e+001	-5.829969e+001
1.030468e+001	-6.081260e+001
1.037538e+001	-6.332556e+001
1.044608e+001	-6.583852e+001
1.050105e+001	-6.857938e+001
1.096505e+001	-6.539390e+001
1.155491e+001	-6.038496e+001
1.168854e+001	-6.198616e+001
1.175924e+001	-6.449912e+001
1.142090e+001	-7.293842e+001
1.174332e+001	-7.180435e+001
1.220732e+001	-6.861887e+001
1.256120e+001	-6.702896e+001
1.261616e+001	-6.976986e+001
1.254527e+001	-7.433423e+001
1.286769e+001	-7.320018e+001
1.274960e+001	-7.844841e+001
1.329227e+001	-7.412321e+001
1.306406e+001	-8.096695e+001
1.327634e+001	-8.142850e+001
1.337851e+001	-8.348556e+001
1.354360e+001	-8.463091e+001
1.323673e+001	-9.261431e+001
1.376366e+001	-8.851706e+001
1.473109e+001	-7.803763e+001
1.602890e+001	-6.277152e+001
1.609960e+001	-6.528448e+001
1.601298e+001	-7.007675e+001
1.674442e+001	-6.301640e+001
1.694098e+001	-6.370585e+001
1.749938e+001	-5.915275e+001
1.761727e+001	-6.098185e+001
1.773517e+001	-6.281101e+001
1.763282e+001	-6.783123e+001
1.842719e+001	-5.985912e+001
1.860802e+001	-6.077652e+001
1.888324e+001	-6.032625e+001
1.874942e+001	-6.580239e+001
1.919769e+001	-6.284486e+001
1.907960e+001	-6.809304e+001
1.889859e+001	-7.425297e+001
1.912661e+001	-7.448657e+001
1.916584e+001	-7.745538e+001
1.967704e+001	-7.358610e+001
1.996799e+001	-7.290793e+001
2.047919e+001	-6.903864e+001
2.032964e+001	-7.474273e+001
2.010143e+001	-8.158647e+001
2.058117e+001	-7.817303e+001
2.205203e+001	-6.039960e+001
2.357008e+001	-4.194236e+001
2.493082e+001	-2.576449e+001
2.581959e+001	-1.642477e+001
2.570150e+001	-2.167295e+001
2.600818e+001	-2.076683e+001
2.593729e+001	-2.533121e+001
2.655862e+001	-1.986636e+001
2.684957e+001	-1.918820e+001
2.747089e+001	-1.372335e+001
2.787197e+001	-1.144963e+001
2.802133e+001	-1.282287e+001
2.758860e+001	-2.262984e+001
2.784808e+001	-2.240753e+001
2.768280e+001	-2.833951e+001
2.831986e+001	-2.264676e+001
2.897265e+001	-1.672601e+001
2.883883e+001	-2.220214e+001
2.906685e+001	-2.243574e+001
2.927914e+001	-2.289723e+001
3.012072e+001	-1.424126e+001
2.990823e+001	-2.085710e+001
2.988454e+001	-2.473767e+001
3.003390e+001	-2.611092e+001
2.974276e+001	-3.386642e+001
3.030116e+001	-2.931333e+001
2.978977e+001	-4.025995e+001
3.055268e+001	-3.274363e+001
3.090656e+001	-3.115377e+001
3.107165e+001	-3.229907e+001
3.120528e+001	-3.390027e+001
3.099280e+001	-4.051606e+001
3.164559e+001	-3.459535e+001
3.209386e+001	-3.163783e+001
3.229042e+001	-3.232727e+001
3.217233e+001	-3.757545e+001
3.273073e+001	-3.302236e+001
3.325766e+001	-2.892512e+001
3.302944e+001	-3.576892e+001
3.319454e+001	-3.691421e+001
3.354842e+001	-3.532429e+001
3.371351e+001	-3.646965e+001
3.427191e+001	-3.191656e+001
3.468871e+001	-2.941488e+001
3.461782e+001	-3.397925e+001
3.449974e+001	-3.922743e+001
3.477495e+001	-3.877722e+001
3.516030e+001	-3.673139e+001
3.502648e+001	-4.220753e+001
3.517584e+001	-4.358083e+001
3.540386e+001	-4.381437e+001
3.522285e+001	-4.997431e+001
3.538793e+001	-5.111966e+001
3.589913e+001	-4.725037e+001
3.614289e+001	-4.725602e+001
3.666982e+001	-4.315878e+001
3.642588e+001	-5.023047e+001
3.677976e+001	-4.864055e+001
3.740108e+001	-4.317570e+001
3.687396e+001	-5.435027e+001
3.681880e+001	-5.868669e+001
3.729854e+001	-5.527326e+001
3.738497e+001	-5.755827e+001
3.797483e+001	-5.254933e+001
3.779381e+001	-5.870926e+001
3.860392e+001	-5.050920e+001
3.883195e+001	-5.074274e+001
3.967352e+001	-4.208682e+001
4.059375e+001	-3.229114e+001
4.069592e+001	-3.434825e+001
4.064076e+001	-3.868467e+001
4.091597e+001	-3.823446e+001
4.122266e+001	-3.732835e+001
4.118324e+001	-4.143681e+001
4.128540e+001	-4.349392e+001
4.116731e+001	-4.874210e+001
4.109642e+001	-5.330647e+001
4.171775e+001	-4.784163e+001
4.233907e+001	-4.237678e+001
4.247270e+001	-4.397798e+001
4.271645e+001	-4.398362e+001
4.280288e+001	-4.626863e+001
4.281065e+001	-4.969335e+001
4.297575e+001	-5.083865e+001
4.320377e+001	-5.107224e+001
4.440718e+001	-3.717373e+001
4.540608e+001	-2.623840e+001
4.588581e+001	-2.282502e+001
4.601944e+001	-2.442622e+001
4.621600e+001	-2.511567e+001
4.705757e+001	-1.645970e+001
4.676643e+001	-2.421519e+001
4.644383e+001	-3.242654e+001
4.670331e+001	-3.220429e+001
4.700999e+001	-3.129817e+001
4.788303e+001	-2.218635e+001
4.789080e+001	-2.561101e+001
4.737941e+001	-3.655763e+001
4.752878e+001	-3.793088e+001
4.854340e+001	-2.676765e+001
4.889728e+001	-2.517773e+001
4.912530e+001	-2.541132e+001
4.851952e+001	-3.772555e+001
4.918804e+001	-3.157690e+001
4.930594e+001	-3.340600e+001
4.950249e+001	-3.409545e+001
5.046993e+001	-2.361602e+001
5.022598e+001	-3.068771e+001
5.006070e+001	-3.661969e+001
5.019433e+001	-3.822090e+001
5.017063e+001	-4.210146e+001
5.080769e+001	-3.640866e+001
5.138182e+001	-3.162768e+001
5.127946e+001	-3.664790e+001
5.136589e+001	-3.893291e+001
5.178271e+001	-3.643123e+001
5.179047e+001	-3.985595e+001
5.234887e+001	-3.530286e+001
5.213639e+001	-4.191865e+001
5.209696e+001	-4.602717e+001
5.219913e+001	-4.808422e+001
5.244288e+001	-4.808987e+001
5.320580e+001	-4.057360e+001
5.338662e+001	-4.149101e+001
5.363037e+001	-4.149665e+001
5.406291e+001	-3.876701e+001
5.413361e+001	-4.127998e+001
5.371662e+001	-5.085899e+001
5.457392e+001	-4.197507e+001
5.425132e+001	-5.018641e+001
5.436921e+001	-5.201557e+001
5.420393e+001	-5.794755e+001
5.529722e+001	-4.564460e+001
5.587135e+001	-4.086362e+001
5.586339e+001	-4.451623e+001
5.547786e+001	-5.363934e+001
5.554855e+001	-5.615230e+001
5.582377e+001	-5.570204e+001
5.603606e+001	-5.616358e+001
5.651579e+001	-5.275015e+001
5.661796e+001	-5.480726e+001
5.667293e+001	-5.754812e+001
5.697961e+001	-5.664200e+001
5.709750e+001	-5.847116e+001
5.735699e+001	-5.824885e+001
5.823003e+001	-4.913702e+001
5.746692e+001	-6.373062e+001
5.783653e+001	-6.191275e+001
5.881970e+001	-5.120536e+001
5.989725e+001	-3.913037e+001
6.003088e+001	-4.073157e+001
6.120283e+001	-2.728892e+001
6.161964e+001	-2.478730e+001
6.198925e+001	-2.296942e+001
6.305108e+001	-1.112238e+001
6.335775e+001	-1.021627e+001
6.254746e+001	-2.549367e+001
6.315305e+001	-2.025678e+001
6.402608e+001	-1.114495e+001
6.401812e+001	-1.479757e+001
6.405736e+001	-1.776638e+001
6.379769e+001	-2.506597e+001
6.418303e+001	-2.302020e+001
6.450544e+001	-2.188619e+001
6.552007e+001	-1.072290e+001
6.543345e+001	-1.551522e+001
6.564574e+001	-1.597671e+001
6.614120e+001	-1.233538e+001
6.570848e+001	-2.214229e+001
6.565332e+001	-2.647877e+001
6.655782e+001	-1.691104e+001
6.710048e+001	-1.258591e+001
6.677788e+001	-2.079725e+001
6.691151e+001	-2.239845e+001
6.712380e+001	-2.285995e+001
6.721023e+001	-2.514496e+001
6.767423e+001	-2.195953e+001
6.818543e+001	-1.809024e+001
6.836625e+001	-1.900759e+001
6.856281e+001	-1.969709e+001
6.857059e+001	-2.312175e+001
6.835810e+001	-2.973754e+001
6.935700e+001	-1.880225e+001
6.911306e+001	-2.587395e+001
6.908936e+001	-2.975446e+001
7.000960e+001	-1.995884e+001
7.064666e+001	-1.426609e+001
7.079601e+001	-1.563934e+001
7.100830e+001	-1.610084e+001
7.123632e+001	-1.633443e+001
7.110251e+001	-2.181056e+001
7.128333e+001	-2.272796e+001
7.121244e+001	-2.729234e+001
7.115728e+001	-3.162876e+001
7.193593e+001	-2.388454e+001
7.210102e+001	-2.502989e+001
7.195148e+001	-3.073392e+001
