    nm         	pN
0.000000e+000	7.058719e+002
6.436784e-003	7.024278e+002
-9.799088e-002	6.973775e+002
-1.580705e-001	6.929698e+002
-4.398713e-001	6.853496e+002
-4.334345e-001	6.819056e+002
-7.152391e-001	6.742853e+002
-9.526957e-001	6.673077e+002
-1.212321e+000	6.600088e+002
-1.272400e+000	6.556010e+002
-1.399000e+000	6.502295e+002
-1.392571e+000	6.467853e+002
-1.408302e+000	6.430201e+002
-1.512730e+000	6.379698e+002
-1.705846e+000	6.316346e+002
-1.765926e+000	6.272268e+002
-1.959034e+000	6.208917e+002
-2.085634e+000	6.155201e+002
-2.079193e+000	6.120762e+002
-2.139281e+000	6.076683e+002
-2.332389e+000	6.013331e+002
-2.547677e+000	5.946766e+002
-2.718618e+000	5.886627e+002
-2.867386e+000	5.829700e+002
-2.794436e+000	5.804896e+002
-2.854516e+000	5.760818e+002
-3.069804e+000	5.694253e+002
-3.373777e+000	5.614839e+002
-3.345172e+000	5.583611e+002
-3.626965e+000	5.507410e+002
-3.797913e+000	5.447269e+002
-3.747132e+000	5.419254e+002
-3.873732e+000	5.365539e+002
-4.066841e+000	5.302187e+002
-4.038236e+000	5.270959e+002
-4.076143e+000	5.230094e+002
-4.224911e+000	5.173166e+002
-4.307167e+000	5.125876e+002
-4.633312e+000	5.043249e+002
-4.582534e+000	5.015233e+002
-4.398720e+000	5.006492e+002
-4.347943e+000	4.978477e+002
-4.563232e+000	4.911911e+002
-4.955889e+000	4.819648e+002
-5.038145e+000	4.772358e+002
-4.987364e+000	4.744342e+002
-5.313509e+000	4.661715e+002
-5.484447e+000	4.601576e+002
-5.322811e+000	4.589622e+002
-5.338550e+000	4.551969e+002
-5.398630e+000	4.507891e+002
-5.658259e+000	4.434902e+002
-5.496621e+000	4.422948e+002
-5.312809e+000	4.414207e+002
-5.505923e+000	4.350855e+002
-5.743380e+000	4.281078e+002
-5.648253e+000	4.259487e+002
-5.397928e+000	4.260383e+002
-5.480178e+000	4.213093e+002
-5.695466e+000	4.146528e+002
-5.888583e+000	4.083176e+002
-5.882144e+000	4.048736e+002
-6.141771e+000	3.975747e+002
-6.290539e+000	3.918819e+002
-6.638860e+000	3.832980e+002
-6.499396e+000	3.817813e+002
-6.537305e+000	3.776948e+002
-7.018649e+000	3.671835e+002
-6.990042e+000	3.640607e+002
-6.894921e+000	3.619016e+002
-6.888484e+000	3.584576e+002
-7.059430e+000	3.524435e+002
-7.562952e+000	3.416109e+002
-7.201761e+000	3.433068e+002
-7.350528e+000	3.376141e+002
-7.521475e+000	3.316000e+002
-7.515037e+000	3.281560e+002
-7.286880e+000	3.279244e+002
-7.701716e+000	3.183767e+002
-7.783965e+000	3.136477e+002
-7.755357e+000	3.105250e+002
-7.638069e+000	3.086870e+002
-7.698149e+000	3.042793e+002
-7.713880e+000	3.005141e+002
-7.995685e+000	2.928938e+002
-7.944908e+000	2.900922e+002
-8.248882e+000	2.821508e+002
-8.198104e+000	2.793492e+002
-8.479900e+000	2.717291e+002
-8.628668e+000	2.660364e+002
-8.755267e+000	2.606649e+002
-8.549282e+000	2.601120e+002
-8.720228e+000	2.540979e+002
-8.558585e+000	2.529026e+002
-8.685182e+000	2.475311e+002
-8.745262e+000	2.431234e+002
-8.672314e+000	2.406430e+002
-8.577190e+000	2.384840e+002
-8.836822e+000	2.311850e+002
-8.830385e+000	2.277409e+002
-8.956981e+000	2.223694e+002
-9.216610e+000	2.150705e+002
-9.032804e+000	2.141963e+002
-8.605101e+000	2.168559e+002
-8.798213e+000	2.105207e+002
-8.703092e+000	2.083616e+002
-8.874028e+000	2.023476e+002
-8.889771e+000	1.985823e+002
-8.838986e+000	1.957808e+002
-9.054270e+000	1.891243e+002
-9.313907e+000	1.818253e+002
-9.196610e+000	1.799875e+002
-9.168001e+000	1.768647e+002
-9.139391e+000	1.737419e+002
-9.132955e+000	1.702979e+002
-8.239641e+000	1.797035e+002
-7.922798e+000	1.807568e+002
-7.495099e+000	1.834163e+002
-7.976449e+000	1.729049e+002
-7.349200e+000	1.784556e+002
-6.965841e+000	1.804727e+002
-7.203298e+000	1.734950e+002
-6.908623e+000	1.742271e+002
-6.414403e+000	1.778503e+002
-6.563171e+000	1.721576e+002
-6.800628e+000	1.651799e+002
-6.905056e+000	1.601296e+002
-6.854278e+000	1.573280e+002
-6.249202e+000	1.625575e+002
-6.686204e+000	1.526886e+002
-6.635427e+000	1.498871e+002
-6.318584e+000	1.509404e+002
-6.134774e+000	1.500662e+002
-6.549604e+000	1.405187e+002
-6.321446e+000	1.402870e+002
-5.450311e+000	1.493713e+002
-6.153379e+000	1.356475e+002
-5.991737e+000	1.344522e+002
-5.985304e+000	1.310081e+002
-6.001036e+000	1.272429e+002
-6.061127e+000	1.228350e+002
-5.589075e+000	1.261371e+002
-5.427442e+000	1.249417e+002
-5.820095e+000	1.157154e+002
-6.168416e+000	1.071314e+002
-5.851573e+000	1.081847e+002
-5.867305e+000	1.044195e+002
-5.217888e+000	1.102914e+002
-5.721410e+000	9.945879e+001
-5.892347e+000	9.344484e+001
-6.063287e+000	8.743090e+001
-5.635588e+000	9.009040e+001
-5.939560e+000	8.214896e+001
-5.777923e+000	8.095356e+001
-5.638457e+000	7.943695e+001
-5.720708e+000	7.470798e+001
-5.536895e+000	7.383391e+001
-5.641323e+000	6.878361e+001
-5.701402e+000	6.437585e+001
-5.827998e+000	5.900434e+001
-5.710704e+000	5.716652e+001
-5.371690e+000	5.854105e+001
-5.298740e+000	5.606069e+001
-4.848865e+000	5.904152e+001
-4.487678e+000	6.073728e+001
-4.525589e+000	5.665075e+001
-4.430464e+000	5.449170e+001
-4.512720e+000	4.976262e+001
-4.949725e+000	3.989377e+001
-4.876768e+000	3.741352e+001
-4.094315e+000	4.521290e+001
-4.110054e+000	4.144757e+001
-3.970588e+000	3.993096e+001
-4.075016e+000	3.488067e+001
-4.112927e+000	3.079412e+001
-3.884769e+000	3.056248e+001
-4.454804e+000	1.876624e+001
-3.982760e+000	2.206817e+001
-3.688089e+000	2.280028e+001
-3.859026e+000	1.678634e+001
-3.830417e+000	1.366355e+001
-3.580094e+000	1.375312e+001
-3.684522e+000	8.702832e+000
-3.921979e+000	1.725132e+000
-4.336812e+000	-7.822498e+000
-4.662957e+000	-1.608517e+001
-4.323935e+000	-1.471052e+001
-4.029268e+000	-1.397851e+001
-4.155868e+000	-1.935002e+001
-4.193772e+000	-2.343646e+001
-4.165170e+000	-2.655936e+001
-4.291766e+000	-3.193087e+001
-4.107953e+000	-3.280494e+001
-3.879798e+000	-3.303658e+001
-4.028566e+000	-3.872931e+001
-3.756072e+000	-3.831853e+001
-3.749635e+000	-4.176252e+001
-3.632338e+000	-4.360036e+001
-3.625908e+000	-4.704446e+001
-3.220377e+000	-4.470616e+001
-2.792674e+000	-4.204666e+001
-7.907576e-001	-1.657894e+001
9.007491e-001	4.391337e+000
2.126637e+000	1.861545e+001
2.886922e+000	2.609362e+001
2.250371e+000	1.333361e+001
3.032825e+000	2.113301e+001
2.994917e+000	1.704645e+001
3.067863e+000	1.456609e+001
2.963443e+000	9.515901e+000
2.947704e+000	5.750572e+000
3.796678e+000	1.451371e+001
4.113520e+000	1.556705e+001
3.853884e+000	8.268023e+000
4.503312e+000	1.414001e+001
4.775807e+000	1.455080e+001
5.203514e+000	1.721041e+001
5.409492e+000	1.665745e+001
5.105523e+000	8.716107e+000
5.156304e+000	5.914528e+000
5.406627e+000	6.004106e+000
5.413067e+000	2.560094e+000
5.663390e+000	2.649678e+000
6.091093e+000	5.309185e+000
7.494362e+000	2.210334e+001
7.988581e+000	2.572660e+001
7.684609e+000	1.778515e+001
8.112312e+000	2.044467e+001
7.697478e+000	1.089704e+001
7.593051e+000	5.846743e+000
7.488627e+000	7.965520e-001
7.428548e+000	-3.611203e+000
7.944939e+000	3.332718e-001
8.084405e+000	-1.183336e+000
8.445588e+000	5.124175e-001
8.806778e+000	2.208276e+000
9.079273e+000	2.619077e+000
9.396116e+000	3.672394e+000
9.845995e+000	6.653235e+000
1.018501e+001	8.027775e+000
1.079009e+001	1.325723e+001
1.030874e+001	2.745834e+000
1.040386e+001	5.867897e-001
1.076504e+001	2.282553e+000
1.099320e+001	2.050913e+000
1.097746e+001	-1.714400e+000
1.244725e+001	1.604350e+001
1.229848e+001	1.035077e+001
1.263749e+001	1.172531e+001
1.291000e+001	1.213621e+001
1.289426e+001	8.370876e+000
1.256811e+001	1.082197e-001
1.279627e+001	-1.234151e-001
1.313528e+001	1.251115e+000
1.316389e+001	-1.871668e+000
1.281557e+001	-1.045555e+001
1.333196e+001	-6.511068e+000
1.353795e+001	-7.063931e+000
1.352221e+001	-1.082925e+001
1.437118e+001	-2.066124e+000
1.402286e+001	-1.065010e+001
1.533744e+001	4.859081e+000
1.549908e+001	3.663692e+000
1.506207e+001	-6.205155e+000
1.500199e+001	-1.061292e+001
1.485323e+001	-1.630565e+001
1.550265e+001	-1.043365e+001
1.579732e+001	-9.701655e+000
1.615851e+001	-8.005787e+000
1.651969e+001	-6.310028e+000
1.626006e+001	-1.360894e+001
1.622215e+001	-1.769549e+001
1.713764e+001	-7.968698e+000
1.747666e+001	-6.594063e+000
1.668490e+001	-2.160279e+001
1.624789e+001	-3.147173e+001
1.698601e+001	-2.431477e+001
1.730285e+001	-2.326145e+001
1.730928e+001	-2.670556e+001
1.707182e+001	-3.368325e+001
1.785428e+001	-2.588387e+001
1.828198e+001	-2.322427e+001
1.795584e+001	-3.148693e+001
1.787358e+001	-3.621601e+001
1.901079e+001	-2.327674e+001
1.917243e+001	-2.447215e+001
1.900148e+001	-3.048609e+001
1.958439e+001	-2.557786e+001
1.908087e+001	-3.641046e+001
1.915382e+001	-3.889082e+001
1.933763e+001	-3.976490e+001
1.949927e+001	-4.096028e+001
1.932833e+001	-4.697423e+001
2.086463e+001	-2.825266e+001
2.144754e+001	-2.334443e+001
2.271778e+001	-8.477784e+000
2.449797e+001	1.377746e+001
2.565735e+001	2.703793e+001
2.655066e+001	3.644350e+001
2.655710e+001	3.299949e+001
2.691828e+001	3.469525e+001
2.803332e+001	4.731329e+001
2.766283e+001	3.840809e+001
2.780229e+001	3.689148e+001
2.718792e+001	2.445270e+001
2.721652e+001	2.132991e+001
2.735599e+001	1.981330e+001
2.771718e+001	2.150915e+001
2.803402e+001	2.256248e+001
2.850606e+001	2.586443e+001
2.880074e+001	2.659653e+001
2.900672e+001	2.604368e+001
2.919053e+001	2.516951e+001
2.897524e+001	1.851302e+001
3.020114e+001	3.273725e+001
2.976413e+001	2.286840e+001
2.985926e+001	2.070936e+001
3.006523e+001	2.015640e+001
3.033774e+001	2.056730e+001
3.016680e+001	1.455325e+001
3.088273e+001	2.138897e+001
3.091134e+001	1.826619e+001
3.127253e+001	1.996194e+001
3.065815e+001	7.523163e+000
3.095282e+001	8.255271e+000
3.071537e+001	1.277582e+000
3.143130e+001	8.113215e+000
3.024044e+001	-1.267791e+001
3.088987e+001	-6.805934e+000
3.171667e+001	1.635978e+000
3.136835e+001	-6.947996e+000
3.172954e+001	-5.252138e+000
3.197987e+001	-5.162555e+000
3.172024e+001	-1.246147e+001
3.201491e+001	-1.172947e+001
3.224306e+001	-1.196111e+001
3.273728e+001	-8.337836e+000
3.256634e+001	-1.435178e+001
3.235105e+001	-2.100827e+001
3.244618e+001	-2.316730e+001
3.305125e+001	-1.793787e+001
3.299118e+001	-2.234561e+001
3.293110e+001	-2.675337e+001
3.278232e+001	-3.244621e+001
3.398604e+001	-1.854320e+001
3.660877e+001	1.591918e+001
3.783467e+001	3.014340e+001
3.826237e+001	3.280292e+001
3.789189e+001	2.389782e+001
3.820872e+001	2.495104e+001
3.932376e+001	3.756908e+001
3.933020e+001	3.412507e+001
3.938097e+001	3.132350e+001
3.912134e+001	2.402447e+001
3.912778e+001	2.058046e+001
3.935593e+001	2.034882e+001
4.004970e+001	2.686324e+001
4.001179e+001	2.277671e+001
3.935307e+001	9.695482e+000
3.960339e+001	9.785060e+000
3.972069e+001	7.947229e+000
4.008188e+001	9.643003e+000
3.942315e+001	-3.438315e+000
4.009474e+001	2.754866e+000
4.063331e+001	7.020669e+000
4.048454e+001	1.327947e+000
4.038011e+001	-3.722349e+000
4.014266e+001	-1.070005e+001
4.052602e+001	-8.682957e+000
4.108675e+001	-4.096046e+000
4.147011e+001	-2.078970e+000
4.092224e+001	-1.355411e+001
4.148298e+001	-8.967092e+000
4.224326e+001	-1.488918e+000
4.282617e+001	3.419306e+000
4.329821e+001	6.721245e+000
4.414718e+001	1.548437e+001
4.426447e+001	1.364655e+001
4.427091e+001	1.020244e+001
4.480948e+001	1.446824e+001
4.787564e+001	5.535547e+001
4.883548e+001	6.572479e+001
4.941838e+001	7.063292e+001
4.940264e+001	6.686771e+001
4.907650e+001	5.860503e+001
4.957072e+001	6.222830e+001
5.022013e+001	6.810016e+001
5.004920e+001	6.208623e+001
5.007781e+001	5.896344e+001
5.043899e+001	6.065919e+001
5.066714e+001	6.042756e+001
4.987539e+001	4.541884e+001
4.923884e+001	3.265883e+001
5.046473e+001	4.688305e+001
5.091460e+001	4.986378e+001
5.065498e+001	4.256487e+001
5.092748e+001	4.297566e+001
5.179862e+001	5.206001e+001
5.244804e+001	5.793200e+001
5.201103e+001	4.806304e+001
5.259394e+001	5.297128e+001
5.308816e+001	5.659454e+001
5.375975e+001	6.278774e+001
5.330058e+001	5.259768e+001
5.503643e+001	7.421039e+001
5.544196e+001	7.654868e+001
5.498278e+001	6.635851e+001
5.534397e+001	6.805437e+001
5.484045e+001	5.722177e+001
5.509077e+001	5.731134e+001
5.613929e+001	6.896565e+001
5.530319e+001	5.331438e+001
5.550917e+001	5.276152e+001
5.518303e+001	4.449886e+001
5.556639e+001	4.651594e+001
5.555065e+001	4.275061e+001
5.635527e+001	5.087121e+001
5.640605e+001	4.806974e+001
5.678941e+001	5.008672e+001
5.679585e+001	4.664269e+001
5.651404e+001	3.902246e+001
5.672003e+001	3.846962e+001
5.650475e+001	3.181314e+001
5.750892e+001	4.282498e+001
5.658413e+001	2.588876e+001
5.652405e+001	2.148100e+001
5.686306e+001	2.285555e+001
5.755683e+001	2.936996e+001
5.758544e+001	2.624717e+001
5.714843e+001	1.637832e+001
5.779785e+001	2.225020e+001
5.800384e+001	2.169735e+001
5.816548e+001	2.050206e+001
5.783933e+001	1.223938e+001
5.791228e+001	9.759038e+000
5.891646e+001	2.077079e+001
5.890072e+001	1.700556e+001
5.904019e+001	1.548894e+001
5.913531e+001	1.332981e+001
5.907523e+001	8.922045e+000
5.897080e+001	3.871755e+000
5.942068e+001	6.852585e+000
5.900585e+001	-2.695054e+000
5.927834e+001	-2.284253e+000
5.994993e+001	3.908928e+000
5.997855e+001	7.861401e-001
6.009584e+001	-1.051675e+000
5.999141e+001	-6.101966e+000
6.024174e+001	-6.012398e+000
6.000428e+001	-1.299010e+001
6.018809e+001	-1.386417e+001
5.964023e+001	-2.533920e+001
6.099916e+001	-9.187580e+000
6.082821e+001	-1.520163e+001
6.090117e+001	-1.768188e+001
6.064153e+001	-2.498089e+001
6.104706e+001	-2.264260e+001
6.147477e+001	-1.998300e+001
6.083822e+001	-3.274308e+001
6.106637e+001	-3.297472e+001
6.142756e+001	-3.127886e+001
6.094621e+001	-4.179024e+001
6.181735e+001	-3.270591e+001
6.129167e+001	-4.385972e+001
6.123158e+001	-4.826748e+001
6.154843e+001	-4.721415e+001
6.184309e+001	-4.648215e+001
6.171649e+001	-5.185365e+001
6.207768e+001	-5.015779e+001
6.190675e+001	-5.617173e+001
6.229010e+001	-5.415476e+001
6.205264e+001	-6.113245e+001
6.190388e+001	-6.682518e+001
6.222071e+001	-6.577185e+001
6.218281e+001	-6.985840e+001
6.192317e+001	-7.715732e+001
6.226219e+001	-7.578278e+001
6.213559e+001	-8.115428e+001
6.209768e+001	-8.524083e+001
6.245887e+001	-8.354497e+001
6.262051e+001	-8.474036e+001
6.251608e+001	-8.979067e+001
6.258904e+001	-9.227093e+001
6.246244e+001	-9.764243e+001
6.257974e+001	-9.948025e+001
6.296309e+001	-9.746329e+001
6.285867e+001	-1.025135e+002
6.257687e+001	-1.101337e+002
6.238376e+001	-1.164689e+002
6.245671e+001	-1.189492e+002
6.259617e+001	-1.204658e+002
6.289084e+001	-1.197337e+002
6.309683e+001	-1.202866e+002
6.290372e+001	-1.266218e+002
6.322055e+001	-1.255685e+002
6.298310e+001	-1.325462e+002
6.283433e+001	-1.382389e+002
6.348375e+001	-1.323671e+002
6.355670e+001	-1.348473e+002
6.303101e+001	-1.460011e+002
6.332568e+001	-1.452691e+002
6.346514e+001	-1.467857e+002
6.331638e+001	-1.524785e+002
6.330065e+001	-1.562437e+002
6.401658e+001	-1.494081e+002
6.382346e+001	-1.557433e+002
6.420682e+001	-1.537262e+002
6.470104e+001	-1.501030e+002
6.481834e+001	-1.519408e+002
6.460305e+001	-1.585973e+002
6.560722e+001	-1.475855e+002
6.725439e+001	-1.272577e+002
6.792598e+001	-1.210646e+002
6.864192e+001	-1.142288e+002
6.809405e+001	-1.257040e+002
6.774574e+001	-1.342879e+002
6.766349e+001	-1.390168e+002
6.851246e+001	-1.302538e+002
6.867410e+001	-1.314491e+002
6.870270e+001	-1.345719e+002
6.886435e+001	-1.357673e+002
6.940290e+001	-1.315016e+002
6.956454e+001	-1.326970e+002
6.994790e+001	-1.306799e+002
7.006520e+001	-1.325177e+002
7.067027e+001	-1.272883e+002
7.096495e+001	-1.265562e+002
7.128179e+001	-1.255029e+002
7.201989e+001	-1.183460e+002
7.240325e+001	-1.163289e+002
7.334091e+001	-1.062808e+002
7.463332e+001	-9.109295e+001
7.603659e+001	-7.429880e+001
7.573262e+001	-8.224024e+001
7.584992e+001	-8.407805e+001
7.636631e+001	-8.013357e+001
7.694921e+001	-7.522535e+001
7.702216e+001	-7.770570e+001
7.691774e+001	-8.275591e+001
7.738979e+001	-7.945396e+001
7.768445e+001	-7.872185e+001
7.731396e+001	-8.762705e+001
7.720954e+001	-9.267725e+001
7.726032e+001	-9.547882e+001
7.782106e+001	-9.089180e+001
7.762794e+001	-9.722707e+001
7.790044e+001	-9.681627e+001
7.810642e+001	-9.736913e+001
7.957621e+001	-7.961122e+001
8.018129e+001	-7.438177e+001
8.147369e+001	-5.919390e+001
8.728919e+001	2.152723e+001
8.993409e+001	5.631084e+001
9.045048e+001	6.025531e+001
8.985828e+001	4.813775e+001
9.132806e+001	6.589566e+001
9.162273e+001	6.662777e+001
9.140745e+001	5.997128e+001
9.141388e+001	5.652718e+001
9.173072e+001	5.758050e+001
9.264621e+001	6.730739e+001
9.338432e+001	7.446423e+001
9.436632e+001	8.515477e+001
9.419539e+001	7.914083e+001
9.375837e+001	6.927198e+001
9.354309e+001	6.261550e+001
9.357170e+001	5.949271e+001
9.377769e+001	5.893985e+001
9.385063e+001	5.645949e+001
9.454440e+001	6.297391e+001
9.539337e+001	7.173704e+001
9.590976e+001	7.568152e+001
9.549493e+001	6.613389e+001
9.525747e+001	5.915619e+001
9.490915e+001	5.057231e+001
9.620156e+001	6.576018e+001
9.565370e+001	5.428515e+001
9.612574e+001	5.758709e+001
9.670865e+001	6.249533e+001
9.738024e+001	6.868852e+001
9.676587e+001	5.624974e+001
9.794741e+001	6.983143e+001
9.833077e+001	7.184851e+001
9.898020e+001	7.772049e+001
9.894229e+001	7.363395e+001
9.819487e+001	5.926765e+001
9.833434e+001	5.775104e+001
9.902811e+001	6.426546e+001
9.976622e+001	7.142242e+001
9.970614e+001	6.701465e+001
9.920262e+001	5.618205e+001
9.934208e+001	5.466544e+001
9.945937e+001	5.282752e+001
9.948798e+001	4.970472e+001
9.938356e+001	4.465453e+001
1.003212e+002	5.470253e+001
1.008598e+002	5.896832e+001
1.015092e+002	6.484021e+001
1.009170e+002	5.272264e+001
1.004356e+002	4.221136e+001
1.007525e+002	4.326468e+001
1.019562e+002	5.716759e+001
1.022952e+002	5.854214e+001
1.014148e+002	4.224844e+001
1.016651e+002	4.233812e+001
1.016494e+002	3.857280e+001
1.028087e+002	5.183327e+001
1.034138e+002	5.706271e+001
1.035090e+002	5.490367e+001
1.040032e+002	5.852693e+001
1.045417e+002	6.279263e+001
1.044373e+002	5.774234e+001
1.051976e+002	6.522050e+001
1.055366e+002	6.659504e+001
1.057426e+002	6.604219e+001
1.056825e+002	6.163443e+001
1.060880e+002	6.397272e+001
1.058949e+002	5.763746e+001
1.063448e+002	6.061829e+001
1.062847e+002	5.621053e+001
1.058477e+002	4.634158e+001
1.061424e+002	4.707369e+001
1.063484e+002	4.652083e+001
1.067761e+002	4.918034e+001
1.076472e+002	5.826470e+001
1.075650e+002	5.353572e+001
1.076157e+002	5.073414e+001
1.084869e+002	5.981850e+001
1.078281e+002	4.673718e+001
1.080563e+002	4.650553e+001
1.085727e+002	5.045001e+001
1.091113e+002	5.471582e+001
1.096276e+002	5.866029e+001
1.096563e+002	5.553749e+001
1.097735e+002	5.369957e+001
1.090483e+002	3.965460e+001
1.100747e+002	5.098767e+001
1.106132e+002	5.525337e+001
1.105088e+002	5.020307e+001
1.108035e+002	5.093518e+001
1.112090e+002	5.327348e+001
1.117476e+002	5.753917e+001
1.119092e+002	5.634388e+001
1.124921e+002	6.125212e+001
1.126537e+002	6.005672e+001
1.123276e+002	5.179406e+001
1.127331e+002	5.413236e+001
1.128948e+002	5.293696e+001
1.129677e+002	5.045659e+001
1.133511e+002	5.247367e+001
1.131358e+002	4.581719e+001
1.130535e+002	4.108823e+001
1.137916e+002	4.824508e+001
1.141085e+002	4.929840e+001
1.149575e+002	5.806153e+001
1.148087e+002	5.236880e+001
1.137730e+002	3.382639e+001
1.141786e+002	3.616469e+001
1.146728e+002	3.978795e+001
1.152114e+002	4.405375e+001
1.150626e+002	3.836092e+001
1.163328e+002	5.322768e+001
1.160954e+002	4.624999e+001
1.166118e+002	5.019447e+001
1.155539e+002	3.133083e+001
1.154052e+002	2.563810e+001
1.161876e+002	3.343750e+001
1.164601e+002	3.384829e+001
1.171095e+002	3.972026e+001
1.170938e+002	3.595494e+001
1.176767e+002	4.086317e+001
1.177053e+002	3.774038e+001
1.178891e+002	3.686620e+001
1.184055e+002	4.081078e+001
1.184341e+002	3.768789e+001
1.185958e+002	3.649260e+001
1.191787e+002	4.140073e+001
1.194512e+002	4.181162e+001
1.192802e+002	3.579768e+001
1.195749e+002	3.652969e+001
1.196700e+002	3.437065e+001
1.201199e+002	3.735138e+001
1.204589e+002	3.872601e+001
1.203988e+002	3.431815e+001
1.214917e+002	4.661497e+001
1.223850e+002	5.602055e+001
1.214602e+002	3.908433e+001
1.213336e+002	3.371291e+001
1.222491e+002	4.343969e+001
1.218786e+002	3.453460e+001
1.218851e+002	3.109049e+001
1.225566e+002	3.728369e+001
1.225853e+002	3.416089e+001
1.231016e+002	3.810537e+001
1.239284e+002	4.654719e+001
1.238905e+002	4.246075e+001
1.238304e+002	3.805289e+001
1.238812e+002	3.525140e+001
1.238877e+002	3.180730e+001
1.244706e+002	3.671553e+001
1.255634e+002	4.901225e+001
1.259690e+002	5.135055e+001
1.257093e+002	4.405163e+001
1.252723e+002	3.418279e+001
1.254561e+002	3.330860e+001
1.255734e+002	3.147078e+001
1.262894e+002	3.830641e+001
1.260741e+002	3.165004e+001
1.263244e+002	3.173961e+001
1.268186e+002	3.536288e+001
1.272242e+002	3.770117e+001
1.263659e+002	2.172870e+001
1.279022e+002	4.045026e+001
1.279308e+002	3.732746e+001
1.274495e+002	2.681607e+001
1.281210e+002	3.300927e+001
1.283049e+002	3.213511e+001
1.287991e+002	3.575837e+001
1.287612e+002	3.167182e+001
1.282798e+002	2.116054e+001
1.288849e+002	2.638999e+001
1.295121e+002	3.194065e+001
1.296516e+002	3.042404e+001
1.295915e+002	2.601628e+001
1.295536e+002	2.192974e+001
1.303139e+002	2.940791e+001
1.301873e+002	2.403639e+001
1.308811e+002	3.055080e+001
1.317300e+002	3.931395e+001
1.306057e+002	1.948656e+001
1.310556e+002	2.246739e+001
1.312394e+002	2.159323e+001
1.314897e+002	2.168280e+001
1.325604e+002	3.365840e+001
1.324116e+002	2.796558e+001
1.330389e+002	3.351635e+001
1.330453e+002	3.007222e+001
1.342047e+002	4.333269e+001
1.337677e+002	3.346385e+001
1.329981e+002	1.877634e+001
1.329159e+002	1.404737e+001
