    nm         	pN
0.000000e+000	3.184308e+002
1.464484e-001	3.170154e+002
9.765024e-002	3.127711e+002
1.139375e-001	3.094698e+002
1.139529e-001	3.059327e+002
2.115877e-001	3.038100e+002
1.953332e-001	3.000372e+002
3.417816e-001	2.986218e+002
2.279000e-001	2.934345e+002
4.893692e-002	2.873043e+002
1.641062e-002	2.832958e+002
-3.239517e-002	2.790514e+002
4.897550e-002	2.766930e+002
1.466122e-001	2.745704e+002
-4.862266e-002	2.682044e+002
-6.487715e-002	2.644316e+002
-1.299471e-001	2.599516e+002
-1.299394e-001	2.564144e+002
-9.738221e-002	2.533488e+002
-2.112657e-001	2.481615e+002
-3.576851e-001	2.425028e+002
-6.480192e-002	2.432090e+002
9.792784e-002	2.420295e+002
1.142074e-001	2.387280e+002
4.913746e-002	2.342480e+002
-1.593248e-002	2.297679e+002
-6.473156e-002	2.255236e+002
-4.844433e-002	2.222223e+002
-3.215806e-002	2.189210e+002
-1.587849e-002	2.156196e+002
-1.460271e-001	2.101966e+002
-6.466216e-002	2.078382e+002
-9.718942e-002	2.038296e+002
-1.622603e-001	1.993496e+002
-1.622440e-001	1.958125e+002
-1.296859e-001	1.927470e+002
-8.086458e-002	1.899170e+002
-1.576381e-002	1.873230e+002
-8.083279e-002	1.828429e+002
-1.621746e-001	1.781271e+002
-1.296241e-001	1.750615e+002
-1.784232e-001	1.708171e+002
-3.085708e-001	1.653942e+002
-2.760204e-001	1.623285e+002
-1.458333e-001	1.606775e+002
6.570230e-002	1.602050e+002
-8.072482e-002	1.545462e+002
-6.443854e-002	1.512449e+002
1.633679e-001	1.510082e+002
2.772755e-001	1.491213e+002
2.447473e-001	1.451127e+002
1.959492e-001	1.408684e+002
1.308793e-001	1.363884e+002
1.797092e-001	1.335586e+002
1.309101e-001	1.293143e+002
1.797323e-001	1.264844e+002
-2.107577e-001	1.172894e+002
1.146778e-001	1.184672e+002
1.472359e-001	1.154017e+002
-4.800572e-002	1.090356e+002
1.709504e-002	1.064416e+002
3.337461e-002	1.031401e+002
2.123666e-001	1.021962e+002
2.937469e-001	9.983800e+001
2.774837e-001	9.606509e+001
2.124052e-001	9.158491e+001
1.961584e-001	8.781222e+001
3.263368e-001	8.616104e+001
2.612745e-001	8.168109e+001
1.961950e-001	7.720093e+001
2.612900e-001	7.460675e+001
1.474123e-001	6.941956e+001
1.148783e-001	6.541089e+001
3.264120e-001	6.493846e+001
2.288081e-001	5.998702e+001
2.939012e-001	5.739284e+001
5.217086e-001	5.715616e+001
3.752892e-001	5.149747e+001
2.613980e-001	4.631005e+001
5.217472e-001	4.654487e+001
5.217702e-001	4.300792e+001
8.960183e-001	4.489299e+001
7.983990e-001	3.994132e+001
9.123056e-001	3.805440e+001
9.936859e-001	3.569619e+001
9.774218e-001	3.192327e+001
1.156414e+000	3.097934e+001
1.156437e+000	2.744240e+001
1.058818e+000	2.249073e+001
1.172724e+000	2.060380e+001
1.042577e+000	1.518086e+001
1.156483e+000	1.329394e+001
1.481920e+000	1.447175e+001
1.433112e+000	1.022733e+001
1.433135e+000	6.690383e+000
1.709756e+000	7.160950e+000
1.807393e+000	5.038275e+000
1.400632e+000	-4.392401e+000
1.416911e+000	-7.693823e+000
1.774890e+000	-6.044508e+000
1.449484e+000	-1.429644e+001
1.661020e+000	-1.476888e+001
1.726128e+000	-1.736283e+001
1.791221e+000	-1.995700e+001
2.263083e+000	-1.665766e+001
2.572248e+000	-1.571560e+001
2.800055e+000	-1.595227e+001
2.458379e+000	-2.443996e+001
2.409587e+000	-2.868416e+001
2.832635e+000	-2.609207e+001
2.897744e+000	-2.868602e+001
2.995380e+000	-3.080869e+001
2.962844e+000	-3.481736e+001
3.093038e+000	-3.646832e+001
3.011691e+000	-4.118424e+001
3.320854e+000	-4.024217e+001
3.206978e+000	-4.542936e+001
3.093085e+000	-5.061678e+001
3.093108e+000	-5.415373e+001
3.402257e+000	-5.321188e+001
3.532451e+000	-5.486284e+001
3.597544e+000	-5.745701e+001
3.662637e+000	-6.005118e+001
3.483676e+000	-6.618137e+001
3.727753e+000	-6.618230e+001
4.053188e+000	-6.500449e+001
4.232182e+000	-6.594842e+001
4.508803e+000	-6.547785e+001
4.183397e+000	-7.372979e+001
4.362391e+000	-7.467372e+001
4.183428e+000	-8.080391e+001
4.150894e+000	-8.481258e+001
4.427515e+000	-8.434201e+001
4.590237e+000	-8.552168e+001
4.801773e+000	-8.599411e+001
4.557724e+000	-9.306730e+001
4.346219e+000	-9.966900e+001
4.492670e+000	-1.010844e+002
4.492677e+000	-1.046216e+002
4.818112e+000	-1.034438e+002
5.094733e+000	-1.029732e+002
5.192370e+000	-1.050959e+002
4.980865e+000	-1.116976e+002
5.029686e+000	-1.145275e+002
5.420206e+000	-1.124067e+002
5.550386e+000	-1.140579e+002
6.022264e+000	-1.107583e+002
5.957186e+000	-1.152385e+002
5.599238e+000	-1.239619e+002
6.071116e+000	-1.206623e+002
6.266379e+000	-1.213705e+002
7.389096e+000	-1.086412e+002
7.844688e+000	-1.055776e+002
8.121307e+000	-1.051071e+002
9.065040e+000	-9.497099e+001
1.048063e+001	-7.799841e+001
1.022031e+001	-8.530734e+001
1.031794e+001	-8.743002e+001
1.093626e+001	-8.200872e+001
1.074102e+001	-8.837488e+001
1.070849e+001	-9.238333e+001
1.163595e+001	-8.248301e+001
1.192885e+001	-8.177670e+001
1.214038e+001	-8.224912e+001
1.207530e+001	-8.672929e+001
1.205906e+001	-9.050199e+001
1.225432e+001	-9.121016e+001
1.243331e+001	-9.215410e+001
1.249841e+001	-9.474826e+001
1.270994e+001	-9.522069e+001
1.231945e+001	-1.044156e+002
1.249844e+001	-1.053596e+002
1.290524e+001	-1.030030e+002
1.319813e+001	-1.022967e+002
1.402796e+001	-9.381085e+001
1.459745e+001	-8.909701e+001
1.489034e+001	-8.839071e+001
1.516696e+001	-8.792014e+001
1.559003e+001	-8.532783e+001
1.729850e+001	-6.411176e+001
1.943001e+001	-3.676644e+001
2.034120e+001	-2.710187e+001
2.069916e+001	-2.545278e+001
2.063410e+001	-2.993272e+001
2.079682e+001	-3.111240e+001
2.138258e+001	-2.616282e+001
2.162666e+001	-2.616375e+001
2.151278e+001	-3.135094e+001
2.143145e+001	-3.606664e+001
2.174060e+001	-3.512480e+001
2.222875e+001	-3.158948e+001
2.270062e+001	-2.828993e+001
2.274944e+001	-3.111985e+001
2.265184e+001	-3.607129e+001
2.250541e+001	-4.173021e+001
2.327015e+001	-3.418738e+001
2.340035e+001	-3.583834e+001
2.353053e+001	-3.748951e+001
2.369325e+001	-3.866919e+001
2.343293e+001	-4.597813e+001
2.375836e+001	-4.480031e+001
2.437667e+001	-3.937923e+001
2.486481e+001	-3.584393e+001
2.447432e+001	-4.503885e+001
2.499500e+001	-4.103227e+001
2.515772e+001	-4.221195e+001
2.519029e+001	-4.527740e+001
2.522284e+001	-4.834307e+001
2.528793e+001	-5.093724e+001
