    nm         	pN
0.000000e+000	3.605204e+002
3.852832e-002	3.575413e+002
5.836148e-002	3.542914e+002
3.423588e-003	3.499581e+002
7.933647e-002	3.475207e+002
5.705342e-003	3.429166e+002
-1.240017e-001	3.375001e+002
-6.678395e-002	3.347918e+002
-2.151842e-001	3.291044e+002
-3.448951e-001	3.236878e+002
-5.306818e-001	3.174587e+002
-6.230024e-001	3.125838e+002
-5.470914e-001	3.101464e+002
-4.524853e-001	3.079798e+002
-4.700367e-001	3.041882e+002
-6.558235e-001	2.979592e+002
-5.986057e-001	2.952509e+002
-5.413860e-001	2.925426e+002
-5.776307e-001	2.884802e+002
-8.008020e-001	2.817095e+002
-8.931245e-001	2.768346e+002
-6.863647e-001	2.762930e+002
-6.478363e-001	2.733139e+002
-7.214656e-001	2.687098e+002
-8.137880e-001	2.638349e+002
-1.036963e+000	2.570641e+002
-1.147977e+000	2.519184e+002
-8.851374e-001	2.521893e+002
-8.839955e-001	2.486686e+002
-8.828537e-001	2.451478e+002
-9.191003e-001	2.410854e+002
-8.805719e-001	2.381063e+002
-9.728944e-001	2.332314e+002
-7.287462e-001	2.332315e+002
-6.341420e-001	2.310649e+002
-6.703857e-001	2.270025e+002
-4.449307e-001	2.267318e+002
-3.503246e-001	2.245652e+002
-5.548055e-001	2.180653e+002
-5.910492e-001	2.140029e+002
-8.516090e-001	2.066904e+002
-8.130806e-001	2.037114e+002
-9.801751e-001	1.977531e+002
-1.128577e+000	1.920657e+002
-1.015279e+000	1.901699e+002
-9.767515e-001	1.871909e+002
-7.699888e-001	1.866493e+002
-9.744697e-001	1.801494e+002
-1.029408e+000	1.758161e+002
-1.028265e+000	1.722954e+002
-9.336606e-001	1.701288e+002
-6.708191e-001	1.703997e+002
-6.696764e-001	1.668790e+002
-9.489284e-001	1.592957e+002
-8.356328e-001	1.573999e+002
-6.849489e-001	1.560459e+002
-8.333482e-001	1.503585e+002
-1.000442e+000	1.444002e+002
-1.204923e+000	1.379003e+002
-1.072933e+000	1.362754e+002
-9.409393e-001	1.346505e+002
-1.164114e+000	1.278797e+002
-1.125589e+000	1.249006e+002
-1.068366e+000	1.221924e+002
-5.812110e-001	1.257133e+002
-1.875206e-001	1.278801e+002
-4.106958e-001	1.211093e+002
-3.347829e-001	1.186719e+002
-2.588700e-001	1.162345e+002
-2.016465e-001	1.135263e+002
5.113313e-003	1.129847e+002
-1.993667e-001	1.064847e+002
-1.982249e-001	1.029640e+002
-1.597004e-001	9.998489e+001
-2.770583e-002	9.836001e+001
1.042849e-001	9.673508e+001
3.297379e-001	9.646432e+001
4.430392e-001	9.456860e+001
4.254859e-001	9.077700e+001
5.761698e-001	8.942292e+001
5.025406e-001	8.481885e+001
4.662959e-001	8.075643e+001
6.543664e-001	7.994403e+001
8.611281e-001	7.940243e+001
1.161352e+000	8.021499e+001
9.381829e-001	7.344427e+001
9.954025e-001	7.073602e+001
8.656916e-001	6.531942e+001
1.259386e+000	6.748620e+001
8.679753e-001	5.827794e+001
5.700291e-001	5.042384e+001
5.711709e-001	4.690310e+001
9.087854e-001	4.825736e+001
1.601562e+000	5.475745e+001
2.032639e+000	5.746588e+001
1.977701e+000	5.313260e+001
2.147078e+000	5.204936e+001
2.036062e+000	4.690361e+001
2.093280e+000	4.419535e+001
2.374817e+000	4.473712e+001
2.245106e+000	3.932052e+001
