    nm         	pN
0.000000e+000	6.882354e+002
-1.944533e-001	6.818808e+002
-2.549543e-001	6.774669e+002
-2.931262e-001	6.733766e+002
-5.099048e-001	6.666985e+002
-7.266912e-001	6.600203e+002
-1.055108e+000	6.517247e+002
-1.249562e+000	6.453700e+002
-1.287737e+000	6.412796e+002
-1.370564e+000	6.365423e+002
-1.631997e+000	6.292172e+002
-1.915759e+000	6.215686e+002
-1.909277e+000	6.181253e+002
-2.014428e+000	6.130645e+002
-2.253536e+000	6.060629e+002
-2.403343e+000	6.003551e+002
-2.486169e+000	5.956178e+002
-2.568995e+000	5.908805e+002
-2.450882e+000	5.890545e+002
-2.533708e+000	5.843172e+002
-2.906772e+000	5.753747e+002
-3.212864e+000	5.674026e+002
-3.251036e+000	5.633122e+002
-3.356188e+000	5.582514e+002
-3.617621e+000	5.509264e+002
-3.566488e+000	5.481299e+002
-3.783274e+000	5.414517e+002
-3.955402e+000	5.354205e+002
-4.060557e+000	5.303597e+002
-4.232685e+000	5.243285e+002
-4.427139e+000	5.179739e+002
-4.376009e+000	5.151774e+002
-4.458836e+000	5.104401e+002
-4.586313e+000	5.050558e+002
-4.780770e+000	4.987011e+002
-4.684985e+000	4.965516e+002
-4.499896e+000	4.956960e+002
-4.739007e+000	4.886944e+002
-4.844155e+000	4.836336e+002
-4.525110e+000	4.847189e+002
-4.563282e+000	4.806285e+002
-4.780064e+000	4.739504e+002
-5.041501e+000	4.666252e+002
-5.124326e+000	4.618879e+002
-5.162502e+000	4.577975e+002
-5.245322e+000	4.530603e+002
-5.372803e+000	4.476760e+002
-5.500280e+000	4.422918e+002
-5.739390e+000	4.352901e+002
-5.710582e+000	4.321702e+002
-5.659450e+000	4.293738e+002
-5.876237e+000	4.226955e+002
-6.093015e+000	4.160174e+002
-6.108862e+000	4.122506e+002
-6.303319e+000	4.058959e+002
-6.140555e+000	4.047168e+002
-6.067096e+000	4.022438e+002
-6.082946e+000	3.984769e+002
-6.366704e+000	3.908284e+002
-6.427206e+000	3.864145e+002
-6.420725e+000	3.829711e+002
-6.570529e+000	3.772634e+002
-6.764985e+000	3.709087e+002
-6.959442e+000	3.645540e+002
-7.131574e+000	3.585228e+002
-7.214400e+000	3.537855e+002
-7.274897e+000	3.493717e+002
-7.246091e+000	3.462517e+002
-7.529851e+000	3.386032e+002
-7.255456e+000	3.390415e+002
-7.293630e+000	3.349511e+002
-7.867632e+000	3.230974e+002
-8.017440e+000	3.173896e+002
-8.144914e+000	3.120054e+002
-8.071459e+000	3.095323e+002
-8.176610e+000	3.044716e+002
-8.281760e+000	2.994108e+002
-8.275282e+000	2.959674e+002
-8.201827e+000	2.934944e+002
-7.815799e+000	2.955501e+002
-7.853973e+000	2.914597e+002
-7.825165e+000	2.883398e+002
-7.818682e+000	2.848965e+002
-7.901512e+000	2.801591e+002
-8.073640e+000	2.741279e+002
-8.312748e+000	2.671263e+002
-7.837420e+000	2.704758e+002
-7.786284e+000	2.676795e+002
-7.779808e+000	2.642360e+002
-7.594714e+000	2.633805e+002
-8.012433e+000	2.537910e+002
-8.296199e+000	2.461424e+002
-8.245068e+000	2.433459e+002
-8.260908e+000	2.395791e+002
-8.187453e+000	2.371061e+002
-8.359583e+000	2.310749e+002
-8.152170e+000	2.305427e+002
-7.654512e+000	2.342158e+002
-7.670355e+000	2.304490e+002
-8.422969e+000	2.160074e+002
-8.215554e+000	2.154753e+002
-7.829533e+000	2.175309e+002
-7.845375e+000	2.137641e+002
-7.414699e+000	2.164667e+002
-7.497521e+000	2.117294e+002
-7.892914e+000	2.024634e+002
-8.065042e+000	1.964323e+002
-8.304150e+000	1.894306e+002
-7.873473e+000	1.921332e+002
-7.844670e+000	1.890133e+002
-7.592599e+000	1.891281e+002
-7.742402e+000	1.834204e+002
-7.780578e+000	1.793301e+002
-7.126640e+000	1.852674e+002
-7.410399e+000	1.776189e+002
-7.537876e+000	1.722346e+002
-7.107200e+000	1.749372e+002
-7.926790e+000	1.595252e+002
-8.255204e+000	1.512297e+002
-7.444980e+000	1.594314e+002
-7.393850e+000	1.566349e+002
-7.521328e+000	1.512507e+002
-7.358560e+000	1.500717e+002
-6.994863e+000	1.518038e+002
-7.122340e+000	1.464196e+002
-7.450757e+000	1.381240e+002
-7.020081e+000	1.408267e+002
-6.834988e+000	1.399711e+002
-6.426633e+000	1.423503e+002
-6.688074e+000	1.350251e+002
-6.837876e+000	1.293174e+002
-7.054655e+000	1.226393e+002
-6.333737e+000	1.295471e+002
-6.371913e+000	1.254567e+002
-6.856611e+000	1.148968e+002
-6.470582e+000	1.169525e+002
