    nm         	pN
0.000000e+000	3.928495e+002
3.715607e-002	3.888111e+002
2.833665e-002	3.838757e+002
1.951581e-002	3.789403e+002
-3.523783e-002	3.731087e+002
-1.130034e-001	3.668281e+002
-7.584449e-002	3.627897e+002
-6.169892e-002	3.583024e+002
-7.051976e-002	3.533669e+002
-1.482384e-001	3.470872e+002
-1.570592e-001	3.421518e+002
-1.658801e-001	3.372164e+002
-1.287212e-001	3.331780e+002
-1.605084e-001	3.277945e+002
-3.301396e-001	3.197216e+002
-2.700612e-001	3.161304e+002
-3.477798e-001	3.098507e+002
-3.106679e-001	3.058114e+002
-3.654201e-001	2.999798e+002
-3.972073e-001	2.945963e+002
-3.600968e-001	2.905570e+002
-3.459043e-001	2.860706e+002
-3.317587e-001	2.815832e+002
-3.176132e-001	2.770959e+002
-2.804557e-001	2.730575e+002
-3.122429e-001	2.676740e+002
-2.521645e-001	2.640828e+002
-2.150085e-001	2.600444e+002
-3.387040e-001	2.528677e+002
-4.164226e-001	2.465880e+002
-4.482099e-001	2.412045e+002
-4.799971e-001	2.358209e+002
-5.577619e-001	2.295404e+002
-5.435709e-001	2.250539e+002
-6.213350e-001	2.187733e+002
-5.841783e-001	2.147350e+002
-5.929984e-001	2.097995e+002
-6.018192e-001	2.048641e+002
-6.565721e-001	1.990325e+002
-5.735274e-001	1.958894e+002
-5.823027e-001	1.909548e+002
-6.371019e-001	1.851223e+002
-6.688884e-001	1.797388e+002
-6.087645e-001	1.761485e+002
-5.716525e-001	1.721093e+002
-6.493719e-001	1.658296e+002
-7.270905e-001	1.595499e+002
-6.210352e-001	1.568558e+002
-6.987994e-001	1.505752e+002
-5.008329e-001	1.496743e+002
-5.096538e-001	1.447388e+002
-4.724963e-001	1.407005e+002
-5.502619e-001	1.344199e+002
-5.820477e-001	1.290364e+002
-4.300596e-001	1.272384e+002
-3.929021e-001	1.232000e+002
-4.246894e-001	1.178165e+002
-4.335102e-001	1.128811e+002
-4.652960e-001	1.074975e+002
-4.970833e-001	1.021140e+002
-4.599713e-001	9.807474e+001
-3.998474e-001	9.448445e+001
-3.167585e-001	9.134223e+001
-3.715107e-001	8.551063e+001
-3.803316e-001	8.057519e+001
-4.351293e-001	7.474271e+001
-4.439046e-001	6.980815e+001
-3.838263e-001	6.621697e+001
-3.696352e-001	6.173050e+001
-4.933322e-001	5.455377e+001
-5.021530e-001	4.961833e+001
-5.798716e-001	4.333865e+001
-5.197947e-001	3.974746e+001
-4.596708e-001	3.615716e+001
-3.765805e-001	3.301494e+001
-1.556932e-001	3.256122e+001
3.409247e-001	3.748715e+001
4.699464e-001	3.524110e+001
5.530367e-001	3.209888e+001
7.280367e-001	3.074987e+001
9.029912e-001	2.939999e+001
6.874300e-001	2.043092e+001
8.164517e-001	1.818487e+001
9.225084e-001	1.549074e+001
8.907212e-001	1.010721e+001
8.819003e-001	5.171778e+000
1.148766e+000	5.615113e+000
1.208890e+000	2.024811e+000
1.268967e+000	-1.566374e+000
1.214215e+000	-7.397975e+000
1.550023e+000	-5.609505e+000
1.495271e+000	-1.144111e+001
1.624293e+000	-1.368716e+001
1.661405e+000	-1.772643e+001
1.721529e+000	-2.131673e+001
1.597832e+000	-2.849346e+001
1.612023e+000	-3.297993e+001
1.695066e+000	-3.612304e+001
1.617348e+000	-4.240272e+001
1.723403e+000	-4.509686e+001
2.265955e+000	-3.927476e+001
2.601764e+000	-3.748630e+001
2.753752e+000	-3.928427e+001
3.158460e+000	-3.615156e+001
3.172651e+000	-4.063802e+001
3.003022e+000	-4.871092e+001
3.292852e+000	-4.781951e+001
