    nm         	pN
0.000000e+000	4.665298e+002
-1.263909e-002	4.615199e+002
-2.528102e-002	4.565099e+002
-1.020863e-001	4.502480e+002
-1.574716e-001	4.444041e+002
-1.273674e-001	4.402281e+002
-2.041272e-001	4.339671e+002
-2.381408e-001	4.285402e+002
-2.080351e-001	4.243642e+002
-1.992997e-001	4.197713e+002
-2.119402e-001	4.147613e+002
-2.459538e-001	4.093344e+002
-2.799674e-001	4.039074e+002
-2.284872e-001	4.001485e+002
-2.838739e-001	3.943045e+002
-2.965144e-001	3.892945e+002
-3.091535e-001	3.842846e+002
-3.645871e-001	3.784397e+002
-3.986007e-001	3.730128e+002
-3.898682e-001	3.684198e+002
-4.880010e-001	3.617418e+002
-4.365208e-001	3.579829e+002
-3.422475e-001	3.550589e+002
-3.976812e-001	3.492140e+002
-3.889472e-001	3.446211e+002
-3.374215e-001	3.408630e+002
-2.859412e-001	3.371041e+002
-3.840755e-001	3.304261e+002
-3.967147e-001	3.254161e+002
-4.307752e-001	3.199883e+002
-4.434143e-001	3.149783e+002
-3.918886e-001	3.112203e+002
-3.617829e-001	3.070443e+002
-3.103013e-001	3.032854e+002
-3.656894e-001	2.974414e+002
-3.783299e-001	2.924314e+002
-4.978814e-001	2.853356e+002
-4.891488e-001	2.807426e+002
-4.376217e-001	2.769846e+002
-4.716808e-001	2.715567e+002
-4.415282e-001	2.673817e+002
-4.755887e-001	2.619538e+002
-5.950961e-001	2.548588e+002
-5.649891e-001	2.506829e+002
-5.990041e-001	2.452559e+002
-5.475225e-001	2.414970e+002
-5.174154e-001	2.373211e+002
-4.873082e-001	2.331451e+002
-4.144095e-001	2.298041e+002
-4.270485e-001	2.247941e+002
-3.969415e-001	2.206182e+002
-3.882074e-001	2.160252e+002
-3.581003e-001	2.118493e+002
-3.707423e-001	2.068393e+002
-3.620083e-001	2.022464e+002
-3.960219e-001	1.968194e+002
-4.086624e-001	1.918095e+002
-3.785553e-001	1.876335e+002
-4.125689e-001	1.822066e+002
-3.610873e-001	1.784476e+002
-3.951023e-001	1.730207e+002
-3.649952e-001	1.688447e+002
-3.562612e-001	1.642518e+002
-3.261541e-001	1.600758e+002
-2.532553e-001	1.567348e+002
-3.086875e-001	1.508899e+002
-3.213280e-001	1.458800e+002
-2.911754e-001	1.417049e+002
-3.038614e-001	1.366941e+002
-3.592481e-001	1.308501e+002
-2.222286e-001	1.287601e+002
-2.348677e-001	1.237501e+002
-2.261351e-001	1.191572e+002
-1.746549e-001	1.153983e+002
-3.155354e-001	1.078862e+002
-1.999345e-001	1.053783e+002
-2.339481e-001	9.995137e+001
-2.465886e-001	9.494142e+001
-3.233484e-001	8.868044e+001
-3.359889e-001	8.367048e+001
-1.562673e-001	8.241360e+001
-2.544016e-001	7.573561e+001
-1.174276e-001	7.364471e+001
6.233949e-002	7.238871e+001
7.107349e-002	6.779576e+001
1.568537e-002	6.195179e+001
1.313332e-001	5.944477e+001
1.614389e-001	5.526883e+001
1.060067e-001	4.942397e+001
2.430276e-001	4.733396e+001
1.021002e-001	3.982106e+001
