    nm         	pN
0.000000e+000	3.945570e+002
8.004214e-003	3.899499e+002
1.600700e-002	3.853426e+002
-2.656210e-002	3.797488e+002
-3.541708e-002	3.748127e+002
-7.798618e-002	3.692188e+002
-5.312420e-002	3.649405e+002
-6.198060e-002	3.600044e+002
-1.045497e-001	3.544105e+002
-1.471202e-001	3.488166e+002
-1.559752e-001	3.438805e+002
-1.311118e-001	3.396022e+002
-2.073993e-001	3.333505e+002
-1.825359e-001	3.290722e+002
-1.071006e-001	3.257807e+002
-8.224002e-002	3.215024e+002
-1.079513e-001	3.162374e+002
-1.168049e-001	3.113013e+002
-1.593754e-001	3.057074e+002
-2.019460e-001	3.001135e+002
-2.445165e-001	2.945195e+002
-2.365137e-001	2.899123e+002
-1.610770e-001	2.866208e+002
-1.699305e-001	2.816847e+002
-1.282108e-001	2.777354e+002
-8.649101e-002	2.737860e+002
-6.162903e-002	2.695077e+002
-1.210587e-001	2.635849e+002
-1.299109e-001	2.586488e+002
-1.219081e-001	2.540416e+002
-1.476208e-001	2.487766e+002
-1.901914e-001	2.431827e+002
-6.417990e-002	2.408779e+002
-5.617569e-002	2.362707e+002
-4.817290e-002	2.316635e+002
-9.074271e-002	2.260696e+002
-8.273850e-002	2.214624e+002
-1.084505e-001	2.161974e+002
-6.673079e-002	2.122481e+002
-4.186880e-002	2.079698e+002
1.670873e-002	2.043493e+002
-2.586179e-002	1.987554e+002
-8.529080e-002	1.928326e+002
-7.728588e-002	1.882254e+002
-1.535727e-001	1.819737e+002
-1.455692e-001	1.773665e+002
-1.038487e-001	1.734172e+002
-1.464185e-001	1.678233e+002
-2.058475e-001	1.619004e+002
-1.978440e-001	1.572932e+002
-2.066990e-001	1.523571e+002
-1.818370e-001	1.480789e+002
-2.244061e-001	1.424850e+002
-2.164033e-001	1.378778e+002
-1.072496e-001	1.352441e+002
-1.495655e-002	1.322814e+002
-9.124404e-002	1.260297e+002
-4.952144e-002	1.220803e+002
-5.837642e-002	1.171442e+002
-1.665666e-002	1.131949e+002
-1.266583e-001	1.062853e+002
-1.017963e-001	1.020071e+002
-1.106513e-001	9.707096e+001
-1.026485e-001	9.246376e+001
-9.464426e-002	8.785658e+001
-3.606531e-002	8.423614e+001
