    nm         	pN
0.000000e+000	5.057982e+002
2.445943e-001	5.058227e+002
2.848860e-001	4.948026e+002
3.251941e-001	4.837834e+002
4.267662e-001	4.760761e+002
3.649246e-001	4.595348e+002
5.686645e-001	4.573506e+002
5.272325e-001	4.419126e+002
3.836667e-001	4.209533e+002
5.056825e-001	4.143512e+002
6.685686e-001	4.099585e+002
7.497146e-001	4.011470e+002
9.330274e-001	3.978586e+002
1.116324e+000	3.945693e+002
1.217913e+000	3.868629e+002
1.380782e+000	3.824693e+002
1.216790e+000	3.604058e+002
1.420529e+000	3.582216e+002
1.583400e+000	3.538281e+002
1.705416e+000	3.472260e+002
1.684426e+000	3.328931e+002
1.663439e+000	3.185603e+002
1.765028e+000	3.108539e+002
1.907470e+000	3.053560e+002
2.049913e+000	2.998582e+002
2.253653e+000	2.976741e+002
2.457376e+000	2.954890e+002
2.334254e+000	2.756349e+002
2.497124e+000	2.712413e+002
2.476135e+000	2.569084e+002
2.884160e+000	2.657679e+002
3.292185e+000	2.746273e+002
3.128193e+000	2.525637e+002
3.270635e+000	2.470658e+002
3.576526e+000	2.504039e+002
3.473814e+000	2.316531e+002
3.473252e+000	2.184245e+002
3.717845e+000	2.184489e+002
3.615133e+000	1.996981e+002
4.125309e+000	2.140798e+002
3.838738e+000	1.853897e+002
3.919900e+000	1.765790e+002
4.368779e+000	1.876470e+002
4.552092e+000	1.843586e+002
4.347229e+000	1.600855e+002
4.612266e+000	1.612151e+002
5.101999e+000	1.744916e+002
5.162734e+000	1.645767e+002
5.325604e+000	1.601831e+002
5.447620e+000	1.535810e+002
5.406204e+000	1.381439e+002
5.609944e+000	1.359598e+002
6.079266e+000	1.481329e+002
5.874403e+000	1.238598e+002
6.159850e+000	1.260928e+002
6.363591e+000	1.239086e+002
6.383456e+000	1.117843e+002
6.485045e+000	1.040779e+002
6.852216e+000	1.107288e+002
7.321538e+000	1.229019e+002
7.014524e+000	9.310666e+001
7.361269e+000	9.865329e+001
7.667159e+000	1.019914e+002
7.891311e+000	1.009106e+002
7.768187e+000	8.105642e+001
8.155785e+000	8.881156e+001
8.543384e+000	9.656671e+001
8.440671e+000	7.781591e+001
8.787415e+000	8.336251e+001
9.032009e+000	8.338690e+001
8.990594e+000	6.794978e+001
8.867454e+000	4.809472e+001
9.050751e+000	4.480543e+001
9.336198e+000	4.703835e+001
9.621663e+000	4.927217e+001
1.005011e+001	5.923585e+001
9.702263e+000	2.723295e+001
1.021244e+001	4.161459e+001
1.031401e+001	3.390733e+001
1.045647e+001	2.841039e+001
1.072149e+001	2.953904e+001
1.090479e+001	2.624975e+001
1.127196e+001	3.290063e+001
1.108754e+001	9.732761e+000
1.155686e+001	2.190587e+001
1.210789e+001	3.849604e+001
1.165789e+001	9.709195e-001
1.227022e+001	2.087478e+001
1.249437e+001	1.979402e+001
1.261638e+001	1.319191e+001
1.255454e+001	-3.349446e+000
1.247226e+001	-2.099599e+001
1.314588e+001	2.221537e+000
1.361520e+001	1.439464e+001
1.390065e+001	1.662757e+001
1.377751e+001	-3.227495e+000
1.416511e+001	4.527633e+000
1.440970e+001	4.552040e+000
1.451129e+001	-3.154307e+000
1.500104e+001	1.012304e+001
1.489833e+001	-8.627746e+000
1.504077e+001	-1.412557e+001
1.520366e+001	-1.851825e+001
1.597941e+001	1.022060e+001
1.620358e+001	9.140733e+000
1.601915e+001	-1.402801e+001
1.620246e+001	-1.731642e+001
1.640618e+001	-1.950145e+001
1.660992e+001	-2.168558e+001
1.683409e+001	-2.276547e+001
1.730341e+001	-1.059236e+001
1.742543e+001	-1.719445e+001
1.764959e+001	-1.827433e+001
1.803719e+001	-1.051919e+001
1.834307e+001	-7.181989e+000
1.850595e+001	-1.157467e+001
1.901613e+001	2.806955e+000
1.887256e+001	-1.815237e+001
1.962789e+001	9.482231e+000
1.974991e+001	2.880126e+000
1.946332e+001	-2.581084e+001
1.966706e+001	-2.799498e+001
2.015681e+001	-1.471760e+001
2.034012e+001	-1.800601e+001
2.046214e+001	-2.460811e+001
2.068629e+001	-2.568887e+001
2.107391e+001	-1.793284e+001
2.142063e+001	-1.238712e+001
2.158352e+001	-1.677978e+001
2.156253e+001	-3.111264e+001
2.182755e+001	-2.998397e+001
2.201085e+001	-3.327327e+001
2.276618e+001	-5.638654e+000
2.237746e+001	-3.985098e+001
2.239734e+001	-5.197441e+001
2.268279e+001	-4.974147e+001
2.300910e+001	-4.529914e+001
2.392787e+001	-8.829496e+000
2.407031e+001	-1.432732e+001
2.390632e+001	-3.639094e+001
2.390575e+001	-4.961952e+001
2.457936e+001	-2.640287e+001
2.480353e+001	-2.748274e+001
2.492554e+001	-3.408483e+001
2.545615e+001	-1.859893e+001
2.549646e+001	-2.961809e+001
