    nm         	pN
0.000000e+000	4.701790e+002
-2.098218e-002	4.558464e+002
-1.645064e-001	4.348894e+002
-6.294706e-002	4.271814e+002
-6.350874e-002	4.139528e+002
1.197332e-001	4.106606e+002
1.600305e-001	3.996408e+002
9.819033e-002	3.830995e+002
1.589076e-001	3.731837e+002
2.196085e-001	3.632669e+002
1.782058e-001	3.478305e+002
2.593436e-001	3.390185e+002
3.813235e-001	3.324145e+002
2.582203e-001	3.125613e+002
2.372217e-001	2.982279e+002
2.366605e-001	2.849994e+002
2.361153e-001	2.717717e+002
1.089155e-002	2.463980e+002
1.941340e-001	2.431058e+002
1.527313e-001	2.276693e+002
1.113276e-001	2.122328e+002
2.128869e-001	2.045249e+002
3.552878e-001	1.990248e+002
4.364097e-001	1.902120e+002
4.358480e-001	1.769834e+002
4.761448e-001	1.659636e+002
5.572662e-001	1.571508e+002
6.179840e-001	1.472349e+002
6.787018e-001	1.373190e+002
6.577027e-001	1.229856e+002
1.024766e+000	1.296307e+002
1.371409e+000	1.351717e+002
1.493388e+000	1.285677e+002
1.533685e+000	1.175479e+002
1.676086e+000	1.120478e+002
2.022728e+000	1.175889e+002
1.940467e+000	9.994366e+001
1.858205e+000	8.229843e+001
2.409089e+000	9.888071e+001
2.531070e+000	9.227667e+001
2.693891e+000	8.788051e+001
2.632067e+000	7.134011e+001
2.917430e+000	7.356847e+001
3.202794e+000	7.579685e+001
3.222669e+000	6.367310e+001
3.201670e+000	4.933971e+001
3.507471e+000	5.267290e+001
3.772413e+000	5.379735e+001
4.200755e+000	6.375509e+001
4.036794e+000	4.169321e+001
4.015812e+000	2.736068e+001
4.178633e+000	2.296452e+001
4.300614e+000	1.636048e+001
4.300068e+000	3.132793e+000
4.422049e+000	-3.471230e+000
4.748253e+000	9.650154e-001
4.788550e+000	-1.005476e+001
4.951372e+000	-1.445092e+001
5.032511e+000	-2.326286e+001
5.011512e+000	-3.759626e+001
5.296892e+000	-3.536700e+001
5.337172e+000	-4.638769e+001
5.418310e+000	-5.519961e+001
5.540290e+000	-6.180366e+001
5.600991e+000	-7.172041e+001
5.784250e+000	-7.501174e+001
6.212575e+000	-6.505489e+001
6.865580e+000	-4.295202e+001
6.844598e+000	-5.728452e+001
6.966578e+000	-6.388858e+001
6.884317e+000	-8.153379e+001
6.802055e+000	-9.917903e+001
7.107856e+000	-9.584583e+001
7.515760e+000	-8.699292e+001
7.413079e+000	-1.057421e+002
7.616759e+000	-1.079295e+002
7.800001e+000	-1.112217e+002
8.064959e+000	-1.100964e+002
7.941856e+000	-1.299495e+002
8.431461e+000	-1.166799e+002
8.553442e+000	-1.232840e+002
9.022608e+000	-1.111192e+002
8.981206e+000	-1.265557e+002
9.389126e+000	-1.177019e+002
9.939994e+000	-1.011205e+002
9.714770e+000	-1.264942e+002
9.795909e+000	-1.353061e+002
9.815767e+000	-1.474308e+002
9.856048e+000	-1.584514e+002
9.773803e+000	-1.760958e+002
9.916204e+000	-1.815959e+002
1.007903e+001	-1.859920e+002
1.030313e+001	-1.870755e+002
1.030257e+001	-2.003041e+002
1.071049e+001	-1.914503e+002
1.132262e+001	-1.715571e+002
1.154672e+001	-1.726405e+002
1.138277e+001	-1.947015e+002
1.181111e+001	-1.847437e+002
1.260706e+001	-1.549133e+002
1.250438e+001	-1.736625e+002
1.240170e+001	-1.924116e+002
1.244200e+001	-2.034314e+002
1.254356e+001	-2.111394e+002
1.280850e+001	-2.100150e+002
1.325725e+001	-1.989542e+002
1.368559e+001	-1.889965e+002
1.403223e+001	-1.834554e+002
1.441971e+001	-1.757064e+002
1.495016e+001	-1.602290e+002
1.503130e+001	-1.690409e+002
1.521454e+001	-1.723331e+002
1.580627e+001	-1.535429e+002
1.588741e+001	-1.623549e+002
1.556006e+001	-1.932492e+002
1.549824e+001	-2.097896e+002
1.590614e+001	-2.009366e+002
1.647745e+001	-1.832504e+002
1.649730e+001	-1.953751e+002
1.661929e+001	-2.019791e+002
1.678211e+001	-2.063753e+002
1.663858e+001	-2.273323e+002
1.690353e+001	-2.262079e+002
1.682128e+001	-2.438522e+002
1.702494e+001	-2.460405e+002
1.728990e+001	-2.449152e+002
1.745272e+001	-2.493113e+002
1.759513e+001	-2.548114e+002
1.771710e+001	-2.614155e+002
1.747146e+001	-2.878931e+002
1.779768e+001	-2.834560e+002
1.800135e+001	-2.856442e+002
1.808248e+001	-2.944562e+002
1.818404e+001	-3.021642e+002
1.891873e+001	-2.756455e+002
2.081756e+001	-1.861943e+002
2.091911e+001	-1.939022e+002
2.114322e+001	-1.949857e+002
2.120392e+001	-2.049024e+002
2.157098e+001	-1.982574e+002
2.148873e+001	-2.159017e+002
2.165156e+001	-2.202979e+002
2.177354e+001	-2.269019e+002
2.187509e+001	-2.346099e+002
2.209920e+001	-2.356934e+002
2.244584e+001	-2.301523e+002
2.269036e+001	-2.301318e+002
2.301656e+001	-2.256955e+002
2.352659e+001	-2.113220e+002
2.493526e+001	-1.483680e+002
2.654816e+001	-7.437369e+001
2.681311e+001	-7.324926e+001
2.715975e+001	-6.770817e+001
2.805782e+001	-3.235712e+001
2.836360e+001	-2.902479e+001
2.860813e+001	-2.900431e+001
2.885265e+001	-2.898382e+001
2.889294e+001	-4.000362e+001
2.946423e+001	-2.231830e+001
2.956579e+001	-3.002628e+001
3.001455e+001	-1.896460e+001
3.032034e+001	-1.563227e+001
3.023809e+001	-3.327661e+001
3.007415e+001	-5.533761e+001
3.078840e+001	-2.992380e+001
3.129842e+001	-1.555031e+001
3.150210e+001	-1.773768e+001
3.164450e+001	-2.323778e+001
3.199115e+001	-1.769670e+001
3.199058e+001	-3.092527e+001
3.194918e+001	-4.636173e+001
3.262259e+001	-2.315581e+001
3.260161e+001	-3.748832e+001
3.282571e+001	-3.857177e+001
3.319277e+001	-3.192674e+001
3.343730e+001	-3.190625e+001
3.329377e+001	-5.286330e+001
3.382422e+001	-3.738586e+001
3.449764e+001	-1.417905e+001
3.439496e+001	-3.292822e+001
3.482329e+001	-2.297137e+001
3.512909e+001	-1.963816e+001
3.506725e+001	-3.617945e+001
3.516880e+001	-4.388743e+001
3.547461e+001	-4.055421e+001
3.606631e+001	-2.176496e+001
3.637211e+001	-1.843174e+001
3.649409e+001	-2.503578e+001
3.618719e+001	-5.482526e+001
3.679932e+001	-3.493204e+001
3.716638e+001	-2.828701e+001
3.722710e+001	-3.820289e+001
3.738992e+001	-4.259905e+001
3.747106e+001	-5.141097e+001
3.736838e+001	-7.016013e+001
3.806222e+001	-4.584938e+001
3.853141e+001	-3.368376e+001
3.869423e+001	-3.807992e+001
3.930638e+001	-1.818582e+001
3.914243e+001	-4.024681e+001
3.938695e+001	-4.022633e+001
3.940681e+001	-5.235095e+001
3.981472e+001	-4.349804e+001
4.005924e+001	-4.347755e+001
4.063054e+001	-2.579133e+001
4.048702e+001	-4.674838e+001
4.071112e+001	-4.783183e+001
4.071056e+001	-6.106041e+001
4.105718e+001	-5.552021e+001
4.101578e+001	-7.095667e+001
4.164835e+001	-4.995863e+001
4.240346e+001	-2.233604e+001
4.211697e+001	-5.102158e+001
4.213683e+001	-6.314622e+001
4.258559e+001	-5.208452e+001
4.268715e+001	-5.979252e+001
4.276827e+001	-6.860533e+001
4.313534e+001	-6.196030e+001
4.344114e+001	-5.862708e+001
4.366523e+001	-5.971054e+001
4.378722e+001	-6.631457e+001
4.392962e+001	-7.181467e+001
4.466430e+001	-4.529604e+001
4.468416e+001	-5.742069e+001
4.503081e+001	-5.187959e+001
4.560210e+001	-3.419426e+001
4.558111e+001	-4.852679e+001
4.529463e+001	-7.721232e+001
4.600889e+001	-5.179761e+001
4.617171e+001	-5.619377e+001
4.582395e+001	-8.819202e+001
4.674246e+001	-5.173613e+001
4.717078e+001	-4.177928e+001
4.729277e+001	-4.838332e+001
4.743518e+001	-5.388253e+001
4.759800e+001	-5.827869e+001
4.759744e+001	-7.150727e+001
4.823001e+001	-5.050923e+001
4.818860e+001	-6.594569e+001
4.857609e+001	-5.819672e+001
4.847341e+001	-7.694589e+001
4.904471e+001	-5.925967e+001
4.914627e+001	-6.696765e+001
4.928867e+001	-7.246775e+001
4.973742e+001	-6.140696e+001
4.969602e+001	-7.684342e+001
4.987927e+001	-8.013475e+001
5.018506e+001	-7.680243e+001
5.051128e+001	-7.236529e+001
5.087834e+001	-6.572026e+001
5.097990e+001	-7.342824e+001
5.118357e+001	-7.561652e+001
5.138724e+001	-7.780391e+001
5.114160e+001	-1.042815e+002
5.179459e+001	-8.217957e+001
5.191657e+001	-8.878361e+001
5.228363e+001	-8.213857e+001
5.246689e+001	-8.542991e+001
5.271141e+001	-8.540942e+001
5.316016e+001	-7.434862e+001
5.330257e+001	-7.984784e+001
5.326116e+001	-9.528518e+001
5.346483e+001	-9.747256e+001
5.391360e+001	-8.641089e+001
5.397430e+001	-9.632763e+001
5.417798e+001	-9.851502e+001
5.476970e+001	-7.972487e+001
5.474871e+001	-9.405828e+001
5.466646e+001	-1.117026e+002
5.538073e+001	-8.628792e+001
5.529847e+001	-1.039332e+002
5.582891e+001	-8.845570e+001
5.560371e+001	-1.138285e+002
5.603203e+001	-1.038717e+002
5.586809e+001	-1.259327e+002
5.639853e+001	-1.104552e+002
5.652051e+001	-1.170593e+002
5.686715e+001	-1.115182e+002
5.684617e+001	-1.258507e+002
5.713154e+001	-1.236223e+002
5.755988e+001	-1.136646e+002
5.778396e+001	-1.147489e+002
5.747706e+001	-1.445384e+002
5.782370e+001	-1.389973e+002
5.806822e+001	-1.389768e+002
5.804724e+001	-1.533093e+002
5.847556e+001	-1.433525e+002
5.876093e+001	-1.411241e+002
5.908715e+001	-1.366869e+002
5.869854e+001	-1.708931e+002
5.880010e+001	-1.786010e+002
5.939183e+001	-1.598109e+002
5.957507e+001	-1.631031e+002
5.988087e+001	-1.597699e+002
6.020707e+001	-1.553336e+002
6.055372e+001	-1.497926e+002
6.047146e+001	-1.674378e+002
6.051175e+001	-1.784576e+002
6.061331e+001	-1.861656e+002
6.091909e+001	-1.828332e+002
6.106149e+001	-1.883333e+002
6.146941e+001	-1.794795e+002
6.157097e+001	-1.871875e+002
6.197888e+001	-1.783346e+002
6.371432e+001	-9.771576e+001
6.428561e+001	-8.003044e+001
6.444845e+001	-8.442571e+001
6.501973e+001	-6.674038e+001
6.512130e+001	-7.444836e+001
6.542709e+001	-7.111516e+001
6.577374e+001	-6.557407e+001
6.597740e+001	-6.776235e+001
6.620150e+001	-6.884578e+001
6.638476e+001	-7.213712e+001
6.620038e+001	-9.530293e+001
6.636320e+001	-9.969910e+001
6.658730e+001	-1.007825e+002
6.707690e+001	-8.751299e+001
6.705592e+001	-1.018455e+002
6.738215e+001	-9.740836e+001
6.746327e+001	-1.062212e+002
6.770779e+001	-1.062007e+002
6.776850e+001	-1.161165e+002
6.846236e+001	-9.180579e+001
6.840051e+001	-1.083471e+002
6.846123e+001	-1.182629e+002
6.888956e+001	-1.083061e+002
6.901153e+001	-1.149101e+002
6.917438e+001	-1.193054e+002
6.933720e+001	-1.237015e+002
6.954087e+001	-1.258890e+002
6.960158e+001	-1.358057e+002
6.970313e+001	-1.435137e+002
7.019274e+001	-1.302441e+002
7.013090e+001	-1.467854e+002
7.041628e+001	-1.445561e+002
7.057910e+001	-1.489523e+002
7.074193e+001	-1.533485e+002
7.094560e+001	-1.555358e+002
7.104716e+001	-1.632438e+002
7.110786e+001	-1.731606e+002
7.141367e+001	-1.698274e+002
7.145395e+001	-1.808481e+002
7.186186e+001	-1.719943e+002
7.204510e+001	-1.752865e+002
7.214667e+001	-1.829945e+002
7.232993e+001	-1.862858e+002
7.263571e+001	-1.829535e+002
7.292108e+001	-1.807251e+002
7.281841e+001	-1.994734e+002
7.287911e+001	-2.093901e+002
7.285813e+001	-2.237227e+002
7.332731e+001	-2.115570e+002
7.344929e+001	-2.181611e+002
7.350999e+001	-2.280778e+002
7.395875e+001	-2.170161e+002
7.403989e+001	-2.258281e+002
7.397805e+001	-2.423693e+002
7.428385e+001	-2.390362e+002
7.432413e+001	-2.500568e+002
7.452781e+001	-2.522442e+002
7.469063e+001	-2.566404e+002
7.479219e+001	-2.643484e+002
7.503672e+001	-2.643279e+002
7.521996e+001	-2.676201e+002
7.538279e+001	-2.720154e+002
7.574986e+001	-2.653703e+002
7.613734e+001	-2.576214e+002
7.613678e+001	-2.708499e+002
7.615664e+001	-2.829746e+002
7.638074e+001	-2.840580e+002
7.611467e+001	-3.116396e+002
7.662470e+001	-2.972661e+002
7.678752e+001	-3.016623e+002
7.866593e+001	-2.133149e+002
7.946189e+001	-1.834836e+002
7.948175e+001	-1.956082e+002
7.939949e+001	-2.132535e+002
7.941937e+001	-2.253772e+002
7.952091e+001	-2.330861e+002
7.982671e+001	-2.297529e+002
8.039802e+001	-2.120666e+002
8.029533e+001	-2.308158e+002
8.047858e+001	-2.341080e+002
8.084564e+001	-2.274630e+002
8.115144e+001	-2.241298e+002
8.225375e+001	-1.777376e+002
8.548011e+001	-1.652035e+001
8.582673e+001	-1.098015e+001
8.594872e+001	-1.758419e+001
8.649960e+001	-1.001904e+000
8.625396e+001	-2.747956e+001
8.615127e+001	-4.622873e+001
8.698808e+001	-1.418950e+001
8.717132e+001	-1.748172e+001
8.762009e+001	-6.420036e+000
8.802800e+001	2.432858e+000
8.802743e+001	-1.079571e+001
8.827195e+001	-1.077520e+001
8.823055e+001	-2.621167e+001
8.872016e+001	-1.294211e+001
8.869917e+001	-2.727461e+001
8.896411e+001	-2.615019e+001
8.941288e+001	-1.508851e+001
8.996374e+001	1.492872e+000
9.000404e+001	-9.526924e+000
9.016686e+001	-1.392308e+001
9.045223e+001	-1.169470e+001
9.030870e+001	-3.265175e+001
9.083915e+001	-1.717431e+001
9.057308e+001	-4.475589e+001
9.110354e+001	-2.927756e+001
9.202204e+001	7.177414e+000
9.206232e+001	-3.843258e+000
9.265404e+001	1.494687e+001
9.253094e+001	-4.906221e+000
9.281632e+001	-2.676946e+000
9.310168e+001	-4.485799e-001
9.318282e+001	-9.260498e+000
9.361115e+001	6.963351e-001
9.377397e+001	-3.699809e+000
9.379384e+001	-1.582355e+001
9.407921e+001	-1.359518e+001
9.389483e+001	-3.676100e+001
9.381258e+001	-5.440534e+001
9.501701e+001	-2.492505e+000
9.505730e+001	-1.351319e+001
9.548562e+001	-3.556343e+000
9.550550e+001	-1.568010e+001
9.575002e+001	-1.565961e+001
9.595368e+001	-1.784787e+001
9.603482e+001	-2.665981e+001
9.625892e+001	-2.774324e+001
9.691191e+001	-5.641261e+000
9.668668e+001	-3.101498e+001
9.707417e+001	-2.326601e+001
9.725743e+001	-2.655734e+001
9.742025e+001	-3.095350e+001
9.770563e+001	-2.872422e+001
9.813395e+001	-1.876737e+001
9.817423e+001	-2.978806e+001
9.848004e+001	-2.645486e+001
9.872456e+001	-2.643438e+001
9.878526e+001	-3.635112e+001
9.951994e+001	-9.832492e+000
9.976447e+001	-9.811988e+000
1.000294e+002	-8.686669e+000
1.004578e+002	1.270163e+000
1.006410e+002	-2.021150e+000
1.005383e+002	-2.077032e+001
1.012526e+002	4.644370e+000
1.011908e+002	-1.189691e+001
1.010881e+002	-3.064608e+001
1.013326e+002	-3.062559e+001
1.015159e+002	-3.391692e+001
1.019850e+002	-2.175130e+001
1.026789e+002	2.558561e+000
1.024945e+002	-2.060637e+001
1.029228e+002	-1.064952e+001
1.030244e+002	-1.835750e+001
1.033302e+002	-1.502428e+001
1.033909e+002	-2.494105e+001
1.036967e+002	-2.160783e+001
1.042884e+002	-2.818562e+000
1.044104e+002	-9.422601e+000
1.043281e+002	-2.706694e+001
1.046748e+002	-2.152587e+001
1.054503e+002	7.200643e+000
1.051025e+002	-2.479758e+001
1.051837e+002	-3.360950e+001
1.055712e+002	-2.586053e+001
1.059382e+002	-1.921551e+001
1.062236e+002	-1.698713e+001
1.064273e+002	-1.917452e+001
1.063246e+002	-3.792369e+001
1.068755e+002	-2.134141e+001
1.075489e+002	1.864497e+000
1.073441e+002	-2.240526e+001
1.077520e+002	-1.355146e+001
1.081803e+002	-3.594611e+000
1.081798e+002	-1.682318e+001
1.084039e+002	-1.790663e+001
1.088118e+002	-9.053719e+000
1.088316e+002	-2.117745e+001
1.094438e+002	-1.283368e+000
1.095249e+002	-1.009618e+001
1.098103e+002	-7.866902e+000
1.098097e+002	-2.109549e+001
1.100747e+002	-1.997104e+001
1.105234e+002	-8.910253e+000
1.106863e+002	-1.330552e+001
1.110125e+002	-8.869278e+000
1.111957e+002	-1.216059e+001
1.109909e+002	-3.643037e+001
1.112967e+002	-3.309715e+001
1.119293e+002	-1.209911e+001
1.123372e+002	-3.246200e+000
1.127451e+002	5.607586e+000
1.131122e+002	1.225260e+001
1.129686e+002	-8.705324e+000
1.132132e+002	-8.684819e+000
1.137028e+002	4.584723e+000
1.138247e+002	-2.019299e+000
1.137425e+002	-1.966364e+001
1.136807e+002	-3.620493e+001
1.141294e+002	-2.514325e+001
1.143331e+002	-2.733064e+001
1.147206e+002	-1.958167e+001
1.148834e+002	-2.397783e+001
1.146990e+002	-4.714276e+001
1.152091e+002	-3.276925e+001
1.153515e+002	-3.826935e+001
1.158615e+002	-2.389585e+001
1.161060e+002	-2.387536e+001
1.163914e+002	-2.164698e+001
1.168401e+002	-1.058530e+001
1.172276e+002	-2.836324e+000
1.172883e+002	-1.275220e+001
1.174103e+002	-1.935624e+001
1.176548e+002	-1.933573e+001
1.180423e+002	-1.158676e+001
1.182256e+002	-1.487898e+001
1.182863e+002	-2.479486e+001
1.186738e+002	-1.704589e+001
1.189591e+002	-1.481750e+001
1.191015e+002	-2.031671e+001
1.191418e+002	-3.133742e+001
1.195497e+002	-2.248451e+001
1.201415e+002	-3.694342e+000
1.201613e+002	-1.581897e+001
1.200791e+002	-3.346331e+001
1.205482e+002	-2.129858e+001
1.210991e+002	-4.716313e+000
1.213028e+002	-6.903687e+000
1.212001e+002	-2.565286e+001
1.215059e+002	-2.232055e+001
1.219342e+002	-1.236281e+001
1.216886e+002	-3.884045e+001
1.220965e+002	-2.998754e+001
1.225044e+002	-2.113463e+001
1.226264e+002	-2.773867e+001
1.230752e+002	-1.667699e+001
1.232788e+002	-1.886438e+001
1.237072e+002	-8.907528e+000
1.238496e+002	-1.440763e+001
1.236039e+002	-4.088438e+001
1.243795e+002	-1.215787e+001
1.245014e+002	-1.876191e+001
1.250523e+002	-2.180528e+000
1.250722e+002	-1.430516e+001
1.252963e+002	-1.538861e+001
1.251323e+002	-3.744960e+001
1.258670e+002	-1.093097e+001
1.263362e+002	1.234638e+000
1.266624e+002	5.670900e+000
1.264985e+002	-1.639007e+001
1.270085e+002	-2.016574e+000
1.271100e+002	-9.724553e+000
1.272933e+002	-1.301588e+001
1.273744e+002	-2.182869e+001
1.277619e+002	-1.407972e+001
1.279452e+002	-1.737105e+001
1.282305e+002	-1.514267e+001
1.283321e+002	-2.285066e+001
1.288421e+002	-8.477149e+000
1.291275e+002	-6.247890e+000
1.296784e+002	1.033349e+001
1.293919e+002	-1.835203e+001
1.298406e+002	-7.291241e+000
1.298605e+002	-1.941498e+001
1.301050e+002	-1.939449e+001
1.304721e+002	-1.274946e+001
1.305532e+002	-2.156227e+001
1.312266e+002	1.644530e+000
1.311648e+002	-1.489675e+001
1.315318e+002	-8.251714e+000
1.313271e+002	-3.252060e+001
1.320413e+002	-7.106783e+000
1.321020e+002	-1.702266e+001
1.319381e+002	-3.908365e+001
1.327340e+002	-9.253198e+000
1.326722e+002	-2.579358e+001
1.327125e+002	-3.681429e+001
1.332225e+002	-2.244077e+001
1.337530e+002	-6.963334e+000
1.337320e+002	-2.129586e+001
1.337518e+002	-3.342049e+001
1.340781e+002	-2.898333e+001
1.345268e+002	-1.792165e+001
1.346488e+002	-2.452569e+001
1.352405e+002	-5.735542e+000
1.348928e+002	-3.773378e+001
1.352803e+002	-2.998481e+001
1.356065e+002	-2.554766e+001
1.358918e+002	-2.331929e+001
1.361568e+002	-2.219485e+001
1.365443e+002	-1.444588e+001
1.367479e+002	-1.663327e+001
1.364819e+002	-4.421486e+001
1.375842e+002	2.177365e+000
1.375223e+002	-1.436391e+001
1.375218e+002	-2.759248e+001
1.377255e+002	-2.977987e+001
1.381538e+002	-1.982302e+001
1.385209e+002	-1.317799e+001
