    nm         	pN
0.000000e+000	6.425198e+002
6.073939e-002	6.326051e+002
8.061721e-002	6.204814e+002
-1.685024e-003	6.028340e+002
-2.246699e-003	5.896054e+002
1.197948e-001	5.830047e+002
1.601039e-001	5.719856e+002
-8.566510e-002	5.455012e+002
-2.492469e-002	5.355866e+002
1.538341e-002	5.245674e+002
-5.609559e-003	5.102343e+002
-6.171234e-003	4.970057e+002
-8.846526e-002	4.793587e+002
-2.116306e-001	4.595022e+002
-1.100286e-001	4.517966e+002
-2.127539e-001	4.330451e+002
-2.950490e-001	4.153980e+002
-3.364815e-001	3.999600e+002
-3.983447e-001	3.834175e+002
-4.397690e-001	3.679799e+002
-5.220717e-001	3.503324e+002
-6.452370e-001	3.304759e+002
-5.844972e-001	3.205613e+002
-4.624469e-001	3.139610e+002
-5.651805e-001	2.952091e+002
-6.270447e-001	2.786665e+002
-6.276064e-001	2.654379e+002
-5.872978e-001	2.544188e+002
-4.856872e-001	2.467136e+002
-6.088525e-001	2.268571e+002
-5.889829e-001	2.147330e+002
-5.282434e-001	2.048183e+002
-4.470718e-001	1.960082e+002
-4.680653e-001	1.816751e+002
-4.686264e-001	1.684465e+002
-2.444131e-001	1.673692e+002
-1.428029e-001	1.596640e+002
4.054066e-002	1.563772e+002
2.851853e-001	1.564043e+002
1.620205e-001	1.365479e+002
1.614588e-001	1.233193e+002
2.426294e-001	1.145091e+002
2.216365e-001	1.001761e+002
4.049800e-001	9.688927e+001
5.883236e-001	9.360249e+001
6.286317e-001	8.258334e+001
8.324065e-001	8.040106e+001
8.318449e-001	6.717248e+001
8.517217e-001	5.504882e+001
8.511600e-001	4.182024e+001
1.095806e+000	4.184739e+001
1.646950e+000	5.844381e+001
1.748561e+000	5.073858e+001
1.788870e+000	3.971944e+001
2.135686e+000	4.526997e+001
2.605099e+000	5.744796e+001
2.686279e+000	4.863824e+001
2.767449e+000	3.982809e+001
2.930362e+000	3.543681e+001
3.379343e+000	4.651028e+001
3.378781e+000	3.328169e+001
3.562124e+000	2.999492e+001
3.479830e+000	1.234789e+001
4.276190e+000	4.220049e+001
4.071283e+000	1.792515e+001
4.172894e+000	1.021993e+001
4.601443e+000	2.018891e+001
4.498710e+000	1.436943e+000
4.641191e+000	-4.058818e+000
4.987999e+000	1.491258e+000
5.069179e+000	-7.318424e+000
5.007315e+000	-2.386096e+001
5.211090e+000	-2.604324e+001
5.639640e+000	-1.607426e+001
5.863853e+000	-1.715159e+001
6.271972e+000	-8.287123e+000
6.169238e+000	-2.703909e+001
6.189108e+000	-3.916318e+001
6.556355e+000	-3.250814e+001
6.780570e+000	-3.358548e+001
7.086517e+000	-3.024438e+001
7.331161e+000	-3.021721e+001
7.453202e+000	-3.681794e+001
8.065657e+000	-1.690713e+001
8.003794e+000	-3.344967e+001
8.125837e+000	-4.005038e+001
8.431782e+000	-3.670929e+001
8.267746e+000	-5.877519e+001
9.207150e+000	-2.118977e+001
9.165717e+000	-3.662779e+001
9.083423e+000	-5.427482e+001
9.777611e+000	-2.994561e+001
9.797480e+000	-4.206969e+001
9.878659e+000	-5.087941e+001
9.632891e+000	-7.736374e+001
1.002057e+001	-6.960420e+001
1.077606e+001	-4.196105e+001
1.050986e+001	-6.954989e+001
1.089754e+001	-6.179036e+001
1.144869e+001	-4.519351e+001
1.140727e+001	-6.063108e+001
1.171322e+001	-5.728999e+001
1.175352e+001	-6.830959e+001
1.214120e+001	-6.054959e+001
1.220194e+001	-7.046425e+001
1.263049e+001	-6.049528e+001
1.250733e+001	-8.035174e+001
1.346715e+001	-4.166226e+001
1.320095e+001	-6.925110e+001
1.324126e+001	-8.027026e+001
1.395588e+001	-5.483653e+001
1.387359e+001	-7.248356e+001
1.401607e+001	-7.797934e+001
1.424027e+001	-7.905712e+001
1.432145e+001	-8.786682e+001
1.489304e+001	-7.016547e+001
1.485161e+001	-8.560350e+001
1.517799e+001	-8.115746e+001
1.534089e+001	-8.554918e+001
1.544251e+001	-9.325438e+001
1.556455e+001	-9.985511e+001
1.574789e+001	-1.031419e+002
1.562472e+001	-1.229984e+002
1.603284e+001	-1.141339e+002
1.656356e+001	-9.864196e+001
1.684907e+001	-9.640536e+001
1.662374e+001	-1.217852e+002
1.744054e+001	-9.082765e+001
1.701086e+001	-1.272538e+002
1.739854e+001	-1.194943e+002
1.874662e+001	-5.981622e+001
1.852128e+001	-8.519608e+001
1.878636e+001	-8.406396e+001
1.913317e+001	-7.851387e+001
1.888740e+001	-1.049982e+002
1.994940e+001	-6.078536e+001
2.019405e+001	-6.075819e+001
2.052043e+001	-5.631216e+001
2.072421e+001	-5.849443e+001
2.156144e+001	-2.643239e+001
2.170391e+001	-3.192861e+001
2.178508e+001	-4.073876e+001
2.182539e+001	-5.175791e+001
2.176353e+001	-6.830043e+001
2.225338e+001	-5.501752e+001
2.290670e+001	-3.289729e+001
2.290614e+001	-4.612589e+001
2.349816e+001	-2.732003e+001
2.343629e+001	-4.386257e+001
2.323140e+001	-6.813747e+001
2.380298e+001	-5.043613e+001
2.398632e+001	-5.372290e+001
2.427184e+001	-5.148629e+001
2.467996e+001	-4.262181e+001
2.453635e+001	-6.358323e+001
2.467883e+001	-6.907899e+001
2.539345e+001	-4.364527e+001
2.567897e+001	-4.140866e+001
2.553537e+001	-6.236964e+001
2.559611e+001	-7.228428e+001
2.624943e+001	-5.016450e+001
2.647364e+001	-5.124183e+001
2.661612e+001	-5.673804e+001
2.671773e+001	-6.444326e+001
2.675804e+001	-7.546242e+001
2.724789e+001	-6.217951e+001
2.755383e+001	-5.883841e+001
2.806412e+001	-4.445099e+001
2.851310e+001	-3.337751e+001
2.832863e+001	-5.654792e+001
2.847111e+001	-6.204370e+001
2.885879e+001	-5.428416e+001
2.863346e+001	-7.966356e+001
2.926635e+001	-5.864826e+001
2.967446e+001	-4.978423e+001
2.973520e+001	-5.969890e+001
3.000028e+001	-5.856678e+001
3.018362e+001	-6.185355e+001
3.014219e+001	-7.729160e+001
3.069335e+001	-6.069474e+001
3.077452e+001	-6.950489e+001
3.128481e+001	-5.511703e+001
3.140685e+001	-6.171776e+001
3.177410e+001	-5.506272e+001
3.191657e+001	-6.055893e+001
3.222252e+001	-5.721783e+001
3.236499e+001	-6.271404e+001
3.218053e+001	-8.588400e+001
3.328339e+001	-3.946215e+001
3.328283e+001	-5.269075e+001
3.291447e+001	-8.580252e+001
3.332258e+001	-7.693849e+001
3.393503e+001	-5.702770e+001
3.420011e+001	-5.589604e+001
3.466953e+001	-4.371762e+001
3.452593e+001	-6.467859e+001
3.507709e+001	-4.808174e+001
3.530129e+001	-4.915952e+001
3.521900e+001	-6.680654e+001
3.579058e+001	-4.910519e+001
3.632130e+001	-3.361283e+001
3.625944e+001	-5.015537e+001
3.593194e+001	-8.105815e+001
3.668743e+001	-5.341497e+001
3.725901e+001	-3.571363e+001
3.744235e+001	-3.900040e+001
3.774830e+001	-3.565929e+001
3.789079e+001	-4.115507e+001
3.774718e+001	-6.211648e+001
3.840050e+001	-3.999625e+001
3.835907e+001	-5.543429e+001
3.860372e+001	-5.540713e+001
3.878706e+001	-5.869390e+001
3.892954e+001	-6.418967e+001
3.894941e+001	-7.631376e+001
3.921449e+001	-7.518167e+001
3.978608e+001	-5.748032e+001
3.986725e+001	-6.629047e+001
4.052058e+001	-4.417024e+001
4.064262e+001	-5.077095e+001
4.094856e+001	-4.742984e+001
4.082540e+001	-6.728632e+001
4.115178e+001	-6.284072e+001
4.137599e+001	-6.391805e+001
4.135500e+001	-7.825114e+001
4.135444e+001	-9.147973e+001
4.210993e+001	-6.383657e+001
4.243631e+001	-5.939097e+001
4.266052e+001	-6.046830e+001
4.278256e+001	-6.706902e+001
4.257766e+001	-9.134393e+001
4.314925e+001	-7.364257e+001
4.331216e+001	-7.803385e+001
4.353636e+001	-7.911163e+001
4.416925e+001	-5.809633e+001
4.398479e+001	-8.126631e+001
4.435204e+001	-7.461127e+001
4.478058e+001	-6.464273e+001
4.457568e+001	-8.891764e+001
4.492250e+001	-8.336709e+001
4.553495e+001	-6.345630e+001
4.565700e+001	-7.005702e+001
4.551340e+001	-9.101798e+001
4.586021e+001	-8.546788e+001
4.590052e+001	-9.648704e+001
4.645167e+001	-7.989019e+001
4.649198e+001	-9.090933e+001
4.632794e+001	-1.129752e+002
4.675649e+001	-1.030063e+002
4.743025e+001	-7.978154e+001
4.759316e+001	-8.417281e+001
4.779694e+001	-8.635509e+001
4.781681e+001	-9.847918e+001
4.875620e+001	-6.089421e+001
4.914389e+001	-5.313422e+001
4.881639e+001	-8.403700e+001
4.902016e+001	-8.621927e+001
4.932611e+001	-8.287819e+001
4.961163e+001	-8.064158e+001
4.981540e+001	-8.282386e+001
5.006004e+001	-8.279669e+001
5.079510e+001	-5.625803e+001
5.106018e+001	-5.512637e+001
5.083485e+001	-8.050577e+001
5.134513e+001	-6.611836e+001
5.146718e+001	-7.271907e+001
5.142574e+001	-8.815711e+001
5.209950e+001	-6.493237e+001
5.201720e+001	-8.257940e+001
5.265009e+001	-6.156411e+001
5.307864e+001	-5.159514e+001
5.326198e+001	-5.488191e+001
5.334315e+001	-6.369206e+001
5.350606e+001	-6.808334e+001
5.422069e+001	-4.264917e+001
5.450620e+001	-4.041302e+001
5.391306e+001	-8.567604e+001
5.419858e+001	-8.343944e+001
5.464756e+001	-7.236596e+001
5.501481e+001	-6.571092e+001
5.552509e+001	-5.132351e+001
5.556540e+001	-6.234267e+001
5.581004e+001	-6.231551e+001
5.597295e+001	-6.670722e+001
5.601326e+001	-7.772638e+001
5.627834e+001	-7.659427e+001
5.644124e+001	-8.098599e+001
5.686979e+001	-7.101701e+001
5.705314e+001	-7.430379e+001
5.742038e+001	-6.764876e+001
5.768546e+001	-6.651710e+001
5.778707e+001	-7.422230e+001
5.882864e+001	-3.111395e+001
5.872590e+001	-4.986591e+001
5.913402e+001	-4.100143e+001
5.911303e+001	-5.533453e+001
5.925550e+001	-6.083074e+001
5.968406e+001	-5.086176e+001
5.992869e+001	-5.083460e+001
5.994857e+001	-6.295870e+001
6.047929e+001	-4.746635e+001
6.082610e+001	-4.191580e+001
6.100945e+001	-4.520257e+001
6.119279e+001	-4.848936e+001
6.137613e+001	-5.177613e+001
6.121210e+001	-7.384203e+001
6.174282e+001	-5.834969e+001
6.186487e+001	-6.495040e+001
6.219124e+001	-6.050480e+001
6.227242e+001	-6.931452e+001
6.274183e+001	-5.713653e+001
6.304778e+001	-5.379543e+001
6.374196e+001	-2.946621e+001
6.365967e+001	-4.711324e+001
6.400649e+001	-4.156269e+001
6.435330e+001	-3.601260e+001
6.439361e+001	-4.703176e+001
6.496519e+001	-2.933040e+001
6.533244e+001	-2.267536e+001
6.555666e+001	-2.375270e+001
