    nm         	pN
0.000000e+000	8.105603e+002
7.846918e-002	8.027124e+002
-7.085890e-002	7.840737e+002
-1.373539e-001	7.693588e+002
-2.866808e-001	7.507202e+002
-3.324666e-001	7.369862e+002
-3.989568e-001	7.222716e+002
-5.068713e-001	7.055946e+002
-5.112341e-001	6.938229e+002
-6.191473e-001	6.771461e+002
-7.477651e-001	6.594884e+002
-8.349645e-001	6.437927e+002
-9.635881e-001	6.261348e+002
-9.886600e-001	6.133821e+002
-1.055155e+000	5.986672e+002
-1.059518e+000	5.868955e+002
-1.146722e+000	5.711996e+002
-1.192503e+000	5.574660e+002
-1.238289e+000	5.437321e+002
-1.242656e+000	5.319601e+002
-1.329852e+000	5.162646e+002
-1.437765e+000	4.995878e+002
-1.462842e+000	4.868349e+002
-1.550046e+000	4.711390e+002
-1.533695e+000	4.603485e+002
-1.641608e+000	4.436716e+002
-1.770231e+000	4.260137e+002
-1.795308e+000	4.132608e+002
-1.820375e+000	4.005083e+002
-1.886870e+000	3.857934e+002
-1.994784e+000	3.691165e+002
-2.061279e+000	3.544016e+002
-2.148474e+000	3.387062e+002
-2.194261e+000	3.249722e+002
-2.240045e+000	3.112384e+002
-2.347960e+000	2.945615e+002
-2.414446e+000	2.798470e+002
-2.522359e+000	2.631701e+002
-2.568145e+000	2.494362e+002
-2.696758e+000	2.317787e+002
-2.742543e+000	2.180449e+002
-2.767620e+000	2.052919e+002
-2.709860e+000	1.964630e+002
-2.714228e+000	1.846911e+002
-2.780713e+000	1.699766e+002
-2.847208e+000	1.552617e+002
-2.830866e+000	1.444708e+002
-2.959490e+000	1.268129e+002
-2.901719e+000	1.179844e+002
-2.864669e+000	1.081745e+002
-2.724072e+000	1.032695e+002
-2.707730e+000	9.247864e+001
-2.836352e+000	7.482075e+001
-3.027094e+000	5.422031e+001
-3.114298e+000	3.852441e+001
-3.118666e+000	2.675249e+001
-2.895231e+000	2.577152e+001
-2.816762e+000	1.792359e+001
-2.779702e+000	8.114101e+000
-2.597687e+000	5.171144e+000
-2.747019e+000	-1.346773e+001
-2.647840e+000	-2.033467e+001
-2.175896e+000	-9.543697e+000
-1.558987e+000	8.114235e+000
-1.729028e+000	-1.150564e+001
-1.940487e+000	-3.308749e+001
-1.385706e+000	-1.837255e+001
-1.079436e+000	-1.542953e+001
-1.332313e+000	-3.897339e+001
-1.357381e+000	-5.172586e+001
-1.382457e+000	-6.447878e+001
-1.159024e+000	-6.545974e+001
-1.059846e+000	-7.232669e+001
-7.742837e-001	-7.036467e+001
-2.816301e-001	-5.859269e+001
1.074766e-001	-5.172571e+001
4.137477e-001	-4.878269e+001
3.058344e-001	-6.545960e+001
4.050128e-001	-7.232653e+001
7.319919e-001	-6.840253e+001
8.311714e-001	-7.526946e+001
7.232570e-001	-9.194637e+001
9.466915e-001	-9.292733e+001
1.397927e+000	-8.311736e+001
1.662778e+000	-8.213633e+001
1.699829e+000	-9.194626e+001
2.171774e+000	-8.115528e+001
2.540172e+000	-7.526930e+001
2.929280e+000	-6.840230e+001
3.463352e+000	-5.466834e+001
3.479694e+000	-6.545926e+001
3.661709e+000	-6.840222e+001
3.553795e+000	-8.507912e+001
4.812680e+000	-3.701076e+001
5.367461e+000	-2.229582e+001
5.093874e+000	-4.682068e+001
5.130935e+000	-5.663016e+001
5.312950e+000	-5.957311e+001
5.909140e+000	-4.289662e+001
5.884072e+000	-5.564908e+001
6.293880e+000	-4.780154e+001
6.434486e+000	-5.270605e+001
6.554375e+000	-5.859199e+001
6.860644e+000	-5.564898e+001
6.814859e+000	-6.938290e+001
7.162548e+000	-6.447789e+001
7.137471e+000	-7.723081e+001
7.381614e+000	-7.723078e+001
7.605049e+000	-7.821174e+001
7.662809e+000	-8.704067e+001
7.969079e+000	-8.409766e+001
8.316769e+000	-7.919266e+001
8.395237e+000	-8.704060e+001
8.763636e+000	-8.115460e+001
9.152743e+000	-7.428761e+001
9.106957e+000	-8.802151e+001
9.288973e+000	-9.096448e+001
1.013368e+001	-6.251559e+001
9.570166e+000	-1.007744e+002
9.938565e+000	-9.488837e+001
1.094895e+001	-5.859153e+001
1.146230e+001	-4.583902e+001
1.147865e+001	-5.662950e+001
1.128790e+001	-7.723037e+001
1.151134e+001	-7.821134e+001
1.167264e+001	-8.213530e+001
1.162686e+001	-9.586920e+001
1.176745e+001	-1.007742e+002
1.248791e+001	-7.821124e+001
1.237999e+001	-9.488813e+001
1.229280e+001	-1.105836e+002
1.270261e+001	-1.027360e+002
1.284321e+001	-1.076405e+002
1.304594e+001	-1.096025e+002
1.308299e+001	-1.194124e+002
1.312004e+001	-1.292224e+002
1.357128e+001	-1.194124e+002
1.383613e+001	-1.184314e+002
1.405956e+001	-1.194123e+002
1.465575e+001	-1.027358e+002
1.506557e+001	-9.488785e+001
1.501979e+001	-1.086213e+002
1.505684e+001	-1.184312e+002
1.521815e+001	-1.223552e+002
1.548300e+001	-1.213742e+002
1.607919e+001	-1.046977e+002
1.609554e+001	-1.154881e+002
1.617401e+001	-1.233361e+002
1.654241e+001	-1.174501e+002
1.653804e+001	-1.292220e+002
1.665793e+001	-1.351080e+002
1.723342e+001	-1.194120e+002
1.733260e+001	-1.262789e+002
1.734894e+001	-1.370699e+002
1.790372e+001	-1.223549e+002
1.760943e+001	-1.478608e+002
1.768789e+001	-1.557087e+002
1.818055e+001	-1.439367e+002
1.823831e+001	-1.527657e+002
1.873096e+001	-1.409937e+002
1.899582e+001	-1.400127e+002
1.888790e+001	-1.566896e+002
1.925630e+001	-1.508036e+002
1.972824e+001	-1.400126e+002
2.005522e+001	-1.360886e+002
2.040291e+001	-1.311836e+002
2.079202e+001	-1.243166e+002
2.062198e+001	-1.439365e+002
2.080399e+001	-1.468794e+002
2.113097e+001	-1.429554e+002
2.141654e+001	-1.409934e+002
2.192990e+001	-1.282405e+002
2.231901e+001	-1.213735e+002
2.243889e+001	-1.272594e+002
2.276587e+001	-1.233354e+002
2.298931e+001	-1.243164e+002
2.321274e+001	-1.252973e+002
2.347759e+001	-1.243163e+002
2.341110e+001	-1.390312e+002
2.338602e+001	-1.517841e+002
2.410648e+001	-1.292212e+002
2.410211e+001	-1.409931e+002
2.403561e+001	-1.557080e+002
2.415550e+001	-1.615940e+002
2.431682e+001	-1.655175e+002
2.503726e+001	-1.429550e+002
2.675175e+001	-7.330479e+001
2.707873e+001	-6.938078e+001
2.732287e+001	-6.938075e+001
2.760843e+001	-6.741874e+001
2.793541e+001	-6.349472e+001
2.815885e+001	-6.447569e+001
2.850654e+001	-5.957069e+001
2.837791e+001	-7.722859e+001
2.913979e+001	-5.270367e+001
2.946677e+001	-4.877967e+001
2.940027e+001	-6.349457e+001
2.997575e+001	-4.779907e+001
2.995069e+001	-6.055154e+001
2.984277e+001	-7.722843e+001
3.019046e+001	-7.232343e+001
3.101445e+001	-4.485598e+001
3.076158e+001	-6.839939e+001
3.119211e+001	-5.957042e+001
3.116703e+001	-7.232333e+001
3.190820e+001	-4.877941e+001
3.161390e+001	-7.428526e+001
3.237577e+001	-4.976036e+001
3.268203e+001	-4.681779e+001
3.307114e+001	-3.995080e+001
3.312891e+001	-4.877930e+001
3.333164e+001	-5.074125e+001
3.314089e+001	-7.134213e+001
3.340574e+001	-7.036111e+001
3.402265e+001	-5.270316e+001
3.405970e+001	-6.251309e+001
3.438668e+001	-5.858909e+001
3.376104e+001	-9.979086e+001
3.497851e+001	-5.368406e+001
3.526407e+001	-5.172204e+001
3.486623e+001	-8.213287e+001
3.529676e+001	-7.330388e+001
3.533381e+001	-8.311381e+001
3.568150e+001	-7.820881e+001
3.604989e+001	-7.232282e+001
3.650113e+001	-6.251284e+001
3.649676e+001	-7.428475e+001
3.651310e+001	-8.507568e+001
3.681937e+001	-8.213266e+001
3.695997e+001	-8.703762e+001
3.693489e+001	-9.979054e+001
3.705479e+001	-1.056760e+002
3.781665e+001	-8.115157e+001
3.795725e+001	-8.605652e+001
3.828423e+001	-8.213252e+001
3.832128e+001	-9.194244e+001
