    nm         	pN
0.000000e+000	5.740018e+002
-2.508491e-002	5.612484e+002
-5.016865e-002	5.484951e+002
-5.454340e-002	5.367227e+002
-7.963182e-002	5.239691e+002
1.954540e-002	5.171021e+002
1.187179e-001	5.102348e+002
1.350522e-001	4.994434e+002
1.099673e-001	4.866900e+002
1.677218e-001	4.778608e+002
1.426381e-001	4.651074e+002
-6.705448e-003	4.464678e+002
7.175751e-002	4.386195e+002
2.123515e-001	4.337144e+002
4.357821e-001	4.327332e+002
6.385049e-001	4.307712e+002
4.684523e-001	4.111506e+002
4.847866e-001	4.003592e+002
6.253789e-001	3.954540e+002
4.553252e-001	3.758334e+002
5.545001e-001	3.689662e+002
6.950917e-001	3.640609e+002
8.149750e-001	3.581747e+002
1.059116e+000	3.581747e+002
1.282548e+000	3.571936e+002
1.423140e+000	3.522884e+002
1.460183e+000	3.424780e+002
1.331552e+000	3.248196e+002
1.575693e+000	3.248195e+002
1.633448e+000	3.159902e+002
1.608362e+000	3.032368e+002
1.624698e+000	2.924455e+002
1.392515e+000	2.698818e+002
1.553817e+000	2.659576e+002
1.218087e+000	2.384888e+002
1.545068e+000	2.424129e+002
1.685660e+000	2.375077e+002
1.598447e+000	2.218112e+002
1.780459e+000	2.188681e+002
2.066018e+000	2.208300e+002
2.144481e+000	2.129817e+002
2.036557e+000	1.963042e+002
2.197861e+000	1.923800e+002
2.359164e+000	1.884559e+002
2.561884e+000	1.864937e+002
2.453961e+000	1.698162e+002
2.573844e+000	1.639300e+002
2.590178e+000	1.531386e+002
2.875739e+000	1.551007e+002
2.933494e+000	1.462714e+002
3.343309e+000	1.541194e+002
3.463195e+000	1.482333e+002
3.562367e+000	1.413660e+002
3.475154e+000	1.256696e+002
3.636456e+000	1.217453e+002
4.004856e+000	1.276315e+002
3.938353e+000	1.129161e+002
3.975396e+000	1.031057e+002
4.240247e+000	1.040867e+002
4.318711e+000	9.623841e+001
4.335045e+000	8.544703e+001
4.330670e+000	7.367466e+001
4.471260e+000	6.876932e+001
4.176952e+000	4.326271e+001
4.648899e+000	5.405393e+001
4.685943e+000	4.424355e+001
4.950792e+000	4.522446e+001
4.925709e+000	3.247111e+001
5.128431e+000	3.050905e+001
5.248313e+000	2.462273e+001
4.974713e+000	9.710319e-002
5.115308e+000	-4.808007e+000
5.173062e+000	-1.363730e+001
5.624299e+000	-3.827171e+000
5.495667e+000	-2.148567e+001
5.843353e+000	-1.658071e+001
6.087494e+000	-1.658078e+001
6.103828e+000	-2.737216e+001
6.306552e+000	-2.933421e+001
6.012242e+000	-5.484094e+001
6.152833e+000	-5.974617e+001
6.355554e+000	-6.170832e+001
6.454731e+000	-6.857542e+001
6.885256e+000	-5.974639e+001
6.653074e+000	-8.231005e+001
6.855798e+000	-8.427210e+001
6.934260e+000	-9.212040e+001
7.178401e+000	-9.212048e+001
7.443252e+000	-9.113957e+001
7.376748e+000	-1.058550e+002
7.475919e+000	-1.127223e+002
7.720060e+000	-1.127224e+002
7.736396e+000	-1.235137e+002
8.001246e+000	-1.225327e+002
8.121130e+000	-1.284190e+002
8.116755e+000	-1.401913e+002
8.526571e+000	-1.323433e+002
8.273681e+000	-1.558879e+002
8.227889e+000	-1.696222e+002
8.658416e+000	-1.607931e+002
8.736879e+000	-1.686414e+002
8.877474e+000	-1.735465e+002
8.873099e+000	-1.853189e+002
8.951561e+000	-1.931672e+002
8.967896e+000	-2.039586e+002
9.067067e+000	-2.108259e+002
9.352629e+000	-2.088639e+002
9.658899e+000	-2.059209e+002
1.011013e+001	-1.961108e+002
1.008505e+001	-2.088641e+002
1.028777e+001	-2.108263e+002
1.017985e+001	-2.275037e+002
1.038257e+001	-2.294658e+002
1.037820e+001	-2.412382e+002
1.024956e+001	-2.588967e+002
1.076293e+001	-2.461435e+002
1.098636e+001	-2.471245e+002
1.116837e+001	-2.500678e+002
1.118471e+001	-2.608591e+002
1.122175e+001	-2.706695e+002
1.152802e+001	-2.677264e+002
1.173074e+001	-2.696885e+002
1.209914e+001	-2.638024e+002
1.279890e+001	-2.422200e+002
1.356078e+001	-2.176944e+002
1.353569e+001	-2.304479e+002
1.365558e+001	-2.363340e+002
1.383759e+001	-2.392773e+002
1.391605e+001	-2.471255e+002
1.422232e+001	-2.441825e+002
1.485995e+001	-2.255431e+002
1.481415e+001	-2.392776e+002
1.491333e+001	-2.461448e+002
1.530243e+001	-2.392777e+002
1.567083e+001	-2.333917e+002
1.610136e+001	-2.245624e+002
1.632479e+001	-2.255436e+002
1.656893e+001	-2.255437e+002
1.675094e+001	-2.284868e+002
1.693295e+001	-2.314300e+002
1.678361e+001	-2.500696e+002
1.733840e+001	-2.353542e+002
