    nm         	pN
0.000000e+000	4.475761e+002
-8.722945e-002	4.318789e+002
-9.160479e-002	4.201065e+002
-9.598071e-002	4.083341e+002
-1.624959e-001	3.936181e+002
-1.875837e-001	3.808646e+002
-3.369525e-001	3.622238e+002
-4.863188e-001	3.435831e+002
-3.457031e-001	3.386790e+002
-4.329308e-001	3.229819e+002
-5.201603e-001	3.072847e+002
-3.588291e-001	3.033619e+002
-3.217807e-001	2.935517e+002
-4.297203e-001	2.768735e+002
-5.376616e-001	2.601951e+002
-5.627524e-001	2.474414e+002
-6.499807e-001	2.317443e+002
-4.679379e-001	2.288026e+002
-4.515996e-001	2.180114e+002
-2.695565e-001	2.150697e+002
-5.846308e-001	1.885794e+002
-7.132835e-001	1.709199e+002
-5.933827e-001	1.650346e+002
-5.770449e-001	1.542434e+002
-4.571411e-001	1.483581e+002
-5.236575e-001	1.336421e+002
-3.623264e-001	1.297193e+002
-3.045624e-001	1.208905e+002
-1.639456e-001	1.159864e+002
-8.546795e-002	1.081388e+002
-1.934099e-001	9.146042e+001
9.345660e-003	8.949990e+001
8.782327e-002	8.165228e+001
8.344617e-002	6.987984e+001
2.447773e-001	6.595701e+001
3.646805e-001	6.007175e+001
5.467236e-001	5.713009e+001
6.666262e-001	5.124478e+001
8.486692e-001	4.830311e+001
1.051425e+000	4.634263e+001
1.254182e+000	4.438218e+001
2.016195e+000	6.891386e+001
2.011819e+000	5.714146e+001
2.276713e+000	5.812451e+001
2.210198e+000	4.340849e+001
2.433668e+000	4.242924e+001
3.029974e+000	5.911137e+001
3.004886e+000	4.635781e+001
3.290494e+000	4.832208e+001
3.182552e+000	3.164369e+001
3.406022e+000	3.066443e+001
3.401647e+000	1.889204e+001
3.583689e+000	1.595031e+001
3.848586e+000	1.693347e+001
3.802784e+000	3.198657e+000
4.067679e+000	4.181709e+000
4.229008e+000	2.588271e-001
4.183208e+000	-1.347586e+001
4.137404e+000	-2.721073e+001
4.195170e+000	-3.603950e+001
4.273646e+000	-4.388717e+001
4.165705e+000	-6.056550e+001
4.285608e+000	-6.645081e+001
4.405513e+000	-7.233599e+001
4.463276e+000	-8.116487e+001
4.603891e+000	-8.606897e+001
4.578803e+000	-9.882251e+001
5.009403e+000	-8.998995e+001
5.543572e+000	-7.625130e+001
5.435630e+000	-9.292968e+001
5.638385e+000	-9.489020e+001
5.758289e+000	-1.007754e+002
5.981757e+000	-1.017548e+002
6.225940e+000	-1.017529e+002
6.345845e+000	-1.076381e+002
6.527887e+000	-1.105798e+002
6.709930e+000	-1.135215e+002
6.809121e+000	-1.203879e+002
6.929025e+000	-1.262731e+002
6.924648e+000	-1.380456e+002
7.065265e+000	-1.429496e+002
6.853756e+000	-1.645340e+002
7.325784e+000	-1.537390e+002
7.362834e+000	-1.635490e+002
7.420599e+000	-1.723778e+002
7.374797e+000	-1.861126e+002
7.826113e+000	-1.762987e+002
7.883874e+000	-1.851276e+002
8.148771e+000	-1.841445e+002
8.289388e+000	-1.890485e+002
8.222872e+000	-2.037646e+002
8.259923e+000	-2.135746e+002
8.421254e+000	-2.174974e+002
8.541156e+000	-2.233827e+002
9.137462e+000	-2.067005e+002
1.012732e+001	-1.713757e+002
1.035079e+001	-1.723550e+002
