    nm         	pN
0.000000e+000	5.002768e+002
-1.637560e-001	4.754734e+002
-1.791797e-001	4.596898e+002
-9.190077e-003	4.551808e+002
-6.073723e-003	4.405246e+002
5.266780e-002	4.292508e+002
1.870314e-002	4.123397e+002
2.182726e-002	3.976840e+002
2.659821e-001	3.976847e+002
4.359744e-001	3.931759e+002
1.980678e-001	3.638636e+002
7.140609e-002	3.413159e+002
3.341023e-001	3.424441e+002
5.411761e-001	3.401900e+002
5.257593e-001	3.244069e+002
2.507712e-001	2.928398e+002
4.022221e-001	2.872034e+002
5.536730e-001	2.815671e+002
6.680429e-001	2.736759e+002
8.380348e-001	2.691670e+002
9.894857e-001	2.635306e+002
1.029692e+000	2.511298e+002
8.844890e-001	2.274546e+002
9.432360e-001	2.161812e+002
1.057605e+000	2.082900e+002
1.190515e+000	2.015262e+002
1.286344e+000	1.925076e+002
1.363632e+000	1.823615e+002
1.478001e+000	1.744704e+002
1.796320e+000	1.789808e+002
2.096097e+000	1.823639e+002
2.080681e+000	1.665807e+002
2.120887e+000	1.541798e+002
1.957144e+000	1.293773e+002
2.127136e+000	1.248683e+002
2.204424e+000	1.147223e+002
2.448579e+000	1.147231e+002
2.340458e+000	9.330279e+001
2.399205e+000	8.202933e+001
2.402329e+000	6.737361e+001
2.423994e+000	5.384529e+001
2.649609e+000	5.271866e+001
2.893764e+000	5.271944e+001
2.804184e+000	3.242657e+001
2.937094e+000	2.566279e+001
3.292494e+000	3.242812e+001
3.481028e+000	2.904663e+001
3.558314e+000	1.890057e+001
3.895174e+000	2.453849e+001
3.879758e+000	8.755313e+000
3.808720e+000	-1.041008e+001
4.219742e+000	-2.625059e-001
4.278489e+000	-1.153597e+001
4.170368e+000	-3.295625e+001
4.303279e+000	-3.972002e+001
4.714301e+000	-2.957243e+001
4.810130e+000	-3.859102e+001
4.961581e+000	-4.422737e+001
5.094491e+000	-5.099115e+001
5.505514e+000	-4.084357e+001
5.545719e+000	-5.324445e+001
5.734252e+000	-5.662597e+001
5.533427e+000	-8.368335e+001
5.703419e+000	-8.819227e+001
5.947574e+000	-8.819149e+001
6.099026e+000	-9.382783e+001
6.269018e+000	-9.833674e+001
6.494632e+000	-9.946340e+001
6.275266e+000	-1.276482e+002
6.222768e+000	-1.456862e+002
6.281514e+000	-1.569597e+002
6.470048e+000	-1.603412e+002
6.825448e+000	-1.535759e+002
7.051062e+000	-1.547025e+002
7.054187e+000	-1.693583e+002
7.112933e+000	-1.806317e+002
7.301467e+000	-1.840132e+002
7.564163e+000	-1.828850e+002
7.678532e+000	-1.907762e+002
7.811441e+000	-1.975400e+002
8.352250e+000	-1.795004e+002
8.689110e+000	-1.738625e+002
8.395580e+000	-2.065570e+002
8.973472e+000	-1.862626e+002
8.661401e+000	-2.200846e+002
8.942639e+000	-2.178289e+002
8.964303e+000	-2.313573e+002
9.523653e+000	-2.121903e+002
9.563859e+000	-2.245912e+002
9.900718e+000	-2.189533e+002
1.020050e+001	-2.155702e+002
1.048173e+001	-2.133146e+002
1.044778e+001	-2.302252e+002
1.032111e+001	-2.527729e+002
1.056527e+001	-2.527721e+002
1.066110e+001	-2.617907e+002
1.096088e+001	-2.584077e+002
1.165001e+001	-2.313487e+002
1.141210e+001	-2.606610e+002
1.169334e+001	-2.584054e+002
1.208582e+001	-2.493852e+002
1.249685e+001	-2.392376e+002
1.261122e+001	-2.471288e+002
1.274413e+001	-2.538925e+002
1.317369e+001	-2.426175e+002
1.334368e+001	-2.471264e+002
1.358784e+001	-2.471257e+002
1.394324e+001	-2.403603e+002
1.415031e+001	-2.426144e+002
1.433884e+001	-2.459959e+002
1.445321e+001	-2.538871e+002
1.469737e+001	-2.538863e+002
1.445946e+001	-2.831986e+002
1.524130e+001	-2.505025e+002
1.539275e+001	-2.561389e+002
1.595210e+001	-2.369719e+002
1.604793e+001	-2.459905e+002
1.603251e+001	-2.617737e+002
1.653624e+001	-2.459889e+002
1.679894e+001	-2.448607e+002
1.706163e+001	-2.437325e+002
1.769514e+001	-2.200558e+002
1.801346e+001	-2.155454e+002
1.794243e+001	-2.347108e+002
1.835345e+001	-2.245632e+002
1.861615e+001	-2.234350e+002
1.897154e+001	-2.166697e+002
1.888196e+001	-2.369626e+002
2.005316e+001	-1.805906e+002
2.055689e+001	-1.648059e+002
2.050439e+001	-1.828438e+002
2.089687e+001	-1.738237e+002
2.064042e+001	-2.042634e+002
2.160767e+001	-1.602931e+002
2.161080e+001	-1.749488e+002
2.148414e+001	-1.974965e+002
2.170975e+001	-1.986232e+002
2.174996e+001	-2.110241e+002
2.232785e+001	-1.907296e+002
2.288720e+001	-1.715626e+002
2.281616e+001	-1.907281e+002
2.322718e+001	-1.805805e+002
2.361966e+001	-1.715603e+002
2.403068e+001	-1.614127e+002
2.405235e+001	-1.749411e+002
2.435213e+001	-1.715580e+002
2.487440e+001	-1.546458e+002
2.522980e+001	-1.478806e+002
2.564082e+001	-1.377329e+002
2.573665e+001	-1.467516e+002
2.573977e+001	-1.614073e+002
2.613225e+001	-1.523871e+002
2.811925e+001	-4.640851e+001
2.819653e+001	-5.655457e+001
2.884859e+001	-3.175044e+001
2.888880e+001	-4.415130e+001
2.874359e+001	-6.782647e+001
2.934002e+001	-4.640462e+001
2.960272e+001	-4.527641e+001
2.993958e+001	-3.963852e+001
3.010957e+001	-4.414743e+001
3.039081e+001	-4.189181e+001
3.017144e+001	-7.007663e+001
3.080496e+001	-4.639997e+001
3.071538e+001	-6.669282e+001
3.071850e+001	-8.134853e+001
3.151888e+001	-4.752505e+001
3.122535e+001	-8.021955e+001
3.135826e+001	-8.698332e+001
3.189907e+001	-6.894377e+001
3.214323e+001	-6.894299e+001
3.223905e+001	-7.796164e+001
3.226072e+001	-9.148991e+001
3.257904e+001	-8.697946e+001
3.282319e+001	-8.697867e+001
3.286340e+001	-9.937957e+001
3.366378e+001	-6.555608e+001
3.361128e+001	-8.359409e+001
3.378127e+001	-8.810300e+001
3.408105e+001	-8.471998e+001
3.426958e+001	-8.810146e+001
3.436541e+001	-9.712005e+001
3.425729e+001	-1.185404e+002
3.470539e+001	-1.061379e+002
3.532037e+001	-8.358866e+001
3.560161e+001	-8.133302e+001
3.567889e+001	-9.147904e+001
3.581180e+001	-9.824282e+001
3.594471e+001	-1.050066e+002
3.618887e+001	-1.050058e+002
3.628470e+001	-1.140244e+002
3.660302e+001	-1.095140e+002
3.736631e+001	-7.794533e+001
3.710987e+001	-1.083850e+002
3.727986e+001	-1.128939e+002
3.761672e+001	-1.072560e+002
3.819461e+001	-8.696160e+001
3.821627e+001	-1.004899e+002
3.794129e+001	-1.320570e+002
3.844501e+001	-1.162723e+002
3.894874e+001	-1.004876e+002
3.932268e+001	-9.259483e+001
3.930726e+001	-1.083780e+002
3.951434e+001	-1.106321e+002
4.007369e+001	-9.146507e+001
4.037346e+001	-8.808205e+001
4.019118e+001	-1.140120e+002
4.071345e+001	-9.709987e+001
4.105031e+001	-9.146196e+001
4.099781e+001	-1.095000e+002
4.139029e+001	-1.004798e+002
4.135633e+001	-1.173904e+002
4.180444e+001	-1.049880e+002
4.236379e+001	-8.582097e+001
4.221859e+001	-1.094961e+002
4.270377e+001	-9.483885e+001
4.302209e+001	-9.032838e+001
4.311792e+001	-9.934696e+001
