    nm         	pN
0.000000e+000	6.957048e+002
3.110876e-003	6.810483e+002
8.044403e-002	6.709050e+002
9.345409e-003	6.517359e+002
-6.173861e-002	6.325678e+002
-1.699484e-001	6.111421e+002
-9.261521e-002	6.009988e+002
-7.092595e-002	5.874720e+002
-1.234763e-001	5.694308e+002
-2.687981e-001	5.457484e+002
-2.656735e-001	5.310927e+002
-2.810972e-001	5.153091e+002
-1.852295e-001	5.062928e+002
-2.192015e-001	4.893814e+002
-2.160915e-001	4.747248e+002
-2.686263e-001	4.566845e+002
-2.655013e-001	4.420288e+002
-3.365999e-001	4.228598e+002
-3.891357e-001	4.048195e+002
-4.602485e-001	3.856496e+002
-4.756722e-001	3.698660e+002
-4.725622e-001	3.552094e+002
-5.621940e-001	3.349133e+002
-6.147444e-001	3.168722e+002
-5.745224e-001	3.044723e+002
-5.899606e-001	2.886878e+002
-4.940633e-001	2.796733e+002
-5.837106e-001	2.593764e+002
-6.548092e-001	2.402073e+002
-7.630194e-001	2.187816e+002
-7.970060e-001	2.018692e+002
-6.639970e-001	1.951115e+002
-6.979991e-001	1.781982e+002
-6.577771e-001	1.657983e+002
-7.103265e-001	1.477571e+002
-6.886382e-001	1.342302e+002
-6.113050e-001	1.240870e+002
-6.638545e-001	1.060458e+002
-4.566369e-001	1.038005e+002
-4.535123e-001	8.914480e+001
-5.431738e-001	6.884697e+001
-4.287286e-001	6.096040e+001
-3.884920e-001	4.856138e+001
-1.812890e-001	4.631517e+001
5.825317e-001	7.791554e+001
3.630004e-001	4.972068e+001
3.289992e-001	3.280741e+001
1.280463e-001	5.742223e+000
3.352338e-001	3.495114e+000
8.578650e-001	2.042931e+001
1.269160e+000	3.059349e+001
1.105305e+000	5.784076e+000
9.970949e-001	-1.564162e+001
1.631045e+000	8.061685e+000
1.838248e+000	5.815470e+000
1.804247e+000	-1.109777e+001
2.104222e+000	-7.702744e+000
2.218667e+000	-1.558931e+001
2.277452e+000	-2.686043e+001
2.670184e+000	-1.782505e+001
2.803193e+000	-2.458282e+001
2.917609e+000	-3.247118e+001
2.976395e+000	-4.374230e+001
2.942422e+000	-6.065379e+001
3.056839e+000	-6.854213e+001
3.542372e+000	-5.386373e+001
3.972216e+000	-4.257165e+001
3.919681e+000	-6.061192e+001
4.497943e+000	-4.029494e+001
4.575277e+000	-5.043818e+001
5.079343e+000	-3.463278e+001
5.546300e+000	-2.108403e+001
5.234011e+000	-5.491924e+001
5.571098e+000	-4.926753e+001
5.889622e+000	-4.474462e+001
6.282354e+000	-3.570922e+001
6.638003e+000	-2.892874e+001
6.770983e+000	-3.568830e+001
6.848331e+000	-4.583065e+001
7.185403e+000	-4.017982e+001
7.726582e+000	-2.211774e+001
8.045106e+000	-1.759481e+001
8.326531e+000	-1.532768e+001
8.459526e+000	-2.208635e+001
