    nm         	nN
0.000000e+000	9.679851e+000
-5.248371e-002	9.661814e+000
-1.235467e-001	9.642647e+000
-1.760304e-001	9.624610e+000
-1.914724e-001	9.608825e+000
-1.698142e-001	9.595296e+000
-1.481413e-001	9.581768e+000
-2.006543e-001	9.563729e+000
-1.789960e-001	9.550201e+000
-1.573524e-001	9.536671e+000
-2.098361e-001	9.518634e+000
-2.252781e-001	9.502849e+000
-3.704684e-001	9.479175e+000
-5.342235e-001	9.454372e+000
-5.311007e-001	9.439716e+000
-5.279926e-001	9.425059e+000
-5.434053e-001	9.409276e+000
-6.330039e-001	9.388982e+000
-6.484166e-001	9.373199e+000
-6.453085e-001	9.358542e+000
-6.236502e-001	9.345014e+000
-5.278208e-001	9.335995e+000
-5.247127e-001	9.321338e+000
-5.215899e-001	9.306683e+000
-5.555528e-001	9.289772e+000
-6.080657e-001	9.271733e+000
-6.976496e-001	9.251440e+000
-7.501479e-001	9.233402e+000
-8.582819e-001	9.211981e+000
-9.107802e-001	9.193942e+000
-8.335009e-001	9.183796e+000
-7.562216e-001	9.173649e+000
-6.789423e-001	9.163503e+000
-6.572987e-001	9.149973e+000
-6.727115e-001	9.134190e+000
-5.027402e-001	9.129680e+000
-4.625464e-001	9.117278e+000
-5.150448e-001	9.099240e+000
-7.344063e-001	9.071056e+000
-6.571270e-001	9.060909e+000
-1.719647e-001	9.075565e+000
2.205054e-001	9.084585e+000
5.017335e-001	9.086840e+000
4.492206e-001	9.068801e+000
5.450354e-001	9.059781e+000
1.104369e+000	9.078947e+000
1.774944e+000	9.104878e+000
2.111793e+000	9.110515e+000
2.133437e+000	9.096985e+000
2.359044e+000	9.095858e+000
2.325081e+000	9.078947e+000
2.513603e+000	9.075565e+000
2.572346e+000	9.064292e+000
2.668161e+000	9.055272e+000
2.819612e+000	9.049636e+000
2.915426e+000	9.040616e+000
2.918535e+000	9.025960e+000
3.088521e+000	9.021450e+000
3.221421e+000	9.014686e+000
3.317236e+000	9.005666e+000
3.190566e+000	8.983118e+000
3.230760e+000	8.970717e+000
3.067019e+000	8.945914e+000
3.199920e+000	8.939150e+000
3.147421e+000	8.921112e+000
3.261772e+000	8.913219e+000
3.357601e+000	8.904201e+000
3.379259e+000	8.890672e+000
3.567781e+000	8.887290e+000
3.626510e+000	8.876015e+000
3.629633e+000	8.861360e+000
3.669826e+000	8.848958e+000
3.728570e+000	8.837684e+000
3.731679e+000	8.823028e+000
3.716251e+000	8.807244e+000
5.536348e+000	8.903074e+000
6.095667e+000	8.922239e+000
6.395430e+000	8.925621e+000
6.621037e+000	8.924494e+000
6.828094e+000	8.922239e+000
7.331806e+000	8.938023e+000
6.908482e+000	8.897436e+000
7.300966e+000	8.906456e+000
7.619265e+000	8.910965e+000
7.566753e+000	8.892926e+000
7.940673e+000	8.900818e+000
8.240451e+000	8.904201e+000
8.447508e+000	8.901946e+000
8.654564e+000	8.899691e+000
9.213898e+000	8.918857e+000
9.124314e+000	8.898564e+000
9.238679e+000	8.890672e+000
9.575514e+000	8.896309e+000
9.912362e+000	8.901946e+000
9.952556e+000	8.889544e+000
1.014108e+001	8.886162e+000
1.066334e+001	8.903074e+000
1.068498e+001	8.889544e+000
1.078080e+001	8.880525e+000
1.128451e+001	8.896309e+000
1.154719e+001	8.897436e+000
1.171717e+001	8.892926e+000
1.190570e+001	8.889544e+000
1.202006e+001	8.881653e+000
1.215296e+001	8.874888e+000
1.278645e+001	8.898564e+000
1.332723e+001	8.916602e+000
1.355284e+001	8.915475e+000
1.405655e+001	8.931258e+000
1.428215e+001	8.930130e+000
1.437798e+001	8.921112e+000
1.447379e+001	8.912092e+000
1.507019e+001	8.933513e+000
1.572223e+001	8.958316e+000
1.605908e+001	8.963953e+000
1.602512e+001	8.947042e+000
1.619509e+001	8.942532e+000
1.608697e+001	8.921112e+000
1.640527e+001	8.925621e+000
1.668650e+001	8.927876e+000
1.700480e+001	8.932385e+000
1.717478e+001	8.927876e+000
1.719644e+001	8.914347e+000
1.757036e+001	8.922239e+000
1.746223e+001	8.900818e+000
1.778054e+001	8.905328e+000
1.850674e+001	8.934641e+000
1.865818e+001	8.929003e+000
1.867983e+001	8.915475e+000
2.009202e+001	8.986500e+000
2.089239e+001	9.020323e+000
2.082134e+001	9.001157e+000
2.126943e+001	9.013559e+000
2.221810e+001	9.056399e+000
2.194311e+001	9.024832e+000
2.235412e+001	9.034979e+000
2.235724e+001	9.020323e+000
2.273116e+001	9.028215e+000
2.295675e+001	9.027087e+000
2.318236e+001	9.025960e+000
2.342650e+001	9.025960e+000
2.361502e+001	9.022577e+000
2.410020e+001	9.037234e+000
2.404769e+001	9.019195e+000
2.464411e+001	9.040616e+000
2.473992e+001	9.031597e+000
2.483574e+001	9.022577e+000
2.489448e+001	9.011304e+000
2.510154e+001	9.009049e+000
2.521590e+001	9.001157e+000
2.531172e+001	8.992138e+000
2.575981e+001	9.004539e+000
2.607811e+001	9.009049e+000
2.669306e+001	9.031597e+000
2.684450e+001	9.025960e+000
2.660660e+001	8.996648e+000
2.709176e+001	9.011304e+000
2.744715e+001	9.018068e+000
2.789524e+001	9.030470e+000
2.787981e+001	9.014686e+000
2.856892e+001	9.041743e+000
2.831248e+001	9.011304e+000
2.868640e+001	9.019195e+000
2.926426e+001	9.039488e+000
2.939717e+001	9.032724e+000
2.960424e+001	9.030470e+000
2.997816e+001	9.038361e+000
2.994419e+001	9.021450e+000
3.029958e+001	9.028215e+000
3.035832e+001	9.016941e+000
3.054684e+001	9.013559e+000
3.103201e+001	9.028215e+000
3.155425e+001	9.045126e+000
3.170569e+001	9.039488e+000
3.143071e+001	9.007922e+000
3.160068e+001	9.003411e+000
3.175213e+001	8.997775e+000
3.234853e+001	9.019195e+000
3.288933e+001	9.037234e+000
3.261433e+001	9.005666e+000
3.348884e+001	9.043998e+000
3.299138e+001	8.998902e+000
3.342093e+001	9.010177e+000
3.357237e+001	9.004539e+000
3.374235e+001	9.000030e+000
3.443145e+001	9.027087e+000
3.445312e+001	9.013559e+000
3.449332e+001	9.001157e+000
3.453351e+001	8.988756e+000
3.501867e+001	9.003411e+000
3.548531e+001	9.016941e+000
3.535865e+001	8.994393e+000
3.576965e+001	9.004539e+000
3.582839e+001	8.993266e+000
3.622085e+001	9.002284e+000
3.639084e+001	8.997775e+000
3.663498e+001	8.997775e+000
3.712014e+001	9.012431e+000
3.699347e+001	8.989883e+000
3.740449e+001	9.000030e+000
3.763008e+001	8.998902e+000
3.737363e+001	8.968462e+000
3.741383e+001	8.956061e+000
3.808440e+001	8.981991e+000
3.814313e+001	8.970717e+000
3.805355e+001	8.950424e+000
3.866851e+001	8.972972e+000
3.917222e+001	8.988756e+000
3.924950e+001	8.978609e+000
3.951219e+001	8.979737e+000
3.968216e+001	8.975227e+000
3.990777e+001	8.974100e+000
4.004067e+001	8.967335e+000
4.021064e+001	8.962825e+000
4.051040e+001	8.966207e+000
4.058768e+001	8.956061e+000
4.072058e+001	8.949296e+000
4.092766e+001	8.947042e+000
4.096785e+001	8.934641e+000
4.123052e+001	8.935768e+000
4.166008e+001	8.947042e+000
4.240481e+001	8.977482e+000
4.307537e+001	9.003411e+000
4.330098e+001	9.002284e+000
4.363783e+001	9.007922e+000
4.373365e+001	8.998902e+000
4.394072e+001	8.996648e+000
4.429609e+001	9.003411e+000
4.446607e+001	8.998902e+000
4.446920e+001	8.984246e+000
4.491729e+001	8.996648e+000
4.506872e+001	8.991011e+000
4.564659e+001	9.011304e+000
4.551992e+001	8.988756e+000
4.580115e+001	8.991011e+000
4.563740e+001	8.966207e+000
4.640068e+001	8.997775e+000
4.660773e+001	8.995520e+000
4.700021e+001	9.004539e+000
4.729997e+001	9.007922e+000
4.739578e+001	8.998902e+000
4.745453e+001	8.987628e+000
4.797678e+001	9.004539e+000
4.801697e+001	8.992138e+000
4.816840e+001	8.986500e+000
4.856087e+001	8.995520e+000
4.884210e+001	8.997775e+000
4.891938e+001	8.987628e+000
4.944163e+001	9.004539e+000
4.957453e+001	8.997775e+000
4.978159e+001	8.995520e+000
5.008135e+001	8.998902e+000
5.008447e+001	8.984246e+000
5.053256e+001	8.996648e+000
5.085086e+001	9.001157e+000
5.122478e+001	9.009049e+000
5.122791e+001	8.994393e+000
5.119394e+001	8.977482e+000
5.130829e+001	8.969590e+000
5.158952e+001	8.971845e+000
5.227863e+001	8.998902e+000
5.207781e+001	8.971845e+000
5.239612e+001	8.976355e+000
5.226944e+001	8.953806e+000
5.271753e+001	8.966207e+000
5.277627e+001	8.954934e+000
5.322436e+001	8.967335e+000
5.322747e+001	8.952679e+000
5.343453e+001	8.950424e+000
5.380846e+001	8.958316e+000
5.392281e+001	8.950424e+000
5.407426e+001	8.944787e+000
5.439256e+001	8.949296e+000
5.463670e+001	8.949296e+000
5.452858e+001	8.927876e+000
5.479126e+001	8.929003e+000
5.460899e+001	8.903074e+000
5.479749e+001	8.899691e+000
