    nm         	pN
0.000000e+000	6.107296e+002
9.581478e-002	6.017102e+002
9.895213e-002	5.870552e+002
4.646111e-002	5.690177e+002
-4.313739e-002	5.487237e+002
-5.858208e-002	5.329388e+002
3.723361e-002	5.239194e+002
-3.381115e-002	5.047536e+002
6.403558e-003	4.923533e+002
1.578777e-001	4.867183e+002
3.278755e-001	4.822098e+002
3.495365e-001	4.686812e+002
2.970158e-001	4.506418e+002
3.372305e-001	4.382415e+002
3.403391e-001	4.235848e+002
3.434769e-001	4.089299e+002
3.836921e-001	3.965295e+002
3.682177e-001	3.807429e+002
6.495047e-001	3.830015e+002
5.784599e-001	3.638357e+002
6.742752e-001	3.548163e+002
8.813786e-001	3.525641e+002
1.199743e+000	3.570773e+002
9.618081e-001	3.277633e+002
1.113224e+000	3.221249e+002
1.153438e+000	3.097245e+002
1.063840e+000	2.894305e+002
1.326574e+000	2.905610e+002
1.515125e+000	2.871806e+002
1.592417e+000	2.770348e+002
1.706814e+000	2.691453e+002
1.858259e+000	2.635086e+002
1.787185e+000	2.443410e+002
1.641957e+000	2.206644e+002
1.682172e+000	2.082640e+002
1.722386e+000	1.958637e+002
1.669865e+000	1.778243e+002
1.765680e+000	1.688048e+002
1.824448e+000	1.575326e+002
1.975922e+000	1.518977e+002
2.127368e+000	1.462610e+002
2.334471e+000	1.440087e+002
2.597205e+000	1.451392e+002
2.767202e+000	1.406307e+002
3.104090e+000	1.462703e+002
3.311194e+000	1.440181e+002
3.536822e+000	1.428922e+002
3.577037e+000	1.304919e+002
3.728511e+000	1.248569e+002
3.898509e+000	1.203484e+002
3.901617e+000	1.056917e+002
3.645130e+000	7.524958e+001
3.666792e+000	6.172107e+001
3.948078e+000	6.397972e+001
4.247889e+000	6.736476e+001
4.380811e+000	6.060167e+001
4.550808e+000	5.609310e+001
4.665205e+000	4.820363e+001
4.798127e+000	4.144052e+001
4.986677e+000	3.806013e+001
5.119569e+000	3.129525e+001
5.215385e+000	2.227583e+001
5.385412e+000	1.776906e+001
5.629593e+000	1.777138e+001
6.022109e+000	2.679369e+001
6.043772e+000	1.326517e+001
6.399212e+000	2.003292e+001
6.736099e+000	2.567251e+001
6.757760e+000	1.214398e+001
7.354273e+000	3.357076e+001
7.171969e+000	7.639543e+000
7.416150e+000	7.641865e+000
7.511994e+000	-1.375765e+000
7.737622e+000	-2.501599e+000
7.536765e+000	-2.956099e+001
7.947834e+000	-1.941053e+001
8.080756e+000	-2.617362e+001
8.195154e+000	-3.406311e+001
8.383675e+000	-3.744527e+001
8.590749e+000	-3.969928e+001
8.834931e+000	-3.969694e+001
8.967851e+000	-4.646004e+001
9.434580e+000	-3.292509e+001
9.864204e+000	-2.164645e+001
9.922942e+000	-3.292043e+001
9.981680e+000	-4.419441e+001
1.009605e+001	-5.208567e+001
1.052567e+001	-4.080703e+001
1.088114e+001	-3.403751e+001
1.093985e+001	-4.531326e+001
1.136950e+001	-3.403285e+001
1.135403e+001	-4.981949e+001
1.146843e+001	-5.770898e+001
1.180531e+001	-5.206938e+001
1.191971e+001	-5.995887e+001
1.240494e+001	-4.529929e+001
1.281603e+001	-3.514705e+001
1.307877e+001	-3.401656e+001
1.334147e+001	-3.288785e+001
1.334458e+001	-4.754454e+001
1.364439e+001	-4.415951e+001
1.381439e+001	-4.866805e+001
1.385460e+001	-6.106841e+001
1.458093e+001	-3.174805e+001
1.476948e+001	-3.512844e+001
1.493945e+001	-3.963876e+001
1.514655e+001	-4.189098e+001
1.514969e+001	-5.654590e+001
1.528261e+001	-6.330900e+001
1.574928e+001	-4.977760e+001
1.571534e+001	-6.668706e+001
1.569993e+001	-8.247013e+001
1.603682e+001	-7.683054e+001
1.594722e+001	-9.712450e+001
1.630266e+001	-9.035675e+001
1.665810e+001	-8.358898e+001
1.656850e+001	-1.038829e+002
1.696102e+001	-9.486064e+001
1.683431e+001	-1.174109e+002
1.715268e+001	-1.128977e+002
1.717434e+001	-1.264262e+002
1.754833e+001	-1.185303e+002
1.768125e+001	-1.252934e+002
1.786981e+001	-1.286738e+002
1.809543e+001	-1.297996e+002
1.822835e+001	-1.365627e+002
1.860235e+001	-1.286668e+002
1.871672e+001	-1.365581e+002
1.883111e+001	-1.444476e+002
1.887133e+001	-1.568479e+002
1.922674e+001	-1.500820e+002
1.917425e+001	-1.681196e+002
1.938135e+001	-1.703718e+002
1.960698e+001	-1.714976e+002
1.959153e+001	-1.872825e+002
1.996553e+001	-1.793866e+002
2.004279e+001	-1.895342e+002
2.013863e+001	-1.985518e+002
2.010466e+001	-2.154631e+002
2.020051e+001	-2.244807e+002
2.037054e+001	-2.289875e+002
2.057761e+001	-2.312415e+002
2.082179e+001	-2.312392e+002
2.102890e+001	-2.334914e+002
2.149560e+001	-2.199582e+002
2.183248e+001	-2.143186e+002
2.218792e+001	-2.075509e+002
2.222814e+001	-2.199512e+002
2.241669e+001	-2.233316e+002
2.277213e+001	-2.165639e+002
2.392494e+001	-1.613099e+002
2.496646e+001	-1.128233e+002
2.522919e+001	-1.116928e+002
2.526938e+001	-1.240949e+002
2.551356e+001	-1.240926e+002
2.549815e+001	-1.398756e+002
2.587214e+001	-1.319797e+002
2.641299e+001	-1.139374e+002
2.678702e+001	-1.060397e+002
2.712390e+001	-1.004001e+002
2.707138e+001	-1.184395e+002
2.725993e+001	-1.218199e+002
2.757827e+001	-1.173085e+002
2.763704e+001	-1.285807e+002
2.793685e+001	-1.251957e+002
2.832936e+001	-1.161734e+002
2.855499e+001	-1.172992e+002
2.883628e+001	-1.150406e+002
2.902483e+001	-1.184209e+002
2.928753e+001	-1.172922e+002
2.936482e+001	-1.274380e+002
2.946067e+001	-1.364557e+002
2.964922e+001	-1.398361e+002
2.965236e+001	-1.544910e+002
3.011906e+001	-1.409578e+002
2.999238e+001	-1.635063e+002
3.051468e+001	-1.465922e+002
3.179731e+001	-8.344469e+001
3.295012e+001	-2.819078e+001
3.332411e+001	-2.029488e+001
3.345703e+001	-2.705797e+001
3.360848e+001	-3.269469e+001
3.374137e+001	-3.945956e+001
3.387429e+001	-4.622265e+001
3.409994e+001	-4.734672e+001
3.417724e+001	-5.749254e+001
3.490356e+001	-2.817217e+001
3.522193e+001	-2.365896e+001
3.505811e+001	-4.846556e+001
3.519104e+001	-5.522867e+001
3.532396e+001	-6.199178e+001
3.558669e+001	-6.086128e+001
3.588650e+001	-5.747625e+001
3.640883e+001	-4.056035e+001
3.672723e+001	-3.604537e+001
3.661905e+001	-5.746926e+001
3.680760e+001	-6.084964e+001
3.740408e+001	-3.942464e+001
3.751848e+001	-4.731414e+001
3.779973e+001	-4.505725e+001
3.808099e+001	-4.280037e+001
3.799142e+001	-6.309257e+001
3.829123e+001	-5.970751e+001
3.844268e+001	-6.534424e+001
3.857560e+001	-7.210733e+001
3.902377e+001	-5.970053e+001
3.930503e+001	-5.744366e+001
3.927106e+001	-7.435490e+001
3.981195e+001	-5.631085e+001
3.994487e+001	-6.307393e+001
4.017050e+001	-6.419977e+001
4.024779e+001	-7.434559e+001
4.062178e+001	-6.644967e+001
4.066199e+001	-7.885004e+001
4.083199e+001	-8.335859e+001
4.076095e+001	-1.025244e+002
4.094950e+001	-1.059048e+002
4.136057e+001	-9.575429e+001
4.153057e+001	-1.002628e+002
4.173767e+001	-1.025151e+002
4.172223e+001	-1.182999e+002
4.189222e+001	-1.228085e+002
4.221059e+001	-1.182953e+002
4.245477e+001	-1.182929e+002
4.251351e+001	-1.295669e+002
4.253517e+001	-1.430955e+002
4.309458e+001	-1.239250e+002
4.332023e+001	-1.250491e+002
4.332334e+001	-1.397058e+002
4.354900e+001	-1.408298e+002
4.429382e+001	-1.103848e+002
4.438966e+001	-1.194025e+002
4.439280e+001	-1.340574e+002
4.463698e+001	-1.340551e+002
4.517783e+001	-1.160128e+002
4.592271e+001	-8.556426e+001
4.607416e+001	-9.120098e+001
4.605874e+001	-1.069841e+002
4.632148e+001	-1.058536e+002
4.645437e+001	-1.126184e+002
4.697673e+001	-9.570076e+001
4.733217e+001	-8.893301e+001
4.765050e+001	-8.442159e+001
4.839535e+001	-5.397484e+001
4.862098e+001	-5.510067e+001
4.869827e+001	-6.524649e+001
4.866433e+001	-8.215595e+001
4.892703e+001	-8.102723e+001
4.917122e+001	-8.102490e+001
4.947103e+001	-7.763987e+001
4.964106e+001	-8.214664e+001
4.999649e+001	-7.537888e+001
5.038901e+001	-6.635659e+001
5.024378e+001	-9.003324e+001
5.078464e+001	-7.199097e+001
5.117718e+001	-6.296689e+001
5.131010e+001	-6.972998e+001
5.168407e+001	-6.183584e+001
