    nm         	pN
0.000000e+000	5.055374e+002
1.763740e-002	4.944383e+002
-2.649036e-002	4.803127e+002
-9.121726e-002	4.651776e+002
-1.147532e-001	4.520610e+002
5.845921e-003	4.460072e+002
-1.618348e-001	4.258273e+002
-3.295070e-001	4.056478e+002
-3.118617e-001	3.945491e+002
-3.148161e-001	3.824411e+002
-4.001246e-001	3.662975e+002
-3.413064e-001	3.572163e+002
-3.854336e-001	3.430907e+002
-4.707421e-001	3.269472e+002
-5.560603e-001	3.108031e+002
-4.972325e-001	3.017225e+002
-4.795877e-001	2.906237e+002
-3.589965e-001	2.845696e+002
-3.619418e-001	2.724619e+002
-4.678415e-001	2.553094e+002
-4.707959e-001	2.432013e+002
-5.355137e-001	2.280667e+002
-3.531415e-001	2.250398e+002
-2.737237e-001	2.169681e+002
-9.135991e-002	2.139409e+002
-9.430524e-002	2.018332e+002
-3.547804e-002	1.927525e+002
2.758508e-003	1.826628e+002
-8.255961e-002	1.665188e+002
-1.884593e-001	1.493662e+002
3.509478e-002	1.483574e+002
3.214040e-002	1.362493e+002
1.115588e-001	1.281776e+002
4.684098e-002	1.130430e+002
3.115764e-001	1.140521e+002
5.145398e-001	1.120342e+002
6.763123e-001	1.079980e+002
8.380939e-001	1.039622e+002
7.733761e-001	8.882760e+001
8.116121e-001	7.873791e+001
8.910214e-001	7.066574e+001
1.196948e+000	7.369325e+001
1.605820e+000	8.176523e+001
1.767601e+000	7.772941e+001
1.991155e+000	7.672055e+001
2.049974e+000	6.763941e+001
1.902892e+000	4.846890e+001
1.961720e+000	3.938819e+001
2.061719e+000	3.232500e+001
2.450010e+000	3.938844e+001
2.735336e+000	4.140651e+001
2.711791e+000	2.828944e+001
2.626483e+000	1.214587e+001
2.850037e+000	1.113701e+001
3.176544e+000	1.517305e+001
3.173599e+000	3.065409e+000
3.623652e+000	1.315533e+001
3.744253e+000	7.101573e+000
3.947215e+000	5.083729e+000
4.356087e+000	1.315570e+001
4.620824e+000	1.416481e+001
4.823786e+000	1.214697e+001
5.150295e+000	1.618301e+001
5.332668e+000	1.315620e+001
5.309122e+000	3.912089e-002
5.676822e+000	6.093559e+000
6.065102e+000	1.315655e+001
6.412201e+000	1.820157e+001
6.697528e+000	2.021966e+001
6.447484e+000	-3.996181e+000
6.753402e+000	-9.691233e-001
6.976956e+000	-1.977984e+000
7.344655e+000	4.076455e+000
7.382883e+000	-6.013655e+000
7.771163e+000	1.049305e+000
7.768218e+000	-1.105832e+001
8.012362e+000	-1.105820e+001
8.030008e+000	-2.215686e+001
8.459470e+000	-1.307592e+001
8.600662e+000	-1.812070e+001
8.412390e+000	-3.930962e+001
8.656534e+000	-3.930950e+001
8.715361e+000	-4.839021e+001
8.938915e+000	-4.939907e+001
9.018334e+000	-5.747079e+001
8.830062e+000	-7.865971e+001
9.115388e+000	-7.664162e+001
9.688996e+000	-6.049736e+001
9.871369e+000	-6.352419e+001
1.040379e+001	-4.939833e+001
1.058616e+001	-5.242516e+001
1.043907e+001	-7.159612e+001
1.043612e+001	-8.370377e+001
1.084499e+001	-7.563179e+001
1.115091e+001	-7.260473e+001
1.135387e+001	-7.462258e+001
1.180394e+001	-6.453219e+001
1.200690e+001	-6.655004e+001
1.212749e+001	-7.260424e+001
1.228927e+001	-7.664005e+001
1.226574e+001	-8.975668e+001
1.250988e+001	-8.975656e+001
1.302171e+001	-7.663968e+001
1.318349e+001	-8.067547e+001
1.336586e+001	-8.370230e+001
1.328055e+001	-9.984588e+001
1.379238e+001	-8.672901e+001
1.399534e+001	-8.874685e+001
1.399240e+001	-1.008545e+002
1.407181e+001	-1.089267e+002
1.456305e+001	-9.681833e+001
1.505428e+001	-8.471044e+001
1.519548e+001	-8.975522e+001
1.525430e+001	-9.883593e+001
1.537489e+001	-1.048901e+002
1.545431e+001	-1.129618e+002
1.578082e+001	-1.089258e+002
