    nm         	pN
0.000000e+000	4.612949e+002
-2.945887e-003	4.491872e+002
-5.891774e-003	4.370795e+002
-9.121726e-002	4.209351e+002
-1.559487e-001	4.057999e+002
-2.001025e-001	3.916730e+002
-1.824538e-001	3.805745e+002
-1.853997e-001	3.684668e+002
-2.089402e-001	3.553499e+002
-2.942662e-001	3.392055e+002
-3.590152e-001	3.240694e+002
-3.825563e-001	3.109525e+002
-2.001466e-001	3.079275e+002
-2.030931e-001	2.958198e+002
-3.090143e-001	2.786662e+002
-2.501752e-001	2.695861e+002
-2.737339e-001	2.564684e+002
-3.384647e-001	2.413331e+002
-4.443860e-001	2.241795e+002
-2.413817e-001	2.221637e+002
-2.649228e-001	2.090468e+002
-1.031089e-001	2.050126e+002
-6.486503e-002	1.949233e+002
-6.782904e-002	1.828147e+002
-1.943449e-001	1.646520e+002
-1.149106e-001	1.565810e+002
-1.488172e-002	1.495193e+002
-1.002078e-001	1.333748e+002
-1.031537e-001	1.212672e+002
-8.552305e-002	1.101678e+002
-8.846838e-002	9.806010e+001
3.215513e-002	9.200752e+001
-3.257574e-002	7.687230e+001
2.626335e-002	6.779217e+001
8.510245e-002	5.871203e+001
1.439415e-001	4.963190e+001
2.233571e-001	4.156007e+001
3.027914e-001	3.348913e+001
3.204407e-001	2.239063e+001
4.822546e-001	1.835643e+001
5.204985e-001	8.267116e+000
5.999322e-001	1.961587e-001
6.381766e-001	-9.893135e+000
5.528506e-001	-2.603755e+001
4.881016e-001	-4.117367e+001
7.117010e-001	-4.218032e+001
8.323245e-001	-4.823290e+001
1.014734e+000	-5.125792e+001
1.279523e+000	-5.024621e+001
1.153007e+000	-6.840901e+001
1.253036e+000	-7.547077e+001
1.476635e+000	-7.647742e+001
1.659044e+000	-7.950245e+001
2.026808e+000	-7.344483e+001
2.065052e+000	-8.353414e+001
2.082701e+000	-9.463264e+001
2.326894e+000	-9.463012e+001
2.323931e+000	-1.067387e+002
2.568124e+000	-1.067362e+002
3.018287e+000	-9.664092e+001
3.324266e+000	-9.361085e+001
3.444871e+000	-9.966432e+001
3.503710e+000	-1.087444e+002
3.644930e+000	-1.137878e+002
4.053884e+000	-1.057118e+002
4.298077e+000	-1.057093e+002
4.418701e+000	-1.117619e+002
4.292185e+000	-1.299247e+002
4.639355e+000	-1.248762e+002
5.501416e+000	-9.459732e+001
5.704420e+000	-9.661318e+001
5.763241e+000	-1.056942e+002
5.883865e+000	-1.117468e+002
6.231034e+000	-1.066983e+002
6.310467e+000	-1.147693e+002
6.328117e+000	-1.258678e+002
6.634096e+000	-1.228377e+002
6.589959e+000	-1.369637e+002
