    nm         	pN
0.000000e+000	5.425640e+002
-1.027130e-001	5.238132e+002
-1.123349e-003	5.161068e+002
-1.038374e-001	4.973559e+002
-2.246699e-003	4.896497e+002
1.197712e-001	4.830477e+002
4.052219e-001	4.852808e+002
3.025243e-001	4.665308e+002
3.019626e-001	4.533022e+002
5.465595e-001	4.533267e+002
6.685773e-001	4.467247e+002
6.067182e-001	4.301824e+002
5.448750e-001	4.136410e+002
6.668923e-001	4.070390e+002
6.459039e-001	3.927061e+002
6.248981e-001	3.783724e+002
5.630554e-001	3.618310e+002
6.237748e-001	3.519152e+002
8.888153e-001	3.530449e+002
1.051688e+000	3.486515e+002
1.112424e+000	3.387366e+002
1.213998e+000	3.310295e+002
1.193009e+000	3.166966e+002
1.355897e+000	3.123040e+002
1.498342e+000	3.068063e+002
1.661214e+000	3.024128e+002
1.967109e+000	3.057512e+002
1.986974e+000	2.936269e+002
2.088565e+000	2.859206e+002
2.108430e+000	2.737963e+002
2.189594e+000	2.649857e+002
2.393320e+000	2.628008e+002
2.474483e+000	2.539902e+002
2.535203e+000	2.440745e+002
2.718518e+000	2.407862e+002
2.901817e+000	2.374970e+002
2.901256e+000	2.242685e+002
3.084571e+000	2.209802e+002
3.247443e+000	2.165867e+002
3.206027e+000	2.011496e+002
3.144184e+000	1.846082e+002
3.245758e+000	1.769010e+002
3.143060e+000	1.581510e+002
3.183353e+000	1.471310e+002
3.509675e+000	1.515736e+002
3.754272e+000	1.515981e+002
3.712840e+000	1.361601e+002
3.814430e+000	1.284538e+002
3.895594e+000	1.196432e+002
4.160617e+000	1.207721e+002
4.221353e+000	1.108572e+002
4.200349e+000	9.652348e+001
4.015927e+000	7.335547e+001
4.158371e+000	6.785774e+001
4.586845e+000	7.782262e+001
4.647565e+000	6.790687e+001
4.892162e+000	6.793145e+001
4.605587e+000	3.924114e+001
4.911465e+000	4.257856e+001
5.094781e+000	3.929028e+001
5.502812e+000	4.815000e+001
5.420541e+000	3.050428e+001
5.910297e+000	4.378200e+001
5.889291e+000	2.944824e+001
6.072607e+000	2.615998e+001
6.337632e+000	2.728883e+001
6.561801e+000	2.620911e+001
6.745100e+000	2.291993e+001
6.867134e+000	1.631882e+001
7.193440e+000	2.076051e+001
7.254176e+000	1.084567e+001
7.478346e+000	9.765949e+000
7.784224e+000	1.310337e+001
7.804090e+000	9.790609e-001
7.946535e+000	-4.518651e+000
7.905118e+000	-1.995580e+001
8.047564e+000	-2.545353e+001
8.659899e+000	-5.549234e+000
8.536757e+000	-2.540440e+001
8.679202e+000	-3.090212e+001
9.005523e+000	-2.645954e+001
9.127541e+000	-3.306154e+001
9.106553e+000	-4.739442e+001
9.126419e+000	-5.951871e+001
9.268863e+000	-6.501644e+001
9.574758e+000	-6.167814e+001
9.451616e+000	-8.153331e+001
9.696214e+000	-8.150873e+001
1.010425e+001	-7.264903e+001
1.022626e+001	-7.925104e+001
1.030743e+001	-8.806160e+001
1.032729e+001	-1.001859e+002
1.055146e+001	-1.012656e+002
1.106164e+001	-8.688362e+001
1.112238e+001	-9.679848e+001
1.104009e+001	-1.144451e+002
1.132554e+001	-1.122119e+002
1.150886e+001	-1.155002e+002
1.175346e+001	-1.154757e+002
1.185505e+001	-1.231819e+002
1.212007e+001	-1.220531e+002
1.222166e+001	-1.297594e+002
1.254797e+001	-1.253177e+002
1.262913e+001	-1.341283e+002
1.275115e+001	-1.407303e+002
1.301617e+001	-1.396014e+002
1.272960e+001	-1.682917e+002
1.305592e+001	-1.638491e+002
1.330052e+001	-1.638246e+002
1.305480e+001	-1.903063e+002
1.336068e+001	-1.869689e+002
1.338054e+001	-1.990932e+002
1.346170e+001	-2.079038e+002
1.368587e+001	-2.089835e+002
1.380789e+001	-2.155855e+002
1.425679e+001	-2.045163e+002
1.460352e+001	-1.989704e+002
1.584918e+001	-1.448289e+002
1.699271e+001	-9.620884e+001
1.744159e+001	-8.514057e+001
1.782919e+001	-7.738515e+001
1.788993e+001	-8.730000e+001
1.786894e+001	-1.016329e+002
1.795011e+001	-1.104434e+002
1.794954e+001	-1.236720e+002
1.831672e+001	-1.170209e+002
1.878603e+001	-1.048483e+002
1.884677e+001	-1.147632e+002
1.943868e+001	-9.596315e+001
1.939724e+001	-1.114012e+002
1.992787e+001	-9.591402e+001
2.000902e+001	-1.047255e+002
1.994717e+001	-1.212669e+002
2.033478e+001	-1.135115e+002
