    nm         	pN
0.000000e+000	6.141339e+002
6.072193e-002	6.042183e+002
2.236126e-001	5.998259e+002
3.456335e-001	5.932240e+002
5.493643e-001	5.910394e+002
6.305298e-001	5.822289e+002
5.482399e-001	5.645822e+002
5.068239e-001	5.491450e+002
6.084165e-001	5.414388e+002
7.712919e-001	5.370456e+002
7.911574e-001	5.249213e+002
7.701685e-001	5.105884e+002
7.696068e-001	4.973598e+002
8.711996e-001	4.896537e+002
1.095374e+000	4.885742e+002
1.360404e+000	4.897033e+002
1.175978e+000	4.665351e+002
1.052834e+000	4.466798e+002
1.174854e+000	4.400779e+002
1.378584e+000	4.378933e+002
1.521049e+000	4.323966e+002
1.540915e+000	4.202723e+002
1.417771e+000	4.004170e+002
1.458065e+000	3.893971e+002
1.580085e+000	3.827952e+002
1.702105e+000	3.761933e+002
2.191871e+000	3.894716e+002
1.925718e+000	3.618853e+002
2.088610e+000	3.574929e+002
2.271913e+000	3.542040e+002
2.271351e+000	3.409754e+002
2.720261e+000	3.520450e+002
2.637973e+000	3.343983e+002
2.759993e+000	3.277965e+002
2.922869e+000	3.234032e+002
2.779297e+000	3.024436e+002
2.901318e+000	2.958417e+002
3.166364e+000	2.969718e+002
3.145358e+000	2.826380e+002
3.451260e+000	2.859767e+002
3.430271e+000	2.716438e+002
3.450136e+000	2.595195e+002
3.470002e+000	2.473952e+002
3.653322e+000	2.441072e+002
3.897924e+000	2.441320e+002
3.836063e+000	2.275896e+002
4.223675e+000	2.353455e+002
4.223113e+000	2.221169e+002
4.242995e+000	2.099935e+002
4.426298e+000	2.067046e+002
4.568746e+000	2.012070e+002
4.588612e+000	1.890827e+002
4.812787e+000	1.880033e+002
4.812225e+000	1.747747e+002
4.770808e+000	1.593375e+002
4.994983e+000	1.582580e+002
5.403022e+000	1.671182e+002
5.361605e+000	1.516810e+002
5.544907e+000	1.483920e+002
5.462636e+000	1.307462e+002
5.829820e+000	1.373978e+002
5.849686e+000	1.252735e+002
5.746970e+000	1.065225e+002
6.318462e+000	1.242189e+002
6.399612e+000	1.154076e+002
6.562503e+000	1.110152e+002
6.909259e+000	1.165624e+002
7.051707e+000	1.110649e+002
7.337164e+000	1.132983e+002
7.214021e+000	9.344304e+001
7.397341e+000	9.015498e+001
7.682798e+000	9.238844e+001
7.763963e+000	8.357796e+001
7.885983e+000	7.697609e+001
8.355322e+000	8.915007e+001
8.232178e+000	6.929477e+001
8.149890e+000	5.164807e+001
8.741810e+000	7.044876e+001
8.536939e+000	4.617536e+001
8.699814e+000	4.178211e+001
8.923990e+000	4.070264e+001
9.189019e+000	4.183179e+001
8.963737e+000	1.645497e+001
9.494359e+000	3.194188e+001
9.595951e+000	2.423570e+001
9.064207e+000	-1.770836e+001
9.594829e+000	-2.221453e+000
1.014588e+001	1.436973e+001
1.026790e+001	7.767861e+000
1.059423e+001	1.221082e+001
1.057324e+001	-2.122058e+000
1.061353e+001	-1.314204e+001
1.110330e+001	1.362325e-001
1.112316e+001	-1.198803e+001
1.175595e+001	9.022146e+000
1.161237e+001	-1.193834e+001
1.136666e+001	-3.841947e+001
