    nm         	pN
0.000000e+000	6.303957e+002
-2.047965e-001	6.061263e+002
-2.666274e-001	5.895855e+002
-2.059178e-001	5.796693e+002
-2.473267e-001	5.642325e+002
-1.457689e-001	5.565244e+002
-4.421312e-002	5.488163e+002
-1.264681e-001	5.311714e+002
-1.678759e-001	5.157347e+002
-2.909781e-001	4.958816e+002
-2.915398e-001	4.826530e+002
-3.125235e-001	4.683204e+002
-3.539324e-001	4.528837e+002
-1.298341e-001	4.518001e+002
-6.912446e-002	4.418838e+002
-2.883844e-002	4.308634e+002
-4.982268e-002	4.165308e+002
-1.116551e-001	3.999900e+002
-2.551804e-001	3.790328e+002
-1.944697e-001	3.691166e+002
-2.358791e-001	3.536798e+002
-2.160162e-001	3.415554e+002
2.531627e-001	3.537207e+002
2.117558e-001	3.382841e+002
1.703485e-001	3.228474e+002
8.809353e-002	3.052025e+002
1.079555e-001	2.930780e+002
-3.557084e-002	2.721208e+002
-7.697763e-002	2.566842e+002
-3.226203e-001	2.302066e+002
-1.189471e-001	2.280189e+002
2.345580e-002	2.225189e+002
2.289618e-002	2.092904e+002
2.233450e-002	1.960618e+002
1.034672e-001	1.872496e+002
4.092588e-001	1.905823e+002
3.065808e-001	1.718334e+002
7.349139e-001	1.817906e+002
8.568938e-001	1.751866e+002
9.992962e-001	1.696866e+002
7.740771e-001	1.443131e+002
7.735175e-001	1.310846e+002
9.771907e-001	1.288969e+002
7.519721e-001	1.035234e+002
8.535289e-001	9.581533e+001
9.550836e-001	8.810712e+001
1.281300e+000	9.254401e+001
1.423702e+000	8.704400e+001
1.463989e+000	7.602364e+001
1.504275e+000	6.500327e+001
1.687525e+000	6.171148e+001
1.748235e+000	5.179515e+001
1.788522e+000	4.077480e+001
2.257700e+000	5.294016e+001
2.216292e+000	3.750347e+001
2.174885e+000	2.206679e+001
2.603219e+000	3.202405e+001
2.827315e+000	3.094034e+001
3.766235e+000	6.849973e+001
4.255840e+000	8.176925e+001
3.846808e+000	4.645901e+001
4.336409e+000	5.972840e+001
4.662626e+000	6.416530e+001
4.702911e+000	5.314481e+001
4.804467e+000	4.543672e+001
4.987718e+000	4.214492e+001
5.048429e+000	3.222871e+001
5.313373e+000	3.335323e+001
5.128999e+000	1.018787e+001
5.700297e+000	2.787369e+001
5.985666e+000	3.010238e+001
6.352729e+000	3.674736e+001
6.801484e+000	4.780865e+001
6.555840e+000	2.133103e+001
6.636974e+000	1.251888e+001
6.901918e+000	1.364340e+001
6.901359e+000	4.149381e-001
7.084609e+000	-2.876846e+000
7.329130e+000	-2.856375e+000
7.185605e+000	-2.381353e+001
7.716054e+000	-8.335920e+000
8.042268e+000	-3.899137e+000
7.939591e+000	-2.264807e+001
8.408770e+000	-1.048272e+001
8.694138e+000	-8.254053e+000
8.448496e+000	-3.473155e+001
8.672592e+000	-3.581524e+001
8.835420e+000	-4.021110e+001
9.120789e+000	-3.798242e+001
9.467426e+000	-3.244159e+001
9.507713e+000	-4.346196e+001
9.629693e+000	-5.006602e+001
9.874213e+000	-5.004554e+001
9.996193e+000	-5.664960e+001
1.030199e+001	-5.331688e+001
1.044439e+001	-5.881676e+001
1.066849e+001	-5.990046e+001
1.138275e+001	-3.448596e+001
1.091245e+001	-7.310846e+001
1.154502e+001	-5.211038e+001
1.215716e+001	-3.221644e+001
1.229956e+001	-3.771634e+001
1.244196e+001	-4.321636e+001
1.254352e+001	-5.092446e+001
1.244084e+001	-6.967339e+001
1.321638e+001	-4.094673e+001
1.295031e+001	-6.852841e+001
1.297017e+001	-8.065282e+001
1.350062e+001	-6.517521e+001
1.329583e+001	-8.944462e+001
1.382628e+001	-7.396701e+001
1.386656e+001	-8.498738e+001
1.423362e+001	-7.834240e+001
1.451899e+001	-7.611371e+001
1.451843e+001	-8.934230e+001
1.472210e+001	-9.153004e+001
1.468070e+001	-1.069667e+002
1.521115e+001	-9.148909e+001
1.512889e+001	-1.091340e+002
1.523045e+001	-1.168421e+002
1.543412e+001	-1.190297e+002
1.582161e+001	-1.112807e+002
1.635206e+001	-9.580307e+001
1.673954e+001	-8.805403e+001
1.635094e+001	-1.222601e+002
1.688139e+001	-1.067825e+002
1.714633e+001	-1.056580e+002
1.761551e+001	-9.349253e+001
1.753326e+001	-1.111374e+002
1.747143e+001	-1.276783e+002
1.804272e+001	-1.099924e+002
1.824640e+001	-1.121801e+002
1.859303e+001	-1.066392e+002
1.900094e+001	-9.778604e+001
1.887784e+001	-1.176391e+002
1.946956e+001	-9.884927e+001
1.938731e+001	-1.164941e+002
1.973395e+001	-1.109532e+002
1.965169e+001	-1.285981e+002
1.971240e+001	-1.385144e+002
1.989565e+001	-1.418062e+002
2.050780e+001	-1.219122e+002
2.083401e+001	-1.174754e+002
2.089472e+001	-1.273917e+002
2.085331e+001	-1.428284e+002
2.091402e+001	-1.527447e+002
2.132193e+001	-1.438915e+002
2.160730e+001	-1.416629e+002
2.158631e+001	-1.559956e+002
2.221888e+001	-1.349975e+002
2.217748e+001	-1.504342e+002
2.221776e+001	-1.614545e+002
2.289118e+001	-1.382483e+002
2.327866e+001	-1.304993e+002
2.389081e+001	-1.106053e+002
2.452337e+001	-8.960719e+001
2.484959e+001	-8.517041e+001
2.517580e+001	-8.073364e+001
2.589006e+001	-5.531924e+001
2.558315e+001	-8.510901e+001
2.654249e+001	-4.644557e+001
2.711379e+001	-2.875975e+001
2.688857e+001	-5.413321e+001
2.719436e+001	-5.080049e+001
2.735719e+001	-5.519644e+001
2.782637e+001	-4.303097e+001
2.837724e+001	-2.644931e+001
2.862176e+001	-2.642886e+001
2.896840e+001	-2.088792e+001
2.876361e+001	-4.515732e+001
2.945745e+001	-2.084697e+001
2.972239e+001	-1.972246e+001
2.921124e+001	-6.055306e+001
2.984381e+001	-3.955498e+001
3.049680e+001	-1.745285e+001
3.098641e+001	-4.183343e+000
3.084288e+001	-2.514049e+001
3.086274e+001	-3.726502e+001
3.167912e+001	-6.330145e+000
3.141305e+001	-3.391182e+001
3.141249e+001	-4.714029e+001
3.208591e+001	-2.393410e+001
3.251424e+001	-1.397684e+001
3.204394e+001	-5.259936e+001
3.241100e+001	-4.595437e+001
3.249213e+001	-5.476664e+001
3.275708e+001	-5.364201e+001
3.281779e+001	-6.355832e+001
3.342993e+001	-4.366440e+001
3.400123e+001	-2.597858e+001
3.430702e+001	-2.264585e+001
3.414307e+001	-4.470704e+001
3.463268e+001	-3.143753e+001
3.506101e+001	-2.148028e+001
3.489706e+001	-4.354159e+001
3.555005e+001	-2.143936e+001
3.583542e+001	-1.921079e+001
3.593697e+001	-2.691888e+001
3.585472e+001	-4.456378e+001
3.605840e+001	-4.675140e+001
3.640503e+001	-4.121058e+001
3.662913e+001	-4.229417e+001
3.697577e+001	-3.675334e+001
3.711817e+001	-4.225323e+001
3.715846e+001	-5.327359e+001
3.709663e+001	-6.981443e+001
3.785174e+001	-4.219183e+001
3.819837e+001	-3.665101e+001
3.870840e+001	-2.227744e+001
3.862614e+001	-3.992234e+001
3.901363e+001	-3.217318e+001
3.919688e+001	-3.546498e+001
3.927801e+001	-4.427723e+001
3.989016e+001	-2.438320e+001
3.978748e+001	-4.313225e+001
4.019539e+001	-3.427906e+001
4.001102e+001	-5.744442e+001
4.066401e+001	-3.534217e+001
4.076556e+001	-4.305039e+001
4.064246e+001	-6.290338e+001
4.115249e+001	-4.852981e+001
4.123362e+001	-5.734209e+001
4.164153e+001	-4.848889e+001
4.186563e+001	-4.957246e+001
4.217142e+001	-4.623973e+001
4.247721e+001	-4.290712e+001
4.243580e+001	-5.834380e+001
4.286414e+001	-4.838655e+001
4.304739e+001	-5.167834e+001
4.296513e+001	-6.932323e+001
4.355685e+001	-5.053335e+001
4.382180e+001	-4.940872e+001
4.402547e+001	-5.159647e+001
4.437211e+001	-4.605552e+001
4.406520e+001	-7.584542e+001
4.471819e+001	-5.374328e+001
4.488102e+001	-5.813913e+001
4.571782e+001	-2.610021e+001
4.608488e+001	-1.945523e+001
4.598220e+001	-3.820417e+001
4.585910e+001	-5.805726e+001
4.596066e+001	-6.576536e+001
4.655238e+001	-4.697549e+001
4.659266e+001	-5.799586e+001
4.665337e+001	-6.791218e+001
4.673451e+001	-7.672433e+001
4.697903e+001	-7.670386e+001
4.763202e+001	-5.460172e+001
4.808077e+001	-4.354043e+001
4.789640e+001	-6.670568e+001
4.861066e+001	-4.129129e+001
4.838544e+001	-6.666474e+001
4.871166e+001	-6.222797e+001
4.899703e+001	-5.999928e+001
4.940494e+001	-5.114621e+001
4.987411e+001	-3.898085e+001
4.989398e+001	-5.110526e+001
4.981172e+001	-6.875016e+001
5.021963e+001	-5.989694e+001
5.058669e+001	-5.325208e+001
5.050444e+001	-7.089696e+001
5.085108e+001	-6.535602e+001
5.095264e+001	-7.306413e+001
5.131970e+001	-6.641913e+001
