    nm         	pN
0.000000e+000	5.067867e+002
3.250852e-001	5.111624e+002
-4.181855e-002	4.781296e+002
2.222059e-001	4.792044e+002
2.827060e-001	4.692768e+002
2.210871e-001	4.527475e+002
1.391191e-001	4.351181e+002
3.013855e-001	4.306919e+002
6.264692e-001	4.350676e+002
5.852015e-001	4.196384e+002
9.102938e-001	4.240145e+002
7.672584e-001	4.030839e+002
9.905835e-001	4.019585e+002
1.336026e+000	4.074348e+002
1.376167e+000	3.964065e+002
1.151731e+000	3.710754e+002
1.171521e+000	3.589470e+002
1.476256e+000	3.622226e+002
1.923457e+000	3.731999e+002
1.841489e+000	3.555705e+002
2.105523e+000	3.566458e+002
1.840370e+000	3.291136e+002
2.063695e+000	3.279882e+002
2.083486e+000	3.158598e+002
2.652813e+000	3.334392e+002
2.306251e+000	3.015060e+002
2.387109e+000	2.926789e+002
2.875010e+000	3.058564e+002
2.996577e+000	2.992300e+002
2.670365e+000	2.683969e+002
3.198984e+000	2.837756e+002
3.442659e+000	2.837503e+002
3.767743e+000	2.881260e+002
4.011418e+000	2.881007e+002
4.071918e+000	2.781731e+002
4.091717e+000	2.660452e+002
4.172566e+000	2.572176e+002
4.273774e+000	2.494906e+002
4.232505e+000	2.340615e+002
4.618649e+000	2.417379e+002
5.045500e+000	2.516151e+002
4.780355e+000	2.240833e+002
5.186856e+000	2.328603e+002
5.349123e+000	2.284341e+002
5.267147e+000	2.108043e+002
5.531180e+000	2.118796e+002
5.612030e+000	2.030521e+002
5.652178e+000	1.920243e+002
5.997613e+000	1.975001e+002
6.261646e+000	1.985754e+002
6.627439e+000	2.051517e+002
6.606521e+000	1.908227e+002
6.809496e+000	1.885972e+002
6.523993e+000	1.599648e+002
6.543792e+000	1.478369e+002
7.011344e+000	1.599143e+002
7.010784e+000	1.466858e+002
7.437636e+000	1.565630e+002
7.355667e+000	1.389336e+002
7.721460e+000	1.455100e+002
7.741250e+000	1.333816e+002
8.025635e+000	1.355571e+002
8.371077e+000	1.410333e+002
8.207691e+000	1.190025e+002
8.573484e+000	1.255789e+002
8.471165e+000	1.068493e+002
8.755541e+000	1.090243e+002
8.978867e+000	1.078990e+002
8.896898e+000	9.026956e+001
9.201632e+000	9.354512e+001
9.302831e+000	8.581769e+001
