    nm         	pN
0.000000e+000	7.222098e+002
-4.579048e-002	7.084757e+002
-1.330005e-001	6.927796e+002
-1.994919e-001	6.780648e+002
-2.867019e-001	6.623687e+002
-3.117809e-001	6.496156e+002
-4.818357e-001	6.299951e+002
-5.483259e-001	6.152804e+002
-6.148256e-001	6.005653e+002
-6.191942e-001	5.887933e+002
-7.685376e-001	5.701539e+002
-8.143174e-001	5.564203e+002
-9.222390e-001	5.397430e+002
-9.473179e-001	5.269900e+002
-9.931073e-001	5.132559e+002
-1.038887e+000	4.995223e+002
-1.084675e+000	4.857883e+002
-1.171888e+000	4.700920e+002
-1.196965e+000	4.573391e+002
-1.222035e+000	4.445865e+002
-1.226403e+000	4.328146e+002
-1.375745e+000	4.141752e+002
-1.400824e+000	4.014221e+002
-1.467315e+000	3.867074e+002
-1.554526e+000	3.710112e+002
-1.558894e+000	3.592393e+002
-1.583973e+000	3.464863e+002
-1.609041e+000	3.337338e+002
-1.634120e+000	3.209807e+002
-1.721331e+000	3.052845e+002
-1.808542e+000	2.895883e+002
-1.875033e+000	2.748736e+002
-1.900111e+000	2.621206e+002
-2.008033e+000	2.454433e+002
-2.053822e+000	2.317092e+002
-2.016759e+000	2.218999e+002
-2.083259e+000	2.071848e+002
-2.191181e+000	1.905075e+002
-2.236970e+000	1.767734e+002
-2.262040e+000	1.640209e+002
-2.307829e+000	1.502868e+002
-2.353618e+000	1.365527e+002
-2.502962e+000	1.179133e+002
-2.631585e+000	1.002554e+002
-2.739507e+000	8.357811e+001
-2.764585e+000	7.082511e+001
-2.789664e+000	5.807210e+001
-2.897576e+000	4.139526e+001
-2.901944e+000	2.962333e+001
-2.989154e+000	1.392712e+001
-3.076356e+000	-1.768636e+000
-3.204988e+000	-1.942699e+001
-3.250777e+000	-3.316105e+001
-3.234434e+000	-4.395192e+001
-3.218092e+000	-5.474278e+001
-3.160317e+000	-6.357106e+001
-3.102553e+000	-7.239978e+001
-3.106921e+000	-8.417173e+001
-3.132000e+000	-9.692473e+001
-2.287225e+000	-6.847280e+001
-1.628857e+000	-4.885095e+001
-1.571094e+000	-5.767968e+001
-1.430476e+000	-6.258368e+001
-1.352001e+000	-7.043134e+001
-1.273526e+000	-7.827899e+001
-1.112207e+000	-8.220237e+001
-1.178708e+000	-9.691752e+001
-1.120943e+000	-1.057462e+002
-1.104591e+000	-1.165367e+002
-9.018506e-001	-1.184979e+002
-7.612434e-001	-1.234023e+002
-6.206362e-001	-1.283068e+002
-3.971841e-001	-1.292869e+002
-7.536354e-001	-1.577371e+002
-5.923179e-001	-1.616604e+002
-7.891645e-002	-1.489056e+002
4.098161e-002	-1.547911e+002
7.803481e-002	-1.646009e+002
3.014857e-001	-1.655811e+002
4.006805e-001	-1.724473e+002
4.584452e-001	-1.812760e+002
7.647386e-001	-1.783319e+002
7.189505e-001	-1.920659e+002
9.838220e-001	-1.910840e+002
1.207273e+000	-1.920641e+002
1.202905e+000	-2.038361e+002
1.509199e+000	-2.008920e+002
1.463411e+000	-2.146260e+002
1.500464e+000	-2.244358e+002
1.641079e+000	-2.293398e+002
1.843820e+000	-2.313011e+002
2.232948e+000	-2.244331e+002
2.249301e+000	-2.352235e+002
2.307063e+000	-2.440523e+002
2.385540e+000	-2.518999e+002
2.629703e+000	-2.518990e+002
2.646045e+000	-2.626899e+002
2.765942e+000	-2.685754e+002
3.051524e+000	-2.666124e+002
3.005735e+000	-2.803464e+002
3.498426e+000	-2.685727e+002
3.701166e+000	-2.705339e+002
3.966039e+000	-2.695520e+002
5.349284e+000	-2.155927e+002
6.380454e+000	-1.783111e+002
6.603905e+000	-1.792913e+002
7.138008e+000	-1.655559e+002
7.154361e+000	-1.763463e+002
7.336390e+000	-1.792886e+002
7.787650e+000	-1.694774e+002
8.176786e+000	-1.626091e+002
8.089585e+000	-1.783048e+002
8.354458e+000	-1.773229e+002
8.640040e+000	-1.753598e+002
9.153433e+000	-1.626054e+002
9.190495e+000	-1.724148e+002
9.372526e+000	-1.753571e+002
9.202471e+000	-1.949776e+002
9.840137e+000	-1.763364e+002
1.031211e+001	-1.655441e+002
1.070125e+001	-1.586758e+002
1.088327e+001	-1.616181e+002
1.096175e+001	-1.694657e+002
1.118520e+001	-1.704459e+002
1.157434e+001	-1.635775e+002
1.185992e+001	-1.616145e+002
1.193840e+001	-1.694621e+002
1.189262e+001	-1.831958e+002
