    nm         	pN
0.000000e+000	4.208871e+002
-1.494302e-001	4.022434e+002
-2.781386e-001	3.845813e+002
-3.654044e-001	3.688824e+002
-3.076141e-001	3.600548e+002
-3.119965e-001	3.482821e+002
-3.578156e-001	3.345465e+002
-3.414719e-001	3.237556e+002
-2.007947e-001	3.188544e+002
-1.430062e-001	3.100267e+002
-3.960464e-001	2.864750e+002
-2.139289e-001	2.835368e+002
-1.561386e-001	2.747092e+002
-7.762879e-002	2.668631e+002
1.873774e-001	2.678515e+002
3.280523e-001	2.629502e+002
9.573391e-002	2.403800e+002
1.535239e-001	2.315524e+002
2.320335e-001	2.237063e+002
8.260174e-002	2.050626e+002
2.647198e-001	2.021244e+002
5.297272e-001	2.031128e+002
6.911254e-001	1.991932e+002
8.318000e-001	1.942919e+002
8.481456e-001	1.835010e+002
9.059318e-001	1.746733e+002
8.393891e-001	1.599560e+002
8.557345e-001	1.491652e+002
1.182907e+000	1.530983e+002
1.261417e+000	1.452523e+002
1.526423e+000	1.462406e+002
1.915761e+000	1.531185e+002
2.387987e+000	1.639229e+002
2.445775e+000	1.550952e+002
2.690060e+000	1.551020e+002
2.437019e+000	1.315502e+002
2.598416e+000	1.276305e+002
2.925589e+000	1.315637e+002
3.086986e+000	1.276440e+002
2.916834e+000	1.080187e+002
2.933179e+000	9.722789e+001
3.301795e+000	1.031242e+002
3.960517e+000	1.227630e+002
4.059748e+000	1.158985e+002
3.910319e+000	9.725488e+001
4.216768e+000	1.002064e+002
4.191670e+000	8.745232e+001
4.249458e+000	7.862465e+001
4.473021e+000	7.764978e+001
4.903804e+000	8.649101e+001
4.795815e+000	6.981041e+001
4.957213e+000	6.589079e+001
4.724896e+000	4.332070e+001
5.093511e+000	4.921701e+001
5.254908e+000	4.529733e+001
5.478472e+000	4.432251e+001
5.639869e+000	4.040283e+001
5.780545e+000	3.550158e+001
5.631113e+000	1.685780e+001
6.434890e+000	4.336793e+001
6.368346e+000	2.865057e+001
6.218914e+000	1.000681e+001
6.608253e+000	1.688479e+001
6.997592e+000	2.376283e+001
6.806717e+000	3.155876e+000
7.154612e+000	8.070672e+000
7.668280e+000	2.083821e+001
7.746791e+000	1.299216e+001
7.700970e+000	-7.435496e-001
8.152472e+000	9.079216e+000
8.251704e+000	2.214737e+000
8.495989e+000	2.221473e+000
8.615944e+000	-3.661316e+000
8.653009e+000	-1.347067e+001
8.648632e+000	-2.524315e+001
8.623533e+000	-3.799725e+001
8.577711e+000	-5.173293e+001
8.821996e+000	-5.172618e+001
8.962671e+000	-5.662747e+001
9.538507e+000	-4.091508e+001
9.575574e+000	-5.072431e+001
9.819858e+000	-5.071758e+001
9.856923e+000	-6.052692e+001
1.001832e+001	-6.444661e+001
1.061488e+001	-4.775258e+001
1.108710e+001	-3.694822e+001
1.068901e+001	-6.737111e+001
1.078824e+001	-7.423560e+001
1.130191e+001	-6.146801e+001
1.121465e+001	-7.716692e+001
1.160398e+001	-7.028893e+001
1.135095e+001	-9.384064e+001
1.140873e+001	-1.026684e+002
1.186024e+001	-9.284559e+001
1.224957e+001	-8.596761e+001
1.245242e+001	-8.792410e+001
1.265526e+001	-8.988053e+001
1.302387e+001	-8.398423e+001
1.370332e+001	-6.336377e+001
1.380255e+001	-7.022821e+001
1.435766e+001	-5.549743e+001
1.414607e+001	-7.708595e+001
1.399663e+001	-9.572973e+001
1.453103e+001	-8.198044e+001
1.421582e+001	-1.084770e+002
1.421144e+001	-1.202495e+002
1.487016e+001	-1.006107e+002
1.625415e+001	-4.661573e+001
1.612544e+001	-6.427794e+001
1.610034e+001	-7.703198e+001
1.648968e+001	-7.015399e+001
1.675469e+001	-6.916569e+001
1.666742e+001	-8.486459e+001
1.759553e+001	-5.246497e+001
1.771549e+001	-5.834778e+001
1.748317e+001	-8.091793e+001
1.762384e+001	-8.581917e+001
1.803390e+001	-7.795958e+001
1.840252e+001	-7.206327e+001
1.812876e+001	-9.659659e+001
1.891181e+001	-7.106816e+001
1.872093e+001	-9.167511e+001
1.892378e+001	-9.363150e+001
1.916806e+001	-9.362475e+001
1.920513e+001	-1.034341e+002
1.982241e+001	-8.575846e+001
2.035680e+001	-7.200929e+001
2.089119e+001	-5.826007e+001
2.128053e+001	-5.138209e+001
2.177347e+001	-3.959611e+001
2.241147e+001	-2.093896e+001
2.242782e+001	-3.172982e+001
2.200900e+001	-6.313439e+001
2.258484e+001	-4.742198e+001
2.270479e+001	-5.330486e+001
2.296980e+001	-5.231654e+001
2.290326e+001	-6.703377e+001
2.364487e+001	-4.346858e+001
2.430359e+001	-2.382974e+001
2.421632e+001	-3.952864e+001
2.435700e+001	-4.442995e+001
2.460128e+001	-4.442320e+001
2.428608e+001	-7.091972e+001
2.473758e+001	-6.109693e+001
2.506475e+001	-5.716381e+001
2.547481e+001	-4.930421e+001
2.495239e+001	-8.561676e+001
2.540389e+001	-7.579404e+001
2.558601e+001	-7.873209e+001
2.618257e+001	-6.203802e+001
2.630252e+001	-6.792100e+001
2.691980e+001	-5.024529e+001
2.714336e+001	-5.122017e+001
2.709754e+001	-6.495589e+001
2.777699e+001	-4.433550e+001
2.783477e+001	-5.316318e+001
2.776823e+001	-6.788051e+001
2.801252e+001	-6.787376e+001
2.811175e+001	-7.473820e+001
2.872903e+001	-5.706262e+001
2.855888e+001	-7.668790e+001
2.882388e+001	-7.569958e+001
2.894384e+001	-8.158239e+001
2.906379e+001	-8.746532e+001
2.955674e+001	-7.567934e+001
2.959380e+001	-8.548859e+001
3.002458e+001	-7.664742e+001
3.004093e+001	-8.743833e+001
3.020233e+001	-9.135800e+001
3.050878e+001	-8.840639e+001
3.093956e+001	-7.956529e+001
3.056219e+001	-1.090066e+002
3.115874e+001	-9.231259e+001
3.154808e+001	-8.543461e+001
3.175092e+001	-8.739110e+001
3.259614e+001	-5.891785e+001
3.331703e+001	-3.633427e+001
3.401719e+001	-1.473220e+001
3.378488e+001	-3.730234e+001
3.423638e+001	-2.747956e+001
3.431489e+001	-3.532561e+001
3.437268e+001	-4.415333e+001
3.463769e+001	-4.316496e+001
3.502702e+001	-3.628704e+001
3.458749e+001	-6.867318e+001
3.528765e+001	-4.707116e+001
3.526256e+001	-5.982526e+001
3.604561e+001	-3.429675e+001
3.595834e+001	-4.999567e+001
3.626479e+001	-4.704417e+001
3.607392e+001	-6.765113e+001
3.679481e+001	-4.506744e+001
3.664537e+001	-6.371120e+001
3.676533e+001	-6.959402e+001
3.688528e+001	-7.547694e+001
3.733679e+001	-6.565409e+001
3.799551e+001	-4.601526e+001
3.776319e+001	-6.858546e+001
3.802820e+001	-6.759716e+001
3.845898e+001	-5.875593e+001
3.897265e+001	-4.598828e+001
3.911332e+001	-5.088958e+001
3.921256e+001	-5.775406e+001
3.949829e+001	-5.578414e+001
3.953535e+001	-6.559338e+001
3.982108e+001	-6.362350e+001
3.967165e+001	-8.226716e+001
4.001955e+001	-7.735237e+001
4.086476e+001	-4.887917e+001
4.098472e+001	-5.476204e+001
4.108395e+001	-6.162647e+001
4.149401e+001	-5.376692e+001
4.159324e+001	-6.063141e+001
4.102937e+001	-9.890726e+001
4.193676e+001	-6.748920e+001
4.211888e+001	-7.042721e+001
4.250821e+001	-6.354928e+001
4.246239e+001	-7.728490e+001
4.283101e+001	-7.138860e+001
4.311674e+001	-6.941860e+001
4.338174e+001	-6.843030e+001
4.383325e+001	-5.860750e+001
4.405681e+001	-5.958238e+001
4.475698e+001	-3.798029e+001
4.522920e+001	-2.717594e+001
4.516266e+001	-4.189324e+001
4.524117e+001	-4.973929e+001
4.563051e+001	-4.286136e+001
4.546035e+001	-6.248670e+001
4.613980e+001	-4.186625e+001
4.650841e+001	-3.596994e+001
4.650404e+001	-4.774242e+001
4.714204e+001	-2.908515e+001
4.695116e+001	-4.969206e+001
4.727834e+001	-4.575889e+001
4.754334e+001	-4.477057e+001
4.774618e+001	-4.672707e+001
4.840491e+001	-2.708824e+001
4.844197e+001	-3.689753e+001
4.843760e+001	-4.867001e+001
4.843322e+001	-6.044249e+001
4.925771e+001	-3.295087e+001
4.929478e+001	-4.276016e+001
4.895885e+001	-7.023829e+001
4.965902e+001	-4.863629e+001
4.979970e+001	-5.353754e+001
5.010615e+001	-5.058597e+001
5.039188e+001	-4.861603e+001
5.073977e+001	-4.370130e+001
5.081828e+001	-5.154741e+001
5.108329e+001	-5.055898e+001
5.118252e+001	-5.742348e+001
5.153041e+001	-5.250874e+001
5.158820e+001	-6.133636e+001
5.141805e+001	-8.096170e+001
5.222182e+001	-5.445169e+001
5.263188e+001	-4.659214e+001
5.308339e+001	-3.676934e+001
5.305829e+001	-4.952339e+001
5.286741e+001	-7.013035e+001
5.319459e+001	-6.619717e+001
5.356320e+001	-6.030081e+001
5.430481e+001	-3.673561e+001
5.413466e+001	-5.636095e+001
5.408884e+001	-7.009662e+001
5.460251e+001	-5.732902e+001
5.480535e+001	-5.928551e+001
5.492530e+001	-6.516834e+001
5.519031e+001	-6.418001e+001
5.543459e+001	-6.417328e+001
5.534733e+001	-7.987219e+001
5.577811e+001	-7.103102e+001
5.608456e+001	-6.807945e+001
5.637029e+001	-6.610947e+001
5.638664e+001	-7.690033e+001
5.692102e+001	-6.315123e+001
5.726892e+001	-5.823644e+001
5.701588e+001	-8.178814e+001
5.713583e+001	-8.767100e+001
5.764950e+001	-7.490347e+001
5.783162e+001	-7.784152e+001
5.822096e+001	-7.096354e+001
5.846524e+001	-7.095680e+001
5.823292e+001	-9.352694e+001
5.849793e+001	-9.253851e+001
5.876294e+001	-9.155020e+001
5.898650e+001	-9.252503e+001
5.906501e+001	-1.003711e+002
5.957868e+001	-8.760354e+001
5.982297e+001	-8.759679e+001
6.006725e+001	-8.759004e+001
5.995926e+001	-1.042706e+002
6.065943e+001	-8.266861e+001
6.075866e+001	-8.953305e+001
6.004974e+001	-1.346800e+002
6.108146e+001	-9.737236e+001
6.159512e+001	-8.460476e+001
6.154930e+001	-9.834053e+001
6.168998e+001	-1.032417e+002
6.191355e+001	-1.042166e+002
6.253082e+001	-8.654102e+001
6.277511e+001	-8.653427e+001
6.264640e+001	-1.041964e+002
6.293212e+001	-1.022264e+002
6.350796e+001	-8.651403e+001
6.451896e+001	-5.018792e+001
6.573717e+001	-4.045881e+000
6.560846e+001	-2.170791e+001
6.612213e+001	-8.940379e+000
6.613848e+001	-1.973129e+001
6.619626e+001	-2.855891e+001
6.710365e+001	2.859133e+000
6.701638e+001	-1.283976e+001
6.688767e+001	-3.050191e+001
