    nm         	pN
0.000000e+000	4.880726e+002
-8.721422e-002	4.723761e+002
1.195890e-002	4.655089e+002
9.042186e-002	4.576606e+002
-1.624672e-001	4.341160e+002
-3.118096e-001	4.154765e+002
-2.333472e-001	4.076281e+002
-2.170106e-001	3.968369e+002
-2.835135e-001	3.821215e+002
-1.429224e-001	3.772162e+002
-2.301343e-001	3.615198e+002
-3.794772e-001	3.428803e+002
-2.595968e-001	3.369939e+002
-3.616745e-002	3.360127e+002
4.229785e-002	3.281645e+002
-8.633376e-002	3.105061e+002
-1.942570e-001	2.938286e+002
7.059275e-002	2.948095e+002
2.526012e-001	2.918662e+002
2.896462e-001	2.820559e+002
4.095283e-001	2.761696e+002
1.152207e-001	2.506630e+002
1.936825e-001	2.428147e+002
2.307275e-001	2.330044e+002
4.334467e-001	2.310421e+002
6.361660e-001	2.290799e+002
6.110828e-001	2.163266e+002
6.274165e-001	2.055352e+002
5.816231e-001	1.918008e+002
5.565376e-001	1.790474e+002
7.799682e-001	1.780662e+002
8.584318e-001	1.702179e+002
1.392502e+000	1.839520e+002
1.491676e+000	1.770847e+002
1.673685e+000	1.741414e+002
1.503635e+000	1.545210e+002
1.727064e+000	1.535398e+002
1.660560e+000	1.388244e+002
1.718314e+000	1.299950e+002
1.838195e+000	1.241087e+002
1.792402e+000	1.103743e+002
1.912283e+000	1.044880e+002
2.094294e+000	1.015449e+002
2.069209e+000	8.879141e+001
2.147672e+000	8.094313e+001
2.495359e+000	8.584808e+001
2.594531e+000	7.898077e+001
2.693704e+000	7.211348e+001
2.937843e+000	7.211330e+001
2.747082e+000	5.151179e+001
2.804836e+000	4.268249e+001
3.131812e+000	4.660634e+001
3.210275e+000	3.875806e+001
3.247320e+000	2.894772e+001
3.491458e+000	2.894754e+001
3.714888e+000	2.796639e+001
3.689803e+000	1.521294e+001
3.788976e+000	8.345695e+000
4.074532e+000	1.030747e+001
4.090868e+000	-4.838394e-001
4.542101e+000	9.326142e+000
4.910496e+000	1.521206e+001
4.906122e+000	3.439701e+000
5.170971e+000	4.420568e+000
5.808589e+000	2.305969e+001
5.659247e+000	4.420208e+000
5.799839e+000	-4.850668e-001
6.582424e+000	2.502117e+001
6.888692e+000	2.796410e+001
7.132831e+000	2.796392e+001
7.107746e+000	1.521049e+001
7.434722e+000	1.913439e+001
7.616734e+000	1.619122e+001
7.736613e+000	1.030484e+001
7.794369e+000	1.475588e+000
7.893541e+000	-5.391704e+000
8.324065e+000	3.437246e+000
8.485365e+000	-4.869979e-001
8.729504e+000	-4.871625e-001
8.870096e+000	-5.392408e+000
9.321329e+000	4.417574e+000
9.337664e+000	-6.373783e+000
9.871735e+000	7.360278e+000
9.991617e+000	1.474001e+000
1.023576e+001	1.473837e+000
1.041777e+001	-1.469436e+000
1.051694e+001	-8.336668e+000
1.053327e+001	-1.912800e+001
1.106735e+001	-5.393980e+000
1.087658e+001	-2.599548e+001
1.105859e+001	-2.893876e+001
1.130273e+001	-2.893893e+001
1.156758e+001	-2.795807e+001
1.193598e+001	-2.207215e+001
1.213870e+001	-2.403435e+001
1.182368e+001	-5.052193e+001
1.248201e+001	-3.090176e+001
1.282970e+001	-2.599687e+001
1.263894e+001	-4.659838e+001
1.313159e+001	-3.482636e+001
1.306508e+001	-4.954183e+001
1.339206e+001	-4.561792e+001
1.378117e+001	-3.875097e+001
1.423240e+001	-2.894103e+001
1.418661e+001	-4.267535e+001
1.416152e+001	-5.542879e+001
1.452992e+001	-4.954288e+001
1.473264e+001	-5.150506e+001
1.514245e+001	-4.365714e+001
1.540730e+001	-4.267623e+001
1.527867e+001	-6.033479e+001
1.595770e+001	-3.973358e+001
1.584978e+001	-5.641105e+001
1.578328e+001	-7.112646e+001
1.613097e+001	-6.622153e+001
1.660291e+001	-5.543055e+001
1.663995e+001	-6.524090e+001
1.638706e+001	-8.878544e+001
1.698326e+001	-7.210837e+001
1.733095e+001	-6.720343e+001
1.680884e+001	-1.035012e+002
1.728078e+001	-9.271022e+001
1.766989e+001	-8.584327e+001
1.785190e+001	-8.878649e+001
1.793036e+001	-9.663483e+001
1.823663e+001	-9.369189e+001
1.850147e+001	-9.271109e+001
1.899413e+001	-8.093909e+001
1.938323e+001	-7.407208e+001
1.933744e+001	-8.780656e+001
1.939519e+001	-9.663587e+001
1.997068e+001	-8.093980e+001
2.040121e+001	-7.211083e+001
2.027258e+001	-8.976923e+001
2.039246e+001	-9.565555e+001
2.096795e+001	-7.995951e+001
2.110854e+001	-8.486470e+001
2.112487e+001	-9.565607e+001
2.122404e+001	-1.025234e+002
2.134393e+001	-1.084096e+002
2.150523e+001	-1.123339e+002
2.172866e+001	-1.133150e+002
2.184854e+001	-1.192014e+002
2.203055e+001	-1.221445e+002
2.219185e+001	-1.260688e+002
2.287089e+001	-1.054676e+002
2.319787e+001	-1.015437e+002
2.300711e+001	-1.221452e+002
2.314770e+001	-1.270505e+002
2.328829e+001	-1.319558e+002
