    nm         	pN
0.000000e+000	4.535940e+002
-1.542780e-002	4.378102e+002
-8.648945e-002	4.186434e+002
-1.390079e-001	4.006041e+002
-1.544366e-001	3.848202e+002
-1.513179e-001	3.701641e+002
-1.481998e-001	3.555080e+002
-2.934440e-001	3.318304e+002
-3.645075e-001	3.126635e+002
-4.541146e-001	2.923689e+002
-4.880875e-001	2.754574e+002
-5.220608e-001	2.585459e+002
-5.560333e-001	2.416344e+002
-5.529160e-001	2.269782e+002
-6.239790e-001	2.078113e+002
-6.579519e-001	1.908998e+002
-6.733783e-001	1.751160e+002
-5.960807e-001	1.649706e+002
-5.744180e-001	1.514421e+002
-4.600294e-001	1.435521e+002
-3.456408e-001	1.356621e+002
-1.756174e-001	1.311551e+002
-7.977340e-002	1.221374e+002
1.607013e-002	1.131197e+002
1.304587e-001	1.052297e+002
-5.187562e-002	7.929663e+001
1.737843e-001	7.817274e+001
6.405306e-001	9.170876e+001
9.774610e-001	9.735097e+001
1.203120e+000	9.622703e+001
1.224783e+000	8.269858e+001
1.357717e+000	7.593626e+001
1.694647e+000	8.157847e+001
1.716310e+000	6.805001e+001
1.941969e+000	6.692608e+001
2.037813e+000	5.790838e+001
2.300562e+000	5.903983e+001
2.062594e+000	2.972379e+001
2.158436e+000	2.070606e+001
2.365551e+000	1.845446e+001
2.331578e+000	1.542971e+000
2.427422e+000	-7.474728e+000
2.745807e+000	-2.960228e+000
2.582018e+000	-2.776553e+001
2.714952e+000	-3.452786e+001
2.996247e+000	-3.226873e+001
2.943730e+000	-5.030792e+001
2.965392e+000	-6.383637e+001
2.968510e+000	-7.849251e+001
3.379620e+000	-6.833957e+001
3.586735e+000	-7.059115e+001
4.146207e+000	-5.141671e+001
4.204961e+000	-6.268979e+001
4.875703e+000	-3.674923e+001
6.918789e+000	7.264013e+001
6.996086e+000	6.249472e+001
7.054839e+000	5.122162e+001
6.631418e+000	1.062870e+001
6.912713e+000	1.288784e+001
7.509275e+000	3.431765e+001
7.252762e+000	3.873924e+000
7.441330e+000	4.946328e-001
7.666990e+000	-6.292746e-001
7.799923e+000	-7.391607e+000
8.044129e+000	-7.387822e+000
8.269788e+000	-8.511730e+000
8.328541e+000	-1.978481e+001
8.591291e+000	-1.865334e+001
8.483138e+000	-4.007559e+001
8.597525e+000	-4.796563e+001
9.379541e+000	-1.525896e+001
9.160116e+000	-4.344733e+001
9.497047e+000	-3.780514e+001
9.203442e+000	-7.050425e+001
9.429100e+000	-7.162815e+001
9.320948e+000	-9.305041e+001
9.973145e+000	-6.823756e+001
1.043989e+001	-5.470151e+001
1.042446e+001	-7.048534e+001
1.046467e+001	-8.288614e+001
1.083869e+001	-7.498856e+001
1.100872e+001	-7.949551e+001
1.086347e+001	-1.031732e+002
1.110768e+001	-1.031694e+002
1.140752e+001	-9.978252e+001
1.170736e+001	-9.639570e+001
1.204429e+001	-9.075347e+001
1.191759e+001	-1.133034e+002
1.238434e+001	-9.976742e+001
1.264709e+001	-9.863594e+001
1.281711e+001	-1.031429e+002
1.276459e+001	-1.211821e+002
1.284189e+001	-1.313275e+002
1.301192e+001	-1.358345e+002
1.316339e+001	-1.414692e+002
1.368578e+001	-1.245501e+002
1.348490e+001	-1.516108e+002
1.339529e+001	-1.719053e+002
1.391767e+001	-1.549863e+002
1.401351e+001	-1.640040e+002
1.436899e+001	-1.572341e+002
1.442774e+001	-1.685072e+002
1.461631e+001	-1.718864e+002
1.500888e+001	-1.628612e+002
1.529017e+001	-1.606020e+002
1.505220e+001	-1.899181e+002
1.507387e+001	-2.034465e+002
1.533662e+001	-2.023151e+002
1.558082e+001	-2.023113e+002
1.612175e+001	-1.842645e+002
1.760848e+001	-1.087058e+002
1.857594e+001	-6.472223e+001
1.885724e+001	-6.246307e+001
1.936107e+001	-4.667170e+001
1.960528e+001	-4.666792e+001
1.966403e+001	-5.794100e+001
2.052023e+001	-2.072357e+001
2.080152e+001	-1.846440e+001
2.073046e+001	-3.763131e+001
2.097466e+001	-3.762753e+001
2.112614e+001	-4.326219e+001
2.144453e+001	-3.874767e+001
2.194836e+001	-2.295627e+001
2.217402e+001	-2.408019e+001
2.230696e+001	-3.084252e+001
2.253262e+001	-3.196643e+001
2.286955e+001	-2.632420e+001
2.290976e+001	-3.872500e+001
2.376595e+001	-1.507569e+000
2.337962e+001	-3.984510e+001
2.327147e+001	-6.126739e+001
2.388657e+001	-3.870988e+001
2.422350e+001	-3.306765e+001
2.463462e+001	-2.291470e+001
2.461919e+001	-3.869854e+001
2.454813e+001	-5.786543e+001
2.481088e+001	-5.673395e+001
2.494381e+001	-6.349628e+001
2.539201e+001	-5.108798e+001
2.580312e+001	-4.093500e+001
2.625132e+001	-2.852669e+001
2.632862e+001	-3.867210e+001
2.642446e+001	-4.768978e+001
2.718793e+001	-1.611081e+001
2.759904e+001	-5.957836e+000
2.723126e+001	-4.316771e+001
2.732710e+001	-5.218543e+001
2.742295e+001	-6.120314e+001
2.727770e+001	-8.488077e+001
2.800408e+001	-5.555713e+001
2.809992e+001	-6.457487e+001
2.797322e+001	-8.712481e+001
2.832870e+001	-8.035491e+001
2.835036e+001	-9.388336e+001
2.865020e+001	-9.049652e+001
2.920967e+001	-7.132207e+001
2.928697e+001	-8.146749e+001
2.940136e+001	-8.935753e+001
2.936739e+001	-1.062690e+002
2.981559e+001	-9.386069e+001
2.987434e+001	-1.051338e+002
3.011855e+001	-1.051300e+002
3.054820e+001	-9.384935e+001
3.071823e+001	-9.835632e+001
3.088825e+001	-1.028633e+002
3.087283e+001	-1.186471e+002
3.119121e+001	-1.141326e+002
3.173214e+001	-9.608585e+001
3.197634e+001	-9.608207e+001
3.218346e+001	-9.833365e+001
3.265020e+001	-8.479763e+001
3.317259e+001	-6.787857e+001
3.302734e+001	-9.155619e+001
3.316028e+001	-9.831853e+001
3.340448e+001	-9.831476e+001
3.361160e+001	-1.005664e+002
3.370744e+001	-1.095841e+002
3.385892e+001	-1.152187e+002
3.432566e+001	-1.016827e+002
3.438442e+001	-1.129558e+002
3.475844e+001	-1.050582e+002
3.546627e+001	-7.686226e+001
3.548793e+001	-9.039071e+001
3.563941e+001	-9.602538e+001
3.631015e+001	-7.008481e+001
3.660999e+001	-6.669798e+001
3.683565e+001	-6.782191e+001
3.739513e+001	-4.864743e+001
3.773206e+001	-4.300523e+001
3.799481e+001	-4.187376e+001
3.816483e+001	-4.638074e+001
3.839049e+001	-4.750463e+001
3.878306e+001	-3.847938e+001
3.913853e+001	-3.170948e+001
3.904892e+001	-5.200405e+001
3.931167e+001	-5.087259e+001
3.955588e+001	-5.086880e+001
3.987426e+001	-4.635428e+001
4.009992e+001	-4.747817e+001
4.036267e+001	-4.634673e+001
4.075524e+001	-3.732147e+001
4.062854e+001	-5.987141e+001
4.111383e+001	-4.520771e+001
4.093150e+001	-7.114070e+001
4.178769e+001	-3.392327e+001
4.214317e+001	-2.715339e+001
4.218338e+001	-3.955414e+001
4.237194e+001	-4.293343e+001
4.231943e+001	-6.097265e+001
4.243381e+001	-6.886266e+001
4.239984e+001	-8.577418e+001
4.301495e+001	-6.321666e+001
4.351879e+001	-4.742528e+001
4.320664e+001	-8.125211e+001
4.359920e+001	-7.222683e+001
4.419577e+001	-5.079702e+001
4.401343e+001	-7.673001e+001
4.438745e+001	-6.883242e+001
4.461311e+001	-6.995634e+001
4.515404e+001	-5.190959e+001
4.480480e+001	-8.799177e+001
4.551263e+001	-5.979583e+001
4.575683e+001	-5.979206e+001
4.598250e+001	-6.091597e+001
4.557762e+001	-1.003812e+002
4.589601e+001	-9.586668e+001
4.649257e+001	-7.443687e+001
4.645860e+001	-9.134836e+001
4.648026e+001	-1.048768e+002
4.724373e+001	-7.329784e+001
4.706139e+001	-9.923083e+001
4.745396e+001	-9.020556e+001
4.753126e+001	-1.003510e+002
4.842454e+001	-6.087818e+001
4.885420e+001	-4.959752e+001
4.945076e+001	-2.816771e+001
4.963933e+001	-3.154700e+001
4.980935e+001	-3.605395e+001
5.010919e+001	-3.266711e+001
5.005668e+001	-5.070633e+001
5.044924e+001	-4.168104e+001
5.126835e+001	-6.719000e+000
5.121583e+001	-2.475818e+001
5.110768e+001	-4.618047e+001
5.159297e+001	-3.151676e+001
5.178154e+001	-3.489604e+001
5.193302e+001	-4.053068e+001
5.249249e+001	-2.135625e+001
5.269960e+001	-2.360785e+001
5.301799e+001	-1.909330e+001
5.339201e+001	-1.119572e+001
5.341367e+001	-2.472417e+001
5.343533e+001	-3.825266e+001
5.388354e+001	-2.584431e+001
5.375684e+001	-4.839426e+001
5.433485e+001	-2.809213e+001
5.494996e+001	-5.534627e+000
5.491599e+001	-2.244615e+001
5.462238e+001	-5.514526e+001
5.533022e+001	-2.694933e+001
5.577842e+001	-1.454101e+001
5.563318e+001	-3.821865e+001
5.615556e+001	-2.129957e+001
5.619577e+001	-3.370033e+001
5.655124e+001	-2.693043e+001
5.685108e+001	-2.354362e+001
5.711383e+001	-2.241214e+001
5.715404e+001	-3.481290e+001
5.749097e+001	-2.917071e+001
5.823589e+001	1.280602e+000
5.810919e+001	-2.126933e+001
5.820504e+001	-3.028706e+001
5.880160e+001	-8.857236e+000
5.871199e+001	-2.915180e+001
5.888202e+001	-3.365877e+001
5.923749e+001	-2.688887e+001
5.972278e+001	-1.222517e+001
5.976299e+001	-2.462593e+001
5.984029e+001	-3.477134e+001
5.950960e+001	-6.972583e+001
5.990216e+001	-6.070058e+001
6.053581e+001	-3.701539e+001
6.087274e+001	-3.137318e+001
6.098713e+001	-3.926318e+001
6.115715e+001	-4.377017e+001
6.162390e+001	-3.023415e+001
6.184956e+001	-3.135807e+001
6.187123e+001	-4.488652e+001
6.241216e+001	-2.683974e+001
6.235963e+001	-4.487895e+001
6.262238e+001	-4.374750e+001
6.282950e+001	-4.599909e+001
6.281407e+001	-6.178291e+001
6.320663e+001	-5.275766e+001
6.382174e+001	-3.020014e+001
6.404741e+001	-3.132406e+001
6.390216e+001	-5.500167e+001
6.435036e+001	-4.259335e+001
6.446475e+001	-5.048339e+001
6.500568e+001	-3.243660e+001
6.504588e+001	-4.483739e+001
6.503046e+001	-6.062122e+001
6.557138e+001	-4.257446e+001
6.581559e+001	-4.257067e+001
6.604125e+001	-4.369460e+001
6.617418e+001	-5.045693e+001
6.619585e+001	-6.398538e+001
6.656987e+001	-5.608780e+001
6.679552e+001	-5.721171e+001
6.718809e+001	-4.818643e+001
