    nm         	pN
0.000000e+000	4.292095e+002
3.123200e-003	4.145537e+002
-1.050313e-001	3.931313e+002
-9.184143e-003	3.841139e+002
1.793724e-001	3.807338e+002
2.010211e-001	3.672045e+002
-5.546025e-002	3.367628e+002
-1.079828e-001	3.187233e+002
-1.048591e-001	3.040675e+002
6.515832e-002	2.995601e+002
1.053452e-001	2.871581e+002
1.826391e-001	2.770124e+002
2.228547e-001	2.646121e+002
1.888709e-001	2.476999e+002
5.814150e-001	2.567239e+002
7.328791e-001	2.510883e+002
6.062005e-001	2.285396e+002
4.980463e-001	2.071173e+002
6.124326e-001	1.992271e+002
8.751744e-001	2.003581e+002
8.411908e-001	1.834459e+002
7.886825e-001	1.654073e+002
7.176204e-001	1.462405e+002
8.505459e-001	1.394776e+002
7.052993e-001	1.157998e+002
8.382390e-001	1.090378e+002
1.138045e+000	1.124225e+002
1.289523e+000	1.067879e+002
1.422449e+000	1.000250e+002
1.481203e+000	8.875206e+001
1.539944e+000	7.747820e+001
1.302002e+000	4.816382e+001
1.583283e+000	5.042211e+001
1.846010e+000	5.155221e+001
1.737856e+000	3.012990e+001
2.037676e+000	3.351551e+001
2.244772e+000	3.126279e+001
2.470421e+000	3.013826e+001
2.492083e+000	1.660978e+001
2.736272e+000	1.661258e+001
2.628132e+000	-4.808848e+000
2.723965e+000	-1.382720e+001
2.652904e+000	-3.299401e+001
2.860000e+000	-3.524672e+001
2.955847e+000	-4.426420e+001
3.070233e+000	-5.215436e+001
3.147512e+000	-6.230090e+001
3.354608e+000	-6.455362e+001
3.302100e+000	-8.259225e+001
3.342316e+000	-9.499253e+001
3.605043e+000	-9.386242e+001
4.016126e+000	-8.371117e+001
4.946432e+000	-4.198724e+001
5.431685e+000	-2.732586e+001
6.009678e+000	-7.025251e+000
6.290958e+000	-4.766960e+000
6.460962e+000	-9.275181e+000
6.797874e+000	-3.634056e+000
7.116233e+000	8.788445e-001
7.026647e+000	-1.941438e+001
7.233743e+000	-2.166710e+001
7.477932e+000	-2.166429e+001
7.851922e+000	-1.376856e+001
8.040479e+000	-1.714859e+001
8.488654e+000	-4.741828e+000
8.528855e+000	-1.714300e+001
8.847215e+000	-1.263008e+001
9.165588e+000	-8.116268e+000
8.742198e+000	-4.870731e+001
9.153266e+000	-3.855695e+001
9.638534e+000	-2.389468e+001
1.017942e+001	-5.850477e+000
1.001563e+001	-3.065562e+001
1.035256e+001	-2.501362e+001
1.011460e+001	-5.432889e+001
1.048859e+001	-4.643314e+001
1.052881e+001	-5.883343e+001
1.116241e+001	-3.515178e+001
1.142513e+001	-3.402168e+001
1.139118e+001	-5.093211e+001
1.189497e+001	-3.514341e+001
1.223188e+001	-2.950230e+001
1.253172e+001	-2.611580e+001
1.234939e+001	-5.204824e+001
1.272338e+001	-4.415250e+001
1.337555e+001	-1.934177e+001
1.358264e+001	-2.159449e+001
1.375266e+001	-2.610183e+001
1.375577e+001	-4.075852e+001
