    nm         	pN
0.000000e+000	6.752282e+002
4.021654e-002	6.628279e+002
2.477093e-002	6.470430e+002
-2.775204e-002	6.290035e+002
-2.464299e-002	6.143468e+002
-2.150564e-002	5.996919e+002
-7.399848e-002	5.816542e+002
-1.528754e-002	5.703785e+002
-4.925676e-002	5.534672e+002
-9.040222e-003	5.410670e+002
-8.008864e-002	5.219010e+002
5.283728e-002	5.151382e+002
7.450008e-002	5.016097e+002
1.517648e-001	4.914623e+002
1.177955e-001	4.745510e+002
8.385508e-002	4.576414e+002
8.696458e-002	4.429848e+002
1.457335e-001	4.317126e+002
2.044444e-001	4.204370e+002
2.075535e-001	4.057803e+002
2.477691e-001	3.933800e+002
2.138291e-001	3.764705e+002
2.540160e-001	3.640684e+002
2.571250e-001	3.494118e+002
2.787874e-001	3.358833e+002
2.077399e-001	3.167173e+002
1.737702e-001	2.998060e+002
2.510645e-001	2.896604e+002
3.839900e-001	2.828975e+002
4.056231e-001	2.693673e+002
3.160515e-001	2.490749e+002
3.562384e-001	2.366729e+002
4.520861e-001	2.276554e+002
4.180871e-001	2.107423e+002
3.841179e-001	1.938310e+002
4.428873e-001	1.825589e+002
4.831038e-001	1.701587e+002
5.603977e-001	1.600130e+002
6.006134e-001	1.476127e+002
6.407715e-001	1.352089e+002
7.551720e-001	1.273196e+002
8.510196e-001	1.183022e+002
8.356041e-001	1.025190e+002
8.757906e-001	9.011698e+001
9.531136e-001	7.997311e+001
1.030408e+000	6.982746e+001
1.014934e+000	5.404079e+001
1.203491e+000	5.066078e+001
1.317892e+000	4.277153e+001
1.525003e+000	4.051972e+001
1.806270e+000	4.277715e+001
1.883564e+000	3.263150e+001
1.868149e+000	1.684839e+001
2.056705e+000	1.346838e+001
2.115446e+000	2.194522e+000
2.155633e+000	-1.020752e+001
2.548221e+000	-1.180881e+000
2.718225e+000	-5.689085e+000
3.166386e+000	6.716815e+000
3.280787e+000	-1.172435e+000
3.209682e+000	-2.034191e+001
3.249898e+000	-3.274220e+001
3.327192e+000	-4.288785e+001
3.441593e+000	-5.077712e+001
3.593043e+000	-5.641353e+001
3.800154e+000	-5.866533e+001
3.710524e+000	-7.896124e+001
4.010373e+000	-7.557383e+001
4.032006e+000	-8.910409e+001
4.257670e+000	-9.022770e+001
4.279333e+000	-1.037562e+002
4.504968e+000	-1.048816e+002
4.582263e+000	-1.150272e+002
4.882083e+000	-1.116416e+002
5.237535e+000	-1.048731e+002
5.444646e+000	-1.071249e+002
5.466308e+000	-1.206534e+002
5.729050e+000	-1.195224e+002
6.307029e+000	-9.922262e+001
6.495585e+000	-1.026026e+002
6.609958e+000	-1.104937e+002
6.594542e+000	-1.262768e+002
7.061257e+000	-1.127427e+002
7.175630e+000	-1.206337e+002
7.178767e+000	-1.352886e+002
7.515665e+000	-1.296483e+002
7.407482e+000	-1.510724e+002
7.651670e+000	-1.510696e+002
7.932996e+000	-1.488086e+002
8.177185e+000	-1.488058e+002
8.328605e+000	-1.544440e+002
8.535716e+000	-1.566958e+002
8.761352e+000	-1.578212e+002
9.079725e+000	-1.533074e+002
9.008678e+000	-1.724733e+002
9.030341e+000	-1.860018e+002
9.478502e+000	-1.735959e+002
9.611428e+000	-1.803587e+002
9.596012e+000	-1.961418e+002
9.728938e+000	-2.029046e+002
9.917524e+000	-2.062829e+002
1.023587e+001	-2.017708e+002
1.033172e+001	-2.107883e+002
1.070569e+001	-2.028934e+002
1.119096e+001	-1.882310e+002
1.106428e+001	-2.107798e+002
1.145681e+001	-2.017567e+002
1.145995e+001	-2.164116e+002
1.166703e+001	-2.186652e+002
1.198541e+001	-2.141514e+002
1.222960e+001	-2.141486e+002
1.247378e+001	-2.141457e+002
1.294050e+001	-2.006116e+002
1.364826e+001	-1.724198e+002
1.365140e+001	-1.870747e+002
1.398830e+001	-1.814344e+002
1.415830e+001	-1.859426e+002
1.423560e+001	-1.960883e+002
1.447979e+001	-1.960855e+002
1.477961e+001	-1.926998e+002
1.491253e+001	-1.994627e+002
1.523091e+001	-1.949488e+002
1.554928e+001	-1.904350e+002
1.633120e+001	-1.577339e+002
1.666813e+001	-1.520919e+002
1.769116e+001	-1.047295e+002
1.799098e+001	-1.013439e+002
1.806828e+001	-1.114895e+002
1.838665e+001	-1.069757e+002
1.866792e+001	-1.047182e+002
1.874521e+001	-1.148639e+002
1.893377e+001	-1.182439e+002
1.910380e+001	-1.227503e+002
1.934799e+001	-1.227475e+002
1.951799e+001	-1.272557e+002
1.963240e+001	-1.351450e+002
1.961692e+001	-1.509317e+002
1.997243e+001	-1.441596e+002
2.047623e+001	-1.283709e+002
2.047933e+001	-1.430276e+002
2.050097e+001	-1.565578e+002
2.046700e+001	-1.734691e+002
2.078537e+001	-1.689553e+002
2.119646e+001	-1.588040e+002
2.144064e+001	-1.588012e+002
2.122126e+001	-1.869874e+002
2.172505e+001	-1.711987e+002
2.380511e+001	-5.956085e+001
2.419764e+001	-5.053776e+001
2.486833e+001	-2.460054e+001
2.477873e+001	-4.489468e+001
