    nm         	pN
0.000000e+000	6.759193e+002
-6.473087e-002	6.607840e+002
-5.900837e-003	6.517035e+002
-7.063170e-002	6.365682e+002
8.802570e-003	6.284973e+002
2.644224e-002	6.173984e+002
-7.947786e-002	6.002448e+002
-4.123508e-002	5.901554e+002
-6.478465e-002	5.770381e+002
-5.944425e-003	5.679581e+002
7.348758e-002	5.598870e+002
-3.244158e-002	5.427330e+002
-1.795520e-001	5.235611e+002
-5.892740e-002	5.175085e+002
8.228109e-002	5.124646e+002
-1.060186e-001	4.912744e+002
-1.707585e-001	4.761387e+002
-1.531098e-001	4.650402e+002
-1.189112e-002	4.599968e+002
1.499222e-001	4.559625e+002
2.499511e-001	4.489007e+002
-1.237132e-001	4.186274e+002
1.822653e-001	4.216574e+002
2.411044e-001	4.125773e+002
3.617188e-001	4.065242e+002
3.381777e-001	3.934074e+002
2.116619e-001	3.752446e+002
4.764505e-001	3.762563e+002
5.558752e-001	3.681849e+002
5.117395e-001	3.540588e+002
3.440248e-001	3.338773e+002
4.852435e-001	3.288338e+002
8.530063e-001	3.348914e+002
6.647061e-001	3.137011e+002
4.558021e-001	2.915012e+002
4.322611e-001	2.783843e+002
3.263313e-001	2.612303e+002
4.675500e-001	2.561869e+002
4.646041e-001	2.440792e+002
7.293922e-001	2.450909e+002
6.646613e-001	2.299557e+002
9.912344e-001	2.339949e+002
9.470896e-001	2.198684e+002
1.067713e+000	2.138158e+002
1.002982e+000	1.986806e+002
1.205985e+000	1.966647e+002
1.347195e+000	1.916208e+002
1.509009e+000	1.875866e+002
1.382494e+000	1.694238e+002
1.420736e+000	1.593345e+002
1.767905e+000	1.643829e+002
1.847330e+000	1.563115e+002
1.803194e+000	1.421855e+002
1.882627e+000	1.341145e+002
2.147416e+000	1.351262e+002
2.412203e+000	1.361378e+002
2.594613e+000	1.331128e+002
3.003565e+000	1.411887e+002
3.103593e+000	1.341269e+002
3.203623e+000	1.270652e+002
3.324237e+000	1.210121e+002
3.486050e+000	1.169779e+002
3.483105e+000	1.048702e+002
3.603728e+000	9.881761e+001
3.662567e+000	8.973748e+001
3.597827e+000	7.460180e+001
3.677260e+000	6.653085e+001
4.106808e+000	7.561596e+001
4.639340e+000	8.974741e+001
4.492220e+000	7.057503e+001
4.303911e+000	4.938429e+001
4.280370e+000	3.626743e+001
4.421580e+000	3.122357e+001
4.748162e+000	3.526322e+001
4.909966e+000	3.122854e+001
5.133564e+000	3.022185e+001
5.068833e+000	1.508662e+001
5.107078e+000	4.997312e+000
5.330675e+000	3.990608e+000
5.307135e+000	-9.126236e+000
5.613113e+000	-6.096207e+000
5.857306e+000	-6.093713e+000
6.307449e+000	4.000553e+000
6.304503e+000	-8.107107e+000
6.589886e+000	-6.086262e+000
7.040028e+000	4.008005e+000
7.037083e+000	-8.099655e+000
7.034136e+000	-2.020733e+001
7.134165e+000	-2.726911e+001
7.254790e+000	-3.332170e+001
7.293015e+000	-4.341191e+001
7.784366e+000	-3.129837e+001
7.966774e+000	-3.432343e+001
8.149182e+000	-3.734849e+001
8.413970e+000	-3.633682e+001
8.802328e+000	-2.927008e+001
8.634605e+000	-4.945208e+001
8.919987e+000	-4.743124e+001
8.855257e+000	-6.256645e+001
9.140639e+000	-6.054560e+001
9.384833e+000	-6.054312e+001
9.526052e+000	-6.558653e+001
9.811435e+000	-6.356568e+001
1.017920e+001	-5.750812e+001
1.017625e+001	-6.961579e+001
1.060580e+001	-6.053070e+001
1.078821e+001	-6.355575e+001
1.092943e+001	-6.859916e+001
1.084410e+001	-8.474357e+001
1.145900e+001	-6.657584e+001
1.170320e+001	-6.657334e+001
1.149430e+001	-8.877282e+001
1.147076e+001	-1.018897e+002
1.222983e+001	-7.665769e+001
1.257699e+001	-7.160932e+001
1.300654e+001	-6.252420e+001
1.255051e+001	-9.683385e+001
1.271232e+001	-1.008681e+002
1.231805e+001	-1.321511e+002
1.293296e+001	-1.139833e+002
1.288882e+001	-1.281094e+002
1.364790e+001	-1.028765e+002
1.385091e+001	-1.048924e+002
1.355961e+001	-1.311295e+002
1.384500e+001	-1.291086e+002
1.375967e+001	-1.452530e+002
1.427160e+001	-1.321312e+002
1.430984e+001	-1.422205e+002
1.449225e+001	-1.452456e+002
1.467466e+001	-1.482706e+002
1.491885e+001	-1.482681e+002
1.516304e+001	-1.482656e+002
1.518069e+001	-1.593641e+002
1.552786e+001	-1.543158e+002
1.548373e+001	-1.684418e+002
1.572792e+001	-1.684393e+002
1.599271e+001	-1.674277e+002
1.601036e+001	-1.785261e+002
1.641931e+001	-1.704502e+002
1.639575e+001	-1.835680e+002
1.672234e+001	-1.795279e+002
1.702832e+001	-1.764978e+002
1.721073e+001	-1.795229e+002
1.796979e+001	-1.542909e+002
1.829637e+001	-1.502517e+002
1.806688e+001	-1.734604e+002
1.859940e+001	-1.593294e+002
1.880240e+001	-1.613452e+002
1.871708e+001	-1.774896e+002
1.896127e+001	-1.774871e+002
1.891712e+001	-1.916141e+002
1.942906e+001	-1.784913e+002
1.938491e+001	-1.926183e+002
1.944375e+001	-2.016984e+002
2.014105e+001	-1.794931e+002
2.073535e+001	-1.623345e+002
2.202989e+001	-1.108638e+002
2.270659e+001	-8.966768e+001
2.395994e+001	-4.021535e+001
2.453367e+001	-2.406510e+001
2.514857e+001	-5.897370e+000
2.493967e+001	-2.809685e+001
2.456600e+001	-5.837066e+001
2.526330e+001	-3.616531e+001
2.577523e+001	-2.304350e+001
2.544275e+001	-5.129894e+001
2.587229e+001	-4.221384e+001
2.621948e+001	-3.716455e+001
2.636068e+001	-4.220886e+001
2.705798e+001	-2.000352e+001
2.701384e+001	-3.412956e+001
2.717564e+001	-3.816468e+001
2.744045e+001	-3.715213e+001
2.778761e+001	-3.210375e+001
2.805240e+001	-3.109208e+001
2.807003e+001	-4.219147e+001
2.808768e+001	-5.328996e+001
2.855842e+001	-4.218650e+001
2.857607e+001	-5.328499e+001
2.879967e+001	-5.429168e+001
2.873493e+001	-6.942690e+001
2.959698e+001	-3.914901e+001
2.934689e+001	-6.336685e+001
2.963228e+001	-6.134600e+001
3.010301e+001	-5.024254e+001
3.034721e+001	-5.024006e+001
3.013831e+001	-7.243953e+001
3.021774e+001	-8.051049e+001
3.042075e+001	-8.252637e+001
3.078851e+001	-7.646880e+001
3.138281e+001	-5.931025e+001
3.181236e+001	-5.022514e+001
3.119157e+001	-9.260823e+001
3.182707e+001	-7.343132e+001
3.190650e+001	-8.150226e+001
3.229486e+001	-7.443551e+001
3.231251e+001	-8.553402e+001
3.272146e+001	-7.745810e+001
3.271851e+001	-8.956577e+001
3.343639e+001	-6.635213e+001
3.353642e+001	-7.341391e+001
3.411013e+001	-5.726454e+001
3.410718e+001	-6.937222e+001
3.445435e+001	-6.432384e+001
3.441022e+001	-7.844988e+001
3.463382e+001	-7.945657e+001
3.485741e+001	-8.046326e+001
3.510161e+001	-8.046078e+001
3.579889e+001	-5.825633e+001
3.577535e+001	-7.137319e+001
3.610192e+001	-6.733397e+001
3.593422e+001	-8.751510e+001
3.621960e+001	-8.549426e+001
3.691688e+001	-6.328980e+001
3.693453e+001	-7.438829e+001
3.711694e+001	-7.741335e+001
3.762887e+001	-6.429152e+001
3.787306e+001	-6.428904e+001
3.799368e+001	-7.034164e+001
3.840264e+001	-6.226570e+001
3.829672e+001	-7.941928e+001
3.825258e+001	-9.354532e+001
3.880569e+001	-7.840514e+001
3.890572e+001	-8.546691e+001
3.980896e+001	-5.317066e+001
4.017672e+001	-4.711309e+001
4.075045e+001	-3.096284e+001
4.097405e+001	-3.196952e+001
4.125943e+001	-2.994868e+001
4.140065e+001	-3.499210e+001
4.178901e+001	-2.792535e+001
4.184784e+001	-3.700548e+001
4.223620e+001	-2.993873e+001
4.262456e+001	-2.287199e+001
4.315708e+001	-8.740985e+000
4.288640e+001	-3.396800e+001
4.294522e+001	-4.304903e+001
4.296287e+001	-5.414753e+001
4.372196e+001	-2.891465e+001
4.421329e+001	-1.680200e+001
4.425153e+001	-2.689131e+001
4.428978e+001	-3.698063e+001
4.430741e+001	-4.808002e+001
4.473695e+001	-3.899490e+001
4.471341e+001	-5.211176e+001
4.534893e+001	-3.293397e+001
4.573729e+001	-2.586722e+001
4.612565e+001	-1.880047e+001
4.639043e+001	-1.778881e+001
4.583141e+001	-5.714524e+001
4.681704e+001	-2.081137e+001
4.695825e+001	-2.585480e+001
4.738780e+001	-1.676968e+001
4.785854e+001	-5.666216e+000
4.762905e+001	-2.887488e+001
4.770848e+001	-3.694584e+001
4.787028e+001	-4.098095e+001
4.817625e+001	-3.795092e+001
4.881177e+001	-1.877313e+001
4.872645e+001	-3.491752e+001
4.901183e+001	-3.289668e+001
4.919424e+001	-3.592173e+001
4.935603e+001	-3.995687e+001
4.982678e+001	-2.885251e+001
5.013277e+001	-2.582248e+001
5.012980e+001	-3.793105e+001
5.027102e+001	-4.297447e+001
5.088594e+001	-2.480584e+001
5.117132e+001	-2.278500e+001
5.118897e+001	-3.388349e+001
5.116541e+001	-4.700124e+001
5.167736e+001	-3.387852e+001
5.220988e+001	-1.974752e+001
5.226872e+001	-2.882766e+001
5.228635e+001	-3.992704e+001
5.257173e+001	-3.790620e+001
5.302189e+001	-2.781101e+001
5.326608e+001	-2.780853e+001
5.353088e+001	-2.679687e+001
5.344553e+001	-4.294216e+001
5.368972e+001	-4.293966e+001
5.411929e+001	-3.385367e+001
5.405454e+001	-4.898977e+001
5.423695e+001	-5.201483e+001
5.468709e+001	-4.192055e+001
5.476652e+001	-4.999150e+001
5.550502e+001	-2.576779e+001
5.554326e+001	-3.585712e+001
5.609638e+001	-2.071694e+001
5.631998e+001	-2.172362e+001
5.642000e+001	-2.878540e+001
5.649944e+001	-3.685635e+001
5.688780e+001	-2.978961e+001
5.704961e+001	-3.382385e+001
5.704664e+001	-4.593242e+001
5.770275e+001	-2.574544e+001
5.796754e+001	-2.473376e+001
5.833531e+001	-1.867620e+001
5.845593e+001	-2.472879e+001
5.911202e+001	-4.542703e+000
5.898551e+001	-2.270546e+001
5.937386e+001	-1.563872e+001
5.943270e+001	-2.471886e+001
6.008879e+001	-4.532757e+000
6.006525e+001	-1.764962e+001
6.022707e+001	-2.168386e+001
6.003875e+001	-4.287504e+001
6.030353e+001	-4.186338e+001
6.042416e+001	-4.791597e+001
6.112146e+001	-2.571063e+001
6.150982e+001	-1.864388e+001
6.169223e+001	-2.166894e+001
6.181285e+001	-2.772154e+001
6.207764e+001	-2.670987e+001
6.203349e+001	-4.083680e+001
6.262781e+001	-2.367736e+001
6.235711e+001	-4.890527e+001
6.284846e+001	-3.679174e+001
6.309266e+001	-3.678925e+001
6.354279e+001	-2.669496e+001
6.370461e+001	-3.072920e+001
6.372224e+001	-4.182859e+001
6.413121e+001	-3.375177e+001
6.402527e+001	-5.090623e+001
6.453720e+001	-3.778440e+001
6.484320e+001	-3.475350e+001
6.516977e+001	-3.071429e+001
6.526978e+001	-3.777695e+001
6.539040e+001	-4.382954e+001
6.557281e+001	-4.685460e+001
6.585820e+001	-4.483375e+001
6.591704e+001	-5.391389e+001
6.673790e+001	-2.565346e+001
6.624066e+001	-6.198236e+001
6.648485e+001	-6.197988e+001
6.689380e+001	-5.390395e+001
6.709681e+001	-5.591982e+001
6.723803e+001	-6.096324e+001
6.781174e+001	-4.481388e+001
6.820009e+001	-3.774713e+001
6.778525e+001	-7.003841e+001
6.809123e+001	-6.700838e+001
6.852078e+001	-5.792327e+001
6.903271e+001	-4.480144e+001
6.913273e+001	-5.186323e+001
6.933574e+001	-5.387910e+001
6.974469e+001	-4.580317e+001
6.994770e+001	-4.781904e+001
7.004773e+001	-5.488082e+001
7.035370e+001	-5.185079e+001
7.043314e+001	-5.992174e+001
7.080089e+001	-5.386418e+001
7.081854e+001	-6.496267e+001
7.106274e+001	-6.496020e+001
7.173943e+001	-4.376493e+001
7.183946e+001	-5.082670e+001
7.204246e+001	-5.284257e+001
7.210129e+001	-6.192272e+001
7.205716e+001	-7.604876e+001
7.223957e+001	-7.907381e+001
7.279269e+001	-6.393362e+001
7.301629e+001	-6.494030e+001
7.330167e+001	-6.291945e+001
7.387538e+001	-4.677009e+001
7.370767e+001	-6.695122e+001
7.384889e+001	-7.199463e+001
7.413428e+001	-6.997378e+001
7.468739e+001	-5.483360e+001
7.451969e+001	-7.501471e+001
7.461972e+001	-8.207650e+001
7.471974e+001	-8.913827e+001
7.512870e+001	-8.106234e+001
7.522873e+001	-8.812412e+001
7.574066e+001	-7.500228e+001
7.617020e+001	-6.591719e+001
7.631142e+001	-7.096059e+001
7.645264e+001	-7.600402e+001
7.628493e+001	-9.618513e+001
7.665270e+001	-9.012757e+001
7.724700e+001	-7.296901e+001
7.732644e+001	-8.103997e+001
7.769420e+001	-7.498241e+001
7.806197e+001	-6.892483e+001
7.785307e+001	-9.112432e+001
7.861213e+001	-6.589232e+001
7.858859e+001	-7.900918e+001
7.862684e+001	-8.909851e+001
7.917996e+001	-7.395830e+001
7.923880e+001	-8.303844e+001
7.913287e+001	-1.001920e+002
7.952123e+001	-9.312528e+001
7.976542e+001	-9.312280e+001
7.994783e+001	-9.614785e+001
8.019202e+001	-9.614536e+001
8.058039e+001	-8.907861e+001
8.076279e+001	-9.210367e+001
8.096580e+001	-9.411955e+001
8.094226e+001	-1.072364e+002
8.110405e+001	-1.112715e+002
8.176016e+001	-9.108456e+001
8.167483e+001	-1.072289e+002
8.161008e+001	-1.223650e+002
8.164833e+001	-1.324544e+002
8.199549e+001	-1.274060e+002
8.205433e+001	-1.364861e+002
8.266924e+001	-1.183184e+002
8.330476e+001	-9.914060e+001
8.328119e+001	-1.122583e+002
8.340182e+001	-1.183109e+002
8.424328e+001	-8.904134e+001
8.537305e+001	-4.564410e+001
8.551427e+001	-5.068751e+001
8.600561e+001	-3.857486e+001
8.600266e+001	-5.068253e+001
8.608210e+001	-5.875349e+001
8.657343e+001	-4.664084e+001
8.669405e+001	-5.269345e+001
8.702062e+001	-4.865424e+001
8.716184e+001	-5.369766e+001
8.724128e+001	-6.176862e+001
8.750607e+001	-6.075694e+001
8.826515e+001	-3.552406e+001
8.815921e+001	-5.267853e+001
8.842400e+001	-5.166687e+001
8.903892e+001	-3.349824e+001
8.922132e+001	-3.652330e+001
8.954790e+001	-3.248410e+001
8.999804e+001	-2.238980e+001
8.962437e+001	-5.266361e+001
8.990975e+001	-5.064276e+001
9.000978e+001	-5.770456e+001
9.023338e+001	-5.871124e+001
9.025103e+001	-6.980973e+001
9.065998e+001	-6.173381e+001
9.084239e+001	-6.475886e+001
9.123075e+001	-5.769211e+001
9.180446e+001	-4.154275e+001
9.198687e+001	-4.456780e+001
9.216927e+001	-4.759286e+001
9.218692e+001	-5.869135e+001
9.214279e+001	-7.281740e+001
9.269591e+001	-5.767721e+001
9.283713e+001	-6.272062e+001
9.345203e+001	-4.455289e+001
9.324313e+001	-6.675238e+001
9.406399e+001	-3.849284e+001
9.373151e+001	-6.674741e+001
9.420226e+001	-5.564394e+001
9.374622e+001	-8.995358e+001
9.415518e+001	-8.187764e+001
9.466710e+001	-6.875583e+001
9.487010e+001	-7.077170e+001
9.509370e+001	-7.177839e+001
9.546147e+001	-6.572082e+001
9.576744e+001	-6.269080e+001
9.553796e+001	-8.589946e+001
9.584393e+001	-8.286943e+001
9.625288e+001	-7.479350e+001
9.649708e+001	-7.479102e+001
9.651473e+001	-8.588952e+001
9.659416e+001	-9.396047e+001
9.673538e+001	-9.900390e+001
9.720612e+001	-8.790043e+001
9.757388e+001	-8.184285e+001
9.769450e+001	-8.789545e+001
9.808286e+001	-8.082871e+001
9.795635e+001	-9.899147e+001
9.813876e+001	-1.020165e+002
9.848592e+001	-9.696813e+001
9.877130e+001	-9.494729e+001
9.907728e+001	-9.191726e+001
9.932148e+001	-9.191478e+001
9.921553e+001	-1.090692e+002
9.978927e+001	-9.291899e+001
9.976573e+001	-1.060358e+002
1.000511e+002	-1.040150e+002
1.003777e+002	-9.997579e+001
1.003129e+002	-1.151119e+002
1.007219e+002	-1.070351e+002
1.011514e+002	-9.794997e+001
1.011485e+002	-1.100585e+002
1.013103e+002	-1.140928e+002
1.016575e+002	-1.090444e+002
1.018399e+002	-1.120694e+002
1.023518e+002	-9.894673e+001
1.023283e+002	-1.120645e+002
1.021400e+002	-1.332548e+002
1.029814e+002	-1.039852e+002
1.031638e+002	-1.070102e+002
1.035728e+002	-9.893431e+001
1.035698e+002	-1.110429e+002
1.034433e+002	-1.292056e+002
1.038523e+002	-1.211297e+002
1.039935e+002	-1.261731e+002
1.042995e+002	-1.231431e+002
1.045231e+002	-1.241498e+002
1.048496e+002	-1.201106e+002
1.051968e+002	-1.150622e+002
1.058117e+002	-9.689357e+001
1.058294e+002	-1.079921e+002
1.058470e+002	-1.190914e+002
1.074505e+002	-5.248217e+001
1.079830e+002	-3.835117e+001
1.081654e+002	-4.137623e+001
1.082037e+002	-5.146554e+001
1.084478e+002	-5.146306e+001
1.087538e+002	-4.843303e+001
1.092246e+002	-3.732956e+001
1.095306e+002	-3.429864e+001
1.093834e+002	-5.347148e+001
1.092569e+002	-7.163424e+001
1.098512e+002	-5.447569e+001
1.102602e+002	-4.639976e+001
1.104838e+002	-4.740645e+001
1.104602e+002	-6.052331e+001
1.103131e+002	-7.969525e+001
1.108250e+002	-6.657342e+001
1.107603e+002	-8.170865e+001
1.112310e+002	-7.060517e+001
1.113517e+002	-7.665777e+001
1.122137e+002	-4.637987e+001
1.124991e+002	-4.435902e+001
1.123108e+002	-6.554933e+001
1.125550e+002	-6.554684e+001
1.127374e+002	-6.857189e+001
