    nm         	pN
0.000000e+000	6.821135e+002
1.000657e-001	6.750535e+002
5.591303e-002	6.609266e+002
-2.944474e-002	6.447807e+002
-9.421865e-002	6.296433e+002
-1.589733e-001	6.145069e+002
-1.825229e-001	6.013897e+002
-2.060736e-001	5.882723e+002
-2.502251e-001	5.741455e+002
-2.943948e-001	5.600178e+002
-2.973424e-001	5.479101e+002
-3.414951e-001	5.337832e+002
-4.474559e-001	5.166276e+002
-5.328137e-001	5.004817e+002
-5.151752e-001	4.893826e+002
-4.975207e-001	4.782844e+002
-5.622754e-001	4.631480e+002
-5.858250e-001	4.500307e+002
-6.299777e-001	4.359039e+002
-6.329428e-001	4.237952e+002
-6.152873e-001	4.126971e+002
-7.212476e-001	3.955415e+002
-8.478110e-001	3.773764e+002
-9.331682e-001	3.612305e+002
-9.979422e-001	3.460932e+002
-1.000890e+000	3.339854e+002
-1.127453e+000	3.158203e+002
-1.151002e+000	3.027031e+002
-1.133347e+000	2.916049e+002
-1.136312e+000	2.794962e+002
-1.201066e+000	2.643598e+002
-1.265822e+000	2.492234e+002
-1.351180e+000	2.330774e+002
-1.374730e+000	2.199601e+002
-1.336488e+000	2.098706e+002
-1.360039e+000	1.967533e+002
-1.321781e+000	1.866647e+002
-1.427741e+000	1.695092e+002
-1.430688e+000	1.574015e+002
-1.289416e+000	1.523607e+002
-1.209953e+000	1.442912e+002
-1.006890e+000	1.422782e+002
-9.068245e-001	1.352182e+002
-8.067577e-001	1.281583e+002
-6.448838e-001	1.241271e+002
-4.624067e-001	1.211054e+002
-1.357102e-001	1.251506e+002
-9.745155e-002	1.150620e+002
-4.094390e-001	8.781086e+001
-2.681671e-001	8.277005e+001
-2.505116e-001	7.167188e+001
-1.504629e-001	6.461108e+001
2.380589e-001	7.168589e+001
3.793127e-001	6.664420e+001
4.175713e-001	5.655558e+001
5.382401e-001	5.050522e+001
5.971019e-001	4.142617e+001
9.237973e-001	4.547142e+001
9.208508e-001	3.336368e+001
1.350561e+000	4.245674e+001
1.120983e+000	1.924383e+001
1.159242e+000	9.155211e+000
1.485937e+000	1.320046e+001
1.359356e+000	-4.965505e+000
1.480026e+000	-1.101588e+001
1.909736e+000	-1.922820e+000
1.927392e+000	-1.302099e+001
2.130471e+000	-1.503312e+001
2.209936e+000	-2.310260e+001
2.206988e+000	-3.521034e+001
2.389465e+000	-3.823202e+001
2.695558e+000	-3.519633e+001
2.692612e+000	-4.730407e+001
2.957499e+000	-4.628751e+001
3.181182e+000	-4.729007e+001
3.198838e+000	-5.838824e+001
3.546136e+000	-5.333342e+001
4.037655e+000	-4.121169e+001
4.240735e+000	-4.322382e+001
4.443815e+000	-4.523594e+001
4.090604e+000	-7.450709e+001
5.282631e+000	-2.805939e+001
5.877163e+000	-1.088985e+001
6.162653e+000	-8.863737e+000
6.118501e+000	-2.299058e+001
6.197964e+000	-3.106007e+001
6.916112e+000	-7.833169e+000
6.810152e+000	-2.498870e+001
6.724793e+000	-4.113468e+001
7.298723e+000	-2.497471e+001
7.336981e+000	-3.506331e+001
7.375239e+000	-4.515192e+001
7.928564e+000	-3.000150e+001
7.946221e+000	-4.109967e+001
7.922671e+000	-5.421698e+001
8.249367e+000	-5.017173e+001
8.019772e+000	-7.338552e+001
8.367088e+000	-6.832983e+001
8.714388e+000	-6.327501e+001
8.567203e+000	-8.245057e+001
8.790886e+000	-8.345312e+001
8.787940e+000	-9.556086e+001
8.991019e+000	-9.757297e+001
8.967469e+000	-1.106903e+002
9.335371e+000	-1.046259e+002
1.038318e+001	-6.524513e+001
1.060686e+001	-6.624769e+001
1.083055e+001	-6.725025e+001
1.080698e+001	-8.036843e+001
1.098945e+001	-8.339012e+001
1.125434e+001	-8.237355e+001
1.151923e+001	-8.135699e+001
1.213438e+001	-6.317700e+001
1.299675e+001	-3.288316e+001
1.334405e+001	-2.782836e+001
1.369135e+001	-2.277355e+001
1.327635e+001	-5.507251e+001
1.393269e+001	-3.487428e+001
1.399155e+001	-4.395332e+001
1.431824e+001	-3.990808e+001
1.472735e+001	-3.182459e+001
1.511585e+001	-2.475067e+001
1.525713e+001	-2.979147e+001
1.527478e+001	-4.088964e+001
1.533364e+001	-4.996869e+001
1.576335e+001	-4.087563e+001
1.633728e+001	-2.471566e+001
1.590168e+001	-5.802417e+001
1.612536e+001	-5.902673e+001
1.636965e+001	-5.901973e+001
1.679935e+001	-4.992669e+001
1.747630e+001	-2.871890e+001
1.774118e+001	-2.770233e+001
1.759402e+001	-4.687700e+001
1.759107e+001	-5.898472e+001
1.818560e+001	-4.181519e+001
1.845049e+001	-4.079862e+001
1.809730e+001	-7.006890e+001
1.856821e+001	-5.895671e+001
1.914214e+001	-4.279674e+001
1.924221e+001	-4.985667e+001
1.942469e+001	-5.287835e+001
1.919509e+001	-7.609214e+001
1.948058e+001	-7.406602e+001
1.951884e+001	-8.415463e+001
1.988674e+001	-7.809026e+001
1.961596e+001	-1.033223e+002
2.031350e+001	-8.110494e+001
2.035176e+001	-9.119356e+001
2.049303e+001	-9.623437e+001
2.042828e+001	-1.113708e+002
2.071377e+001	-1.093447e+002
2.081384e+001	-1.164046e+002
2.076968e+001	-1.305314e+002
2.099337e+001	-1.315340e+002
2.101100e+001	-1.426331e+002
2.129651e+001	-1.406060e+002
2.137596e+001	-1.486764e+002
2.143482e+001	-1.577555e+002
2.151428e+001	-1.658250e+002
2.138772e+001	-1.839901e+002
2.159080e+001	-1.860022e+002
2.152604e+001	-2.011386e+002
2.172913e+001	-2.031507e+002
2.191160e+001	-2.061724e+002
2.219709e+001	-2.041463e+002
2.423383e+001	-1.163066e+002
2.645599e+001	-1.938080e+001
2.612340e+001	-4.764151e+001
2.645010e+001	-4.359627e+001
2.657077e+001	-4.964664e+001
2.702108e+001	-3.954403e+001
2.699753e+001	-5.266132e+001
2.763327e+001	-3.347265e+001
2.752731e+001	-5.062819e+001
2.795702e+001	-4.153514e+001
2.816010e+001	-4.354726e+001
2.858981e+001	-3.445420e+001
2.914313e+001	-1.930379e+001
2.860452e+001	-5.766011e+001
2.878699e+001	-6.068179e+001
2.940213e+001	-4.250270e+001
2.944038e+001	-5.259130e+001
2.974648e+001	-4.955562e+001
3.005257e+001	-4.651994e+001
3.007023e+001	-5.761811e+001
3.041753e+001	-5.256329e+001
3.072362e+001	-4.952761e+001
3.078248e+001	-5.860666e+001
3.137701e+001	-4.143712e+001
3.190974e+001	-2.729626e+001
3.155654e+001	-5.656654e+001
3.221288e+001	-3.636831e+001
3.216873e+001	-5.049517e+001
3.243362e+001	-4.947861e+001
3.243067e+001	-6.158635e+001
3.275737e+001	-5.754110e+001
3.285743e+001	-6.460103e+001
3.324594e+001	-5.752709e+001
3.363444e+001	-5.045317e+001
3.340485e+001	-7.366695e+001
3.391699e+001	-6.053478e+001
3.399645e+001	-6.860425e+001
3.411710e+001	-7.465551e+001
3.401114e+001	-9.181106e+001
3.474991e+001	-6.757369e+001
3.476755e+001	-7.867275e+001
3.554752e+001	-5.241628e+001
3.647169e+001	-1.909375e+001
