    nm         	pN
0.000000e+000	5.676929e+002
1.644405e-002	5.636565e+002
6.809861e-002	5.609656e+002
3.173051e-002	5.549110e+002
3.056857e-002	5.502018e+002
1.180210e-002	5.448198e+002
-2.456745e-002	5.387651e+002
-7.854299e-002	5.320377e+002
-7.970493e-002	5.273285e+002
-1.160745e-001	5.212738e+002
-8.202590e-002	5.179101e+002
-1.536060e-001	5.105099e+002
-2.427935e-001	5.024369e+002
-1.735315e-001	5.004188e+002
-2.275070e-001	4.936914e+002
-1.406419e-001	4.923460e+002
-2.826459e-001	4.822546e+002
-2.662005e-001	4.782182e+002
-2.497549e-001	4.741819e+002
-3.037319e-001	4.674544e+002
-1.992609e-001	4.667818e+002
-2.180252e-001	4.613999e+002
-3.424225e-001	4.519813e+002
-2.907672e-001	4.492905e+002
-2.215081e-001	4.472723e+002
-2.402709e-001	4.418905e+002
-2.590374e-001	4.365085e+002
-2.954098e-001	4.304537e+002
-2.965682e-001	4.257446e+002
-3.329406e-001	4.196899e+002
-4.221267e-001	4.116169e+002
-4.056826e-001	4.075804e+002
-4.420522e-001	4.015258e+002
-5.136344e-001	3.941255e+002
-5.147942e-001	3.894164e+002
-4.631389e-001	3.867255e+002
-4.466941e-001	3.826891e+002
-4.654606e-001	3.773071e+002
-4.842249e-001	3.719252e+002
-4.677808e-001	3.678888e+002
-4.689391e-001	3.631797e+002
-4.877049e-001	3.577977e+002
-5.416811e-001	3.510703e+002
-5.956603e-001	3.443427e+002
-6.848471e-001	3.362697e+002
-6.683994e-001	3.322334e+002
-6.343508e-001	3.288697e+002
-6.355099e-001	3.241605e+002
-7.423027e-001	3.154147e+002
-8.490903e-001	3.066691e+002
-8.150425e-001	3.033054e+002
-8.162008e-001	2.985963e+002
-7.645462e-001	2.959054e+002
-6.600766e-001	2.952328e+002
-6.612356e-001	2.905236e+002
-6.976088e-001	2.844688e+002
-8.044016e-001	2.757230e+002
-8.759809e-001	2.683229e+002
-8.243264e-001	2.656320e+002
-8.782997e-001	2.589046e+002
-8.442511e-001	2.555409e+002
-8.982303e-001	2.488133e+002
-8.817826e-001	2.447770e+002
-8.301274e-001	2.420861e+002
-8.664998e-001	2.360314e+002
-9.380798e-001	2.286312e+002
-1.009658e+000	2.212310e+002
-1.063638e+000	2.145034e+002
-1.100004e+000	2.084489e+002
-1.136377e+000	2.023941e+002
-1.084721e+000	1.997032e+002
-9.626459e-001	1.997034e+002
-9.462047e-001	1.956669e+002
-9.297563e-001	1.916306e+002
-9.309161e-001	1.869215e+002
-8.968675e-001	1.835578e+002
-7.923986e-001	1.828851e+002
-5.470884e-001	1.875946e+002
-3.545917e-001	1.902858e+002
-3.733575e-001	1.849038e+002
-3.393031e-001	1.815404e+002
-4.813093e-001	1.714489e+002
-4.472549e-001	1.680854e+002
-5.012341e-001	1.613578e+002
-5.376007e-001	1.553033e+002
-5.035529e-001	1.519396e+002
-5.399246e-001	1.458848e+002
-6.995317e-001	1.351208e+002
-6.654838e-001	1.317571e+002
-6.138285e-001	1.290662e+002
-6.325943e-001	1.236842e+002
-5.633323e-001	1.216662e+002
-7.053334e-001	1.115749e+002
-6.888850e-001	1.075386e+002
-6.548371e-001	1.041749e+002
-7.440239e-001	9.610193e+001
-7.980023e-001	8.937434e+001
-7.463478e-001	8.668346e+001
-6.418724e-001	8.601102e+001
-4.493757e-001	8.870226e+001
-5.385618e-001	8.062926e+001
-4.516996e-001	7.928379e+001
-5.232797e-001	7.188361e+001
-6.124657e-001	6.381061e+001
-5.256036e-001	6.246514e+001
-5.971836e-001	5.506496e+001
-6.159486e-001	4.968302e+001
-6.699227e-001	4.295566e+001
-6.710817e-001	3.824653e+001
-6.018256e-001	3.622824e+001
-6.910116e-001	2.815525e+001
-7.977993e-001	1.940964e+001
-6.757237e-001	1.940982e+001
-5.536481e-001	1.940999e+001
-6.604401e-001	1.066417e+001
-7.320202e-001	3.263989e+000
-6.803657e-001	5.731051e-001
-5.582900e-001	5.732694e-001
-5.770551e-001	-4.808663e+000
-4.725855e-001	-5.481309e+000
-3.857175e-001	-6.826551e+000
-3.340629e-001	-9.517435e+000
-3.880413e-001	-1.624502e+001
-5.300425e-001	-2.633626e+001
-3.551533e-001	-2.431786e+001
-7.462814e-002	-1.826274e+001
-1.110006e-001	-2.431751e+001
-3.762363e-001	-3.911804e+001
-5.358434e-001	-4.988210e+001
-5.194023e-001	-5.391863e+001
-4.501403e-001	-5.593669e+001
-3.280647e-001	-5.593652e+001
-1.179606e-001	-5.257247e+001
2.171516e-002	-5.189970e+001
2.955950e-003	-5.728142e+001
-1.581052e-002	-6.266336e+001
-6.978897e-002	-6.939094e+001
-5.334201e-002	-7.342726e+001
1.215486e-001	-7.140884e+001
3.492514e-001	-6.737220e+001
