    nm         	pN
0.000000e+000	6.013144e+002
-1.160486e-003	5.966052e+002
3.288809e-002	5.932415e+002
-2.108744e-002	5.865141e+002
3.057003e-002	5.838233e+002
8.223912e-002	5.811329e+002
1.162862e-001	5.777692e+002
1.679553e-001	5.750788e+002
9.635928e-002	5.676780e+002
4.238230e-002	5.609505e+002
-6.443299e-002	5.522038e+002
-1.360189e-001	5.448034e+002
-1.547868e-001	5.394214e+002
-1.735547e-001	5.340394e+002
-1.747254e-001	5.293298e+002
-1.230577e-001	5.266394e+002
-1.066079e-001	5.226032e+002
-3.734152e-002	5.205853e+002
-1.793630e-001	5.104933e+002
-1.981323e-001	5.051112e+002
-2.345106e-001	4.990562e+002
-2.356682e-001	4.943471e+002
-1.311840e-001	4.936750e+002
-1.323431e-001	4.889659e+002
-1.335021e-001	4.842568e+002
-1.522715e-001	4.788747e+002
-1.534305e-001	4.741656e+002
-1.193819e-001	4.708019e+002
-1.733582e-001	4.640744e+002
-1.921269e-001	4.586924e+002
-3.517586e-001	4.479274e+002
-4.057465e-001	4.411994e+002
-3.892967e-001	4.371632e+002
-3.376392e-001	4.344724e+002
-3.916155e-001	4.277450e+002
-3.575669e-001	4.243813e+002
-3.939444e-001	4.183263e+002
-4.303118e-001	4.122717e+002
-4.138728e-001	4.082351e+002
-5.911142e-001	3.967972e+002
-6.626987e-001	3.893968e+002
-6.814680e-001	3.840147e+002
-6.298106e-001	3.813239e+002
-4.548880e-001	3.833436e+002
-4.384374e-001	3.793074e+002
-4.748156e-001	3.732524e+002
-4.935836e-001	3.678704e+002
-4.947441e-001	3.631612e+002
-5.135120e-001	3.577792e+002
-6.203273e-001	3.490325e+002
-4.982328e-001	3.490334e+002
-5.345994e-001	3.429788e+002
-6.061962e-001	3.355780e+002
-5.897456e-001	3.315418e+002
-5.733074e-001	3.275052e+002
-5.040294e-001	3.254877e+002
-5.932358e-001	3.174140e+002
-6.648202e-001	3.100136e+002
-7.188081e-001	3.032857e+002
-5.967136e-001	3.032866e+002
-6.330912e-001	2.972316e+002
-7.398948e-001	2.884854e+002
-7.058477e-001	2.851216e+002
-5.837525e-001	2.851225e+002
-5.673026e-001	2.810863e+002
-6.388878e-001	2.736859e+002
-6.400585e-001	2.689764e+002
-6.412175e-001	2.642672e+002
-6.775958e-001	2.582123e+002
-7.139624e-001	2.521577e+002
-8.207777e-001	2.434110e+002
-8.747532e-001	2.366836e+002
-9.287411e-001	2.299557e+002
-9.122905e-001	2.259195e+002
-9.310592e-001	2.205374e+002
-1.020266e+000	2.124636e+002
-1.003816e+000	2.084275e+002
-9.345493e-001	2.064096e+002
-1.041353e+000	1.976633e+002
-1.007305e+000	1.942996e+002
-1.008464e+000	1.895905e+002
-1.080049e+000	1.821901e+002
