    nm         	pN
0.000000e+000	6.661098e+002
-1.875340e-002	6.607283e+002
-5.512586e-002	6.546735e+002
-1.267074e-001	6.472733e+002
-1.454608e-001	6.418918e+002
-1.642374e-001	6.365095e+002
-2.710324e-001	6.277636e+002
-2.545752e-001	6.237276e+002
-2.205223e-001	6.203641e+002
-2.745109e-001	6.136361e+002
-1.876502e-001	6.122906e+002
-6.557895e-002	6.122906e+002
-8.433235e-002	6.069091e+002
-8.549138e-002	6.022000e+002
-3.384553e-002	5.995088e+002
1.780322e-002	5.968177e+002
-1.856778e-002	5.907629e+002
-3.732118e-002	5.853815e+002
-1.089042e-001	5.779812e+002
-5.725831e-002	5.752899e+002
-1.816462e-001	5.658717e+002
-1.828052e-001	5.611626e+002
-2.367706e-001	5.544356e+002
-2.379296e-001	5.497264e+002
-3.447246e-001	5.409805e+002
-3.810970e-001	5.349258e+002
-4.174666e-001	5.288711e+002
-4.010094e-001	5.248352e+002
-4.021917e-001	5.201252e+002
-4.033507e-001	5.154160e+002
-4.045098e-001	5.107069e+002
-4.056674e-001	5.059979e+002
-3.011919e-001	5.053254e+002
-2.319256e-001	5.033076e+002
-9.225997e-002	5.039799e+002
-1.638444e-001	4.965796e+002
-1.121956e-001	4.938884e+002
-1.837568e-001	4.864890e+002
-6.168559e-002	4.864890e+002
-1.860734e-001	4.770708e+002
-2.576579e-001	4.696704e+002
-2.764330e-001	4.642881e+002
-1.367442e-001	4.649613e+002
-1.907335e-001	4.582334e+002
-1.390630e-001	4.555431e+002
-1.578396e-001	4.501607e+002
-1.942099e-001	4.441060e+002
-1.777746e-001	4.400693e+002
-1.965287e-001	4.346878e+002
-2.152821e-001	4.293063e+002
-5.802214e-002	4.306510e+002
8.166671e-002	4.313242e+002
4.529643e-002	4.252695e+002
-2.628655e-002	4.178692e+002
1.485910e-001	4.198872e+002
9.462566e-002	4.131601e+002
7.587227e-002	4.077786e+002
-1.189410e-001	3.956692e+002
-1.729296e-001	3.889413e+002
-1.916837e-001	3.835598e+002
-1.400364e-001	3.808686e+002
5.245949e-002	3.835598e+002
8.651242e-002	3.801963e+002
1.557541e-001	3.781774e+002
1.545951e-001	3.734683e+002
3.020575e-002	3.640501e+002
-9.418356e-002	3.546318e+002
-4.253699e-002	3.519406e+002
1.147462e-001	3.532862e+002
9.599355e-002	3.479048e+002
-2.839648e-002	3.384865e+002
-2.957803e-002	3.337765e+002
5.730448e-002	3.324318e+002
2.093275e-002	3.263771e+002
9.017515e-002	3.243583e+002
3.620905e-002	3.176312e+002
1.934923e-001	3.189768e+002
2.627579e-001	3.169588e+002
1.511507e-002	3.028306e+002
-1.444869e-001	2.920667e+002
-4.000934e-002	2.913944e+002
1.524858e-001	2.940856e+002
3.273634e-001	2.961035e+002
3.966283e-001	2.940856e+002
5.715059e-001	2.961035e+002
6.407708e-001	2.940856e+002
9.036674e-001	2.994671e+002
1.096163e+000	3.021583e+002
1.077386e+000	2.967759e+002
1.129057e+000	2.940856e+002
1.233510e+000	2.934124e+002
1.355582e+000	2.934124e+002
1.283998e+000	2.860121e+002
1.494111e+000	2.893765e+002
1.950662e+000	3.021583e+002
2.143158e+000	3.048495e+002
1.877920e+000	2.900489e+002
1.947186e+000	2.880310e+002
2.069257e+000	2.880310e+002
2.120904e+000	2.853398e+002
2.207764e+000	2.839942e+002
2.505895e+000	2.907221e+002
2.768791e+000	2.961036e+002
2.802844e+000	2.927401e+002
2.819279e+000	2.887033e+002
2.994180e+000	2.907222e+002
3.045828e+000	2.880310e+002
2.956650e+000	2.799583e+002
2.902662e+000	2.732304e+002
2.936715e+000	2.698669e+002
3.005979e+000	2.678489e+002
3.163263e+000	2.691945e+002
3.250122e+000	2.678489e+002
3.196134e+000	2.611210e+002
3.106956e+000	2.530483e+002
