    nm         	pN
0.000000e+000	4.178701e+002
2.099566e-001	4.212286e+002
2.615749e-001	4.185363e+002
1.196711e-001	4.084487e+002
4.814115e-002	4.010504e+002
9.976012e-002	3.983582e+002
8.100672e-002	3.929767e+002
7.984841e-002	3.882676e+002
1.842439e-001	3.875922e+002
3.062353e-001	3.875891e+002
4.282259e-001	3.875860e+002
4.798442e-001	3.848937e+002
2.851631e-001	3.727894e+002
1.256679e-001	3.620296e+002
7.172937e-002	3.553035e+002
8.816252e-002	3.512667e+002
1.749680e-001	3.499190e+002
3.306572e-002	3.398316e+002
-1.440217e-001	3.283995e+002
-4.438899e-003	3.290687e+002
-4.078303e-002	3.230150e+002
-9.472152e-002	3.162890e+002
-1.134742e-001	3.109075e+002
-1.498212e-001	3.048537e+002
-2.783061e-002	3.048506e+002
6.196905e-003	3.014861e+002
-4.774159e-002	2.947601e+002
-6.649426e-002	2.893787e+002
5.549563e-002	2.893756e+002
1.247097e-001	2.873557e+002
3.558538e-002	2.792850e+002
1.047958e-001	2.772650e+002
3.323432e-001	2.812957e+002
4.895196e-001	2.826372e+002
4.707669e-001	2.772557e+002
5.047945e-001	2.738912e+002
4.860425e-001	2.685098e+002
4.672891e-001	2.631284e+002
5.716854e-001	2.624529e+002
3.066327e-001	2.476594e+002
2.702885e-001	2.416057e+002
2.339415e-001	2.355519e+002
2.327836e-001	2.308428e+002
3.547742e-001	2.308397e+002
5.119503e-001	2.321812e+002
5.635689e-001	2.294889e+002
4.392591e-001	2.200737e+002
5.260639e-001	2.187261e+002
4.897198e-001	2.126724e+002
5.061533e-001	2.086355e+002
5.577719e-001	2.059433e+002
4.158678e-001	1.958557e+002
2.915609e-001	1.864406e+002
2.200316e-001	1.790424e+002
2.012782e-001	1.736609e+002
4.178301e-002	1.629011e+002
2.165502e-001	1.649148e+002
1.977982e-001	1.595334e+002
2.494165e-001	1.568411e+002
4.417788e-001	1.595272e+002
4.054317e-001	1.534734e+002
2.987138e-001	1.447305e+002
4.910753e-001	1.474166e+002
6.482540e-001	1.487582e+002
6.470963e-001	1.440491e+002
6.987146e-001	1.413568e+002
8.207052e-001	1.413537e+002
8.723242e-001	1.386615e+002
8.183835e-001	1.319353e+002
8.700017e-001	1.292430e+002
8.864385e-001	1.252063e+002
9.028681e-001	1.211693e+002
9.544878e-001	1.184771e+002
9.533287e-001	1.137680e+002
9.521711e-001	1.090589e+002
1.144533e+000	1.117450e+002
1.160963e+000	1.077080e+002
1.036656e+000	9.829292e+001
1.193829e+000	9.963431e+001
1.438975e+000	1.043374e+002
1.613742e+000	1.063512e+002
1.542213e+000	9.895292e+001
1.417899e+000	8.953760e+001
1.469519e+000	8.684533e+001
1.556326e+000	8.549777e+001
1.555162e+000	8.078845e+001
1.641969e+000	7.944088e+001
1.939885e+000	8.616062e+001
1.815579e+000	7.674553e+001
1.673677e+000	6.665807e+001
1.637331e+000	6.060429e+001
1.847287e+000	6.396273e+001
1.846128e+000	5.925364e+001
1.968119e+000	5.925055e+001
2.248441e+000	6.529794e+001
2.159317e+000	5.722732e+001
2.017416e+000	4.713988e+001
2.139406e+000	4.713679e+001
2.138248e+000	4.242770e+001
1.908381e+000	2.897872e+001
1.960000e+000	2.628646e+001
2.152361e+000	2.897254e+001
2.379907e+000	3.300311e+001
2.273194e+000	2.426036e+001
2.078510e+000	1.215587e+001
2.218094e+000	1.282513e+001
2.428051e+000	1.618357e+001
2.444481e+000	1.214660e+001
2.636843e+000	1.483270e+001
2.741245e+000	1.415748e+001
2.828046e+000	1.280970e+001
2.791699e+000	6.755896e+000
2.667393e+000	-2.659185e+000
2.877349e+000	6.992437e-001
3.016927e+000	1.368277e+000
3.191701e+000	3.382244e+000
3.454434e+000	8.757504e+000
3.400493e+000	2.031367e+000
3.522483e+000	2.028277e+000
3.662068e+000	2.697536e+000
3.537756e+000	-6.717771e+000
3.413449e+000	-1.613286e+001
3.447473e+000	-1.949748e+001
3.745396e+000	-1.277751e+001
3.902569e+000	-1.143613e+001
4.042154e+000	-1.076686e+001
3.988212e+000	-1.749301e+001
3.705568e+000	-3.295881e+001
3.493295e+000	-4.573543e+001
3.527320e+000	-4.910005e+001
3.649310e+000	-4.910313e+001
4.052787e+000	-3.834951e+001
4.403486e+000	-2.961272e+001
4.226396e+000	-4.104487e+001
4.154867e+000	-4.844314e+001
4.188891e+000	-5.180775e+001
4.328475e+000	-5.113849e+001
4.274540e+000	-5.786441e+001
4.079856e+000	-6.996891e+001
4.360184e+000	-6.392128e+001
4.411802e+000	-6.661355e+001
4.516199e+000	-6.728899e+001
4.655783e+000	-6.661973e+001
4.812956e+000	-6.527835e+001
4.934948e+000	-6.528143e+001
5.127309e+000	-6.259535e+001
5.143745e+000	-6.663209e+001
5.072215e+000	-7.403036e+001
5.176612e+000	-7.470578e+001
5.034710e+000	-8.479323e+001
5.086330e+000	-8.748550e+001
5.296280e+000	-8.412728e+001
5.611796e+000	-7.673498e+001
5.751376e+000	-7.606593e+001
5.750217e+000	-8.077503e+001
5.872207e+000	-8.077811e+001
