    nm         	pN
0.000000e+000	5.296322e+002
8.680843e-002	5.282846e+002
-3.750825e-002	5.188692e+002
-2.322038e-001	5.067642e+002
-9.261376e-002	5.074337e+002
9.976520e-002	5.101204e+002
1.337993e-001	5.067562e+002
9.475317e-003	4.973404e+002
4.350356e-002	4.939760e+002
-2.803293e-002	4.865774e+002
-3.282976e-001	4.704383e+002
-2.766750e-001	4.677462e+002
-1.722635e-001	4.670713e+002
-1.206394e-001	4.643793e+002
-2.273676e-001	4.556359e+002
-2.813141e-001	4.489096e+002
-3.704449e-001	4.408387e+002
-2.308490e-001	4.415084e+002
-5.606586e-002	4.435227e+002
-1.451974e-001	4.354518e+002
-4.806480e-001	4.179681e+002
-5.521844e-001	4.105696e+002
-5.181562e-001	4.072051e+002
-4.489371e-001	4.051854e+002
-3.093412e-001	4.058551e+002
-2.401271e-001	4.038352e+002
-2.764712e-001	3.977815e+002
-4.183910e-001	3.876933e+002
-2.436020e-001	3.897079e+002
-6.881959e-002	3.917222e+002
-1.755470e-001	3.829789e+002
-2.294869e-001	3.762528e+002
-2.306511e-001	3.715435e+002
-1.614319e-001	3.695238e+002
-1.801860e-001	3.641423e+002
-2.869091e-001	3.553992e+002
-2.528808e-001	3.520347e+002
-3.244173e-001	3.446362e+002
-2.376074e-001	3.432887e+002
-2.035799e-001	3.399242e+002
-3.278980e-001	3.305086e+002
-2.938698e-001	3.271442e+002
-2.774323e-001	3.231075e+002
-2.434055e-001	3.197430e+002
-8.621817e-002	3.210849e+002
-1.699902e-002	3.190652e+002
-5.334896e-002	3.130113e+002
-5.450727e-002	3.083022e+002
-2.492029e-001	2.961973e+002
-3.383344e-001	2.881264e+002
-2.163336e-001	2.881237e+002
-1.999020e-001	2.840868e+002
-2.362461e-001	2.780331e+002
-3.429742e-001	2.692897e+002
-4.497016e-001	2.605464e+002
-3.277001e-001	2.605438e+002
-2.936733e-001	2.571792e+002
-3.652091e-001	2.497807e+002
-2.959892e-001	2.477611e+002
-2.795524e-001	2.437243e+002
-1.575516e-001	2.437217e+002
-3.642780e-004	2.450636e+002
-5.430422e-002	2.383375e+002
-2.138140e-001	2.275772e+002
-3.205414e-001	2.188338e+002
-2.513222e-001	2.168141e+002
-1.821089e-001	2.147942e+002
-1.656714e-001	2.107576e+002
-3.075846e-001	2.006696e+002
-1.679938e-001	2.013391e+002
2.438443e-002	2.040259e+002
7.600849e-002	2.013338e+002
9.244527e-002	1.972971e+002
2.144468e-001	1.972944e+002
3.364476e-001	1.972917e+002
2.297202e-001	1.885484e+002
2.109661e-001	1.831669e+002
8.664865e-002	1.737514e+002
-2.007947e-002	1.650080e+002
-9.161596e-002	1.576095e+002
-4.806082e-003	1.562620e+002
8.200816e-002	1.549148e+002
4.565894e-002	1.488609e+002
1.148774e-001	1.468412e+002
1.137198e-001	1.421321e+002
2.181248e-001	1.414570e+002
4.280988e-001	1.448161e+002
5.325045e-001	1.441410e+002
5.665313e-001	1.407765e+002
4.598104e-001	1.320334e+002
3.178907e-001	1.219453e+002
3.871098e-001	1.199256e+002
2.276001e-001	1.091653e+002
-1.988224e-002	9.504313e+001
6.693200e-002	9.369584e+001
-4.603761e-003	8.629733e+001
2.942376e-002	8.293283e+001
9.864363e-002	8.091315e+001
1.678628e-001	7.889347e+001
2.018903e-001	7.552896e+001
2.886995e-001	7.418146e+001
3.403228e-001	7.148936e+001
4.447336e-001	7.081450e+001
4.611653e-001	6.677758e+001
6.007626e-001	6.744732e+001
5.292261e-001	6.004881e+001
