    nm         	pN
0.000000e+000	3.306742e+002
-3.635139e-002	3.246203e+002
1.529155e-002	3.219289e+002
1.900718e-001	3.239432e+002
2.592982e-001	3.219237e+002
4.164950e-001	3.232660e+002
5.033063e-001	3.219186e+002
3.437929e-001	3.111581e+002
1.138948e-001	2.977080e+002
2.007061e-001	2.963605e+002
1.643555e-001	2.903066e+002
4.842814e-003	2.795462e+002
7.406922e-002	2.775268e+002
2.488495e-001	2.795410e+002
3.708532e-001	2.795384e+002
4.048880e-001	2.761742e+002
3.685366e-001	2.701202e+002
2.442163e-001	2.607046e+002
2.958352e-001	2.580123e+002
3.826466e-001	2.566649e+002
2.935179e-001	2.485941e+002
3.451369e-001	2.459019e+002
3.087862e-001	2.398479e+002
2.196579e-001	2.317771e+002
2.009154e-001	2.263961e+002
3.405036e-001	2.270655e+002
3.569531e-001	2.230292e+002
2.678019e-001	2.149576e+002
5.129676e-001	2.196615e+002
5.646095e-001	2.169701e+002
5.634515e-001	2.122611e+002
6.326543e-001	2.102407e+002
7.018815e-001	2.082214e+002
6.655308e-001	2.021674e+002
6.291798e-001	1.961135e+002
5.576360e-001	1.887147e+002
4.685081e-001	1.806439e+002
5.025421e-001	1.772796e+002
7.301004e-001	1.813107e+002
7.465499e-001	1.772745e+002
7.629761e-001	1.732374e+002
9.377803e-001	1.752525e+002
1.077369e+000	1.759219e+002
1.128988e+000	1.732297e+002
9.342814e-001	1.611243e+002
9.155390e-001	1.557433e+002
9.671576e-001	1.530510e+002
1.053969e+000	1.517036e+002
1.017618e+000	1.456496e+002
1.122037e+000	1.449751e+002
1.279233e+000	1.463173e+002
1.225274e+000	1.395905e+002
1.118562e+000	1.308478e+002
1.222958e+000	1.301723e+002
1.309769e+000	1.288249e+002
1.308611e+000	1.241158e+002
1.465807e+000	1.254581e+002
1.535034e+000	1.234387e+002
1.410713e+000	1.140231e+002
1.339170e+000	1.066243e+002
1.513951e+000	1.086385e+002
1.671147e+000	1.099808e+002
1.775566e+000	1.093062e+002
1.616053e+000	9.854575e+001
1.650087e+000	9.518151e+001
1.965615e+000	1.025742e+002
2.052426e+000	1.012268e+002
2.227230e+000	1.032420e+002
2.261264e+000	9.987770e+001
2.365660e+000	9.920226e+001
2.663626e+000	1.059239e+002
2.592083e+000	9.852513e+001
2.309408e+000	8.305814e+001
2.308250e+000	7.834905e+001
2.518223e+000	8.170815e+001
2.640226e+000	8.170556e+001
2.815008e+000	8.371982e+001
3.148144e+000	9.178543e+001
3.305340e+000	9.312769e+001
3.339374e+000	8.976344e+001
3.496570e+000	9.110572e+001
3.407442e+000	8.303495e+001
3.230321e+000	7.160161e+001
3.211578e+000	6.622054e+001
3.315974e+000	6.554510e+001
3.543555e+000	6.957705e+001
3.753529e+000	7.293615e+001
3.805148e+000	7.024388e+001
3.821597e+000	6.620765e+001
3.890800e+000	6.418735e+001
3.889642e+000	5.947826e+001
3.800514e+000	5.140749e+001
3.904933e+000	5.073293e+001
4.026937e+000	5.073035e+001
3.955393e+000	4.333156e+001
3.813465e+000	3.324308e+001
3.741944e+000	2.584517e+001
3.635209e+000	1.710154e+001
3.985952e+000	2.584002e+001
4.319088e+000	3.390563e+001
4.300321e+000	2.852367e+001
4.369548e+000	2.650427e+001
4.368390e+000	2.179517e+001
4.349624e+000	1.641320e+001
4.295688e+000	9.687283e+000
4.435300e+000	1.035757e+001
4.504503e+000	8.337278e+000
4.591314e+000	6.989850e+000
4.695733e+000	6.315294e+000
4.835322e+000	6.984697e+000
4.992518e+000	8.326962e+000
4.604289e+000	-1.117366e+001
4.409583e+000	-2.327897e+001
