    nm         	pN
0.000000e+000	4.643351e+002
1.056240e-001	4.636622e+002
1.288254e-001	4.596173e+002
1.025787e-001	4.535494e+002
1.422619e-001	4.501788e+002
1.984385e-001	4.474830e+002
1.886749e-001	4.420894e+002
2.448399e-001	4.393931e+002
2.515697e-001	4.346744e+002
2.582879e-001	4.299551e+002
1.331340e-001	4.198408e+002
1.563354e-001	4.157959e+002
2.289945e-001	4.137743e+002
3.346192e-001	4.131015e+002
3.083725e-001	4.070336e+002
3.150907e-001	4.023143e+002
3.712673e-001	3.996185e+002
3.450205e-001	3.935506e+002
3.022805e-001	3.868079e+002
3.254920e-001	3.827635e+002
3.157271e-001	3.773699e+002
3.389285e-001	3.733250e+002
4.115875e-001	3.713034e+002
4.677539e-001	3.686072e+002
4.909655e-001	3.645627e+002
4.647174e-001	3.584947e+002
4.714363e-001	3.537755e+002
5.440852e-001	3.517536e+002
5.178378e-001	3.456856e+002
4.091779e-001	3.362461e+002
4.323787e-001	3.322012e+002
3.566838e-001	3.241103e+002
1.985649e-001	3.126473e+002
1.228591e-001	3.045560e+002
1.955189e-001	3.025345e+002
4.165325e-001	3.065824e+002
4.891814e-001	3.045604e+002
4.794172e-001	2.991669e+002
5.520769e-001	2.971454e+002
4.928638e-001	2.897288e+002
3.841931e-001	2.802888e+002
3.579464e-001	2.742209e+002
3.481814e-001	2.688273e+002
4.538068e-001	2.681545e+002
4.935009e-001	2.647843e+002
5.167016e-001	2.607394e+002
5.234199e-001	2.560201e+002
5.466206e-001	2.519752e+002
5.368563e-001	2.465816e+002
5.765504e-001	2.432115e+002
6.986576e-001	2.432129e+002
6.724108e-001	2.371450e+002
6.131984e-001	2.297285e+002
7.188123e-001	2.290552e+002
7.585070e-001	2.256850e+002
7.817078e-001	2.216401e+002
8.378844e-001	2.189443e+002
7.951544e-001	2.122020e+002
8.018727e-001	2.074828e+002
7.261669e-001	1.993914e+002
5.680487e-001	1.879285e+002
5.582947e-001	1.825353e+002
6.968850e-001	1.832111e+002
6.376625e-001	1.757941e+002
7.268040e-001	1.744470e+002
8.983587e-001	1.764714e+002
1.003985e+000	1.757986e+002
9.777373e-001	1.697307e+002
1.000949e+000	1.656862e+002
1.073598e+000	1.636642e+002
1.047350e+000	1.575963e+002
1.070562e+000	1.535518e+002
1.126728e+000	1.508556e+002
