    nm         	pN
0.000000e+000	6.023325e+002
2.319530e-002	5.982874e+002
2.991014e-002	5.935680e+002
1.025482e-001	5.915456e+002
1.039928e-002	5.827815e+002
-1.584136e-002	5.767139e+002
-7.504697e-002	5.692976e+002
-1.507195e-001	5.612076e+002
-1.440033e-001	5.564883e+002
-2.361522e-001	5.477243e+002
-2.788800e-001	5.409821e+002
-2.556766e-001	5.369373e+002
-2.489604e-001	5.322179e+002
-2.916760e-001	5.254763e+002
-1.696048e-001	5.254763e+002
-1.134554e-001	5.227793e+002
-9.025058e-002	5.187346e+002
-6.705800e-002	5.146893e+002
-7.681954e-002	5.092958e+002
-1.030575e-001	5.032283e+002
-4.689718e-002	5.005318e+002
9.165180e-002	5.012059e+002
4.893343e-002	4.944641e+002
-1.027219e-002	4.870478e+002
9.532131e-002	4.863737e+002
2.833144e-001	4.890707e+002
2.900306e-001	4.843513e+002
2.637913e-001	4.782837e+002
2.705075e-001	4.735644e+002
2.442696e-001	4.674969e+002
2.345074e-001	4.621034e+002
2.412236e-001	4.573840e+002
1.820288e-001	4.499682e+002
1.722673e-001	4.445747e+002
3.108162e-001	4.452489e+002
3.999320e-001	4.439006e+002
4.066482e-001	4.391813e+002
4.463192e-001	4.358102e+002
3.706474e-001	4.277202e+002
3.444081e-001	4.216526e+002
3.511243e-001	4.169333e+002
2.754518e-001	4.088433e+002
2.492125e-001	4.027757e+002
2.724058e-001	3.987305e+002
2.791227e-001	3.940112e+002
3.682384e-001	3.926629e+002
4.903097e-001	3.926629e+002
7.112582e-001	3.967081e+002
6.520635e-001	3.892923e+002
5.434246e-001	3.798536e+002
5.830963e-001	3.764825e+002
5.568570e-001	3.704149e+002
6.624505e-001	3.697408e+002
6.856438e-001	3.656956e+002
7.253270e-001	3.623250e+002
8.144421e-001	3.609767e+002
7.552365e-001	3.535604e+002
7.125202e-001	3.468187e+002
7.686804e-001	3.441222e+002
8.248299e-001	3.414252e+002
8.150676e-001	3.360318e+002
8.217838e-001	3.313124e+002
8.614671e-001	3.279418e+002
9.835383e-001	3.279418e+002
1.056176e+000	3.259194e+002
1.145292e+000	3.245712e+002
1.217929e+000	3.225488e+002
1.142247e+000	3.144584e+002
1.050085e+000	3.056938e+002
9.908800e-001	2.982775e+002
1.112951e+000	2.982775e+002
1.086723e+000	2.922104e+002
1.076950e+000	2.868165e+002
1.034244e+000	2.800752e+002
1.073927e+000	2.767046e+002
1.146543e+000	2.746813e+002
1.169747e+000	2.706365e+002
1.061108e+000	2.611978e+002
1.001925e+000	2.537825e+002
9.427196e-001	2.463662e+002
8.835139e-001	2.389499e+002
9.561519e-001	2.369275e+002
1.127656e+000	2.389499e+002
1.233249e+000	2.382757e+002
1.124633e+000	2.288380e+002
1.131338e+000	2.241182e+002
1.171020e+000	2.207475e+002
1.029427e+000	2.099606e+002
1.069109e+000	2.065900e+002
1.092293e+000	2.025444e+002
1.230841e+000	2.032185e+002
1.369389e+000	2.038926e+002
1.326683e+000	1.971513e+002
1.316911e+000	1.917574e+002
1.274205e+000	1.850161e+002
1.215000e+000	1.775999e+002
1.304115e+000	1.762516e+002
1.459142e+000	1.775999e+002
1.449391e+000	1.722068e+002
1.538507e+000	1.708586e+002
1.594645e+000	1.681612e+002
1.518983e+000	1.600716e+002
1.525689e+000	1.553519e+002
1.697193e+000	1.573742e+002
1.934630e+000	1.620940e+002
1.957813e+000	1.580484e+002
1.948063e+000	1.526553e+002
1.987745e+000	1.492847e+002
2.043884e+000	1.465873e+002
2.034133e+000	1.411943e+002
2.073816e+000	1.378236e+002
2.096999e+000	1.337780e+002
2.120204e+000	1.297332e+002
2.192842e+000	1.277109e+002
2.265480e+000	1.256885e+002
2.140363e+000	1.155757e+002
2.031724e+000	1.061370e+002
