    nm         	pN
0.000000e+000	6.395494e+002
1.053493e-001	6.388653e+002
7.916019e-002	6.327998e+002
2.011469e-002	6.253900e+002
4.324350e-002	6.213421e+002
1.707613e-002	6.152775e+002
2.376520e-002	6.105570e+002
7.979387e-002	6.078552e+002
8.650600e-002	6.031357e+002
7.675667e-002	5.977427e+002
3.414955e-002	5.910055e+002
-8.479269e-003	5.842674e+002
-1.820689e-002	5.788753e+002
2.136168e-002	5.755000e+002
7.739170e-002	5.727981e+002
1.991794e-001	5.727865e+002
1.565505e-001	5.660484e+002
1.139434e-001	5.593112e+002
1.041941e-001	5.539182e+002
7.802672e-002	5.478536e+002
1.895815e-002	5.404429e+002
5.854842e-002	5.370685e+002
1.145784e-001	5.343667e+002
1.541470e-001	5.309914e+002
1.608578e-001	5.262718e+002
1.511302e-001	5.208797e+002
2.235796e-001	5.188496e+002
2.302890e-001	5.141300e+002
2.534409e-001	5.100831e+002
1.943723e-001	5.026724e+002
5.310771e-002	4.918990e+002
4.337873e-002	4.865068e+002
1.158268e-001	4.844767e+002
1.882966e-001	4.824474e+002
1.621292e-001	4.763828e+002
2.016964e-001	4.730074e+002
3.070457e-001	4.723233e+002
3.959538e-001	4.709665e+002
3.204686e-001	4.628842e+002
2.942788e-001	4.568187e+002
1.694526e-001	4.467177e+002
1.761654e-001	4.419983e+002
3.472710e-001	4.440043e+002
3.704222e-001	4.399574e+002
2.949145e-001	4.318741e+002
4.167022e-001	4.318625e+002
5.220508e-001	4.311784e+002
4.465431e-001	4.230952e+002
4.203751e-001	4.170305e+002
3.613065e-001	4.096198e+002
3.022386e-001	4.022092e+002
3.418296e-001	3.988348e+002
3.156622e-001	3.927701e+002
3.552301e-001	3.893948e+002
3.783813e-001	3.853478e+002
4.837299e-001	3.846637e+002
5.233195e-001	3.812893e+002
4.806913e-001	3.745512e+002
4.874028e-001	3.698316e+002
5.927507e-001	3.691475e+002
5.665623e-001	3.630820e+002
4.252963e-001	3.523085e+002
3.662501e-001	3.448987e+002
3.236213e-001	3.381606e+002
2.974322e-001	3.320950e+002
3.041437e-001	3.273755e+002
3.437340e-001	3.240011e+002
4.655216e-001	3.239895e+002
5.050902e-001	3.206142e+002
4.624831e-001	3.138770e+002
4.198549e-001	3.071389e+002
4.430061e-001	3.030919e+002
