    nm         	pN
0.000000e+000	5.461077e+002
1.054348e-001	5.454271e+002
9.567728e-002	5.400338e+002
8.594152e-002	5.346414e+002
1.090907e-001	5.305943e+002
1.322602e-001	5.265481e+002
1.718830e-001	5.231751e+002
1.456723e-001	5.171086e+002
1.194832e-001	5.110431e+002
1.591060e-001	5.076700e+002
1.328952e-001	5.016036e+002
7.377782e-002	4.941909e+002
6.404342e-002	4.887986e+002
8.721158e-002	4.847523e+002
1.597207e-001	4.827246e+002
1.170783e-001	4.759860e+002
7.441420e-002	4.692464e+002
1.469437e-001	4.672196e+002
1.701139e-001	4.631734e+002
1.109965e-001	4.557607e+002
1.835259e-001	4.537339e+002
2.725087e-001	4.523802e+002
2.956565e-001	4.483331e+002
2.201088e-001	4.402483e+002
2.268040e-001	4.355281e+002
2.664269e-001	4.321550e+002
2.237634e-001	4.254155e+002
2.469323e-001	4.213692e+002
2.865565e-001	4.179962e+002
2.603450e-001	4.119297e+002
2.506093e-001	4.065373e+002
2.243991e-001	4.004709e+002
1.817567e-001	3.937323e+002
1.555453e-001	3.876658e+002
1.293555e-001	3.816003e+002
1.195981e-001	3.762070e+002
1.263156e-001	3.714877e+002
2.152977e-001	3.701340e+002
3.042805e-001	3.687803e+002
3.603350e-001	3.660794e+002
3.505985e-001	3.606870e+002
3.408417e-001	3.552937e+002
4.298245e-001	3.539400e+002
4.365407e-001	3.492207e+002
3.609707e-001	3.411349e+002
4.170468e-001	3.384349e+002
5.224829e-001	3.377544e+002
5.291998e-001	3.330351e+002
4.865357e-001	3.262955e+002
3.780590e-001	3.168635e+002
4.012292e-001	3.128173e+002
4.737587e-001	3.107905e+002
4.146413e-001	3.033778e+002
3.555245e-001	2.959651e+002
3.293354e-001	2.898996e+002
3.360313e-001	2.851794e+002
3.098415e-001	2.791139e+002
3.494644e-001	2.757408e+002
3.232543e-001	2.696744e+002
3.135172e-001	2.642819e+002
3.366663e-001	2.602349e+002
4.091958e-001	2.582081e+002
4.159127e-001	2.534888e+002
4.884422e-001	2.514619e+002
4.951373e-001	2.467417e+002
4.689483e-001	2.406762e+002
5.085494e-001	2.373022e+002
5.317196e-001	2.332561e+002
5.713431e-001	2.298830e+002
6.109442e-001	2.265090e+002
6.341151e-001	2.224629e+002
6.737380e-001	2.190898e+002
6.146205e-001	2.116771e+002
5.555255e-001	2.042654e+002
6.115799e-001	2.015645e+002
5.031256e-001	1.921334e+002
4.604608e-001	1.853938e+002
5.329903e-001	1.833670e+002
5.561395e-001	1.793199e+002
5.628557e-001	1.746006e+002
6.353859e-001	1.725738e+002
6.420810e-001	1.678536e+002
5.500793e-001	1.590956e+002
4.909626e-001	1.516829e+002
4.482985e-001	1.449434e+002
6.031149e-001	1.462830e+002
6.427167e-001	1.429091e+002
5.507150e-001	1.341511e+002
5.409576e-001	1.287578e+002
5.970338e-001	1.260578e+002
6.202032e-001	1.220116e+002
7.091643e-001	1.206570e+002
6.665219e-001	1.139184e+002
5.744986e-001	1.051595e+002
5.318351e-001	9.841993e+001
5.385520e-001	9.370063e+001
5.123623e-001	8.763508e+001
5.026048e-001	8.224177e+001
5.915876e-001	8.088807e+001
6.476638e-001	7.818812e+001
7.366465e-001	7.683442e+001
7.927010e-001	7.413360e+001
8.323238e-001	7.076053e+001
8.390414e-001	6.604123e+001
8.128306e-001	5.997480e+001
8.360001e-001	5.592861e+001
8.426960e-001	5.120842e+001
8.658655e-001	4.716224e+001
9.219430e-001	4.446229e+001
8.628255e-001	3.704962e+001
9.353550e-001	3.502281e+001
9.420712e-001	3.030351e+001
9.652203e-001	2.625643e+001
1.004843e+000	2.288336e+001
9.951074e-001	1.749094e+001
9.688967e-001	1.142452e+001
9.920662e-001	7.378335e+000
9.987621e-001	2.658138e+000
9.890263e-001	-2.734273e+000
1.012174e+000	-6.781341e+000
1.002438e+000	-1.217376e+001
1.074968e+000	-1.420059e+001
1.147497e+000	-1.622741e+001
1.170645e+000	-2.027448e+001
1.226723e+000	-2.297443e+001
1.184080e+000	-2.971309e+001
1.174323e+000	-3.510639e+001
1.164586e+000	-4.049882e+001
1.171282e+000	-4.521901e+001
1.128639e+000	-5.195767e+001
1.085975e+000	-5.869722e+001
1.076239e+000	-6.408964e+001
1.132294e+000	-6.679048e+001
1.171917e+000	-7.016353e+001
1.260899e+000	-7.151724e+001
1.251142e+000	-7.691055e+001
1.323671e+000	-7.893738e+001
1.346841e+000	-8.298356e+001
1.337105e+000	-8.837598e+001
1.426066e+000	-8.973057e+001
1.498596e+000	-9.175739e+001
1.423047e+000	-9.984229e+001
1.363929e+000	-1.072550e+002
1.469365e+000	-1.079355e+002
1.492514e+000	-1.119826e+002
1.400512e+000	-1.207406e+002
1.308489e+000	-1.294995e+002
1.298752e+000	-1.348920e+002
1.305448e+000	-1.396122e+002
1.312166e+000	-1.443315e+002
1.384695e+000	-1.463583e+002
1.358483e+000	-1.524247e+002
1.431013e+000	-1.544515e+002
1.503542e+000	-1.564784e+002
1.460879e+000	-1.632179e+002
1.533409e+000	-1.652447e+002
1.589485e+000	-1.679447e+002
1.662014e+000	-1.699715e+002
1.685162e+000	-1.740186e+002
1.691880e+000	-1.787379e+002
1.715027e+000	-1.827850e+002
1.738197e+000	-1.868311e+002
1.712008e+000	-1.928967e+002
1.685797e+000	-1.989631e+002
