    nm         	pN
0.000000e+000	5.915365e+002
3.966219e-002	5.881650e+002
-6.891831e-002	5.787287e+002
-1.116136e-001	5.719879e+002
-7.195143e-002	5.686164e+002
6.363854e-004	5.665920e+002
2.382897e-002	5.625467e+002
-2.407594e-003	5.564793e+002
-1.215285e-002	5.510865e+002
-5.439361e-003	5.463670e+002
-3.166507e-002	5.403000e+002
-5.789078e-002	5.342329e+002
-6.764690e-002	5.288397e+002
-9.387260e-002	5.227727e+002
-1.859849e-001	5.140101e+002
-1.463227e-001	5.106386e+002
-7.373485e-002	5.086142e+002
-1.328984e-001	5.011996e+002
-1.426532e-001	4.958065e+002
-1.688789e-001	4.897394e+002
-2.115742e-001	4.829986e+002
-2.377985e-001	4.769316e+002
-1.816790e-001	4.742334e+002
-1.420181e-001	4.708619e+002
-1.517736e-001	4.654687e+002
-1.615303e-001	4.600754e+002
-1.054006e-001	4.573777e+002
-2.139818e-001	4.479414e+002
-2.402061e-001	4.418744e+002
-2.499629e-001	4.364811e+002
-1.938427e-001	4.337830e+002
-2.365373e-001	4.270422e+002
-3.121698e-001	4.189538e+002
-3.054576e-001	4.142343e+002
-2.822752e-001	4.101886e+002
-2.096766e-001	4.081646e+002
-1.370765e-001	4.061407e+002
-1.962509e-001	3.987257e+002
-3.048213e-001	3.892898e+002
-2.981078e-001	3.845704e+002
-2.913956e-001	3.798509e+002
-3.340903e-001	3.731101e+002
-3.273781e-001	3.683906e+002
-2.712470e-001	3.656929e+002
-2.315970e-001	3.623209e+002
-2.742910e-001	3.555801e+002
-2.016910e-001	3.535562e+002
-1.949788e-001	3.488367e+002
-2.047356e-001	3.434434e+002
-2.474296e-001	3.367026e+002
-3.724797e-001	3.265926e+002
-3.657676e-001	3.218731e+002
-3.261054e-001	3.185016e+002
-2.864547e-001	3.151296e+002
-2.632737e-001	3.110839e+002
-2.894980e-001	3.050169e+002
-2.992439e-001	2.996241e+002
-2.925318e-001	2.949046e+002
-3.517055e-001	2.874896e+002
-3.285129e-001	2.834444e+002
-3.218008e-001	2.787248e+002
-3.480259e-001	2.726578e+002
-3.907198e-001	2.659171e+002
-4.169455e-001	2.598500e+002
-4.102327e-001	2.551306e+002
-4.199888e-001	2.497373e+002
-4.132767e-001	2.450178e+002
-4.065639e-001	2.402983e+002
-3.998409e-001	2.355793e+002
-3.766591e-001	2.315336e+002
-4.852396e-001	2.220973e+002
-4.455788e-001	2.187258e+002
-3.894592e-001	2.160276e+002
-4.156850e-001	2.099606e+002
-4.748472e-001	2.025460e+002
-5.010728e-001	1.964790e+002
-4.449533e-001	1.937808e+002
-5.535229e-001	1.843450e+002
-6.456352e-001	1.755824e+002
-5.895047e-001	1.728847e+002
-5.333852e-001	1.701865e+002
-4.443169e-001	1.688363e+002
-4.705426e-001	1.627693e+002
-5.297062e-001	1.553547e+002
-5.559312e-001	1.492877e+002
