    nm         	pN
0.000000e+000	5.692678e+002
1.385571e-001	5.699423e+002
1.452733e-001	5.652229e+002
1.025536e-001	5.584811e+002
7.631296e-002	5.524134e+002
1.710463e-002	5.449970e+002
-9.136008e-003	5.389294e+002
1.407015e-002	5.348847e+002
-1.217049e-002	5.288170e+002
1.102481e-002	5.247719e+002
1.261916e-003	5.193784e+002
-8.499622e-003	5.139849e+002
-1.783420e-003	5.092656e+002
-1.154496e-002	5.038721e+002
-2.129700e-002	4.984790e+002
-8.050532e-002	4.910626e+002
-1.067460e-001	4.849950e+002
-1.000298e-001	4.802757e+002
-1.427495e-001	4.735338e+002
-1.360333e-001	4.688145e+002
-7.986894e-002	4.661181e+002
-7.315342e-002	4.613988e+002
-9.939406e-002	4.553311e+002
-2.080281e-001	4.458927e+002
-2.507581e-001	4.391504e+002
-2.275519e-001	4.351057e+002
-3.032393e-001	4.270151e+002
-3.953950e-001	4.182508e+002
-3.886788e-001	4.135315e+002
-3.984410e-001	4.081380e+002
-3.917241e-001	4.034187e+002
-3.520402e-001	4.000481e+002
-3.123658e-001	3.966771e+002
-3.056496e-001	3.919578e+002
-3.483680e-001	3.852160e+002
-3.910877e-001	3.784742e+002
-4.173284e-001	3.724065e+002
-4.106122e-001	3.676872e+002
-3.214910e-001	3.663392e+002
-2.653389e-001	3.636423e+002
-2.091752e-001	3.609459e+002
-2.189374e-001	3.555524e+002
-2.286996e-001	3.501590e+002
-3.043762e-001	3.420688e+002
-3.141384e-001	3.366753e+002
-2.415072e-001	3.346527e+002
-2.347794e-001	3.299338e+002
-1.621482e-001	3.279111e+002
-1.059845e-001	3.252148e+002
-8.278922e-002	3.211696e+002
-1.090299e-001	3.151020e+002
-1.517496e-001	3.083601e+002
-9.558592e-002	3.056638e+002
-1.218374e-001	2.995957e+002
-8.215283e-002	2.962251e+002
-1.578301e-001	2.881350e+002
-2.664750e-001	2.786960e+002
-2.597582e-001	2.739767e+002
-2.695204e-001	2.685832e+002
-2.792826e-001	2.631897e+002
-2.725657e-001	2.584704e+002
-2.988063e-001	2.524028e+002
-3.415261e-001	2.456610e+002
-3.183199e-001	2.416163e+002
-2.621671e-001	2.389194e+002
-2.554509e-001	2.342001e+002
-2.487340e-001	2.294808e+002
-2.420063e-001	2.247619e+002
-2.023332e-001	2.213909e+002
-1.626480e-001	2.180204e+002
-1.229743e-001	2.146494e+002
-5.033150e-002	2.126272e+002
-6.009439e-002	2.072337e+002
-2.042000e-002	2.038627e+002
-4.666063e-002	1.977951e+002
-1.058595e-001	1.903791e+002
-1.321001e-001	1.843114e+002
-1.418616e-001	1.789179e+002
-8.570950e-002	1.762211e+002
-1.449070e-001	1.688051e+002
-2.205842e-001	1.607150e+002
-2.138673e-001	1.559956e+002
-2.401080e-001	1.499280e+002
